<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXCT.US,5,20250728,153000,2.26,2.2872,2.26,2.27,13388,0
MXCT.US,5,20250728,153500,2.28,2.28,2.27,2.2787,4026,0
MXCT.US,5,20250728,154000,2.2618,2.2687,2.26,2.26,5100,0
MXCT.US,5,20250728,154500,2.27,2.28,2.27,2.28,1540,0
MXCT.US,5,20250728,155500,2.27,2.27,2.26,2.265,1589,0
MXCT.US,5,20250728,160000,2.265,2.275,2.265,2.275,800,0
MXCT.US,5,20250728,160500,2.28,2.2953,2.28,2.2953,3169,0
MXCT.US,5,20250728,161000,2.295,2.305,2.295,2.305,607,0
MXCT.US,5,20250728,161500,2.3,2.3,2.295,2.295,2489,0
MXCT.US,5,20250728,162000,2.295,2.295,2.29,2.29,300,0
MXCT.US,5,20250728,162500,2.295,2.3,2.295,2.295,306,0
MXCT.US,5,20250728,163000,2.295,2.295,2.28,2.28,8411,0
MXCT.US,5,20250728,163500,2.285,2.285,2.285,2.285,680,0
MXCT.US,5,20250728,164000,2.285,2.295,2.285,2.295,3074,0
MXCT.US,5,20250728,164500,2.295,2.295,2.295,2.295,1299,0
MXCT.US,5,20250728,165000,2.295,2.2999,2.2925,2.295,836,0
MXCT.US,5,20250728,165500,2.295,2.295,2.29,2.29,3056,0
MXCT.US,5,20250728,170000,2.295,2.295,2.29,2.29,1326,0
MXCT.US,5,20250728,170500,2.29,2.29,2.2825,2.2825,3434,0
MXCT.US,5,20250728,171000,2.285,2.285,2.2802,2.285,700,0
MXCT.US,5,20250728,171500,2.285,2.285,2.28,2.28,1907,0
MXCT.US,5,20250728,172000,2.275,2.275,2.275,2.275,500,0
MXCT.US,5,20250728,172500,2.275,2.28,2.275,2.28,1232,0
MXCT.US,5,20250728,173000,2.275,2.29,2.2725,2.285,5068,0
MXCT.US,5,20250728,173500,2.29,2.29,2.29,2.29,200,0
MXCT.US,5,20250728,174000,2.29,2.29,2.285,2.285,519,0
MXCT.US,5,20250728,174500,2.285,2.295,2.285,2.295,7690,0
MXCT.US,5,20250728,175000,2.295,2.295,2.295,2.295,679,0
MXCT.US,5,20250728,175500,2.29,2.295,2.29,2.295,410,0
MXCT.US,5,20250728,180500,2.295,2.295,2.295,2.295,5200,0
MXCT.US,5,20250728,181000,2.295,2.295,2.295,2.295,500,0
MXCT.US,5,20250728,181500,2.295,2.295,2.295,2.295,790,0
MXCT.US,5,20250728,182000,2.295,2.295,2.295,2.295,400,0
MXCT.US,5,20250728,182500,2.295,2.295,2.29,2.29,1360,0
MXCT.US,5,20250728,183000,2.295,2.295,2.28,2.285,5963,0
MXCT.US,5,20250728,183500,2.28,2.28,2.27,2.275,2888,0
MXCT.US,5,20250728,184000,2.275,2.28,2.275,2.28,1610,0
MXCT.US,5,20250728,184500,2.275,2.28,2.275,2.275,3564,0
MXCT.US,5,20250728,185000,2.275,2.275,2.275,2.275,1568,0
MXCT.US,5,20250728,185500,2.275,2.28,2.275,2.28,1150,0
MXCT.US,5,20250728,190000,2.275,2.28,2.275,2.275,1414,0
MXCT.US,5,20250728,190500,2.28,2.29,2.28,2.29,4011,0
MXCT.US,5,20250728,191000,2.29,2.29,2.29,2.29,100,0
MXCT.US,5,20250728,191500,2.285,2.285,2.28,2.285,620,0
MXCT.US,5,20250728,192000,2.285,2.285,2.285,2.285,420,0
MXCT.US,5,20250728,192500,2.29,2.29,2.28,2.285,711,0
MXCT.US,5,20250728,193000,2.285,2.285,2.285,2.285,200,0
MXCT.US,5,20250728,193500,2.285,2.29,2.28,2.29,400,0
MXCT.US,5,20250728,194000,2.285,2.285,2.285,2.285,230,0
MXCT.US,5,20250728,194500,2.285,2.285,2.285,2.285,500,0
MXCT.US,5,20250728,195000,2.285,2.285,2.28,2.285,300,0
MXCT.US,5,20250728,195500,2.285,2.285,2.285,2.285,200,0
MXCT.US,5,20250728,200000,2.285,2.29,2.28,2.285,1200,0
MXCT.US,5,20250728,200500,2.2808,2.2891,2.28,2.285,3217,0
MXCT.US,5,20250728,201000,2.285,2.285,2.285,2.285,300,0
MXCT.US,5,20250728,201500,2.285,2.29,2.285,2.285,667,0
MXCT.US,5,20250728,202000,2.285,2.29,2.285,2.285,856,0
MXCT.US,5,20250728,202500,2.2882,2.2882,2.285,2.285,966,0
MXCT.US,5,20250728,203000,2.285,2.29,2.28,2.28,782,0
MXCT.US,5,20250728,203500,2.285,2.29,2.2812,2.2812,18201,0
MXCT.US,5,20250728,204500,2.29,2.29,2.2825,2.29,600,0
MXCT.US,5,20250728,205000,2.29,2.29,2.28,2.285,3737,0
MXCT.US,5,20250728,205500,2.29,2.29,2.28,2.29,600,0
MXCT.US,5,20250728,210000,2.285,2.29,2.28,2.285,900,0
MXCT.US,5,20250728,210500,2.285,2.29,2.285,2.29,4159,0
MXCT.US,5,20250728,211000,2.285,2.29,2.28,2.285,700,0
MXCT.US,5,20250728,211500,2.285,2.29,2.28,2.285,800,0
MXCT.US,5,20250728,212000,2.285,2.285,2.28,2.28,800,0
MXCT.US,5,20250728,212500,2.29,2.29,2.28,2.285,1100,0
MXCT.US,5,20250728,213000,2.285,2.29,2.27,2.275,5070,0
MXCT.US,5,20250728,213500,2.275,2.285,2.275,2.28,10888,0
MXCT.US,5,20250728,214000,2.28,2.28,2.28,2.28,200,0
MXCT.US,5,20250728,214500,2.275,2.28,2.26,2.265,4063,0
MXCT.US,5,20250728,215000,2.265,2.265,2.26,2.265,2279,0
MXCT.US,5,20250728,215500,2.265,2.27,2.26,2.26,87499,0
MXCT.US,5,20250729,153000,2.28,2.28,2.25,2.25,8099,0
MXCT.US,5,20250729,153500,2.25,2.25,2.23,2.23,7761,0
MXCT.US,5,20250729,154000,2.235,2.24,2.23,2.23,994,0
MXCT.US,5,20250729,154500,2.2208,2.2292,2.21,2.21,2567,0
MXCT.US,5,20250729,155000,2.21,2.21,2.2001,2.2001,6784,0
MXCT.US,5,20250729,155500,2.205,2.205,2.205,2.205,100,0
MXCT.US,5,20250729,160000,2.2,2.205,2.195,2.195,2443,0
MXCT.US,5,20250729,160500,2.2,2.205,2.2,2.205,820,0
MXCT.US,5,20250729,161000,2.205,2.205,2.205,2.205,800,0
MXCT.US,5,20250729,161500,2.2052,2.2052,2.195,2.2,4751,0
MXCT.US,5,20250729,162000,2.2048,2.2048,2.2048,2.2048,1375,0
MXCT.US,5,20250729,163000,2.205,2.205,2.195,2.195,1700,0
MXCT.US,5,20250729,163500,2.195,2.195,2.195,2.195,100,0
MXCT.US,5,20250729,164000,2.195,2.195,2.195,2.195,400,0
MXCT.US,5,20250729,164500,2.1948,2.1948,2.1948,2.1948,100,0
MXCT.US,5,20250729,165500,2.19,2.19,2.185,2.185,2289,0
MXCT.US,5,20250729,170000,2.185,2.185,2.185,2.185,300,0
MXCT.US,5,20250729,170500,2.185,2.19,2.185,2.19,4900,0
