<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAMI.US,5,20250728,155000,0.97,0.97,0.97,0.97,131,0
NAMI.US,5,20250728,161500,0.9796,0.9796,0.9796,0.9796,642,0
NAMI.US,5,20250728,163000,0.978,1.01,0.96,0.96,12656,0
NAMI.US,5,20250728,164000,0.985,0.985,0.96001,0.96001,1200,0
NAMI.US,5,20250728,164500,0.99,0.99,0.99,0.99,600,0
NAMI.US,5,20250728,165000,0.984,1.01,0.9601,0.984,6100,0
NAMI.US,5,20250728,175000,0.96,0.96,0.96,0.96,100,0
NAMI.US,5,20250728,184000,0.9947,0.9947,0.9947,0.9947,288,0
NAMI.US,5,20250728,205000,0.98,0.98,0.98,0.98,101,0
NAMI.US,5,20250728,215000,1,1,1,1,100,0
NAMI.US,5,20250729,153000,0.99,0.99,0.99,0.99,191,0
NAMI.US,5,20250729,154500,0.975,0.975,0.975,0.975,109,0
NAMI.US,5,20250729,155000,0.9995,0.9995,0.9995,0.9995,100,0
NAMI.US,5,20250729,161500,0.95,0.95,0.95,0.95,2000,0
NAMI.US,5,20250729,162000,1,1,0.95,0.95,7650,0
NAMI.US,5,20250729,170000,0.95,0.95,0.95,0.95,1743,0
NAMI.US,5,20250729,174500,0.95,0.95,0.95,0.95,496,0
NAMI.US,5,20250729,185500,0.94,0.94,0.94,0.94,474,0
NAMI.US,5,20250729,191500,0.9401,0.9401,0.9401,0.9401,100,0
NAMI.US,5,20250729,194500,0.967,0.967,0.955,0.955,555,0
NAMI.US,5,20250729,195000,0.961,0.969999,0.954999,0.969999,4000,0
NAMI.US,5,20250729,200500,0.94,0.955,0.94,0.955,7054,0
NAMI.US,5,20250729,202000,0.94,0.94,0.94,0.94,100,0
NAMI.US,5,20250729,213500,0.94,0.94,0.94,0.94,241,0
NAMI.US,5,20250729,214000,0.94,0.94,0.94,0.94,900,0
NAMI.US,5,20250729,215500,0.9356,0.9356,0.9356,0.9356,129,0
NAMI.US,5,20250730,153000,0.93,0.93,0.93,0.93,608,0
NAMI.US,5,20250730,154000,0.900001,0.92,0.9,0.9,2170,0
NAMI.US,5,20250730,160500,0.9,0.9,0.8983,0.8983,1350,0
NAMI.US,5,20250730,161000,0.89,0.89,0.89,0.89,968,0
NAMI.US,5,20250730,164500,0.875,0.875,0.86,0.86,1000,0
NAMI.US,5,20250730,165000,0.86,0.86,0.86,0.86,12110,0
NAMI.US,5,20250730,173000,0.884999,0.884999,0.884999,0.884999,100,0
NAMI.US,5,20250730,180500,0.885,0.885,0.885,0.885,1000,0
NAMI.US,5,20250730,181000,0.885,0.8999,0.885,0.8999,1667,0
NAMI.US,5,20250730,193000,0.893399,0.893399,0.893399,0.893399,100,0
NAMI.US,5,20250730,203000,0.87001,0.885,0.87001,0.885,224,0
NAMI.US,5,20250730,210000,0.870001,0.870001,0.870001,0.870001,100,0
NAMI.US,5,20250730,211500,0.8701,0.8701,0.8701,0.8701,200,0
NAMI.US,5,20250731,181000,0.936,0.936,0.936,0.936,127,0
NAMI.US,5,20250731,184000,0.9663,0.9663,0.9663,0.9663,128,0
NAMI.US,5,20250731,212500,0.929,0.929,0.929,0.929,100,0
NAMI.US,5,20250731,215000,0.929,0.929,0.929,0.929,100,0
NAMI.US,5,20250801,153000,0.9291,0.9291,0.9291,0.9291,103,0
NAMI.US,5,20250801,153500,0.959,0.959,0.959,0.959,250,0
NAMI.US,5,20250801,164500,0.9291,0.9291,0.8623,0.91,2196,0
NAMI.US,5,20250801,195000,0.88,0.88,0.88,0.88,131,0
NAMI.US,5,20250801,200000,0.9055,0.9055,0.901,0.901,200,0
NAMI.US,5,20250801,201500,0.88,0.88,0.8779,0.8779,250,0
NAMI.US,5,20250801,202500,0.8979,0.8979,0.8979,0.8979,100,0
NAMI.US,5,20250801,214000,0.89,0.89,0.89,0.89,540,0
NAMI.US,5,20250801,214500,0.89,0.89,0.89,0.89,842,0
NAMI.US,5,20250801,215000,0.8978,0.8978,0.8978,0.8978,100,0
NAMI.US,5,20250801,215500,0.89,0.89,0.89,0.89,100,0
NAMI.US,5,20250804,155500,0.88,0.88,0.88,0.88,100,0
NAMI.US,5,20250804,163000,0.860101,0.860101,0.860101,0.860101,300,0
NAMI.US,5,20250804,164000,0.86,0.86,0.86,0.86,100,0
NAMI.US,5,20250804,165000,0.86,0.86,0.85,0.8575,5049,0
NAMI.US,5,20250804,174000,0.8639,0.8639,0.8639,0.8639,8000,0
NAMI.US,5,20250804,174500,0.85,0.85,0.85,0.85,100,0
NAMI.US,5,20250804,184000,0.8449,0.8449,0.8449,0.8449,100,0
NAMI.US,5,20250804,192500,0.85,0.85,0.85,0.85,100,0
NAMI.US,5,20250804,213500,0.9,0.9,0.874999,0.874999,978,0
NAMI.US,5,20250804,214000,0.85,0.85,0.85,0.85,100,0
