<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNBR.US,5,20250728,153000,2.18,2.18,2.18,2.18,146,0
NNBR.US,5,20250728,154000,2.1319,2.158,2.1319,2.158,1297,0
NNBR.US,5,20250728,160000,2.17,2.17,2.17,2.17,100,0
NNBR.US,5,20250728,160500,2.17,2.17,2.17,2.17,313,0
NNBR.US,5,20250728,161000,2.17,2.17,2.17,2.17,135,0
NNBR.US,5,20250728,161500,2.15,2.15,2.15,2.15,197,0
NNBR.US,5,20250728,162000,2.16,2.16,2.16,2.16,3094,0
NNBR.US,5,20250728,162500,2.16,2.16,2.16,2.16,954,0
NNBR.US,5,20250728,163000,2.15,2.15,2.15,2.15,115,0
NNBR.US,5,20250728,163500,2.16,2.16,2.16,2.16,100,0
NNBR.US,5,20250728,164500,2.16,2.16,2.16,2.16,1600,0
NNBR.US,5,20250728,165000,2.16,2.17,2.16,2.17,400,0
NNBR.US,5,20250728,165500,2.1787,2.1787,2.1787,2.1787,485,0
NNBR.US,5,20250728,170000,2.1785,2.1785,2.1785,2.1785,200,0
NNBR.US,5,20250728,170500,2.1602,2.1602,2.16,2.16,9716,0
NNBR.US,5,20250728,171000,2.17,2.17,2.17,2.17,100,0
NNBR.US,5,20250728,172000,2.16,2.16,2.15,2.15,1021,0
NNBR.US,5,20250728,173500,2.15,2.17,2.15,2.17,2921,0
NNBR.US,5,20250728,175000,2.16,2.16,2.16,2.16,100,0
NNBR.US,5,20250728,180500,2.17,2.18,2.17,2.18,1700,0
NNBR.US,5,20250728,181500,2.18,2.18,2.18,2.18,100,0
NNBR.US,5,20250728,182000,2.1803,2.1803,2.17,2.17,6314,0
NNBR.US,5,20250728,182500,2.175,2.18,2.175,2.18,900,0
NNBR.US,5,20250728,183500,2.18,2.18,2.18,2.18,100,0
NNBR.US,5,20250728,184500,2.175,2.175,2.175,2.175,200,0
NNBR.US,5,20250728,185500,2.17,2.17,2.17,2.17,100,0
NNBR.US,5,20250728,190000,2.17,2.17,2.17,2.17,100,0
NNBR.US,5,20250728,190500,2.175,2.175,2.175,2.175,200,0
NNBR.US,5,20250728,191500,2.175,2.175,2.175,2.175,400,0
NNBR.US,5,20250728,192000,2.17,2.17,2.15,2.155,1946,0
NNBR.US,5,20250728,192500,2.16,2.16,2.16,2.16,100,0
NNBR.US,5,20250728,195500,2.15,2.15,2.15,2.15,318,0
NNBR.US,5,20250728,200000,2.15,2.15,2.15,2.15,100,0
NNBR.US,5,20250728,201000,2.13,2.145,2.13,2.145,1198,0
NNBR.US,5,20250728,203000,2.1497,2.16,2.1497,2.15,3273,0
NNBR.US,5,20250728,204000,2.15,2.15,2.15,2.15,100,0
NNBR.US,5,20250728,210000,2.15,2.15,2.15,2.15,1543,0
NNBR.US,5,20250728,210500,2.15,2.15,2.15,2.15,100,0
NNBR.US,5,20250728,212000,2.15,2.15,2.15,2.15,200,0
NNBR.US,5,20250728,213000,2.155,2.155,2.15,2.15,3174,0
NNBR.US,5,20250728,213500,2.14,2.145,2.14,2.145,1600,0
NNBR.US,5,20250728,214000,2.145,2.145,2.14,2.14,378,0
NNBR.US,5,20250728,214500,2.14,2.14,2.14,2.14,200,0
NNBR.US,5,20250728,215000,2.14,2.14,2.13,2.14,1900,0
NNBR.US,5,20250728,215500,2.145,2.145,2.13,2.13,4919,0
NNBR.US,5,20250729,153000,2.11,2.11,2.11,2.11,200,0
NNBR.US,5,20250729,154500,2.11,2.115,2.11,2.115,567,0
NNBR.US,5,20250729,155000,2.1299,2.1299,2.1299,2.1299,200,0
NNBR.US,5,20250729,161000,2.115,2.115,2.115,2.115,1500,0
NNBR.US,5,20250729,161500,2.1,2.1,2.1,2.1,149,0
NNBR.US,5,20250729,163500,2.115,2.115,2.115,2.115,124,0
NNBR.US,5,20250729,164000,2.1,2.1,2.1,2.1,100,0
NNBR.US,5,20250729,165500,2.1277,2.1277,2.1277,2.1277,1190,0
NNBR.US,5,20250729,170000,2.115,2.115,2.115,2.115,108,0
NNBR.US,5,20250729,171000,2.11,2.11,2.11,2.11,200,0
NNBR.US,5,20250729,172000,2.1,2.1,2.07,2.0952,12951,0
NNBR.US,5,20250729,172500,2.095,2.095,2.08,2.08,2174,0
