<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRXPW.US,5,20250728,153000,0.08,0.0999,0.08,0.0999,2065,0
NRXPW.US,5,20250729,202000,0.095,0.095,0.0949,0.0949,2480,0
NRXPW.US,5,20250729,202500,0.0901,0.0901,0.0901,0.0901,5000,0
NRXPW.US,5,20250730,170000,0.0801,0.0801,0.08,0.08,550,0
NRXPW.US,5,20250730,171000,0.0758,0.08,0.0758,0.0799,20012,0
NRXPW.US,5,20250730,184500,0.08,0.08,0.0799,0.0799,1768,0
NRXPW.US,5,20250730,194000,0.0799,0.0915,0.0775,0.0915,522,0
NRXPW.US,5,20250731,153500,0.0751,0.0751,0.0611,0.0611,6402,0
NRXPW.US,5,20250731,173000,0.084,0.084,0.084,0.084,100,0
NRXPW.US,5,20250801,184500,0.086725,0.086725,0.0856,0.0856,310,0
NRXPW.US,5,20250801,203500,0.0903,0.098,0.0903,0.098,1266,0
NRXPW.US,5,20250801,204500,0.098,0.098,0.098,0.098,100,0
NRXPW.US,5,20250804,153000,0.1,0.1,0.1,0.1,1000,0
NRXPW.US,5,20250806,154000,0.0614,0.0614,0.0613,0.0613,5184,0
NRXPW.US,5,20250806,154500,0.061199,0.0613,0.061199,0.0613,4350,0
NRXPW.US,5,20250806,160500,0.0739,0.08,0.07,0.08,4500,0
NRXPW.US,5,20250806,201000,0.077,0.077,0.077,0.077,3965,0
NRXPW.US,5,20250806,202000,0.096,0.1,0.0949,0.0949,400,0
NRXPW.US,5,20250807,164500,0.0833,0.0833,0.0833,0.0833,1000,0
NRXPW.US,5,20250807,170000,0.08,0.08,0.08,0.08,100,0
NRXPW.US,5,20250807,174500,0.078599,0.0849,0.078599,0.0848,2884,0
NRXPW.US,5,20250807,191000,0.0925,0.0925,0.0877,0.0877,3842,0
NRXPW.US,5,20250807,211000,0.0851,0.0851,0.0849,0.0849,1213,0
NRXPW.US,5,20250808,181500,0.07865,0.07865,0.07865,0.07865,125,0
NRXPW.US,5,20250808,182000,0.0849,0.0849,0.0848,0.0848,200,0
NRXPW.US,5,20250808,183000,0.07865,0.084799,0.07865,0.084799,775,0
NRXPW.US,5,20250808,184000,0.0821,0.0821,0.0821,0.0821,2500,0
NRXPW.US,5,20250808,185500,0.0849,0.0849,0.0798,0.0848,1050,0
NRXPW.US,5,20250811,154000,0.089,0.089,0.089,0.089,100,0
NRXPW.US,5,20250811,155500,0.099,0.099,0.0989,0.0989,400,0
NRXPW.US,5,20250811,160000,0.0815,0.0815,0.078,0.078,2838,0
NRXPW.US,5,20250811,164000,0.0747,0.0747,0.0747,0.0747,2000,0
NRXPW.US,5,20250811,164500,0.0815,0.0815,0.0747,0.075322,3153,0
NRXPW.US,5,20250811,174500,0.085,0.085,0.085,0.085,100,0
NRXPW.US,5,20250811,210500,0.0724,0.0861,0.0723,0.0861,6053,0
NRXPW.US,5,20250811,211000,0.0723,0.0723,0.0723,0.0723,5000,0
NRXPW.US,5,20250811,211500,0.0723,0.0723,0.0723,0.0723,1214,0
NRXPW.US,5,20250811,212000,0.069899,0.07,0.065599,0.0672,13972,0
NRXPW.US,5,20250812,185000,0.0801,0.0801,0.0801,0.0801,100,0
NRXPW.US,5,20250812,205500,0.07,0.07,0.07,0.07,11787,0
NRXPW.US,5,20250812,210500,0.0942,0.0942,0.0942,0.0942,400,0
NRXPW.US,5,20250812,212500,0.07,0.07,0.07,0.07,1000,0
NRXPW.US,5,20250812,214500,0.0692,0.0692,0.0692,0.0692,4000,0
NRXPW.US,5,20250813,153000,0.0612,0.0681,0.0612,0.0681,400,0
NRXPW.US,5,20250813,153500,0.0699,0.0699,0.0699,0.0699,100,0
NRXPW.US,5,20250813,164000,0.069899,0.069899,0.069899,0.069899,2000,0
NRXPW.US,5,20250813,172500,0.0612,0.0699,0.0612,0.0699,9730,0
NRXPW.US,5,20250813,173000,0.0923,0.0923,0.0923,0.0923,500,0
NRXPW.US,5,20250813,212500,0.0756,0.0924,0.0756,0.0924,3100,0
NRXPW.US,5,20250814,153500,0.0671,0.0671,0.0612,0.0612,9999,0
NRXPW.US,5,20250814,160500,0.0883,0.0884,0.0883,0.0884,800,0
NRXPW.US,5,20250814,161000,0.0886,0.0886,0.081299,0.081299,1950,0
NRXPW.US,5,20250814,161500,0.0886,0.0886,0.0886,0.0886,491,0
NRXPW.US,5,20250814,164000,0.0886,0.0886,0.0886,0.0886,100,0
NRXPW.US,5,20250814,181000,0.0886,0.0886,0.0886,0.0886,500,0
NRXPW.US,5,20250814,184000,0.0886,0.0886,0.0886,0.0886,100,0
NRXPW.US,5,20250814,185000,0.0886,0.0886,0.0886,0.0886,200,0
NRXPW.US,5,20250814,185500,0.0886,0.0886,0.0886,0.0886,500,0
NRXPW.US,5,20250814,191000,0.0886,0.0886,0.0886,0.0886,100,0
NRXPW.US,5,20250814,210000,0.0886,0.0886,0.0886,0.0886,285,0
NRXPW.US,5,20250814,211500,0.0885,0.0885,0.0885,0.0885,200,0
NRXPW.US,5,20250815,194500,0.0656,0.0656,0.0656,0.0656,249,0
NRXPW.US,5,20250818,162500,0.07745,0.07745,0.07745,0.07745,2000,0
NRXPW.US,5,20250818,190000,0.07,0.0701,0.07,0.0701,200,0
NRXPW.US,5,20250819,153000,0.07,0.07,0.07,0.07,250,0
NRXPW.US,5,20250819,192000,0.072,0.0789,0.072,0.0789,298,0
NRXPW.US,5,20250819,200500,0.073501,0.073501,0.073501,0.073501,200,0
NRXPW.US,5,20250819,202000,0.075,0.0789,0.075,0.0789,964,0
NRXPW.US,5,20250820,181500,0.0657,0.0769,0.0612,0.0651,8200,0
NRXPW.US,5,20250820,215500,0.06121,0.06121,0.06121,0.06121,276,0
NRXPW.US,5,20250821,153000,0.0612,0.0612,0.0612,0.0612,250,0
NRXPW.US,5,20250821,153500,0.0765,0.0768,0.0765,0.0768,14051,0
NRXPW.US,5,20250821,171000,0.099,0.099,0.099,0.099,200,0
NRXPW.US,5,20250821,181500,0.098999,0.098999,0.089499,0.089499,3000,0
NRXPW.US,5,20250821,184000,0.0895,0.0895,0.0895,0.0895,800,0
NRXPW.US,5,20250821,184500,0.0895,0.0895,0.0895,0.0895,100,0
NRXPW.US,5,20250821,190000,0.0895,0.0895,0.0895,0.0895,100,0
NRXPW.US,5,20250821,212000,0.0895,0.0895,0.0895,0.0895,100,0
NRXPW.US,5,20250822,163000,0.0894,0.0894,0.0894,0.0894,100,0
NRXPW.US,5,20250822,164500,0.08,0.08,0.08,0.08,100,0
NRXPW.US,5,20250822,191000,0.097,0.097,0.097,0.097,350,0
NRXPW.US,5,20250825,170000,0.09,0.09,0.09,0.09,100,0
NRXPW.US,5,20250825,181500,0.07,0.07,0.07,0.07,400,0
NRXPW.US,5,20250825,183500,0.0759,0.0759,0.0759,0.0759,100,0
NRXPW.US,5,20250825,215000,0.078,0.078,0.078,0.078,140,0
NRXPW.US,5,20250826,163000,0.09,0.1,0.084001,0.1,1400,0
NRXPW.US,5,20250826,164000,0.1,0.1,0.1,0.1,100,0
NRXPW.US,5,20250826,164500,0.09,0.0949,0.0725,0.0725,14370,0
NRXPW.US,5,20250826,165000,0.0729,0.0729,0.0729,0.0729,100,0
NRXPW.US,5,20250826,194500,0.0909,0.1,0.0909,0.1,900,0
NRXPW.US,5,20250826,204000,0.1033,0.1033,0.1033,0.1033,400,0
NRXPW.US,5,20250826,205000,0.090001,0.1,0.090001,0.095001,1200,0
NRXPW.US,5,20250826,214000,0.1,0.1,0.1,0.1,500,0
NRXPW.US,5,20250826,215000,0.1,0.1,0.1,0.1,100,0
NRXPW.US,5,20250827,153500,0.094999,0.094999,0.094999,0.094999,500,0
NRXPW.US,5,20250827,154500,0.1,0.1,0.1,0.1,100,0
NRXPW.US,5,20250827,160000,0.0951,0.0951,0.0751,0.0751,2600,0
NRXPW.US,5,20250827,160500,0.07,0.07,0.0651,0.0651,1736,0
NRXPW.US,5,20250827,174000,0.0765,0.0765,0.0765,0.0765,500,0
NRXPW.US,5,20250827,193000,0.0846,0.0846,0.0846,0.0846,500,0
NRXPW.US,5,20250827,201000,0.0849,0.0849,0.0849,0.0849,500,0
NRXPW.US,5,20250827,215000,0.08,0.08,0.08,0.08,500,0
NRXPW.US,5,20250828,153500,0.07735,0.07735,0.07735,0.07735,442,0
NRXPW.US,5,20250828,160500,0.0748,0.0748,0.0748,0.0748,100,0
NRXPW.US,5,20250828,213500,0.0897,0.0898,0.0893,0.0898,1808,0
NRXPW.US,5,20250828,215500,0.1,0.1,0.1,0.1,100,0
