<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTWK.US,5,20250728,153000,4.29,4.29,4.24,4.24,1607,0
NTWK.US,5,20250728,153500,4.29,4.36,4.29,4.3538,4052,0
NTWK.US,5,20250728,154000,4.361,4.42,4.361,4.39,11091,0
NTWK.US,5,20250728,154500,4.38,4.38,4.3694,4.3694,200,0
NTWK.US,5,20250728,155000,4.3835,4.4,4.38,4.39,1550,0
NTWK.US,5,20250728,155500,4.35,4.35,4.35,4.35,500,0
NTWK.US,5,20250728,160000,4.3054,4.3054,4.3054,4.3054,1000,0
NTWK.US,5,20250728,160500,4.39,4.39,4.39,4.39,200,0
NTWK.US,5,20250728,161000,4.4,4.4,4.3886,4.3886,1497,0
NTWK.US,5,20250728,163500,4.31,4.31,4.31,4.31,400,0
NTWK.US,5,20250728,164000,4.3339,4.3599,4.3339,4.3599,262,0
NTWK.US,5,20250728,164500,4.295,4.3104,4.295,4.3104,386,0
NTWK.US,5,20250728,165500,4.31,4.31,4.31,4.31,235,0
NTWK.US,5,20250728,170000,4.3072,4.3072,4.23,4.24,5315,0
NTWK.US,5,20250728,170500,4.2347,4.2347,4.2347,4.2347,295,0
NTWK.US,5,20250728,171000,4.2472,4.2472,4.2472,4.2472,100,0
NTWK.US,5,20250728,172500,4.32,4.32,4.32,4.32,100,0
NTWK.US,5,20250728,173000,4.32,4.32,4.32,4.32,200,0
NTWK.US,5,20250728,174000,4.34,4.34,4.34,4.34,1200,0
NTWK.US,5,20250728,181500,4.308,4.335,4.2963,4.3,1450,0
NTWK.US,5,20250728,184000,4.3417,4.3417,4.3417,4.3417,500,0
NTWK.US,5,20250728,184500,4.38,4.38,4.3,4.3,455,0
NTWK.US,5,20250728,194000,4.31,4.31,4.31,4.31,472,0
NTWK.US,5,20250728,202500,4.31,4.31,4.31,4.31,100,0
NTWK.US,5,20250728,203500,4.34,4.34,4.3287,4.3287,200,0
NTWK.US,5,20250728,204000,4.3638,4.3638,4.3638,4.3638,456,0
NTWK.US,5,20250728,205500,4.3222,4.3222,4.3222,4.3222,200,0
NTWK.US,5,20250728,211000,4.3,4.3,4.3,4.3,1200,0
NTWK.US,5,20250728,214500,4.35,4.35,4.35,4.35,100,0
NTWK.US,5,20250728,215500,4.35,4.44,4.35,4.44,7461,0
NTWK.US,5,20250729,153000,4.46,4.5727,4.46,4.5064,4007,0
NTWK.US,5,20250729,153500,4.546,4.56,4.48,4.5,1047,0
NTWK.US,5,20250729,154000,4.5,4.5,4.5,4.5,210,0
NTWK.US,5,20250729,154500,4.54,4.5792,4.5166,4.5792,2375,0
NTWK.US,5,20250729,155000,4.5156,4.5156,4.514,4.515,1350,0
NTWK.US,5,20250729,155500,4.52,4.52,4.5,4.52,703,0
NTWK.US,5,20250729,160000,4.46,4.5085,4.46,4.495,2918,0
NTWK.US,5,20250729,160500,4.5298,4.5298,4.5298,4.5298,111,0
NTWK.US,5,20250729,161000,4.54,4.54,4.4864,4.52,3212,0
NTWK.US,5,20250729,161500,4.512,4.55,4.512,4.525,1233,0
NTWK.US,5,20250729,162500,4.58,4.58,4.55,4.5581,2000,0
NTWK.US,5,20250729,163000,4.555,4.555,4.555,4.555,400,0
NTWK.US,5,20250729,163500,4.555,4.595,4.555,4.59,2529,0
NTWK.US,5,20250729,164000,4.5567,4.5567,4.55,4.55,850,0
NTWK.US,5,20250729,165500,4.5479,4.5479,4.5479,4.5479,300,0
NTWK.US,5,20250729,170000,4.55,4.55,4.55,4.55,200,0
