<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCSL.US,5,20250728,153000,14.46,14.49,14.42,14.4214,15108,0
OCSL.US,5,20250728,153500,14.42,14.44,14.41,14.43,4000,0
OCSL.US,5,20250728,154000,14.42,14.42,14.39,14.3986,2366,0
OCSL.US,5,20250728,154500,14.39,14.425,14.39,14.41,7815,0
OCSL.US,5,20250728,155000,14.39,14.39,14.38,14.385,2591,0
OCSL.US,5,20250728,155500,14.3865,14.39,14.385,14.39,1075,0
OCSL.US,5,20250728,160000,14.39,14.405,14.385,14.405,5354,0
OCSL.US,5,20250728,160500,14.4099,14.4099,14.405,14.405,2170,0
OCSL.US,5,20250728,161000,14.4039,14.42,14.39,14.4108,9569,0
OCSL.US,5,20250728,161500,14.41,14.4136,14.39,14.3906,2969,0
OCSL.US,5,20250728,162000,14.39,14.39,14.37,14.37,2835,0
OCSL.US,5,20250728,162500,14.37,14.39,14.365,14.39,3500,0
OCSL.US,5,20250728,163000,14.395,14.41,14.395,14.395,3540,0
OCSL.US,5,20250728,163500,14.39,14.39,14.37,14.37,4397,0
OCSL.US,5,20250728,164000,14.3757,14.3757,14.3709,14.375,699,0
OCSL.US,5,20250728,164500,14.375,14.375,14.3635,14.3635,1039,0
OCSL.US,5,20250728,165000,14.365,14.365,14.345,14.345,4997,0
OCSL.US,5,20250728,165500,14.3465,14.3465,14.345,14.345,1188,0
OCSL.US,5,20250728,170000,14.34,14.36,14.34,14.36,2656,0
OCSL.US,5,20250728,170500,14.36,14.36,14.3455,14.3455,1553,0
OCSL.US,5,20250728,171000,14.335,14.335,14.325,14.33,2850,0
OCSL.US,5,20250728,171500,14.335,14.335,14.3,14.3001,13992,0
OCSL.US,5,20250728,172000,14.3099,14.3099,14.3099,14.3099,500,0
OCSL.US,5,20250728,172500,14.3,14.3,14.2909,14.3,4224,0
OCSL.US,5,20250728,173500,14.28,14.28,14.25,14.255,1200,0
OCSL.US,5,20250728,174000,14.2503,14.2503,14.245,14.245,3838,0
OCSL.US,5,20250728,174500,14.25,14.255,14.2452,14.255,5344,0
OCSL.US,5,20250728,175000,14.2501,14.2699,14.2501,14.2599,4618,0
OCSL.US,5,20250728,175500,14.26,14.27,14.26,14.265,1617,0
OCSL.US,5,20250728,180000,14.2633,14.2633,14.2633,14.2633,200,0
OCSL.US,5,20250728,180500,14.265,14.265,14.2601,14.265,2029,0
OCSL.US,5,20250728,181000,14.265,14.265,14.2547,14.255,1229,0
OCSL.US,5,20250728,181500,14.255,14.265,14.255,14.265,1600,0
OCSL.US,5,20250728,182500,14.27,14.27,14.26,14.26,1100,0
OCSL.US,5,20250728,183000,14.25,14.265,14.25,14.265,831,0
OCSL.US,5,20250728,183500,14.2653,14.2653,14.25,14.255,1550,0
OCSL.US,5,20250728,184000,14.2576,14.2599,14.255,14.2599,2450,0
OCSL.US,5,20250728,184500,14.255,14.255,14.255,14.255,100,0
OCSL.US,5,20250728,185000,14.255,14.255,14.251,14.255,5258,0
OCSL.US,5,20250728,185500,14.25,14.255,14.25,14.255,318,0
OCSL.US,5,20250728,190000,14.255,14.255,14.245,14.245,3388,0
OCSL.US,5,20250728,190500,14.245,14.25,14.24,14.24,2360,0
OCSL.US,5,20250728,191000,14.24,14.24,14.24,14.24,100,0
OCSL.US,5,20250728,191500,14.24,14.24,14.2301,14.24,7965,0
