<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPBK.US,5,20250728,153000,13.47,13.62,13.45,13.6,1929,0
OPBK.US,5,20250728,155000,13.557,13.557,13.557,13.557,310,0
OPBK.US,5,20250728,155500,13.6,13.6,13.51,13.5394,3312,0
OPBK.US,5,20250728,160000,13.55,13.55,13.45,13.49,1832,0
OPBK.US,5,20250728,160500,13.53,13.53,13.53,13.53,100,0
OPBK.US,5,20250728,161500,13.53,13.53,13.45,13.45,1153,0
OPBK.US,5,20250728,162000,13.43,13.5,13.43,13.5,700,0
OPBK.US,5,20250728,163500,13.51,13.5899,13.485,13.5899,769,0
OPBK.US,5,20250728,164000,13.545,13.64,13.535,13.64,996,0
OPBK.US,5,20250728,164500,13.61,13.65,13.5501,13.65,753,0
OPBK.US,5,20250728,165000,13.65,13.66,13.65,13.66,200,0
OPBK.US,5,20250728,165500,13.67,13.67,13.63,13.63,200,0
OPBK.US,5,20250728,170000,13.62,13.62,13.58,13.58,200,0
OPBK.US,5,20250728,170500,13.55,13.55,13.55,13.55,200,0
OPBK.US,5,20250728,171000,13.54,13.575,13.535,13.535,400,0
OPBK.US,5,20250728,172500,13.535,13.535,13.535,13.535,100,0
OPBK.US,5,20250728,173000,13.52,13.52,13.49,13.49,500,0
OPBK.US,5,20250728,175000,13.5,13.52,13.5,13.52,300,0
OPBK.US,5,20250728,180000,13.53,13.53,13.53,13.53,100,0
OPBK.US,5,20250728,180500,13.55,13.55,13.55,13.55,100,0
OPBK.US,5,20250728,181000,13.57,13.57,13.56,13.56,300,0
OPBK.US,5,20250728,182000,13.59,13.61,13.58,13.61,400,0
OPBK.US,5,20250728,182500,13.62,13.62,13.62,13.62,100,0
OPBK.US,5,20250728,183500,13.58,13.58,13.58,13.58,100,0
OPBK.US,5,20250728,184500,13.56,13.59,13.56,13.59,537,0
OPBK.US,5,20250728,185000,13.64,13.64,13.64,13.64,100,0
OPBK.US,5,20250728,190000,13.67,13.67,13.67,13.67,100,0
OPBK.US,5,20250728,190500,13.665,13.665,13.65,13.65,403,0
OPBK.US,5,20250728,191500,13.6728,13.6728,13.6728,13.6728,140,0
OPBK.US,5,20250728,192000,13.645,13.645,13.645,13.645,100,0
OPBK.US,5,20250728,193500,13.64,13.64,13.64,13.64,200,0
OPBK.US,5,20250728,194500,13.67,13.69,13.67,13.685,600,0
OPBK.US,5,20250728,195500,13.71,13.745,13.7,13.745,500,0
OPBK.US,5,20250728,202000,13.745,13.75,13.745,13.75,400,0
OPBK.US,5,20250728,203000,13.745,13.745,13.7345,13.7345,450,0
OPBK.US,5,20250728,204000,13.78,13.78,13.78,13.78,100,0
OPBK.US,5,20250728,204500,13.76,13.76,13.72,13.72,3455,0
OPBK.US,5,20250728,205000,13.7699,13.7699,13.7699,13.7699,291,0
OPBK.US,5,20250728,205500,13.75,13.795,13.75,13.795,400,0
OPBK.US,5,20250728,210000,13.795,13.795,13.795,13.795,100,0
OPBK.US,5,20250728,211000,13.79,13.79,13.79,13.79,105,0
OPBK.US,5,20250728,211500,13.81,13.81,13.81,13.81,100,0
OPBK.US,5,20250728,212500,13.81,13.81,13.81,13.81,100,0
OPBK.US,5,20250728,213000,13.83,13.83,13.83,13.83,100,0
OPBK.US,5,20250728,213500,13.85,13.85,13.83,13.83,200,0
OPBK.US,5,20250728,214000,13.81,13.825,13.81,13.825,400,0
OPBK.US,5,20250728,214500,13.83,13.85,13.83,13.85,1185,0
OPBK.US,5,20250728,215000,13.84,13.87,13.84,13.84,353,0
OPBK.US,5,20250728,215500,13.84,13.84,13.8,13.8,11055,0
OPBK.US,5,20250729,153000,13.95,13.95,13.95,13.95,380,0
OPBK.US,5,20250729,153500,13.8,13.8,13.79,13.79,200,0
OPBK.US,5,20250729,154500,13.86,13.86,13.827,13.827,207,0
OPBK.US,5,20250729,155000,13.75,13.75,13.75,13.75,100,0
OPBK.US,5,20250729,155500,13.76,13.76,13.76,13.76,423,0
OPBK.US,5,20250729,160000,13.665,13.76,13.62,13.76,500,0
OPBK.US,5,20250729,160500,13.7831,13.7831,13.745,13.745,700,0
OPBK.US,5,20250729,162500,13.68,13.68,13.665,13.665,500,0
OPBK.US,5,20250729,163000,13.665,13.665,13.58,13.59,400,0
OPBK.US,5,20250729,163500,13.57,13.57,13.57,13.57,200,0
OPBK.US,5,20250729,164000,13.61,13.61,13.61,13.61,100,0
OPBK.US,5,20250729,164500,13.57,13.57,13.57,13.57,100,0
OPBK.US,5,20250729,165000,13.57,13.57,13.57,13.57,100,0
OPBK.US,5,20250729,165500,13.565,13.565,13.565,13.565,200,0
OPBK.US,5,20250729,170000,13.565,13.565,13.565,13.565,100,0
OPBK.US,5,20250729,170500,13.565,13.6,13.565,13.6,300,0
OPBK.US,5,20250729,171500,13.555,13.555,13.555,13.555,100,0
OPBK.US,5,20250729,173000,13.52,13.59,13.52,13.535,300,0
OPBK.US,5,20250729,174500,13.53,13.53,13.53,13.53,100,0
OPBK.US,5,20250729,175000,13.52,13.55,13.52,13.55,400,0
OPBK.US,5,20250729,180000,13.54,13.54,13.54,13.54,100,0
OPBK.US,5,20250729,180500,13.51,13.51,13.51,13.51,100,0
OPBK.US,5,20250729,182000,13.4905,13.495,13.4905,13.495,2100,0
OPBK.US,5,20250729,184000,13.5,13.5,13.5,13.5,100,0
OPBK.US,5,20250729,184500,13.495,13.495,13.495,13.495,100,0
OPBK.US,5,20250729,185000,13.495,13.495,13.47,13.47,300,0
OPBK.US,5,20250729,185500,13.47,13.47,13.43,13.43,1289,0
OPBK.US,5,20250729,191000,13.47,13.48,13.47,13.48,727,0
OPBK.US,5,20250729,191500,13.48,13.48,13.48,13.48,100,0
OPBK.US,5,20250729,193500,13.42,13.455,13.42,13.455,200,0
OPBK.US,5,20250729,195000,13.41,13.41,13.35,13.35,1892,0
OPBK.US,5,20250729,195500,13.42,13.42,13.42,13.42,100,0
OPBK.US,5,20250729,200000,13.4365,13.4365,13.4365,13.4365,700,0
OPBK.US,5,20250729,200500,13.405,13.405,13.405,13.405,200,0
OPBK.US,5,20250729,201000,13.405,13.405,13.4,13.4,1417,0
OPBK.US,5,20250729,203000,13.43,13.43,13.43,13.43,200,0
OPBK.US,5,20250729,204000,13.38,13.38,13.34,13.34,913,0
OPBK.US,5,20250729,205500,13.35,13.35,13.3201,13.3201,3100,0
OPBK.US,5,20250729,210000,13.35,13.35,13.35,13.35,100,0
OPBK.US,5,20250729,211000,13.32,13.32,13.32,13.32,616,0
OPBK.US,5,20250729,211500,13.27,13.27,13.255,13.255,602,0
OPBK.US,5,20250729,212500,13.27,13.27,13.26,13.26,1500,0
OPBK.US,5,20250729,213000,13.265,13.3,13.265,13.285,1680,0
OPBK.US,5,20250729,214000,13.27,13.27,13.18,13.18,1399,0
OPBK.US,5,20250729,214500,13.16,13.16,13.15,13.15,600,0
OPBK.US,5,20250729,215000,13.16,13.19,13.14,13.14,1000,0
OPBK.US,5,20250729,215500,13.16,13.185,13.1,13.14,17998,0
OPBK.US,5,20250730,153000,13.13,13.175,13.13,13.175,2218,0
OPBK.US,5,20250730,153500,13.105,13.17,13.07,13.07,6251,0
OPBK.US,5,20250730,154000,13.106,13.14,12.9421,13.01,1515,0
OPBK.US,5,20250730,154500,13.075,13.075,12.98,13,900,0
OPBK.US,5,20250730,155000,12.9309,13,12.9309,13,450,0
OPBK.US,5,20250730,155500,13,13,13,13,400,0
OPBK.US,5,20250730,160500,13,13.02,13,13.02,402,0
OPBK.US,5,20250730,161000,13.025,13.025,13.025,13.025,100,0
OPBK.US,5,20250730,162000,13,13.025,13,13.025,219,0
OPBK.US,5,20250730,162500,13,13.04,13,13,4563,0
OPBK.US,5,20250730,163000,13.15,13.15,13.15,13.15,100,0
OPBK.US,5,20250730,172000,13.1,13.1,13.1,13.1,100,0
OPBK.US,5,20250730,172500,13.135,13.135,13.1,13.1,400,0
OPBK.US,5,20250730,173000,13.1,13.1,13.1,13.1,199,0
OPBK.US,5,20250730,174000,13.07,13.095,13.06,13.095,1049,0
OPBK.US,5,20250730,174500,13.015,13.015,13.015,13.015,100,0
OPBK.US,5,20250730,175500,13.07,13.07,13.07,13.07,596,0
OPBK.US,5,20250730,180000,13.07,13.07,13.07,13.07,100,0
OPBK.US,5,20250730,180500,13.07,13.07,13.07,13.07,100,0
OPBK.US,5,20250730,181000,13.09,13.09,13.09,13.09,100,0
OPBK.US,5,20250730,181500,13.09,13.12,13.09,13.12,1200,0
OPBK.US,5,20250730,182000,13.12,13.12,13.12,13.12,100,0
OPBK.US,5,20250730,183000,13.17,13.205,13.14,13.19,9886,0
OPBK.US,5,20250730,183500,13.19,13.215,13.19,13.215,200,0
OPBK.US,5,20250730,184000,13.18,13.18,13.1,13.1,693,0
OPBK.US,5,20250730,190000,13.078,13.115,13.078,13.115,369,0
OPBK.US,5,20250730,191500,13.145,13.15,13.145,13.15,300,0
OPBK.US,5,20250730,192500,13.115,13.115,13.115,13.115,100,0
OPBK.US,5,20250730,193000,13.08,13.16,13.08,13.16,200,0
OPBK.US,5,20250730,193500,13.13,13.13,13.13,13.13,100,0
OPBK.US,5,20250730,194000,13.15,13.15,13.15,13.15,100,0
OPBK.US,5,20250730,194500,13.18,13.18,13.18,13.18,300,0
OPBK.US,5,20250730,195000,13.1501,13.1501,13.15,13.15,319,0
OPBK.US,5,20250730,195500,13.14,13.16,13.14,13.15,300,0
OPBK.US,5,20250730,200000,13.14,13.14,13.12,13.12,901,0
OPBK.US,5,20250730,200500,13.16,13.16,13.16,13.16,671,0
OPBK.US,5,20250730,201000,13.16,13.16,13.16,13.16,200,0
OPBK.US,5,20250730,201500,13.15,13.15,13.08,13.1,2998,0
OPBK.US,5,20250730,202000,13.07,13.07,13.05,13.05,1712,0
OPBK.US,5,20250730,202500,13.07,13.07,13.07,13.07,100,0
OPBK.US,5,20250730,203500,13.06,13.06,13.06,13.06,100,0
OPBK.US,5,20250730,204000,13.02,13.02,13.02,13.02,100,0
OPBK.US,5,20250730,204500,13.01,13.01,12.955,12.955,500,0
OPBK.US,5,20250730,205000,12.97,12.97,12.97,12.97,100,0
OPBK.US,5,20250730,205500,12.92,12.92,12.91,12.91,300,0
OPBK.US,5,20250730,210000,12.855,12.855,12.855,12.855,200,0
OPBK.US,5,20250730,210500,12.84,12.84,12.84,12.84,100,0
OPBK.US,5,20250730,211500,12.83,12.83,12.78,12.78,200,0
OPBK.US,5,20250730,212000,12.78,12.78,12.78,12.78,100,0
OPBK.US,5,20250730,212500,12.799,12.8,12.799,12.8,400,0
OPBK.US,5,20250730,213000,12.83,12.865,12.83,12.865,853,0
OPBK.US,5,20250730,213500,12.865,12.865,12.83,12.83,300,0
OPBK.US,5,20250730,214000,12.82,12.82,12.81,12.82,1000,0
OPBK.US,5,20250730,214500,12.83,12.89,12.82,12.88,6603,0
OPBK.US,5,20250730,215000,12.8479,12.93,12.8479,12.9,5314,0
OPBK.US,5,20250730,215500,12.92,12.93,12.9,12.93,6069,0
OPBK.US,5,20250731,153000,12.81,12.81,12.81,12.81,174,0
OPBK.US,5,20250731,155500,12.91,12.91,12.91,12.91,513,0
OPBK.US,5,20250731,160000,12.805,12.93,12.805,12.9,500,0
OPBK.US,5,20250731,160500,12.87,12.87,12.87,12.87,100,0
OPBK.US,5,20250731,161000,12.86,12.895,12.86,12.895,300,0
OPBK.US,5,20250731,162500,12.86,12.86,12.8,12.845,1586,0
OPBK.US,5,20250731,163000,12.765,12.765,12.765,12.765,100,0
OPBK.US,5,20250731,163500,12.76,12.76,12.76,12.76,100,0
OPBK.US,5,20250731,164000,12.76,12.7795,12.75,12.75,994,0
OPBK.US,5,20250731,164500,12.74,12.74,12.74,12.74,200,0
OPBK.US,5,20250731,165000,12.72,12.73,12.68,12.68,1011,0
OPBK.US,5,20250731,165500,12.65,12.665,12.65,12.665,800,0
OPBK.US,5,20250731,170000,12.68,12.705,12.68,12.705,200,0
OPBK.US,5,20250731,172000,12.7,12.7,12.67,12.67,285,0
OPBK.US,5,20250731,174000,12.78,12.78,12.78,12.78,100,0
OPBK.US,5,20250731,175000,12.75,12.75,12.75,12.75,100,0
OPBK.US,5,20250731,180000,12.75,12.75,12.75,12.75,100,0
OPBK.US,5,20250731,180500,12.735,12.735,12.735,12.735,100,0
OPBK.US,5,20250731,181000,12.73,12.73,12.73,12.73,100,0
OPBK.US,5,20250731,184500,12.71,12.71,12.71,12.71,100,0
OPBK.US,5,20250731,191500,12.68,12.68,12.67,12.67,500,0
OPBK.US,5,20250731,192000,12.68,12.71,12.68,12.7,600,0
OPBK.US,5,20250731,192500,12.69,12.69,12.65,12.65,300,0
OPBK.US,5,20250731,193000,12.665,12.665,12.665,12.665,100,0
OPBK.US,5,20250731,193500,12.68,12.69,12.68,12.69,200,0
OPBK.US,5,20250731,201000,12.66,12.66,12.65,12.65,200,0
OPBK.US,5,20250731,201500,12.64,12.64,12.64,12.64,100,0
OPBK.US,5,20250731,202000,12.67,12.67,12.67,12.67,100,0
OPBK.US,5,20250731,205000,12.665,12.665,12.665,12.665,100,0
OPBK.US,5,20250731,205500,12.73,12.73,12.7,12.7,200,0
OPBK.US,5,20250731,210000,12.68,12.7,12.68,12.7,300,0
OPBK.US,5,20250731,210500,12.72,12.75,12.72,12.75,300,0
OPBK.US,5,20250731,212000,12.69,12.69,12.69,12.69,100,0
OPBK.US,5,20250731,212500,12.7,12.79,12.7,12.79,970,0
OPBK.US,5,20250731,213000,12.76,12.77,12.73,12.77,3000,0
OPBK.US,5,20250731,213500,12.775,12.78,12.76,12.76,500,0
OPBK.US,5,20250731,214000,12.74,12.78,12.72,12.78,4361,0
OPBK.US,5,20250731,214500,12.765,12.84,12.765,12.78,4687,0
OPBK.US,5,20250731,215000,12.79,12.83,12.757,12.82,1518,0
OPBK.US,5,20250731,215500,12.82,12.82,12.77,12.77,3389,0
OPBK.US,5,20250801,153000,12.8,12.8,12.75,12.75,7277,0
OPBK.US,5,20250801,153500,12.65,12.65,12.63,12.65,417,0
OPBK.US,5,20250801,154000,12.6,12.6,12.56,12.57,1805,0
OPBK.US,5,20250801,154500,12.51,12.51,12.5,12.5,200,0
OPBK.US,5,20250801,155000,12.5,12.5,12.495,12.495,200,0
OPBK.US,5,20250801,155500,12.515,12.515,12.44,12.44,684,0
OPBK.US,5,20250801,161000,12.49,12.49,12.49,12.49,200,0
OPBK.US,5,20250801,162500,12.54,12.55,12.54,12.545,300,0
OPBK.US,5,20250801,164500,12.52,12.52,12.52,12.52,100,0
OPBK.US,5,20250801,170500,12.49,12.49,12.47,12.49,500,0
OPBK.US,5,20250801,171000,12.49,12.49,12.49,12.49,100,0
OPBK.US,5,20250801,171500,12.52,12.53,12.52,12.52,637,0
OPBK.US,5,20250801,172500,12.47,12.47,12.44,12.44,1900,0
OPBK.US,5,20250801,173000,12.45,12.46,12.45,12.46,200,0
OPBK.US,5,20250801,174000,12.535,12.535,12.535,12.535,200,0
OPBK.US,5,20250801,174500,12.56,12.56,12.56,12.56,200,0
OPBK.US,5,20250801,175500,12.56,12.58,12.56,12.58,498,0
OPBK.US,5,20250801,181000,12.56,12.56,12.56,12.56,100,0
OPBK.US,5,20250801,182000,12.56,12.56,12.56,12.56,100,0
OPBK.US,5,20250801,183000,12.61,12.61,12.58,12.58,200,0
OPBK.US,5,20250801,183500,12.61,12.61,12.605,12.605,200,0
OPBK.US,5,20250801,184000,12.57,12.61,12.57,12.61,900,0
OPBK.US,5,20250801,184500,12.62,12.64,12.572,12.64,2900,0
OPBK.US,5,20250801,185000,12.65,12.665,12.65,12.665,600,0
OPBK.US,5,20250801,185500,12.665,12.665,12.62,12.62,1308,0
OPBK.US,5,20250801,190000,12.58,12.595,12.56,12.56,2355,0
OPBK.US,5,20250801,192500,12.6,12.6,12.56,12.56,300,0
OPBK.US,5,20250801,193000,12.5902,12.5902,12.58,12.58,225,0
OPBK.US,5,20250801,193500,12.61,12.61,12.6,12.6,300,0
OPBK.US,5,20250801,195500,12.58,12.58,12.58,12.58,144,0
OPBK.US,5,20250801,200000,12.62,12.62,12.62,12.62,100,0
OPBK.US,5,20250801,201000,12.5933,12.5933,12.58,12.58,205,0
OPBK.US,5,20250801,201500,12.6,12.6,12.6,12.6,200,0
OPBK.US,5,20250801,203000,12.665,12.67,12.665,12.67,435,0
OPBK.US,5,20250801,203500,12.67,12.67,12.64,12.64,200,0
OPBK.US,5,20250801,204000,12.68,12.68,12.68,12.68,100,0
OPBK.US,5,20250801,210000,12.64,12.69,12.64,12.69,600,0
OPBK.US,5,20250801,210500,12.7,12.73,12.7,12.73,200,0
OPBK.US,5,20250801,211000,12.71,12.71,12.71,12.71,100,0
OPBK.US,5,20250801,211500,12.695,12.695,12.695,12.695,101,0
OPBK.US,5,20250801,212500,12.69,12.69,12.69,12.69,200,0
OPBK.US,5,20250801,213000,12.7,12.71,12.69,12.695,2110,0
OPBK.US,5,20250801,213500,12.6776,12.6776,12.67,12.67,349,0
OPBK.US,5,20250801,214000,12.6881,12.6881,12.6881,12.6881,523,0
OPBK.US,5,20250801,214500,12.685,12.7351,12.685,12.725,2300,0
OPBK.US,5,20250801,215000,12.7353,12.7693,12.705,12.74,2925,0
OPBK.US,5,20250801,215500,12.74,12.82,12.72,12.79,7293,0
OPBK.US,5,20250804,153000,12.89,12.92,12.875,12.875,1205,0
OPBK.US,5,20250804,153500,12.87,12.8728,12.8,12.86,1589,0
OPBK.US,5,20250804,154000,12.87,12.88,12.84,12.84,800,0
OPBK.US,5,20250804,154500,12.86,12.86,12.86,12.86,100,0
OPBK.US,5,20250804,155000,12.9444,12.9444,12.885,12.885,1100,0
OPBK.US,5,20250804,155500,12.83,12.83,12.83,12.83,100,0
OPBK.US,5,20250804,162000,12.851,12.851,12.851,12.851,169,0
OPBK.US,5,20250804,170000,12.885,12.885,12.885,12.885,100,0
OPBK.US,5,20250804,172500,12.86,12.86,12.855,12.855,200,0
OPBK.US,5,20250804,181000,12.8699,12.8699,12.82,12.845,2900,0
OPBK.US,5,20250804,183000,12.87,12.87,12.87,12.87,100,0
OPBK.US,5,20250804,190000,12.92,12.92,12.92,12.92,100,0
OPBK.US,5,20250804,191000,12.91,12.91,12.89,12.89,2900,0
OPBK.US,5,20250804,191500,12.9,12.9,12.9,12.9,200,0
OPBK.US,5,20250804,192000,12.885,12.9,12.885,12.9,300,0
OPBK.US,5,20250804,194500,12.95,12.98,12.95,12.97,518,0
OPBK.US,5,20250804,200000,12.96,12.96,12.96,12.96,100,0
OPBK.US,5,20250804,200500,12.94,12.94,12.925,12.925,300,0
OPBK.US,5,20250804,201000,12.94,12.94,12.94,12.94,100,0
OPBK.US,5,20250804,202000,12.9286,12.9286,12.9286,12.9286,133,0
OPBK.US,5,20250804,205000,12.94,12.95,12.89,12.91,1257,0
OPBK.US,5,20250804,205500,12.88,12.88,12.83,12.85,3693,0
