<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPENZ.US,5,20251125,153000,0.9275,1.45,0.9226,1.4038,1082359,0
OPENZ.US,5,20251125,153500,1.38,2,1.31,1.69,1564760,0
OPENZ.US,5,20251125,154000,1.7,1.73,1.35,1.45,630599,0
OPENZ.US,5,20251125,154500,1.45,1.4699,1.28,1.4,313001,0
OPENZ.US,5,20251125,155000,1.3997,1.46,1.3206,1.42,188940,0
OPENZ.US,5,20251125,155500,1.45,1.45,1.32,1.33,280060,0
OPENZ.US,5,20251125,160000,1.39,1.39,1.27,1.295,159378,0
OPENZ.US,5,20251125,160500,1.2901,1.3,1.2,1.232,128379,0
OPENZ.US,5,20251125,161000,1.2319,1.25,1.16,1.17,87919,0
OPENZ.US,5,20251125,161500,1.1989,1.1999,1.16,1.16,65054,0
OPENZ.US,5,20251125,162000,1.18,1.2,1.1501,1.1501,44747,0
OPENZ.US,5,20251125,162500,1.1599,1.17,1.11,1.135,109847,0
OPENZ.US,5,20251125,163000,1.12,1.22,1.12,1.2,155502,0
OPENZ.US,5,20251125,163500,1.19,1.1999,1.1,1.1,72119,0
OPENZ.US,5,20251125,164000,1.11,1.1198,1.03,1.05,63030,0
OPENZ.US,5,20251125,164500,1.05,1.08,1.04,1.0401,74376,0
OPENZ.US,5,20251125,165000,1.05,1.06,0.97,0.9885,288413,0
OPENZ.US,5,20251125,165500,0.9999,1.01,0.943251,1,155429,0
OPENZ.US,5,20251125,170000,1.005,1.0788,0.99,1.0199,100033,0
OPENZ.US,5,20251125,170500,1.0199,1.0199,1,1.005,30412,0
OPENZ.US,5,20251125,171000,1,1.01,0.97,0.98505,64725,0
OPENZ.US,5,20251125,171500,0.98505,0.9998,0.98,0.981,18714,0
OPENZ.US,5,20251125,172000,0.981,0.9997,0.98,0.9897,27045,0
OPENZ.US,5,20251125,172500,0.9898,0.9898,0.95,0.95,89857,0
OPENZ.US,5,20251125,173000,0.95,0.97,0.95,0.95,132216,0
OPENZ.US,5,20251125,173500,0.951,0.9605,0.95,0.95,53907,0
OPENZ.US,5,20251125,174000,0.95,0.9551,0.94,0.94,33359,0
OPENZ.US,5,20251125,174500,0.9425,0.9477,0.93,0.9477,52461,0
OPENZ.US,5,20251125,175000,0.9477,0.9599,0.93,0.955,46903,0
OPENZ.US,5,20251125,175500,0.955,0.98,0.95,0.95,74685,0
OPENZ.US,5,20251125,180000,0.9599,0.9747,0.95,0.9747,79701,0
OPENZ.US,5,20251125,180500,0.9749,1.03,0.965,1.0199,90403,0
OPENZ.US,5,20251125,181000,0.9976,1.0099,0.99,0.99,21871,0
OPENZ.US,5,20251125,181500,1,1.01,0.99,0.995,23613,0
OPENZ.US,5,20251125,182000,0.9999,1.0099,0.99,0.9999,22837,0
OPENZ.US,5,20251125,182500,0.9971,0.9999,0.98,0.9901,20728,0
OPENZ.US,5,20251125,183000,0.995,0.9998,0.98,0.9826,24872,0
OPENZ.US,5,20251125,183500,0.97525,0.9852,0.965,0.9653,35371,0
OPENZ.US,5,20251125,184000,0.965,0.9852,0.965,0.9725,12064,0
OPENZ.US,5,20251125,184500,0.98,0.98,0.95,0.95,99147,0
OPENZ.US,5,20251125,185000,0.951101,0.96,0.935,0.93625,42366,0
OPENZ.US,5,20251125,185500,0.932,0.96,0.93,0.9372,17260,0
OPENZ.US,5,20251125,190000,0.9372,0.9549,0.9352,0.9452,21266,0
OPENZ.US,5,20251125,190500,0.955,0.955,0.9275,0.93,26431,0
OPENZ.US,5,20251125,191000,0.9393,0.9511,0.9302,0.94,18165,0
OPENZ.US,5,20251125,191500,0.94005,0.9541,0.94,0.9541,14741,0
OPENZ.US,5,20251125,192000,0.9502,0.9634,0.94,0.9634,90364,0
OPENZ.US,5,20251125,192500,0.9617,0.9999,0.96,0.9955,357153,0
OPENZ.US,5,20251125,193000,0.985,1,0.9715,1,15747,0
OPENZ.US,5,20251125,193500,0.99,1,0.98,0.99,63288,0
OPENZ.US,5,20251125,194000,0.9927,1.0099,0.9808,0.9904,43473,0
OPENZ.US,5,20251125,194500,0.9808,0.9808,0.96,0.9699,49708,0
OPENZ.US,5,20251125,195000,0.9601,0.9834,0.94,0.952,50900,0
OPENZ.US,5,20251125,195500,0.9599,0.9918,0.94,0.9856,27451,0
OPENZ.US,5,20251125,200000,0.9692,0.986,0.935,0.9538,27441,0
OPENZ.US,5,20251125,200500,0.9537,0.9538,0.93,0.934912,20828,0
OPENZ.US,5,20251125,201000,0.932,0.9572,0.93,0.935,16279,0
OPENZ.US,5,20251125,201500,0.935,0.9572,0.93,0.93,38153,0
OPENZ.US,5,20251125,202000,0.93,0.9425,0.92,0.9419,36725,0
OPENZ.US,5,20251125,202500,0.9419,0.9549,0.92,0.9206,26206,0
OPENZ.US,5,20251125,203000,0.9296,0.9548,0.9206,0.9352,12723,0
OPENZ.US,5,20251125,203500,0.9443,0.9444,0.93,0.9372,11582,0
OPENZ.US,5,20251125,204000,0.94,0.94,0.92,0.93205,6122,0
OPENZ.US,5,20251125,204500,0.9325,0.9394,0.91,0.91,81209,0
OPENZ.US,5,20251125,205000,0.9151,0.9279,0.904,0.904,47797,0
OPENZ.US,5,20251125,205500,0.9161,0.92,0.904,0.92,33419,0
OPENZ.US,5,20251125,210000,0.92,0.943,0.91,0.9196,345818,0
OPENZ.US,5,20251125,210500,0.93,0.9349,0.904,0.91,165768,0
OPENZ.US,5,20251125,211000,0.91,0.92,0.9032,0.92,36472,0
