<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCRX.US,5,20250728,153000,22.55,22.67,22.31,22.67,9040,0
PCRX.US,5,20250728,154000,22.495,22.5,22.395,22.395,1696,0
PCRX.US,5,20250728,154500,22.4,22.41,22.285,22.285,1542,0
PCRX.US,5,20250728,155000,22.345,22.42,22.345,22.42,2115,0
PCRX.US,5,20250728,155500,22.435,22.445,22.36,22.445,3710,0
PCRX.US,5,20250728,160000,22.485,22.55,22.45,22.55,610,0
PCRX.US,5,20250728,160500,22.61,22.61,22.4706,22.52,1403,0
PCRX.US,5,20250728,161000,22.51,22.53,22.5,22.53,2144,0
PCRX.US,5,20250728,161500,22.505,22.505,22.33,22.33,2364,0
PCRX.US,5,20250728,162000,22.32,22.33,22.26,22.26,1400,0
PCRX.US,5,20250728,162500,22.29,22.42,22.29,22.42,4819,0
PCRX.US,5,20250728,163000,22.455,22.455,22.35,22.35,2033,0
PCRX.US,5,20250728,163500,22.38,22.38,22.29,22.29,2000,0
PCRX.US,5,20250728,164000,22.25,22.255,22.24,22.255,917,0
PCRX.US,5,20250728,164500,22.26,22.26,22.2,22.24,2514,0
PCRX.US,5,20250728,165000,22.25,22.25,22.18,22.18,2446,0
PCRX.US,5,20250728,165500,22.16,22.29,22.16,22.29,1227,0
PCRX.US,5,20250728,170000,22.3,22.3,22.285,22.285,722,0
PCRX.US,5,20250728,170500,22.31,22.34,22.3,22.31,1100,0
PCRX.US,5,20250728,171000,22.305,22.34,22.28,22.33,3750,0
PCRX.US,5,20250728,171500,22.34,22.345,22.3,22.3,2012,0
PCRX.US,5,20250728,172000,22.33,22.34,22.33,22.33,1225,0
PCRX.US,5,20250728,172500,22.34,22.375,22.31,22.375,3582,0
PCRX.US,5,20250728,173000,22.37,22.37,22.3,22.36,6271,0
PCRX.US,5,20250728,173500,22.35,22.39,22.35,22.39,1200,0
PCRX.US,5,20250728,174000,22.38,22.4,22.36,22.38,1100,0
PCRX.US,5,20250728,174500,22.365,22.45,22.365,22.45,2229,0
PCRX.US,5,20250728,175000,22.46,22.46,22.39,22.39,1329,0
PCRX.US,5,20250728,175500,22.45,22.49,22.42,22.49,1900,0
PCRX.US,5,20250728,180000,22.49,22.55,22.46,22.47,11794,0
PCRX.US,5,20250728,180500,22.49,22.49,22.49,22.49,175,0
PCRX.US,5,20250728,181000,22.5,22.6,22.5,22.5795,2532,0
PCRX.US,5,20250728,181500,22.56,22.59,22.56,22.5679,6504,0
PCRX.US,5,20250728,182000,22.6,22.6,22.44,22.44,17086,0
PCRX.US,5,20250728,182500,22.38,22.46,22.37,22.435,1300,0
PCRX.US,5,20250728,183000,22.435,22.435,22.37,22.37,1800,0
PCRX.US,5,20250728,183500,22.37,22.37,22.37,22.37,100,0
PCRX.US,5,20250728,184000,22.36,22.37,22.3,22.37,11606,0
PCRX.US,5,20250728,184500,22.38,22.4,22.37,22.37,1200,0
PCRX.US,5,20250728,185000,22.39,22.4,22.36,22.36,1700,0
PCRX.US,5,20250728,185500,22.39,22.39,22.3,22.3,5587,0
PCRX.US,5,20250728,190000,22.305,22.34,22.305,22.33,4493,0
PCRX.US,5,20250728,190500,22.33,22.33,22.24,22.24,2400,0
PCRX.US,5,20250728,191000,22.245,22.245,22.21,22.24,708,0
PCRX.US,5,20250728,191500,22.24,22.37,22.21,22.36,11801,0
PCRX.US,5,20250728,192000,22.34,22.345,22.24,22.24,2800,0
PCRX.US,5,20250728,192500,22.255,22.28,22.25,22.28,2541,0
PCRX.US,5,20250728,193000,22.27,22.28,22.27,22.28,1100,0
PCRX.US,5,20250728,193500,22.28,22.3,22.28,22.28,2500,0
PCRX.US,5,20250728,194000,22.28,22.3,22.28,22.28,2200,0
PCRX.US,5,20250728,194500,22.27,22.29,22.27,22.28,2700,0
