<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMEC.US,5,20250728,153000,1.5289,1.5289,1.5289,1.5289,100,0
PMEC.US,5,20250728,153500,1.46,1.5117,1.43,1.5117,770,0
PMEC.US,5,20250728,154000,1.43,1.47,1.42,1.47,484,0
PMEC.US,5,20250728,160000,1.47,1.47,1.47,1.47,500,0
PMEC.US,5,20250728,161500,1.4555,1.4555,1.4555,1.4555,5250,0
PMEC.US,5,20250728,163000,1.45,1.45,1.45,1.45,200,0
PMEC.US,5,20250728,163500,1.4484,1.4484,1.4484,1.4484,100,0
PMEC.US,5,20250728,164000,1.44,1.45,1.43,1.43,452,0
PMEC.US,5,20250728,164500,1.44,1.44,1.44,1.44,300,0
PMEC.US,5,20250728,165000,1.42,1.42,1.42,1.42,200,0
PMEC.US,5,20250728,170000,1.4215,1.4215,1.4215,1.4215,500,0
PMEC.US,5,20250728,172500,1.425,1.425,1.425,1.425,606,0
PMEC.US,5,20250728,173500,1.425,1.425,1.425,1.425,1000,0
PMEC.US,5,20250728,174500,1.42,1.42,1.42,1.42,100,0
PMEC.US,5,20250728,182500,1.4299,1.44,1.4299,1.4399,1923,0
PMEC.US,5,20250728,183000,1.47,1.4872,1.47,1.4777,900,0
PMEC.US,5,20250728,184000,1.46,1.4798,1.46,1.4798,568,0
PMEC.US,5,20250728,184500,1.4799,1.4799,1.47,1.47,10203,0
PMEC.US,5,20250728,190500,1.4602,1.4602,1.46,1.46,6714,0
PMEC.US,5,20250728,191000,1.455,1.455,1.455,1.455,100,0
PMEC.US,5,20250728,201000,1.43,1.47,1.43,1.47,800,0
PMEC.US,5,20250728,204500,1.47,1.47,1.47,1.47,2690,0
PMEC.US,5,20250729,153000,1.51,1.525,1.51,1.51,4710,0
PMEC.US,5,20250729,154000,1.5,1.5,1.5,1.5,300,0
PMEC.US,5,20250729,161500,1.48,1.48,1.48,1.48,200,0
PMEC.US,5,20250729,185000,1.4871,1.4871,1.4871,1.4871,400,0
PMEC.US,5,20250729,193000,1.48,1.48,1.48,1.48,100,0
PMEC.US,5,20250729,200000,1.4794,1.48,1.4794,1.4799,1700,0
PMEC.US,5,20250729,201000,1.5,1.5,1.5,1.5,100,0
PMEC.US,5,20250729,215500,1.47,1.49,1.45,1.49,4800,0
PMEC.US,5,20250730,153000,1.47,1.47,1.4324,1.4324,3594,0
PMEC.US,5,20250730,153500,1.4317,1.4317,1.4317,1.4317,103,0
PMEC.US,5,20250730,154000,1.47,1.47,1.47,1.47,1000,0
PMEC.US,5,20250730,155000,1.4993,1.4993,1.4993,1.4993,100,0
PMEC.US,5,20250730,170000,1.45,1.46,1.45,1.46,200,0
PMEC.US,5,20250730,175000,1.4835,1.4835,1.4835,1.4835,100,0
PMEC.US,5,20250730,182500,1.4696,1.48,1.4696,1.48,990,0
PMEC.US,5,20250730,194500,1.4597,1.4597,1.4597,1.4597,134,0
PMEC.US,5,20250730,215000,1.47,1.47,1.47,1.47,308,0
