<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POCI.US,5,20250728,153000,4.78,4.78,4.78,4.78,253,0
POCI.US,5,20250728,153500,4.8569,4.8569,4.8569,4.8569,1000,0
POCI.US,5,20250728,154500,4.77,4.77,4.77,4.77,100,0
POCI.US,5,20250728,215500,4.7,4.7,4.7,4.7,100,0
POCI.US,5,20250729,153000,4.69,4.7,4.69,4.7,1160,0
POCI.US,5,20250729,154500,4.7,4.7,4.7,4.7,100,0
POCI.US,5,20250729,170000,4.7,4.7,4.7,4.7,200,0
POCI.US,5,20250729,180500,4.7,4.7,4.7,4.7,100,0
POCI.US,5,20250729,215500,4.7615,4.7615,4.7615,4.7615,100,0
POCI.US,5,20250730,153000,4.63,4.63,4.63,4.63,300,0
POCI.US,5,20250730,170500,4.7,4.7,4.7,4.7,100,0
POCI.US,5,20250731,155000,4.71,4.71,4.71,4.71,100,0
POCI.US,5,20250731,162000,4.71,4.71,4.71,4.71,100,0
POCI.US,5,20250731,185500,4.71,4.71,4.7,4.7,1497,0
POCI.US,5,20250731,212000,4.6,4.65,4.6,4.65,200,0
POCI.US,5,20250731,215000,4.65,4.65,4.65,4.65,100,0
POCI.US,5,20250801,154500,4.7474,4.8113,4.7474,4.8113,3800,0
POCI.US,5,20250801,161500,4.6,4.6,4.6,4.6,1000,0
POCI.US,5,20250801,162500,4.7473,5.04,4.7473,4.94,9436,0
POCI.US,5,20250801,163000,4.8714,4.8714,4.835,4.835,5000,0
POCI.US,5,20250801,200000,4.7,4.7,4.7,4.7,800,0
POCI.US,5,20250801,204000,4.71,4.71,4.71,4.71,100,0
POCI.US,5,20250804,174500,4.65,4.65,4.65,4.65,100,0
POCI.US,5,20250804,180000,4.66,4.66,4.65,4.65,200,0
POCI.US,5,20250804,184000,4.81,4.81,4.81,4.81,156,0
POCI.US,5,20250804,190500,4.7586,4.7586,4.7586,4.7586,250,0
POCI.US,5,20250804,191000,4.75,4.785,4.75,4.75,1980,0
POCI.US,5,20250804,193500,4.7836,4.7836,4.7836,4.7836,300,0
POCI.US,5,20250804,195500,4.7501,4.7501,4.7501,4.7501,100,0
POCI.US,5,20250804,200500,4.785,4.785,4.7501,4.7543,4000,0
POCI.US,5,20250804,201000,4.7507,4.7507,4.7507,4.7507,1000,0
POCI.US,5,20250804,210000,4.78,4.78,4.78,4.78,100,0
POCI.US,5,20250804,211000,4.7579,4.7579,4.7579,4.7579,180,0
POCI.US,5,20250805,165000,4.6501,4.6501,4.59,4.59,1351,0
POCI.US,5,20250805,172000,4.6,4.6,4.6,4.6,193,0
POCI.US,5,20250805,172500,4.6,4.6,4.6,4.6,400,0
POCI.US,5,20250805,173500,4.5991,4.5991,4.5991,4.5991,100,0
POCI.US,5,20250805,180000,4.6,4.6,4.6,4.6,700,0
POCI.US,5,20250805,181000,4.6,4.6,4.6,4.6,2000,0
POCI.US,5,20250805,182500,4.67,4.67,4.67,4.67,100,0
POCI.US,5,20250805,183000,4.7499,4.7499,4.7499,4.7499,1500,0
POCI.US,5,20250805,185000,4.66,4.66,4.66,4.66,200,0
POCI.US,5,20250805,185500,4.65,4.66,4.65,4.66,500,0
POCI.US,5,20250806,161000,4.68,4.68,4.68,4.68,200,0
POCI.US,5,20250806,161500,4.6054,4.6054,4.6054,4.6054,281,0
POCI.US,5,20250806,170500,4.6,4.6,4.6,4.6,250,0
POCI.US,5,20250806,175000,4.65,4.68,4.65,4.68,6576,0
POCI.US,5,20250806,175500,4.67,4.68,4.67,4.67,8501,0
POCI.US,5,20250806,180000,4.68,4.68,4.68,4.68,500,0
