<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGP.US,5,20250728,153000,5.74,5.75,5.62,5.62,15998,0
RGP.US,5,20250728,153500,5.62,5.62,5.58,5.58,3071,0
RGP.US,5,20250728,154000,5.57,5.6,5.53,5.6,6802,0
RGP.US,5,20250728,154500,5.6,5.6,5.58,5.58,1297,0
RGP.US,5,20250728,155000,5.57,5.57,5.57,5.57,1325,0
RGP.US,5,20250728,155500,5.58,5.59,5.5701,5.585,2727,0
RGP.US,5,20250728,160000,5.585,5.585,5.585,5.585,959,0
RGP.US,5,20250728,160500,5.6,5.61,5.571,5.575,14187,0
RGP.US,5,20250728,161000,5.5735,5.585,5.5735,5.5802,1158,0
RGP.US,5,20250728,161500,5.58,5.59,5.54,5.54,2958,0
RGP.US,5,20250728,162000,5.54,5.54,5.51,5.52,2530,0
RGP.US,5,20250728,162500,5.515,5.5193,5.5127,5.5127,1954,0
RGP.US,5,20250728,163000,5.5199,5.53,5.5199,5.525,1200,0
RGP.US,5,20250728,163500,5.52,5.52,5.505,5.505,1177,0
RGP.US,5,20250728,164000,5.505,5.505,5.48,5.49,4253,0
RGP.US,5,20250728,165500,5.485,5.515,5.48,5.51,2895,0
RGP.US,5,20250728,170000,5.51,5.52,5.51,5.52,500,0
RGP.US,5,20250728,170500,5.52,5.52,5.49,5.5,6271,0
RGP.US,5,20250728,171000,5.5,5.5087,5.5,5.505,2400,0
RGP.US,5,20250728,171500,5.505,5.505,5.49,5.505,1300,0
RGP.US,5,20250728,172000,5.505,5.5091,5.49,5.5091,575,0
RGP.US,5,20250728,172500,5.4902,5.4902,5.49,5.49,1845,0
RGP.US,5,20250728,173000,5.49,5.49,5.48,5.48,1740,0
RGP.US,5,20250728,173500,5.475,5.475,5.475,5.475,517,0
RGP.US,5,20250728,174000,5.47,5.47,5.45,5.45,1574,0
RGP.US,5,20250728,174500,5.4547,5.455,5.44,5.4452,1500,0
RGP.US,5,20250728,175000,5.445,5.4493,5.445,5.445,500,0
RGP.US,5,20250728,175500,5.4499,5.4499,5.44,5.4402,2649,0
RGP.US,5,20250728,180000,5.45,5.45,5.445,5.445,200,0
RGP.US,5,20250728,180500,5.45,5.455,5.45,5.4548,650,0
RGP.US,5,20250728,181000,5.455,5.455,5.455,5.455,3417,0
RGP.US,5,20250728,181500,5.46,5.48,5.46,5.47,3409,0
RGP.US,5,20250728,182000,5.47,5.47,5.47,5.47,5369,0
RGP.US,5,20250728,182500,5.47,5.47,5.47,5.47,3096,0
RGP.US,5,20250728,183000,5.46,5.478,5.45,5.465,2657,0
RGP.US,5,20250728,184500,5.45,5.45,5.42,5.42,1608,0
RGP.US,5,20250728,185000,5.43,5.43,5.43,5.43,500,0
RGP.US,5,20250728,185500,5.42,5.42,5.405,5.405,1500,0
RGP.US,5,20250728,190000,5.405,5.41,5.405,5.405,500,0
RGP.US,5,20250728,190500,5.4099,5.4099,5.3802,5.3901,2040,0
RGP.US,5,20250728,191000,5.39,5.39,5.39,5.39,300,0
RGP.US,5,20250728,191500,5.39,5.39,5.37,5.37,1304,0
RGP.US,5,20250728,192000,5.37,5.37,5.37,5.37,800,0
RGP.US,5,20250728,192500,5.37,5.37,5.355,5.355,644,0
RGP.US,5,20250728,193000,5.35,5.35,5.345,5.345,1500,0
RGP.US,5,20250728,193500,5.345,5.345,5.33,5.33,700,0
RGP.US,5,20250728,194000,5.32,5.32,5.2835,5.285,4743,0
RGP.US,5,20250728,194500,5.285,5.2893,5.285,5.285,1400,0
RGP.US,5,20250728,195000,5.28,5.28,5.265,5.265,1306,0
RGP.US,5,20250728,195500,5.26,5.26,5.235,5.235,4589,0
RGP.US,5,20250728,200000,5.235,5.2399,5.235,5.2399,698,0
RGP.US,5,20250728,200500,5.23,5.23,5.23,5.23,600,0
RGP.US,5,20250728,201000,5.2335,5.2394,5.2252,5.2252,2798,0
RGP.US,5,20250728,202000,5.22,5.2292,5.22,5.2292,1421,0
RGP.US,5,20250728,202500,5.22,5.28,5.215,5.28,7149,0
RGP.US,5,20250728,203000,5.28,5.29,5.28,5.28,852,0
RGP.US,5,20250728,203500,5.29,5.2907,5.28,5.2907,600,0
RGP.US,5,20250728,204500,5.29,5.29,5.275,5.275,2887,0
RGP.US,5,20250728,205000,5.27,5.28,5.27,5.28,200,0
RGP.US,5,20250728,205500,5.28,5.28,5.26,5.26,1997,0
RGP.US,5,20250728,210000,5.26,5.285,5.255,5.285,15618,0
RGP.US,5,20250728,210500,5.285,5.285,5.265,5.27,4594,0
RGP.US,5,20250728,211000,5.265,5.265,5.26,5.26,799,0
RGP.US,5,20250728,211500,5.25,5.25,5.25,5.25,1377,0
RGP.US,5,20250728,212000,5.24,5.24,5.235,5.24,3370,0
RGP.US,5,20250728,212500,5.245,5.245,5.235,5.235,1100,0
RGP.US,5,20250728,213000,5.23,5.235,5.2293,5.235,1811,0
RGP.US,5,20250728,213500,5.235,5.2393,5.23,5.2393,887,0
RGP.US,5,20250728,214500,5.23,5.23,5.21,5.215,4424,0
RGP.US,5,20250728,215000,5.21,5.215,5.1833,5.1833,9145,0
RGP.US,5,20250728,215500,5.19,5.2,5.17,5.19,68349,0
RGP.US,5,20250729,153000,5.23,5.265,5.19,5.19,5986,0
RGP.US,5,20250729,153500,5.18,5.19,5.18,5.19,402,0
RGP.US,5,20250729,154000,5.19,5.19,5.15,5.16,1111,0
RGP.US,5,20250729,154500,5.15,5.15,5.15,5.15,100,0
RGP.US,5,20250729,155000,5.14,5.1439,5.12,5.12,3345,0
RGP.US,5,20250729,155500,5.12,5.15,5.11,5.145,5586,0
RGP.US,5,20250729,160000,5.1301,5.16,5.13,5.16,3099,0
RGP.US,5,20250729,160500,5.15,5.15,5.1446,5.15,500,0
RGP.US,5,20250729,161000,5.145,5.145,5.13,5.13,400,0
RGP.US,5,20250729,161500,5.125,5.125,5.1,5.1,1500,0
RGP.US,5,20250729,162000,5.1,5.1,5.1,5.1,500,0
RGP.US,5,20250729,162500,5.11,5.13,5.11,5.125,2152,0
RGP.US,5,20250729,163000,5.12,5.12,5.095,5.095,900,0
RGP.US,5,20250729,163500,5.09,5.09,5.07,5.07,1115,0
RGP.US,5,20250729,164000,5.0752,5.079,5.065,5.065,1870,0
