<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROCK.US,5,20250728,153000,66.12,66.295,65.81,65.855,1945,0
ROCK.US,5,20250728,154500,66.04,66.04,65.4809,66.03,392,0
ROCK.US,5,20250728,155000,66.03,66.03,65.725,65.725,1300,0
ROCK.US,5,20250728,155500,65.66,65.66,65.66,65.66,300,0
ROCK.US,5,20250728,160500,65.975,66.23,65.87,66.23,700,0
ROCK.US,5,20250728,161000,66.06,66.06,65.865,65.865,200,0
ROCK.US,5,20250728,162000,65.865,65.865,65.835,65.835,1767,0
ROCK.US,5,20250728,162500,65.63,65.985,65.63,65.985,300,0
ROCK.US,5,20250728,163000,65.765,65.91,65.68,65.68,600,0
ROCK.US,5,20250728,164500,65.99,66,65.97,66,500,0
ROCK.US,5,20250728,165000,66,66.145,66,66.125,1966,0
ROCK.US,5,20250728,165500,65.975,66.02,65.915,65.915,2902,0
ROCK.US,5,20250728,170000,65.85,65.97,65.83,65.97,2881,0
ROCK.US,5,20250728,170500,65.96,65.965,65.96,65.965,800,0
ROCK.US,5,20250728,171000,65.92,65.92,65.92,65.92,200,0
ROCK.US,5,20250728,171500,66.01,66.02,65.91,65.92,4390,0
ROCK.US,5,20250728,172000,65.985,66.13,65.985,66.07,500,0
ROCK.US,5,20250728,172500,66.01,66.02,65.975,65.975,800,0
ROCK.US,5,20250728,173000,65.96,65.96,65.96,65.96,636,0
ROCK.US,5,20250728,173500,65.98,65.995,65.85,65.87,6176,0
ROCK.US,5,20250728,174000,65.87,65.87,65.87,65.87,300,0
ROCK.US,5,20250728,174500,65.88,65.88,65.77,65.77,2200,0
ROCK.US,5,20250728,175500,65.895,65.895,65.895,65.895,600,0
ROCK.US,5,20250728,180000,65.885,65.885,65.88,65.88,200,0
ROCK.US,5,20250728,180500,65.97,66.19,65.97,66.19,1408,0
ROCK.US,5,20250728,181000,66.145,66.18,66.145,66.18,400,0
ROCK.US,5,20250728,181500,66.2,66.27,66.2,66.2,300,0
ROCK.US,5,20250728,182000,66.195,66.23,66.19,66.23,500,0
ROCK.US,5,20250728,182500,66.245,66.245,66,66.06,6594,0
ROCK.US,5,20250728,183000,66.02,66.02,65.96,65.975,1000,0
ROCK.US,5,20250728,183500,65.97,65.97,65.955,65.97,300,0
ROCK.US,5,20250728,184000,65.93,65.96,65.895,65.945,700,0
ROCK.US,5,20250728,184500,65.92,65.92,65.855,65.855,200,0
ROCK.US,5,20250728,185500,65.94,65.94,65.88,65.88,500,0
ROCK.US,5,20250728,190000,65.885,65.97,65.885,65.945,3300,0
