<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROST.US,5,20250728,153000,138.78,140,138.675,139.925,32766,0
ROST.US,5,20250728,153500,139.89,140.1,139.48,139.94,14590,0
ROST.US,5,20250728,154000,139.94,140.09,139.63,140.0149,9754,0
ROST.US,5,20250728,154500,140.1,140.1,139.57,139.61,10420,0
ROST.US,5,20250728,155000,139.6,139.72,139.47,139.47,94159,0
ROST.US,5,20250728,155500,139.46,139.48,139.24,139.24,11445,0
ROST.US,5,20250728,160000,139.24,139.77,139.21,139.67,5673,0
ROST.US,5,20250728,160500,139.77,140.22,139.74,140.17,17166,0
ROST.US,5,20250728,161000,140.15,140.3216,139.97,139.97,22500,0
ROST.US,5,20250728,161500,140.05,140.1,139.89,140.04,10666,0
ROST.US,5,20250728,162000,140.015,140.13,139.97,140.01,18930,0
ROST.US,5,20250728,162500,140.04,140.16,139.98,140.0176,22233,0
ROST.US,5,20250728,163000,140.03,140.11,139.73,139.79,46939,0
ROST.US,5,20250728,163500,139.795,139.87,139.65,139.75,7070,0
ROST.US,5,20250728,164000,139.82,139.82,139.6182,139.75,14029,0
ROST.US,5,20250728,164500,139.75,139.75,139.59,139.59,7169,0
ROST.US,5,20250728,165000,139.625,139.725,139.605,139.68,22114,0
ROST.US,5,20250728,165500,139.65,139.67,139.54,139.62,9908,0
ROST.US,5,20250728,170000,139.62,139.75,139.5,139.53,11925,0
ROST.US,5,20250728,170500,139.4906,139.6,139.32,139.48,5232,0
ROST.US,5,20250728,171000,139.43,139.52,139.25,139.45,6564,0
ROST.US,5,20250728,171500,139.4875,139.525,139.35,139.525,5353,0
ROST.US,5,20250728,172000,139.5,139.545,139.42,139.495,7956,0
ROST.US,5,20250728,172500,139.495,139.54,139.35,139.47,3605,0
ROST.US,5,20250728,173000,139.44,139.58,139.4,139.57,10144,0
ROST.US,5,20250728,173500,139.5,139.56,139.4,139.4,8286,0
ROST.US,5,20250728,174000,139.35,139.4518,139.2812,139.41,4744,0
ROST.US,5,20250728,174500,139.365,139.365,139.28,139.32,4040,0
ROST.US,5,20250728,175000,139.32,139.48,139.32,139.4438,7987,0
ROST.US,5,20250728,175500,139.48,139.56,139.48,139.56,8497,0
ROST.US,5,20250728,180000,139.53,139.535,139.35,139.46,5894,0
ROST.US,5,20250728,180500,139.49,139.57,139.475,139.555,5584,0
ROST.US,5,20250728,181000,139.55,139.55,139.445,139.445,3810,0
ROST.US,5,20250728,181500,139.5,139.51,139.45,139.5,2714,0
ROST.US,5,20250728,182000,139.495,139.545,139.41,139.54,14789,0
ROST.US,5,20250728,182500,139.54,139.54,139.345,139.35,5426,0
ROST.US,5,20250728,183000,139.37,139.44,139.33,139.38,3405,0
ROST.US,5,20250728,183500,139.38,139.45,139.33,139.335,3406,0
ROST.US,5,20250728,184000,139.27,139.35,139.26,139.35,3987,0
ROST.US,5,20250728,184500,139.35,139.35,139.13,139.13,2311,0
ROST.US,5,20250728,185000,139.12,139.165,138.8501,139.07,5812,0
ROST.US,5,20250728,185500,139.035,139.05,139.01,139.015,500,0
ROST.US,5,20250728,190000,139.07,139.21,139.07,139.175,5452,0
ROST.US,5,20250728,190500,139.216,139.24,139.11,139.24,4338,0
ROST.US,5,20250728,191000,139.215,139.26,139.15,139.2,2312,0
ROST.US,5,20250728,191500,139.19,139.3,139.19,139.28,11937,0
ROST.US,5,20250728,192000,139.23,139.3,139.165,139.22,18381,0
ROST.US,5,20250728,192500,139.16,139.28,139.125,139.13,28533,0
ROST.US,5,20250728,193000,139.17,139.25,139.1372,139.25,6885,0
ROST.US,5,20250728,193500,139.26,139.31,139.09,139.125,10518,0
ROST.US,5,20250728,194000,139.125,139.1335,139.06,139.11,4017,0
ROST.US,5,20250728,194500,139.085,139.16,139.085,139.15,4609,0
ROST.US,5,20250728,195000,139.17,139.24,138.995,138.995,6569,0
ROST.US,5,20250728,195500,138.985,139.03,138.89,138.93,10159,0
ROST.US,5,20250728,200000,138.98,139.21,138.925,139.05,13428,0
ROST.US,5,20250728,200500,139.16,139.16,138.9709,139.105,3071,0
