<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBRA.US,5,20250728,153000,18.16,18.26,18.155,18.24,19147,0
SBRA.US,5,20250728,153500,18.235,18.27,18.23,18.25,6577,0
SBRA.US,5,20250728,154000,18.245,18.29,18.22,18.27,10557,0
SBRA.US,5,20250728,154500,18.27,18.29,18.245,18.25,13467,0
SBRA.US,5,20250728,155000,18.26,18.29,18.24,18.24,16784,0
SBRA.US,5,20250728,155500,18.25,18.25,18.2,18.21,9279,0
SBRA.US,5,20250728,160000,18.22,18.22,18.185,18.21,13402,0
SBRA.US,5,20250728,160500,18.21,18.225,18.105,18.105,26702,0
SBRA.US,5,20250728,161000,18.105,18.15,18.105,18.145,11700,0
SBRA.US,5,20250728,161500,18.15,18.16,18.125,18.13,10400,0
SBRA.US,5,20250728,162000,18.13,18.13,18.09,18.09,7957,0
SBRA.US,5,20250728,162500,18.09,18.1244,18.09,18.115,8228,0
SBRA.US,5,20250728,163000,18.115,18.15,18.115,18.135,10829,0
SBRA.US,5,20250728,163500,18.135,18.14,18.125,18.135,9366,0
SBRA.US,5,20250728,164000,18.135,18.14,18.085,18.12,25471,0
SBRA.US,5,20250728,164500,18.11,18.14,18.105,18.14,13136,0
SBRA.US,5,20250728,165000,18.14,18.15,18.13,18.135,7022,0
SBRA.US,5,20250728,165500,18.13,18.15,18.125,18.145,25636,0
SBRA.US,5,20250728,170000,18.145,18.15,18.12,18.14,10911,0
SBRA.US,5,20250728,170500,18.14,18.14,18.12,18.135,11040,0
SBRA.US,5,20250728,171000,18.135,18.16,18.125,18.125,21175,0
SBRA.US,5,20250728,171500,18.125,18.14,18.115,18.125,11981,0
SBRA.US,5,20250728,172000,18.13,18.165,18.13,18.155,13046,0
SBRA.US,5,20250728,172500,18.155,18.155,18.125,18.145,15145,0
SBRA.US,5,20250728,173000,18.145,18.165,18.145,18.155,8228,0
SBRA.US,5,20250728,173500,18.155,18.16,18.13,18.13,9742,0
SBRA.US,5,20250728,174000,18.13,18.15,18.13,18.15,5784,0
SBRA.US,5,20250728,174500,18.145,18.15,18.135,18.135,20076,0
SBRA.US,5,20250728,175000,18.135,18.155,18.135,18.155,17827,0
SBRA.US,5,20250728,175500,18.1599,18.175,18.14,18.145,17610,0
SBRA.US,5,20250728,180000,18.15,18.155,18.135,18.135,47032,0
SBRA.US,5,20250728,180500,18.135,18.14,18.08,18.085,13830,0
SBRA.US,5,20250728,181000,18.085,18.11,18.075,18.1,14981,0
SBRA.US,5,20250728,181500,18.11,18.11,18.095,18.105,53655,0
SBRA.US,5,20250728,182000,18.11,18.13,18.105,18.1299,17403,0
SBRA.US,5,20250728,182500,18.13,18.13,18.115,18.125,25144,0
SBRA.US,5,20250728,183000,18.13,18.13,18.12,18.13,7017,0
SBRA.US,5,20250728,183500,18.13,18.13,18.07,18.075,37065,0
SBRA.US,5,20250728,184000,18.075,18.09,18.0747,18.09,23382,0
SBRA.US,5,20250728,184500,18.09,18.09,18.08,18.09,8442,0
SBRA.US,5,20250728,185000,18.085,18.09,18.08,18.085,5747,0
SBRA.US,5,20250728,185500,18.09,18.1,18.07,18.07,38533,0
SBRA.US,5,20250728,190000,18.065,18.07,18.05,18.055,31372,0
SBRA.US,5,20250728,190500,18.06,18.06,18.04,18.045,66429,0
SBRA.US,5,20250728,191000,18.045,18.05,18.03,18.045,39842,0
SBRA.US,5,20250728,191500,18.045,18.05,18.025,18.025,21600,0
SBRA.US,5,20250728,192000,18.02,18.02,17.995,18,10547,0
SBRA.US,5,20250728,192500,17.995,18.01,17.99,17.995,9631,0
SBRA.US,5,20250728,193000,17.995,18.01,17.9948,17.995,16841,0
SBRA.US,5,20250728,193500,18,18.03,18,18.03,7553,0
SBRA.US,5,20250728,194000,18.03,18.03,18.02,18.0294,4450,0
SBRA.US,5,20250728,194500,18.03,18.03,18.01,18.01,6701,0
SBRA.US,5,20250728,195000,18.015,18.03,18,18.005,6425,0
SBRA.US,5,20250728,195500,18,18,17.985,17.985,4465,0
SBRA.US,5,20250728,200000,17.985,17.99,17.965,17.965,11516,0
SBRA.US,5,20250728,200500,17.965,17.97,17.96,17.965,6720,0
SBRA.US,5,20250728,201000,17.965,17.97,17.965,17.97,2595,0
SBRA.US,5,20250728,201500,17.97,17.985,17.965,17.97,14337,0
SBRA.US,5,20250728,202000,17.97,17.97,17.955,17.97,6361,0
SBRA.US,5,20250728,202500,17.97,17.99,17.965,17.98,8852,0
SBRA.US,5,20250728,203000,17.98,18.01,17.98,18,13531,0
SBRA.US,5,20250728,203500,18,18.01,18,18.005,6406,0
SBRA.US,5,20250728,204000,18.01,18.01,18,18.005,8422,0
SBRA.US,5,20250728,204500,18.005,18.02,18,18.005,12181,0
SBRA.US,5,20250728,205000,18.01,18.01,18,18.01,6165,0
SBRA.US,5,20250728,205500,18.005,18.02,17.99,18.01,29691,0
SBRA.US,5,20250728,210000,18.005,18.01,17.99,17.995,25652,0
SBRA.US,5,20250728,210500,17.995,18,17.95,17.95,43981,0
SBRA.US,5,20250728,211000,17.945,17.945,17.94,17.945,5784,0
SBRA.US,5,20250728,211500,17.945,17.96,17.94,17.95,11885,0
SBRA.US,5,20250728,212000,17.955,17.96,17.95,17.95,8623,0
SBRA.US,5,20250728,212500,17.955,17.96,17.925,17.925,27393,0
SBRA.US,5,20250728,213000,17.925,17.94,17.9,17.9,39765,0
SBRA.US,5,20250728,213500,17.9,17.915,17.89,17.91,32039,0
SBRA.US,5,20250728,214000,17.915,17.93,17.91,17.93,23166,0
SBRA.US,5,20250728,214500,17.925,17.965,17.925,17.945,50798,0
SBRA.US,5,20250728,215000,17.94,17.985,17.94,17.98,97581,0
SBRA.US,5,20250728,215500,17.975,17.98,17.9401,17.98,482770,0
SBRA.US,5,20250729,153000,18.11,18.11,18.01,18.045,19221,0
SBRA.US,5,20250729,153500,18.04,18.08,18.015,18.03,5776,0
