<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHC.US,5,20250728,153000,12.28,12.3627,12.19,12.24,4147,0
SHC.US,5,20250728,153500,12.28,12.28,12.23,12.23,400,0
SHC.US,5,20250728,154000,12.2699,12.31,12.25,12.255,5297,0
SHC.US,5,20250728,154500,12.27,12.27,12.225,12.225,1780,0
SHC.US,5,20250728,155000,12.225,12.25,12.21,12.23,2300,0
SHC.US,5,20250728,155500,12.24,12.24,12.22,12.23,430,0
SHC.US,5,20250728,160000,12.22,12.225,12.205,12.205,3004,0
SHC.US,5,20250728,160500,12.205,12.25,12.205,12.23,4798,0
SHC.US,5,20250728,161000,12.23,12.28,12.23,12.28,3951,0
SHC.US,5,20250728,161500,12.27,12.28,12.195,12.23,5538,0
SHC.US,5,20250728,162000,12.22,12.23,12.2,12.2,1000,0
SHC.US,5,20250728,162500,12.185,12.23,12.185,12.23,4066,0
SHC.US,5,20250728,163000,12.235,12.255,12.23,12.24,5092,0
SHC.US,5,20250728,163500,12.235,12.255,12.23,12.25,2062,0
SHC.US,5,20250728,164000,12.24,12.24,12.225,12.23,2559,0
SHC.US,5,20250728,164500,12.2395,12.2395,12.22,12.23,500,0
SHC.US,5,20250728,165000,12.23,12.26,12.23,12.25,3784,0
SHC.US,5,20250728,165500,12.25,12.275,12.25,12.27,3544,0
SHC.US,5,20250728,170000,12.27,12.3,12.27,12.3,2096,0
SHC.US,5,20250728,170500,12.31,12.32,12.28,12.28,3719,0
SHC.US,5,20250728,171000,12.285,12.3,12.28,12.3,2187,0
SHC.US,5,20250728,171500,12.31,12.31,12.28,12.28,2771,0
SHC.US,5,20250728,172000,12.27,12.28,12.26,12.265,1640,0
SHC.US,5,20250728,172500,12.27,12.29,12.26,12.275,2135,0
SHC.US,5,20250728,173000,12.275,12.276,12.275,12.275,1006,0
SHC.US,5,20250728,173500,12.28,12.29,12.28,12.29,3483,0
SHC.US,5,20250728,174000,12.29,12.31,12.29,12.3,1607,0
SHC.US,5,20250728,174500,12.3,12.32,12.3,12.32,772,0
SHC.US,5,20250728,175000,12.32,12.33,12.27,12.275,7825,0
SHC.US,5,20250728,175500,12.27,12.29,12.27,12.29,2018,0
SHC.US,5,20250728,180000,12.29,12.3,12.28,12.3,1440,0
SHC.US,5,20250728,180500,12.29,12.315,12.29,12.31,5995,0
SHC.US,5,20250728,181000,12.3,12.31,12.295,12.31,6592,0
SHC.US,5,20250728,181500,12.315,12.315,12.305,12.315,5750,0
SHC.US,5,20250728,182000,12.315,12.3191,12.31,12.3191,1448,0
SHC.US,5,20250728,182500,12.31,12.31,12.28,12.28,12303,0
SHC.US,5,20250728,183000,12.28,12.305,12.28,12.295,5874,0
SHC.US,5,20250728,183500,12.3,12.305,12.3,12.305,1556,0
SHC.US,5,20250728,184000,12.3,12.3,12.29,12.295,8631,0
SHC.US,5,20250728,184500,12.295,12.295,12.27,12.275,3299,0
SHC.US,5,20250728,185000,12.275,12.285,12.27,12.28,5204,0
SHC.US,5,20250728,185500,12.28,12.28,12.26,12.27,4215,0
SHC.US,5,20250728,190000,12.28,12.33,12.28,12.315,40224,0
SHC.US,5,20250728,190500,12.32,12.335,12.3195,12.32,3806,0
SHC.US,5,20250728,191000,12.33,12.34,12.315,12.32,2259,0
SHC.US,5,20250728,191500,12.325,12.325,12.315,12.315,2297,0
SHC.US,5,20250728,192000,12.315,12.315,12.3,12.3,3777,0
SHC.US,5,20250728,192500,12.3,12.305,12.3,12.305,3775,0
SHC.US,5,20250728,193000,12.305,12.365,12.305,12.355,65381,0
SHC.US,5,20250728,193500,12.36,12.38,12.35,12.38,6564,0
SHC.US,5,20250728,194000,12.38,12.39,12.37,12.37,2571,0
SHC.US,5,20250728,194500,12.375,12.375,12.35,12.35,2906,0
SHC.US,5,20250728,195000,12.36,12.37,12.36,12.365,2000,0
SHC.US,5,20250728,195500,12.3625,12.375,12.3625,12.375,4081,0
SHC.US,5,20250728,200000,12.38,12.385,12.35,12.3525,2974,0
SHC.US,5,20250728,200500,12.35,12.36,12.3425,12.355,4318,0
SHC.US,5,20250728,201000,12.35,12.365,12.35,12.36,2758,0
SHC.US,5,20250728,201500,12.36,12.365,12.34,12.35,8966,0
SHC.US,5,20250728,202000,12.345,12.345,12.33,12.33,9153,0
SHC.US,5,20250728,202500,12.33,12.3552,12.33,12.335,19405,0
SHC.US,5,20250728,203000,12.33,12.34,12.32,12.335,5602,0
SHC.US,5,20250728,203500,12.3325,12.345,12.3325,12.345,5766,0
SHC.US,5,20250728,204000,12.345,12.355,12.34,12.345,6164,0
SHC.US,5,20250728,204500,12.34,12.345,12.33,12.33,3530,0
SHC.US,5,20250728,205000,12.33,12.335,12.31,12.3125,3422,0
SHC.US,5,20250728,205500,12.3125,12.32,12.3,12.3,8177,0
SHC.US,5,20250728,210000,12.3,12.305,12.25,12.255,67483,0
SHC.US,5,20250728,210500,12.255,12.265,12.22,12.22,17708,0
SHC.US,5,20250728,211000,12.22,12.235,12.2,12.235,13591,0
SHC.US,5,20250728,211500,12.235,12.235,12.22,12.235,6880,0
SHC.US,5,20250728,212000,12.24,12.24,12.23,12.235,3342,0
SHC.US,5,20250728,212500,12.235,12.3,12.23,12.26,99811,0
SHC.US,5,20250728,213000,12.26,12.3,12.255,12.28,50816,0
SHC.US,5,20250728,213500,12.285,12.3,12.275,12.285,18527,0
