<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHPH.US,5,20250728,153000,3.88,3.945,3.88,3.945,480,0
SHPH.US,5,20250728,153500,3.94,3.94,3.9386,3.9386,300,0
SHPH.US,5,20250728,154000,3.9399,3.99,3.9354,3.97,4844,0
SHPH.US,5,20250728,154500,3.99,3.99,3.9799,3.9799,1641,0
SHPH.US,5,20250728,155000,3.955,3.9646,3.95,3.95,316,0
SHPH.US,5,20250728,155500,3.98,4.1,3.96,4.04,6961,0
SHPH.US,5,20250728,160000,4.01,4.01,4.01,4.01,100,0
SHPH.US,5,20250728,161000,3.9687,4,3.96,4,5300,0
SHPH.US,5,20250728,161500,3.99,4.01,3.9706,4.01,3989,0
SHPH.US,5,20250728,162000,4.02,4.07,4.02,4.07,3314,0
SHPH.US,5,20250728,162500,4.0599,4.0599,4.0599,4.0599,200,0
SHPH.US,5,20250728,163500,4.02,4.02,4.02,4.02,300,0
SHPH.US,5,20250728,164500,4.02,4.0349,4.02,4.0349,1200,0
SHPH.US,5,20250728,165000,4.03,4.03,4.0299,4.03,1500,0
SHPH.US,5,20250728,165500,4.03,4.03,4.03,4.03,1266,0
SHPH.US,5,20250728,173000,4.0299,4.0299,4.005,4.005,380,0
SHPH.US,5,20250728,173500,4,4,4,4,133,0
SHPH.US,5,20250728,174000,3.9748,3.9796,3.9748,3.9796,400,0
SHPH.US,5,20250728,174500,4,4.01,4,4.0064,1401,0
SHPH.US,5,20250728,175000,4.005,4.03,4.005,4.02,900,0
SHPH.US,5,20250728,175500,4.02,4.02,4.02,4.02,153,0
SHPH.US,5,20250728,180000,4.02,4.02,4.02,4.02,273,0
SHPH.US,5,20250728,181000,4,4,4,4,488,0
SHPH.US,5,20250728,182000,3.995,3.995,3.97,3.97,290,0
SHPH.US,5,20250728,192500,4.01,4.01,3.9914,4.01,700,0
SHPH.US,5,20250728,193000,4.005,4.01,4,4.0099,983,0
SHPH.US,5,20250728,193500,4,4.01,4,4,850,0
SHPH.US,5,20250728,194500,4,4,4,4,1600,0
SHPH.US,5,20250728,195000,3.99,4,3.99,4,400,0
SHPH.US,5,20250728,195500,4.01,4.01,4.01,4.01,1001,0
