<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKIN.US,5,20250728,153000,1.79,1.79,1.7647,1.7647,3403,0
SKIN.US,5,20250728,153500,1.75,1.75,1.74,1.74,2928,0
SKIN.US,5,20250728,154000,1.745,1.745,1.73,1.745,5248,0
SKIN.US,5,20250728,154500,1.745,1.7688,1.745,1.7688,6313,0
SKIN.US,5,20250728,155000,1.76,1.77,1.75,1.75,1797,0
SKIN.US,5,20250728,155500,1.745,1.745,1.74,1.74,900,0
SKIN.US,5,20250728,160000,1.745,1.76,1.745,1.76,1373,0
SKIN.US,5,20250728,160500,1.755,1.76,1.745,1.745,1016,0
SKIN.US,5,20250728,161000,1.7407,1.75,1.7407,1.75,1202,0
SKIN.US,5,20250728,161500,1.745,1.75,1.74,1.75,2700,0
SKIN.US,5,20250728,162000,1.745,1.75,1.745,1.75,400,0
SKIN.US,5,20250728,162500,1.7473,1.755,1.7473,1.755,3259,0
SKIN.US,5,20250728,163000,1.7591,1.7591,1.7591,1.7591,300,0
SKIN.US,5,20250728,163500,1.76,1.76,1.76,1.76,100,0
SKIN.US,5,20250728,164000,1.755,1.755,1.755,1.755,100,0
SKIN.US,5,20250728,164500,1.755,1.7553,1.755,1.7553,410,0
SKIN.US,5,20250728,165000,1.7552,1.7567,1.745,1.745,6989,0
SKIN.US,5,20250728,165500,1.74,1.75,1.735,1.745,8337,0
SKIN.US,5,20250728,170000,1.745,1.745,1.735,1.735,5100,0
SKIN.US,5,20250728,170500,1.735,1.75,1.73,1.745,5520,0
SKIN.US,5,20250728,171000,1.745,1.7453,1.7407,1.7453,2245,0
SKIN.US,5,20250728,171500,1.745,1.75,1.73,1.73,5942,0
SKIN.US,5,20250728,172000,1.7307,1.7307,1.7307,1.7307,300,0
SKIN.US,5,20250728,172500,1.7312,1.735,1.7312,1.735,425,0
SKIN.US,5,20250728,173000,1.735,1.735,1.734,1.735,2411,0
SKIN.US,5,20250728,173500,1.735,1.735,1.735,1.735,1400,0
SKIN.US,5,20250728,174500,1.735,1.735,1.735,1.735,199,0
SKIN.US,5,20250728,175500,1.735,1.745,1.735,1.745,12468,0
SKIN.US,5,20250728,180500,1.7486,1.7486,1.7486,1.7486,250,0
SKIN.US,5,20250728,181000,1.74,1.74,1.74,1.74,900,0
SKIN.US,5,20250728,181500,1.745,1.745,1.745,1.745,100,0
SKIN.US,5,20250728,182000,1.74,1.74,1.74,1.74,200,0
SKIN.US,5,20250728,182500,1.745,1.745,1.745,1.745,100,0
SKIN.US,5,20250728,183500,1.74,1.7401,1.735,1.735,10422,0
SKIN.US,5,20250728,184000,1.735,1.74,1.735,1.735,1952,0
SKIN.US,5,20250728,184500,1.73,1.73,1.725,1.725,16367,0
SKIN.US,5,20250728,185000,1.725,1.73,1.725,1.725,4000,0
