<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLGB.US,5,20251015,164500,5.4,5.4594,5.1,5.15,498248,0
SLGB.US,5,20251015,165000,5.18,5.31,5.12,5.21,205810,0
SLGB.US,5,20251015,165500,5.22,5.3,5.15,5.2,156064,0
SLGB.US,5,20251015,170000,5.21,5.24,5.16,5.17,24220,0
SLGB.US,5,20251015,170500,5.17,5.2,5.16,5.18,28402,0
SLGB.US,5,20251015,171000,5.1852,5.19,5.18,5.18,5161,0
SLGB.US,5,20251015,171500,5.18,5.19,5.15,5.15,22086,0
SLGB.US,5,20251015,172000,5.1599,5.18,5.15,5.15,15549,0
SLGB.US,5,20251015,172500,5.18,5.18,5.15,5.15,45694,0
SLGB.US,5,20251015,173000,5.15,5.16,5.15,5.16,20465,0
SLGB.US,5,20251015,173500,5.15,5.2,5.15,5.2,16550,0
SLGB.US,5,20251015,174000,5.17,5.18,5.15,5.1501,12003,0
SLGB.US,5,20251015,174500,5.15,5.18,5.15,5.1765,25970,0
SLGB.US,5,20251015,175000,5.1701,5.2,5.1701,5.18,17150,0
SLGB.US,5,20251015,175500,5.18,5.18,5.16,5.16,3379,0
SLGB.US,5,20251015,180000,5.16,5.16,5.15,5.1501,16159,0
SLGB.US,5,20251015,180500,5.1575,5.16,5.15,5.16,9795,0
SLGB.US,5,20251015,181000,5.16,5.17,5.15,5.16,6222,0
SLGB.US,5,20251015,181500,5.16,5.17,5.16,5.17,3260,0
SLGB.US,5,20251015,182000,5.17,5.18,5.16,5.1621,3908,0
SLGB.US,5,20251015,182500,5.1601,5.18,5.16,5.18,6077,0
SLGB.US,5,20251015,183000,5.17,5.17,5.16,5.17,712,0
SLGB.US,5,20251015,183500,5.1713,5.18,5.1713,5.18,200,0
SLGB.US,5,20251015,184000,5.17,5.18,5.16,5.16,3485,0
SLGB.US,5,20251015,184500,5.16,5.18,5.16,5.1774,3628,0
SLGB.US,5,20251015,185000,5.18,5.18,5.17,5.18,2491,0
SLGB.US,5,20251015,185500,5.18,5.18,5.1768,5.1787,398,0
SLGB.US,5,20251015,190000,5.17,5.17,5.17,5.17,1411,0
SLGB.US,5,20251015,190500,5.17,5.18,5.17,5.18,5083,0
SLGB.US,5,20251015,191000,5.18,5.25,5.17,5.25,40526,0
SLGB.US,5,20251015,191500,5.235,5.25,5.2,5.25,41771,0
SLGB.US,5,20251015,192000,5.25,5.3,5.2,5.25,73481,0
SLGB.US,5,20251015,192500,5.25,5.25,5.2,5.2278,8170,0
SLGB.US,5,20251015,193000,5.225,5.25,5.205,5.25,14701,0
SLGB.US,5,20251015,193500,5.21,5.24,5.18,5.1919,2940,0
SLGB.US,5,20251015,194000,5.1906,5.22,5.18,5.2002,2106,0
SLGB.US,5,20251015,194500,5.2,5.22,5.2,5.22,298,0
SLGB.US,5,20251015,195000,5.23,5.28,5.22,5.24,9692,0
SLGB.US,5,20251015,195500,5.23,5.24,5.22,5.24,868,0
SLGB.US,5,20251015,200000,5.2,5.24,5.18,5.23,6056,0
SLGB.US,5,20251015,200500,5.23,5.23,5.195,5.21,7048,0
SLGB.US,5,20251015,201000,5.23,5.26,5.23,5.26,25815,0
SLGB.US,5,20251015,201500,5.26,5.27,5.25,5.25,6359,0
SLGB.US,5,20251015,202000,5.25,5.25,5.2438,5.2438,1200,0
SLGB.US,5,20251015,203000,5.2298,5.25,5.22,5.25,4440,0
SLGB.US,5,20251015,203500,5.25,5.25,5.23,5.23,1131,0
SLGB.US,5,20251015,204000,5.23,5.25,5.23,5.25,1302,0
SLGB.US,5,20251015,204500,5.233,5.233,5.233,5.233,500,0
SLGB.US,5,20251015,205000,5.24,5.25,5.24,5.24,828,0
SLGB.US,5,20251015,205500,5.24,5.25,5.21,5.2227,5348,0
SLGB.US,5,20251015,210000,5.21,5.25,5.21,5.2401,7102,0
SLGB.US,5,20251015,210500,5.24,5.25,5.24,5.25,1135,0
SLGB.US,5,20251015,211000,5.25,5.25,5.23,5.25,20589,0
SLGB.US,5,20251015,211500,5.25,5.25,5.21,5.23,11613,0
SLGB.US,5,20251015,212000,5.23,5.32,5.23,5.2799,32337,0
SLGB.US,5,20251015,212500,5.29,5.3,5.23,5.23,18248,0
SLGB.US,5,20251015,213000,5.25,5.28,5.25,5.2501,7395,0
SLGB.US,5,20251015,213500,5.26,5.28,5.22,5.22,14167,0
SLGB.US,5,20251015,214000,5.23,5.25,5.18,5.2198,14383,0
SLGB.US,5,20251015,214500,5.21,5.25,5.21,5.25,18823,0
SLGB.US,5,20251015,215000,5.2436,5.25,5.17,5.23,43416,0
SLGB.US,5,20251015,215500,5.24,5.28,5.17,5.2,102566,0
SLGB.US,5,20251016,153000,4.74,4.8,4.74,4.75,45101,0
SLGB.US,5,20251016,153500,4.75,4.8,4.75,4.8,47003,0
SLGB.US,5,20251016,154000,4.84,4.95,4.825,4.93,35108,0
SLGB.US,5,20251016,154500,4.9356,5,4.85,5,30541,0
SLGB.US,5,20251016,155000,4.91,4.95,4.91,4.9108,5061,0
SLGB.US,5,20251016,155500,4.95,4.95,4.95,4.95,200,0
SLGB.US,5,20251016,160000,4.95,4.99,4.95,4.97,3485,0
SLGB.US,5,20251016,160500,4.95,5.0985,4.95,5.0985,10673,0
SLGB.US,5,20251016,161000,5.045,5.18,5,5.0891,13059,0
SLGB.US,5,20251016,161500,5,5.1,5,5.05,7230,0
SLGB.US,5,20251016,162000,5.07,5.1,5.05,5.1,4186,0
SLGB.US,5,20251016,162500,5.1,5.2,5.1,5.2,7194,0
SLGB.US,5,20251016,163000,5.2,5.21,5.15,5.2,20469,0
SLGB.US,5,20251016,163500,5.2402,5.25,5.2,5.25,17576,0
SLGB.US,5,20251016,164000,5.25,5.25,5.22,5.22,13357,0
SLGB.US,5,20251016,164500,5.25,5.29,5.24,5.29,54960,0
SLGB.US,5,20251016,165000,5.28,5.29,5.27,5.27,34583,0
SLGB.US,5,20251016,165500,5.2701,5.28,5.27,5.28,14426,0
SLGB.US,5,20251016,170000,5.28,5.29,5.27,5.29,18754,0
SLGB.US,5,20251016,170500,5.28,5.29,5.28,5.29,10319,0
SLGB.US,5,20251016,171000,5.29,5.35,5.28,5.3,68467,0
SLGB.US,5,20251016,171500,5.308,5.499,5.308,5.48,32686,0
SLGB.US,5,20251016,172000,5.4672,5.5,4.7,4.76,153167,0
SLGB.US,5,20251016,172500,4.68,4.68,4.66,4.66,1388,0
SLGB.US,5,20251016,173500,4,4.4,3.45,3.45,38517,0
SLGB.US,5,20251016,174000,3.45,3.8,3.25,3.3,48270,0
SLGB.US,5,20251016,174500,3.2,3.63,3.05,3.63,17917,0
SLGB.US,5,20251016,175000,3.34,3.5,3.25,3.46,48846,0
SLGB.US,5,20251016,180000,3.99,4.12,3.671,4.11,20028,0
SLGB.US,5,20251016,180500,4.1543,4.46,3.8,4.1149,34344,0
SLGB.US,5,20251016,181000,4.05,4.3,3.81,4.29,9599,0
SLGB.US,5,20251016,181500,4.1831,4.2886,4.1,4.1,8690,0
SLGB.US,5,20251016,182000,4.07,4.15,4,4.0005,5500,0
SLGB.US,5,20251016,182500,4.01,4.0806,4.01,4.0806,425,0
SLGB.US,5,20251016,183000,4.0999,4.0999,4.01,4.0105,1600,0
SLGB.US,5,20251016,183500,4.0401,4.0401,4.0401,4.0401,915,0
SLGB.US,5,20251016,184500,4.07,4.093,4.07,4.093,418,0
SLGB.US,5,20251016,185000,4.2383,4.2383,4.2383,4.2383,100,0
SLGB.US,5,20251016,190000,4.15,4.16,4.0801,4.16,1942,0
SLGB.US,5,20251016,190500,4.09,4.09,4,4,5097,0
SLGB.US,5,20251016,191000,4.05,4.05,4.05,4.05,100,0
SLGB.US,5,20251016,191500,4.01,4.01,3.9,3.9001,3070,0
SLGB.US,5,20251016,192000,3.91,3.96,3.9,3.95,6234,0
SLGB.US,5,20251016,192500,3.9,3.955,3.51,3.51,21766,0
SLGB.US,5,20251016,193500,3.85,3.8501,3.85,3.8501,1360,0
SLGB.US,5,20251016,194000,3.97,3.97,3.93,3.93,300,0
SLGB.US,5,20251016,194500,3.74,3.74,3.65,3.65,3450,0
SLGB.US,5,20251016,195000,3.65,3.66,3.61,3.64,11282,0
SLGB.US,5,20251016,195500,3.5,3.6,3.5,3.6,5499,0
