<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SND.US,5,20250728,153000,2.06,2.06,2.06,2.06,2750,0
SND.US,5,20250728,160000,2.04,2.05,2.04,2.05,400,0
SND.US,5,20250728,161000,2.04,2.04,2.04,2.04,100,0
SND.US,5,20250728,163000,2.035,2.035,2.031,2.031,360,0
SND.US,5,20250728,163500,2.0348,2.0348,2.0348,2.0348,1000,0
SND.US,5,20250728,164000,2.03,2.03,2.03,2.03,4700,0
SND.US,5,20250728,164500,2.03,2.03,2.03,2.03,390,0
SND.US,5,20250728,165000,2.035,2.035,2.03,2.03,7059,0
SND.US,5,20250728,170500,2.012,2.015,2,2.01,17908,0
SND.US,5,20250728,172500,2.01,2.01,2.01,2.01,100,0
SND.US,5,20250728,175000,2.02,2.02,2.01,2.01,1108,0
SND.US,5,20250728,181500,2.02,2.02,2.02,2.02,100,0
SND.US,5,20250728,183000,2.025,2.025,2.025,2.025,100,0
SND.US,5,20250728,184500,2.0207,2.0207,2.0207,2.0207,100,0
SND.US,5,20250728,195500,2.02,2.02,2.01,2.01,1670,0
SND.US,5,20250728,200000,2.025,2.025,2.025,2.025,169,0
SND.US,5,20250728,202500,2.02,2.02,2,2,1200,0
SND.US,5,20250728,211000,2.02,2.02,2.02,2.02,500,0
SND.US,5,20250728,214500,2.01,2.01,2.01,2.01,100,0
SND.US,5,20250728,215500,2,2.01,2,2,1498,0
SND.US,5,20250729,153000,2.04,2.06,2.01,2.01,10400,0
SND.US,5,20250729,153500,2.024,2.024,2.024,2.024,100,0
SND.US,5,20250729,154000,2.03,2.04,2.03,2.04,325,0
SND.US,5,20250729,155000,2.04,2.04,2.03,2.03,2840,0
SND.US,5,20250729,161000,2.02,2.02,2.02,2.02,1492,0
SND.US,5,20250729,163000,2.01,2.01,2.01,2.01,159,0
SND.US,5,20250729,171000,2.01,2.01,2.01,2.01,100,0
SND.US,5,20250729,172000,2.01,2.0195,2.01,2.0195,560,0
SND.US,5,20250729,173500,2.0147,2.0147,2.005,2.01,900,0
SND.US,5,20250729,181500,2.02,2.02,2.015,2.02,1586,0
SND.US,5,20250729,182000,2.0153,2.0153,2.0153,2.0153,500,0
SND.US,5,20250729,183000,2.03,2.03,2.03,2.03,100,0
SND.US,5,20250729,191500,2.0199,2.0199,2.01,2.015,2771,0
SND.US,5,20250729,193000,2.0113,2.0113,2.0113,2.0113,570,0
SND.US,5,20250729,194500,2.015,2.015,2.015,2.015,141,0
SND.US,5,20250729,195000,2.0103,2.0103,2.0103,2.0103,1250,0
SND.US,5,20250729,195500,2.015,2.015,2.015,2.015,200,0
SND.US,5,20250729,200500,2.015,2.015,2.015,2.015,1100,0
SND.US,5,20250729,201000,2.0135,2.02,2.0135,2.015,1700,0
SND.US,5,20250729,201500,2.03,2.03,2.03,2.03,250,0
SND.US,5,20250729,202500,2.0292,2.035,2.02,2.035,13128,0
SND.US,5,20250729,203500,2.04,2.05,2.04,2.05,4622,0
SND.US,5,20250729,204500,2.05,2.05,2.05,2.05,100,0
SND.US,5,20250729,205000,2.0567,2.0567,2.0567,2.0567,2000,0
SND.US,5,20250729,205500,2.0598,2.0598,2.0598,2.0598,9000,0
SND.US,5,20250729,210500,2.0582,2.06,2.0582,2.06,722,0
SND.US,5,20250729,211500,2.055,2.055,2.055,2.055,100,0
SND.US,5,20250729,212000,2.055,2.055,2.055,2.055,100,0
SND.US,5,20250729,212500,2.055,2.08,2.055,2.0601,44309,0
SND.US,5,20250729,213000,2.07,2.075,2.0421,2.0421,30819,0
SND.US,5,20250729,213500,2.07,2.07,2.07,2.07,2938,0
SND.US,5,20250729,214000,2.0505,2.0505,2.0505,2.0505,5000,0
SND.US,5,20250729,214500,2.0587,2.06,2.0587,2.06,335,0
SND.US,5,20250729,215000,2.055,2.055,2.05,2.05,2000,0
SND.US,5,20250729,215500,2.05,2.06,2.05,2.06,1980,0
SND.US,5,20250730,153500,2.03,2.03,2.03,2.03,100,0
SND.US,5,20250730,154000,2.03,2.03,2.03,2.03,301,0
SND.US,5,20250730,155000,2.05,2.05,2.05,2.05,115,0
SND.US,5,20250730,155500,2.06,2.06,2.05,2.05,3200,0
SND.US,5,20250730,160000,2.045,2.045,2.045,2.045,700,0
SND.US,5,20250730,160500,2.07,2.07,2.07,2.07,100,0
SND.US,5,20250730,161500,2.06,2.06,2.04,2.04,973,0
SND.US,5,20250730,162000,2.035,2.035,2.035,2.035,1000,0
SND.US,5,20250730,162500,2.034,2.07,2.034,2.07,600,0
SND.US,5,20250730,163000,2.05,2.06,2.05,2.055,900,0
SND.US,5,20250730,164500,2.055,2.055,2.055,2.055,1800,0
SND.US,5,20250730,171000,2.06,2.06,2.06,2.06,1200,0
SND.US,5,20250730,171500,2.06,2.06,2.06,2.06,100,0
SND.US,5,20250730,172000,2.0584,2.0584,2.0584,2.0584,300,0
SND.US,5,20250730,172500,2.06,2.07,2.06,2.065,2196,0
SND.US,5,20250730,173000,2.065,2.065,2.065,2.065,368,0
SND.US,5,20250730,173500,2.06,2.06,2.05,2.05,200,0
SND.US,5,20250730,180000,2.0507,2.0507,2.0507,2.0507,100,0
SND.US,5,20250730,181000,2.06,2.06,2.06,2.06,100,0
SND.US,5,20250730,181500,2.0507,2.0507,2.0507,2.0507,500,0
SND.US,5,20250730,182000,2.06,2.06,2.06,2.06,100,0
SND.US,5,20250730,184000,2.0512,2.0512,2.0512,2.0512,100,0
SND.US,5,20250730,184500,2.059,2.06,2.0552,2.06,2100,0
SND.US,5,20250730,185000,2.0567,2.06,2.0552,2.06,1700,0
SND.US,5,20250730,190000,2.06,2.06,2.06,2.06,100,0
SND.US,5,20250730,190500,2.0511,2.0511,2.0511,2.0511,200,0
SND.US,5,20250730,191000,2.06,2.06,2.055,2.055,425,0
SND.US,5,20250730,193000,2.06,2.06,2.06,2.06,400,0
SND.US,5,20250730,194500,2.06,2.06,2.06,2.06,100,0
SND.US,5,20250730,200000,2.07,2.07,2.06,2.07,22521,0
SND.US,5,20250730,200500,2.07,2.08,2.07,2.07,43823,0
SND.US,5,20250730,201000,2.071,2.08,2.0501,2.0601,39187,0
