<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STIM.US,5,20250728,153000,4.51,4.59,4.5,4.54,11718,0
STIM.US,5,20250728,153500,4.55,4.585,4.54,4.56,14052,0
STIM.US,5,20250728,154000,4.56,4.56,4.51,4.51,8562,0
STIM.US,5,20250728,154500,4.525,4.57,4.525,4.535,9370,0
STIM.US,5,20250728,155000,4.52,4.525,4.49,4.5,6593,0
STIM.US,5,20250728,155500,4.4925,4.54,4.4925,4.535,7181,0
STIM.US,5,20250728,160000,4.535,4.55,4.51,4.55,28673,0
STIM.US,5,20250728,160500,4.55,4.58,4.5435,4.57,5498,0
STIM.US,5,20250728,161000,4.57,4.59,4.56,4.585,5826,0
STIM.US,5,20250728,161500,4.585,4.59,4.53,4.54,9100,0
STIM.US,5,20250728,162000,4.54,4.545,4.5,4.5,13440,0
STIM.US,5,20250728,162500,4.5,4.56,4.48,4.54,28838,0
STIM.US,5,20250728,163000,4.53,4.53,4.47,4.47,3406,0
STIM.US,5,20250728,163500,4.464,4.47,4.46,4.46,4610,0
STIM.US,5,20250728,164000,4.46,4.46,4.44,4.44,2700,0
STIM.US,5,20250728,164500,4.44,4.46,4.44,4.455,1100,0
STIM.US,5,20250728,165000,4.46,4.5,4.46,4.5,4329,0
STIM.US,5,20250728,165500,4.5,4.5,4.49,4.49,800,0
STIM.US,5,20250728,170000,4.49,4.49,4.485,4.485,1850,0
STIM.US,5,20250728,170500,4.485,4.485,4.485,4.485,600,0
STIM.US,5,20250728,171000,4.48,4.48,4.46,4.465,11075,0
STIM.US,5,20250728,171500,4.46,4.4656,4.46,4.465,5402,0
STIM.US,5,20250728,172000,4.465,4.47,4.465,4.465,1636,0
STIM.US,5,20250728,172500,4.465,4.47,4.45,4.47,5357,0
STIM.US,5,20250728,173000,4.47,4.47,4.47,4.47,100,0
STIM.US,5,20250728,173500,4.47,4.47,4.46,4.46,1560,0
STIM.US,5,20250728,174000,4.46,4.47,4.4597,4.47,5138,0
STIM.US,5,20250728,174500,4.47,4.47,4.465,4.465,415,0
STIM.US,5,20250728,175000,4.465,4.465,4.465,4.465,910,0
STIM.US,5,20250728,175500,4.465,4.465,4.46,4.465,1401,0
STIM.US,5,20250728,180000,4.465,4.485,4.465,4.465,4753,0
STIM.US,5,20250728,180500,4.47,4.4799,4.47,4.4799,3420,0
STIM.US,5,20250728,181000,4.485,4.545,4.485,4.54,22152,0
STIM.US,5,20250728,181500,4.55,4.55,4.545,4.545,532,0
STIM.US,5,20250728,182000,4.545,4.555,4.545,4.555,8301,0
STIM.US,5,20250728,182500,4.56,4.56,4.55,4.555,700,0
STIM.US,5,20250728,183000,4.555,4.56,4.5501,4.56,2000,0
STIM.US,5,20250728,183500,4.5599,4.56,4.555,4.555,1427,0
STIM.US,5,20250728,184000,4.55,4.55,4.54,4.54,3200,0
STIM.US,5,20250728,184500,4.535,4.535,4.53,4.535,1520,0
STIM.US,5,20250728,185000,4.535,4.535,4.535,4.535,400,0
STIM.US,5,20250728,185500,4.5353,4.54,4.535,4.5398,963,0
STIM.US,5,20250728,190000,4.54,4.545,4.5352,4.5352,1047,0
STIM.US,5,20250728,190500,4.5308,4.535,4.5308,4.535,366,0
STIM.US,5,20250728,191500,4.535,4.5391,4.525,4.525,900,0
STIM.US,5,20250728,192000,4.525,4.525,4.51,4.52,2602,0
STIM.US,5,20250728,192500,4.515,4.515,4.51,4.51,4509,0
STIM.US,5,20250728,193000,4.52,4.53,4.52,4.53,4534,0
STIM.US,5,20250728,193500,4.535,4.535,4.53,4.53,400,0
STIM.US,5,20250728,194000,4.53,4.53,4.53,4.53,400,0
STIM.US,5,20250728,194500,4.53,4.53,4.52,4.52,1131,0
STIM.US,5,20250728,195000,4.52,4.525,4.52,4.525,547,0
STIM.US,5,20250728,195500,4.525,4.525,4.51,4.515,1721,0
STIM.US,5,20250728,200000,4.515,4.515,4.515,4.515,540,0
STIM.US,5,20250728,200500,4.515,4.52,4.51,4.515,2814,0
STIM.US,5,20250728,201000,4.52,4.53,4.5109,4.53,2800,0
STIM.US,5,20250728,201500,4.53,4.53,4.525,4.525,600,0
STIM.US,5,20250728,202000,4.525,4.53,4.525,4.53,500,0
STIM.US,5,20250728,202500,4.525,4.535,4.5091,4.5091,7544,0
STIM.US,5,20250728,203000,4.505,4.505,4.485,4.485,3707,0
STIM.US,5,20250728,203500,4.48,4.48,4.465,4.48,9995,0
STIM.US,5,20250728,204000,4.48,4.53,4.48,4.5,21730,0
STIM.US,5,20250728,204500,4.5,4.505,4.5,4.505,517,0
STIM.US,5,20250728,205000,4.51,4.515,4.505,4.515,2560,0
STIM.US,5,20250728,205500,4.5109,4.5165,4.5,4.515,10220,0
STIM.US,5,20250728,210000,4.515,4.5199,4.51,4.515,3595,0
STIM.US,5,20250728,210500,4.52,4.525,4.5101,4.52,2350,0
STIM.US,5,20250728,211000,4.515,4.53,4.515,4.515,6821,0
STIM.US,5,20250728,211500,4.515,4.52,4.515,4.515,400,0
STIM.US,5,20250728,212000,4.52,4.52,4.515,4.515,300,0
STIM.US,5,20250728,212500,4.515,4.515,4.505,4.505,3103,0
STIM.US,5,20250728,213000,4.51,4.515,4.505,4.505,6280,0
STIM.US,5,20250728,213500,4.51,4.515,4.502,4.505,4266,0
STIM.US,5,20250728,214000,4.505,4.505,4.5,4.505,1203,0
STIM.US,5,20250728,214500,4.5,4.515,4.5,4.515,13641,0
STIM.US,5,20250728,215000,4.515,4.515,4.495,4.5,29749,0
STIM.US,5,20250728,215500,4.5,4.53,4.5,4.52,65205,0
STIM.US,5,20250729,153000,4.55,4.55,4.46,4.52,5546,0
STIM.US,5,20250729,153500,4.52,4.54,4.51,4.53,5937,0
STIM.US,5,20250729,154000,4.5235,4.5235,4.51,4.52,4480,0
STIM.US,5,20250729,154500,4.53,4.54,4.53,4.53,2001,0
STIM.US,5,20250729,155000,4.53,4.579942,4.53,4.55,46007,0
STIM.US,5,20250729,155500,4.54,4.54,4.5,4.525,19993,0
STIM.US,5,20250729,160000,4.525,4.5521,4.52,4.54,1950,0
STIM.US,5,20250729,160500,4.54,4.56,4.535,4.545,2740,0
STIM.US,5,20250729,161000,4.55,4.55,4.535,4.54,4310,0
STIM.US,5,20250729,161500,4.532,4.532,4.49,4.49,12785,0
STIM.US,5,20250729,162000,4.48,4.52,4.48,4.52,5471,0
STIM.US,5,20250729,162500,4.535,4.535,4.52,4.52,2430,0
STIM.US,5,20250729,163000,4.53,4.535,4.515,4.535,1500,0
STIM.US,5,20250729,163500,4.535,4.54,4.5348,4.54,1790,0
STIM.US,5,20250729,164000,4.535,4.535,4.53,4.53,1100,0
