<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUGP.US,5,20250728,153000,9,9.001,8.552,8.8,1525.1000000000001,0
SUGP.US,5,20250728,153500,8.8,8.8,8.8,8.8,15,0
SUGP.US,5,20250728,154000,8.7,8.72,8.555,8.555,325.5,0
SUGP.US,5,20250728,154500,8.77601,8.77601,8.555,8.56,236.70000000000002,0
SUGP.US,5,20250728,155500,8.755,8.755,8.6,8.699,415.1,0
SUGP.US,5,20250728,160000,8.7,8.703,8.555,8.555,432.70000000000005,0
SUGP.US,5,20250728,160500,8.5775,8.6,8.5775,8.5775,56.800000000000004,0
SUGP.US,5,20250728,161000,8.556,8.6,8.556,8.6,74.7,0
SUGP.US,5,20250728,161500,8.6,8.68001,8.6,8.68001,253.60000000000002,0
SUGP.US,5,20250728,162000,8.68,8.68,8.6,8.6,310,0
SUGP.US,5,20250728,163000,8.56,8.58,8.56,8.5605,127,0
SUGP.US,5,20250728,163500,8.56,8.56,7,8.195,6363.700000000001,0
SUGP.US,5,20250728,164000,8.286,8.286,8.052,8.146,291.90000000000003,0
SUGP.US,5,20250728,164500,8.146,8.146,8.002,8.1,618.3000000000001,0
SUGP.US,5,20250728,165000,8.055,8.1,8.055,8.1,144.8,0
SUGP.US,5,20250728,165500,8.05501,8.505,8.01001,8.505,1167.5,0
SUGP.US,5,20250728,170000,8.013,8.256,8.013,8.256,210.10000000000002,0
SUGP.US,5,20250728,170500,8.22455,8.22455,8.22455,8.22455,100,0
SUGP.US,5,20250728,171000,8.1,8.5,8.011,8.5,1147.3,0
SUGP.US,5,20250728,172000,8.056,8.057,8.056,8.057,80,0
SUGP.US,5,20250728,172500,8.255,8.255,8.01,8.01,213.9,0
SUGP.US,5,20250728,173000,8.255,8.255,8.255,8.255,20.900000000000002,0
SUGP.US,5,20250728,173500,8.255,8.255,8.255,8.255,20,0
SUGP.US,5,20250728,174000,8.275,8.275,8.27289,8.27289,60,0
SUGP.US,5,20250728,174500,8.011,8.011,8.01001,8.01001,112.5,0
SUGP.US,5,20250728,175500,8.053,8.125,8.053,8.125,155,0
SUGP.US,5,20250728,180000,8.081,8.3,8.081,8.3,64.5,0
SUGP.US,5,20250728,180500,8.2,8.2,8.111,8.111,80,0
SUGP.US,5,20250728,181000,8.17,8.17,8.17,8.17,10,0
SUGP.US,5,20250728,181500,8.14,8.14,8.108,8.108,100,0
SUGP.US,5,20250728,182000,8.129,8.15,8.108,8.109,231,0
SUGP.US,5,20250728,183000,8.129,8.14722,8.109,8.109,210,0
