<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXTC.US,5,20250728,155000,1.6,1.6,1.6,1.6,500,0
SXTC.US,5,20250728,155500,1.6,1.6,1.59,1.59,300,0
SXTC.US,5,20250728,160000,1.59,1.59,1.59,1.59,4300,0
SXTC.US,5,20250728,160500,1.58,1.58,1.58,1.58,394,0
SXTC.US,5,20250728,161000,1.5533,1.5533,1.55,1.55,1402,0
SXTC.US,5,20250728,162000,1.5502,1.5502,1.55,1.55,3945,0
SXTC.US,5,20250728,162500,1.5692,1.5692,1.5692,1.5692,500,0
SXTC.US,5,20250728,163000,1.55,1.5592,1.55,1.5592,1933,0
SXTC.US,5,20250728,164500,1.575,1.575,1.575,1.575,100,0
SXTC.US,5,20250728,165500,1.575,1.575,1.575,1.575,1300,0
SXTC.US,5,20250728,175500,1.5629,1.5629,1.5629,1.5629,102,0
SXTC.US,5,20250728,180500,1.58,1.58,1.58,1.58,200,0
SXTC.US,5,20250728,182000,1.5895,1.5895,1.5895,1.5895,299,0
SXTC.US,5,20250728,182500,1.57,1.57,1.54,1.54,5594,0
SXTC.US,5,20250728,184000,1.545,1.545,1.545,1.545,2167,0
SXTC.US,5,20250728,185500,1.545,1.545,1.53,1.54,13400,0
SXTC.US,5,20250728,190000,1.53,1.53,1.52,1.525,8842,0
SXTC.US,5,20250728,190500,1.53,1.53,1.52,1.53,11500,0
SXTC.US,5,20250728,191000,1.5494,1.5494,1.52,1.52,9100,0
SXTC.US,5,20250728,191500,1.52,1.52,1.52,1.52,687,0
SXTC.US,5,20250728,195500,1.549,1.549,1.53,1.53,400,0
SXTC.US,5,20250728,200000,1.53,1.53,1.53,1.53,300,0
SXTC.US,5,20250728,202000,1.5104,1.52,1.5,1.52,10092,0
SXTC.US,5,20250728,204500,1.515,1.55,1.515,1.55,1854,0
SXTC.US,5,20250728,211000,1.53,1.53,1.53,1.53,200,0
SXTC.US,5,20250728,211500,1.52,1.55,1.52,1.5261,12145,0
SXTC.US,5,20250728,212000,1.53,1.53,1.53,1.53,100,0
SXTC.US,5,20250728,212500,1.52,1.52,1.52,1.52,100,0
SXTC.US,5,20250728,213000,1.52,1.52,1.51,1.51,200,0
SXTC.US,5,20250728,213500,1.53,1.53,1.53,1.53,400,0
SXTC.US,5,20250728,215500,1.56,1.56,1.56,1.56,100,0
SXTC.US,5,20250729,153000,1.68,1.68,1.605,1.605,2869,0
SXTC.US,5,20250729,154500,1.56,1.56,1.56,1.56,179,0
SXTC.US,5,20250729,155500,1.55,1.55,1.55,1.55,100,0
SXTC.US,5,20250729,163000,1.5486,1.55,1.54,1.54,10000,0
SXTC.US,5,20250729,172000,1.55,1.56,1.55,1.56,1419,0
SXTC.US,5,20250729,172500,1.56,1.56,1.56,1.56,6727,0
SXTC.US,5,20250729,173500,1.55,1.55,1.54,1.55,8298,0
SXTC.US,5,20250729,174000,1.55,1.57,1.5102,1.53,20196,0
SXTC.US,5,20250729,180000,1.53,1.53,1.53,1.53,7063,0
SXTC.US,5,20250729,180500,1.53,1.53,1.53,1.53,300,0
SXTC.US,5,20250729,184000,1.53,1.53,1.53,1.53,200,0
SXTC.US,5,20250729,185000,1.5105,1.5105,1.51,1.51,1730,0
SXTC.US,5,20250729,194000,1.52,1.5301,1.52,1.521371,2638,0
SXTC.US,5,20250729,194500,1.52,1.52,1.52,1.52,7809,0
SXTC.US,5,20250729,200000,1.53,1.53,1.53,1.53,3132,0
SXTC.US,5,20250729,203000,1.51,1.51,1.51,1.51,3867,0
