<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGL.US,5,20250728,153000,1.29,1.3092,1.24,1.3092,18055,0
TGL.US,5,20250728,153500,1.25,1.2773,1.23,1.23,3368,0
TGL.US,5,20250728,154000,1.21,1.2484,1.21,1.2484,15477,0
TGL.US,5,20250728,154500,1.2202,1.2221,1.2,1.2197,39245,0
TGL.US,5,20250728,155000,1.21,1.2595,1.2,1.2595,4764,0
TGL.US,5,20250728,155500,1.22,1.22,1.18,1.2195,28326,0
TGL.US,5,20250728,160000,1.18,1.205,1.18,1.205,3206,0
TGL.US,5,20250728,161000,1.2019,1.2019,1.2017,1.2017,1576,0
TGL.US,5,20250728,161500,1.19,1.2,1.18,1.18,9900,0
TGL.US,5,20250728,162000,1.19,1.2094,1.19,1.2,432,0
TGL.US,5,20250728,162500,1.2585,1.2585,1.2585,1.2585,500,0
TGL.US,5,20250728,163000,1.19,1.215,1.18,1.1905,1368,0
TGL.US,5,20250728,163500,1.19,1.2,1.18,1.18,9194,0
TGL.US,5,20250728,164000,1.195,1.196,1.18,1.18,4750,0
TGL.US,5,20250728,164500,1.2099,1.2099,1.18,1.2,5800,0
TGL.US,5,20250728,165000,1.1803,1.185,1.18,1.185,6833,0
TGL.US,5,20250728,165500,1.18,1.2173,1.1629,1.2173,5127,0
TGL.US,5,20250728,170000,1.17,1.17,1.17,1.17,800,0
TGL.US,5,20250728,170500,1.1706,1.1774,1.1706,1.1774,400,0
TGL.US,5,20250728,171000,1.1703,1.18,1.14,1.15,10698,0
TGL.US,5,20250728,171500,1.16,1.16,1.15,1.1509,3200,0
TGL.US,5,20250728,172000,1.16,1.16,1.15,1.155,15584,0
TGL.US,5,20250728,172500,1.1567,1.1567,1.1567,1.1567,150,0
TGL.US,5,20250728,173000,1.1599,1.1599,1.15,1.15,2354,0
TGL.US,5,20250728,173500,1.15,1.15,1.15,1.15,149,0
TGL.US,5,20250728,174000,1.15,1.155,1.14,1.14,1648,0
TGL.US,5,20250728,174500,1.1556,1.1556,1.1501,1.1501,2600,0
TGL.US,5,20250728,175000,1.15,1.1696,1.15,1.1696,1839,0
TGL.US,5,20250728,175500,1.16,1.16,1.11,1.1296,56044,0
TGL.US,5,20250728,180000,1.1101,1.13,1.1101,1.13,2342,0
TGL.US,5,20250728,180500,1.1219,1.1297,1.12,1.1248,13422,0
TGL.US,5,20250728,181000,1.125,1.1297,1.125,1.125,3017,0
TGL.US,5,20250728,181500,1.13,1.1396,1.125,1.13,1814,0
TGL.US,5,20250728,182000,1.13,1.13,1.1204,1.1298,3124,0
TGL.US,5,20250728,182500,1.13,1.13,1.12,1.12,11152,0
TGL.US,5,20250728,183000,1.1297,1.13,1.12,1.125,4832,0
TGL.US,5,20250728,183500,1.1201,1.1201,1.1201,1.1201,500,0
TGL.US,5,20250728,184000,1.125,1.13,1.12,1.13,4020,0
TGL.US,5,20250728,184500,1.1217,1.1237,1.1217,1.1237,1145,0
TGL.US,5,20250728,185000,1.1291,1.13,1.12,1.12,3723,0
TGL.US,5,20250728,185500,1.1252,1.1252,1.1252,1.1252,5000,0
TGL.US,5,20250728,190500,1.12,1.1298,1.12,1.1298,3800,0
TGL.US,5,20250728,191000,1.1295,1.1295,1.1295,1.1295,1000,0
TGL.US,5,20250728,191500,1.12,1.1298,1.12,1.1298,2099,0
TGL.US,5,20250728,192000,1.13,1.13,1.1237,1.125,2020,0
TGL.US,5,20250728,192500,1.1292,1.13,1.12,1.1297,7134,0
TGL.US,5,20250728,193000,1.12,1.125,1.12,1.125,1000,0
TGL.US,5,20250728,193500,1.12,1.125,1.12,1.125,1400,0
TGL.US,5,20250728,194000,1.1252,1.13,1.1252,1.13,1600,0
TGL.US,5,20250728,194500,1.1252,1.1252,1.12,1.12,1872,0
TGL.US,5,20250728,195000,1.1252,1.1299,1.1252,1.1299,9912,0
TGL.US,5,20250728,195500,1.125,1.1299,1.1204,1.1295,4875,0
TGL.US,5,20250728,200000,1.125,1.1263,1.12,1.1263,2049,0
TGL.US,5,20250728,200500,1.125,1.1299,1.12,1.125,4917,0
TGL.US,5,20250728,201000,1.12,1.12,1.1199,1.1199,1944,0
TGL.US,5,20250728,201500,1.12,1.12,1.115,1.1199,2953,0
TGL.US,5,20250728,202000,1.115,1.1199,1.1,1.1199,13591,0
TGL.US,5,20250728,202500,1.12,1.12,1.115,1.115,5362,0
TGL.US,5,20250728,203000,1.1197,1.1197,1.1104,1.1104,849,0
TGL.US,5,20250728,203500,1.11,1.11,1.1,1.1,2980,0
TGL.US,5,20250728,204000,1.1099,1.1099,1.1097,1.1097,2200,0
TGL.US,5,20250728,204500,1.1,1.105,1.1,1.105,4500,0
TGL.US,5,20250728,205000,1.105,1.105,1.105,1.105,500,0
TGL.US,5,20250728,205500,1.1064,1.1064,1.1064,1.1064,100,0
TGL.US,5,20250728,210000,1.11,1.11,1.105,1.105,6533,0
TGL.US,5,20250728,210500,1.105,1.109321,1.105,1.105,1684,0
TGL.US,5,20250728,211000,1.105,1.1099,1.105,1.105,706,0
TGL.US,5,20250728,211500,1.1096,1.1096,1.105,1.108,1222,0
TGL.US,5,20250728,212000,1.1,1.11,1.1,1.11,2770,0
TGL.US,5,20250728,212500,1.1002,1.1052,1.1,1.1,2600,0
TGL.US,5,20250728,213000,1.1035,1.1035,1.1,1.1001,2476,0
TGL.US,5,20250728,213500,1.105,1.105,1.105,1.105,1000,0
TGL.US,5,20250728,214000,1.1,1.1099,1.1,1.1099,1350,0
TGL.US,5,20250728,214500,1.1006,1.105,1.1006,1.105,787,0
TGL.US,5,20250728,215000,1.1,1.1098,1.1,1.105,9853,0
TGL.US,5,20250728,215500,1.105,1.11,1.1,1.11,15504,0
TGL.US,5,20250729,153000,1.18,1.18,1.12,1.125,16375,0
TGL.US,5,20250729,153500,1.125,1.13,1.1203,1.1263,6788,0
TGL.US,5,20250729,154000,1.125,1.13,1.125,1.13,3396,0
