<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNDM.US,5,20250728,153000,15.95,16.035,15.9,15.94,10262,0
TNDM.US,5,20250728,153500,15.99,16.115,15.98,16.05,78511,0
TNDM.US,5,20250728,154000,16.025,16.12,15.93,16.12,11430,0
TNDM.US,5,20250728,154500,16.12,16.185,16.11,16.11,4452,0
TNDM.US,5,20250728,155000,16.0942,16.25,16.0942,16.25,10849,0
TNDM.US,5,20250728,155500,16.22,16.22,16.11,16.12,18985,0
TNDM.US,5,20250728,160000,16.1,16.25,16.1,16.235,7450,0
TNDM.US,5,20250728,160500,16.26,16.38,16.25,16.36,30108,0
TNDM.US,5,20250728,161000,16.36,16.43,16.36,16.395,6541,0
TNDM.US,5,20250728,161500,16.38,16.54,16.3161,16.5346,18988,0
TNDM.US,5,20250728,162000,16.54,16.55,16.45,16.495,14244,0
TNDM.US,5,20250728,162500,16.51,16.58,16.48,16.56,8980,0
TNDM.US,5,20250728,163000,16.57,16.63,16.51,16.51,17767,0
TNDM.US,5,20250728,163500,16.53,16.53,16.46,16.47,11963,0
TNDM.US,5,20250728,164000,16.46,16.4932,16.41,16.4932,6830,0
TNDM.US,5,20250728,164500,16.485,16.52,16.4648,16.52,5300,0
TNDM.US,5,20250728,165000,16.5314,16.6617,16.53,16.61,20613,0
TNDM.US,5,20250728,165500,16.57,16.62,16.5,16.61,23431,0
TNDM.US,5,20250728,170000,16.61,16.65,16.58,16.64,28061,0
TNDM.US,5,20250728,170500,16.64,16.71,16.59,16.71,6436,0
TNDM.US,5,20250728,171000,16.73,16.82,16.7,16.8,16916,0
TNDM.US,5,20250728,171500,16.78,16.8,16.6,16.63,15373,0
TNDM.US,5,20250728,172000,16.63,16.63,16.6001,16.63,901,0
TNDM.US,5,20250728,172500,16.61,16.66,16.59,16.59,8402,0
TNDM.US,5,20250728,173000,16.58,16.58,16.5,16.56,8666,0
TNDM.US,5,20250728,173500,16.57,16.66,16.57,16.645,4846,0
TNDM.US,5,20250728,174000,16.67,16.77,16.67,16.73,4750,0
TNDM.US,5,20250728,174500,16.75,16.79,16.745,16.79,4354,0
TNDM.US,5,20250728,175000,16.7805,16.82,16.71,16.73,12448,0
TNDM.US,5,20250728,175500,16.75,16.77,16.74,16.765,3443,0
TNDM.US,5,20250728,180000,16.755,16.82,16.75,16.82,2442,0
TNDM.US,5,20250728,180500,16.82,16.88,16.81,16.81,19686,0
TNDM.US,5,20250728,181000,16.8,16.83,16.7864,16.8288,3458,0
TNDM.US,5,20250728,181500,16.82,16.82,16.76,16.78,4373,0
TNDM.US,5,20250728,182000,16.76,16.81,16.755,16.755,19132,0
TNDM.US,5,20250728,182500,16.7598,16.8,16.74,16.76,10896,0
TNDM.US,5,20250728,183000,16.755,16.775,16.74,16.76,6408,0
TNDM.US,5,20250728,183500,16.755,16.83,16.755,16.825,4342,0
TNDM.US,5,20250728,184000,16.825,16.83,16.795,16.8036,8635,0
TNDM.US,5,20250728,184500,16.825462,16.865,16.82,16.835,12820,0
TNDM.US,5,20250728,185000,16.83,16.85,16.77,16.8295,24629,0
TNDM.US,5,20250728,185500,16.83,16.84,16.73,16.78,33478,0
TNDM.US,5,20250728,190000,16.78,16.8,16.77,16.8,6147,0
TNDM.US,5,20250728,190500,16.795,16.81,16.755,16.78,34789,0
TNDM.US,5,20250728,191000,16.79,16.835,16.77,16.83,15844,0
TNDM.US,5,20250728,191500,16.82,16.835,16.79,16.79,6094,0
TNDM.US,5,20250728,192000,16.78,16.78,16.75,16.75,5850,0
TNDM.US,5,20250728,192500,16.75,16.7951,16.74,16.76,19847,0
TNDM.US,5,20250728,193000,16.75,16.79,16.75,16.79,1927,0
TNDM.US,5,20250728,193500,16.79,16.79,16.74,16.74,4065,0
TNDM.US,5,20250728,194000,16.75,16.75,16.73,16.73,1384,0
TNDM.US,5,20250728,194500,16.74,16.79,16.73,16.76,24700,0
TNDM.US,5,20250728,195000,16.77,16.815,16.765,16.78,2811,0
TNDM.US,5,20250728,195500,16.79,16.815,16.79,16.79,6611,0
TNDM.US,5,20250728,200000,16.795,16.82,16.795,16.805,4286,0
TNDM.US,5,20250728,200500,16.81,16.82,16.77,16.8,9352,0
TNDM.US,5,20250728,201000,16.8,16.83,16.79,16.8,3759,0
TNDM.US,5,20250728,201500,16.815,16.85,16.815,16.84,3149,0
TNDM.US,5,20250728,202000,16.84,16.855,16.799,16.83,28565,0
TNDM.US,5,20250728,202500,16.81,16.81,16.76,16.76,6281,0
TNDM.US,5,20250728,203000,16.78,16.825,16.75,16.79,17614,0
TNDM.US,5,20250728,203500,16.8,16.81,16.79,16.8,20567,0
