<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UFPT.US,5,20250728,153000,242.37,242.37,242.37,242.37,659,0
UFPT.US,5,20250728,153500,239.255,240.01,239.255,240.01,200,0
UFPT.US,5,20250728,154000,239.26,240.51,239.26,239.87,600,0
UFPT.US,5,20250728,154500,241.935,241.935,239.82,239.82,510,0
UFPT.US,5,20250728,155000,239.84,239.89,239.26,239.26,400,0
UFPT.US,5,20250728,155500,239.26,239.26,239.26,239.26,200,0
UFPT.US,5,20250728,160000,239.26,241.36,239.26,241.36,719,0
UFPT.US,5,20250728,160500,239.68,239.68,239.68,239.68,100,0
UFPT.US,5,20250728,161000,239.705,239.705,239.32,239.68,300,0
UFPT.US,5,20250728,161500,239.63,239.63,239.63,239.63,100,0
UFPT.US,5,20250728,162000,239.26,239.26,239.26,239.26,200,0
UFPT.US,5,20250728,162500,239.26,239.26,239.26,239.26,200,0
UFPT.US,5,20250728,163000,239.26,240.36,239.26,240.36,300,0
UFPT.US,5,20250728,163500,239.26,239.26,239.11,239.11,200,0
UFPT.US,5,20250728,164000,239.26,239.26,239.26,239.26,100,0
UFPT.US,5,20250728,164500,239.11,239.11,239.11,239.11,100,0
UFPT.US,5,20250728,165000,239.11,239.305,239.11,239.305,200,0
UFPT.US,5,20250728,165500,239.28,239.28,239.26,239.26,200,0
UFPT.US,5,20250728,170000,239.26,240.22,239.26,240.22,700,0
UFPT.US,5,20250728,170500,239.805,239.805,239.805,239.805,164,0
UFPT.US,5,20250728,171500,239.61,240.55,239.61,240.55,359,0
UFPT.US,5,20250728,172000,240.83,240.83,240.81,240.81,200,0
UFPT.US,5,20250728,172500,240.44,240.715,240.44,240.715,200,0
UFPT.US,5,20250728,173000,241.3,241.3,241.3,241.3,100,0
UFPT.US,5,20250728,173500,242.2,242.2,242.2,242.2,100,0
UFPT.US,5,20250728,175000,243.115,243.115,243.115,243.115,102,0
UFPT.US,5,20250728,181500,243.555,243.555,243.555,243.555,508,0
UFPT.US,5,20250728,183000,243.22,243.22,242.49,242.49,212,0
UFPT.US,5,20250728,183500,243.6225,243.6225,243.6225,243.6225,100,0
UFPT.US,5,20250728,190000,242,242,241.59,241.59,200,0
UFPT.US,5,20250728,190500,240.69,241.07,240.53,240.53,400,0
UFPT.US,5,20250728,191500,240.21,240.92,240.21,240.805,300,0
UFPT.US,5,20250728,192000,240.57,240.57,240.57,240.57,100,0
UFPT.US,5,20250728,192500,240.84,240.84,240.84,240.84,100,0
UFPT.US,5,20250728,193000,240.68,240.68,240.68,240.68,100,0
UFPT.US,5,20250728,194000,241.13,241.13,240.87,240.87,300,0
UFPT.US,5,20250728,194500,240.0875,240.0875,240.0875,240.0875,165,0
UFPT.US,5,20250728,195000,241.145,241.145,241.145,241.145,100,0
UFPT.US,5,20250728,195500,241.14,241.14,241.14,241.14,100,0
UFPT.US,5,20250728,201000,240.885,240.885,240.885,240.885,100,0
UFPT.US,5,20250728,203000,239.19,239.19,239.19,239.19,1085,0
UFPT.US,5,20250728,203500,240.16,240.24,240.16,240.24,400,0
UFPT.US,5,20250728,205500,239.12,239.12,239.12,239.12,337,0
UFPT.US,5,20250728,210000,240.325,240.325,240.325,240.325,260,0
UFPT.US,5,20250728,211000,240.55,240.55,240.55,240.55,100,0
UFPT.US,5,20250728,212000,241.355,241.365,241.355,241.365,200,0
UFPT.US,5,20250728,213500,241.2,241.2,240.955,240.955,342,0
UFPT.US,5,20250728,214000,240.9356,240.9356,240.9356,240.9356,165,0
UFPT.US,5,20250728,214500,241.205,243.57,240.955,243.57,3000,0
UFPT.US,5,20250728,215000,243.57,246.78,242.54,246.78,5095,0
UFPT.US,5,20250728,215500,246.13,246.76,244.07,244.7,27546,0
UFPT.US,5,20250729,153000,244.89,244.89,242.5501,242.76,1669,0
UFPT.US,5,20250729,153500,243.74,244.95,242.55,244.2,1125,0
UFPT.US,5,20250729,154000,244.62,244.62,243.86,243.86,300,0
UFPT.US,5,20250729,155000,244.15,245.125,243.66,243.89,1100,0
UFPT.US,5,20250729,155500,244.88,244.88,244.88,244.88,100,0
UFPT.US,5,20250729,161500,246,246.345,246,246.345,300,0
UFPT.US,5,20250729,162000,246.18,247.47,246.18,247.47,360,0
UFPT.US,5,20250729,162500,246.175,246.2,246.175,246.2,300,0
UFPT.US,5,20250729,163000,246.02,246.02,245.84,245.84,300,0
UFPT.US,5,20250729,165500,245.8,246.38,245.67,245.79,600,0
UFPT.US,5,20250729,170000,246.555,246.555,246.15,246.15,405,0
UFPT.US,5,20250729,170500,246.2,246.62,246.2,246.62,500,0
UFPT.US,5,20250729,171500,245.85,245.92,243.88,244.08,5028,0
UFPT.US,5,20250729,172000,244.0256,244.0256,244.0256,244.0256,112,0
UFPT.US,5,20250729,172500,243.915,244.15,243.04,243.04,1514,0
UFPT.US,5,20250729,173000,243.765,244.51,243.56,244.11,2400,0
UFPT.US,5,20250729,173500,243.92,243.92,243.91,243.91,300,0
UFPT.US,5,20250729,174000,243.985,243.985,243.93,243.93,300,0
UFPT.US,5,20250729,174500,244.37,244.37,244.01,244.125,1600,0
UFPT.US,5,20250729,175000,244.14,244.66,243.28,243.36,1700,0
UFPT.US,5,20250729,175500,243.28,243.39,242.87,242.87,400,0
UFPT.US,5,20250729,180000,243.26,243.26,242.9,242.9,300,0
UFPT.US,5,20250729,180500,242.76,242.76,242.06,242.4,800,0
UFPT.US,5,20250729,181000,242.21,242.21,241.465,241.465,552,0
UFPT.US,5,20250729,181500,241.305,241.305,241.305,241.305,100,0
UFPT.US,5,20250729,182000,241.305,241.305,241.305,241.305,100,0
UFPT.US,5,20250729,183000,241.65,241.69,241.13,241.51,600,0
UFPT.US,5,20250729,183500,241.24,241.24,241.24,241.24,100,0
UFPT.US,5,20250729,185000,241.17,241.17,241.17,241.17,100,0
UFPT.US,5,20250729,185500,241.4,241.415,241.4,241.415,300,0
UFPT.US,5,20250729,193500,242.45,242.45,241.95,241.965,400,0
UFPT.US,5,20250729,194000,241.75,241.75,240.835,240.835,700,0
UFPT.US,5,20250729,195500,241.0122,241.0122,241.0122,241.0122,129,0
UFPT.US,5,20250729,200500,241.06,241.51,240.48,241.51,400,0
UFPT.US,5,20250729,201000,241.51,241.51,241.51,241.51,100,0
UFPT.US,5,20250729,201500,239.7125,242.835,239.7125,242.025,1703,0
UFPT.US,5,20250729,203000,240.225,240.225,240.225,240.225,100,0
UFPT.US,5,20250729,204500,239.66,239.66,237.95,237.95,600,0
UFPT.US,5,20250729,205000,238.07,238.07,238.07,238.07,100,0
UFPT.US,5,20250729,205500,238.105,238.21,238.105,238.21,200,0
UFPT.US,5,20250729,210000,239.505,240.24,239.505,240.24,200,0
UFPT.US,5,20250729,214500,238.6,238.6,238.6,238.6,200,0
UFPT.US,5,20250729,215500,238.21,238.285,237.91,238.07,1280,0
UFPT.US,5,20250730,153000,238.82,238.82,238.82,238.82,514,0
UFPT.US,5,20250730,154500,241.1,242.375,241.1,242.375,252,0
UFPT.US,5,20250730,164500,237.155,237.38,237.155,237.38,450,0
UFPT.US,5,20250730,171500,236.97,236.97,236.97,236.97,100,0
UFPT.US,5,20250730,172500,236.935,236.935,236.935,236.935,100,0
UFPT.US,5,20250730,173000,236.73,236.73,236.65,236.65,200,0
UFPT.US,5,20250730,174000,237.34,237.34,237.34,237.34,100,0
UFPT.US,5,20250730,180000,237.43,237.43,237.43,237.43,100,0
UFPT.US,5,20250730,180500,237.01,237.05,236.96,236.96,300,0
UFPT.US,5,20250730,181500,237,237.45,236.98,236.98,400,0
UFPT.US,5,20250730,182000,237.0283,237.0283,236.82,236.84,400,0
UFPT.US,5,20250730,183500,236.18,236.18,236.18,236.18,100,0
UFPT.US,5,20250730,184000,236.43,236.43,236.43,236.43,100,0
UFPT.US,5,20250730,185000,236.28,236.28,236.28,236.28,100,0
UFPT.US,5,20250730,185500,236.84,237,236.84,237,369,0
UFPT.US,5,20250730,190000,237.31,237.31,237.31,237.31,100,0
UFPT.US,5,20250730,191000,237.08,237.08,235.57,235.57,492,0
UFPT.US,5,20250730,191500,235,235,235,235,180,0
UFPT.US,5,20250730,192000,233.88,233.88,233.88,233.88,130,0
UFPT.US,5,20250730,192500,233.13,233.13,233.13,233.13,100,0
UFPT.US,5,20250730,194000,233.84,233.84,233.84,233.84,100,0
UFPT.US,5,20250730,200000,232.79,232.79,232.79,232.79,100,0
UFPT.US,5,20250730,200500,231.57,232.14,231.57,232.14,200,0
UFPT.US,5,20250730,201500,233.18,234,232.66,234,600,0
UFPT.US,5,20250730,202000,234.595,234.99,234.595,234.75,600,0
UFPT.US,5,20250730,202500,234.75,234.75,234.75,234.75,200,0
UFPT.US,5,20250730,203000,235.5,236.045,235.5,236.045,200,0
UFPT.US,5,20250730,203500,235.11,235.11,235.11,235.11,100,0
UFPT.US,5,20250730,205500,232.57,232.57,231.46,231.46,200,0
UFPT.US,5,20250730,210000,231.14,231.14,231.14,231.14,100,0
UFPT.US,5,20250730,211000,230.915,230.915,230.915,230.915,376,0
UFPT.US,5,20250730,211500,230.07,230.07,230.07,230.07,100,0
UFPT.US,5,20250730,213000,230.445,230.445,229.32,229.32,403,0
UFPT.US,5,20250730,214500,229.21,229.74,228.98,229.74,800,0
UFPT.US,5,20250730,215000,230.51,230.51,230.51,230.51,100,0
UFPT.US,5,20250730,215500,230.16,232.07,230.16,232.07,8426,0
