<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UHG.US,5,20250728,153000,4.2,4.2,4.04,4.04,1310,0
UHG.US,5,20250728,153500,4.02,4.035,4.01,4.035,748,0
UHG.US,5,20250728,154000,4.07,4.07,3.98,4.02,4817,0
UHG.US,5,20250728,154500,4,4.05,4,4.04,400,0
UHG.US,5,20250728,155000,4.04,4.04,4.04,4.04,609,0
UHG.US,5,20250728,160000,4,4,3.97,4,300,0
UHG.US,5,20250728,160500,4,4,4,4,400,0
UHG.US,5,20250728,161000,4,4,4,4,600,0
UHG.US,5,20250728,161500,4,4,4,4,400,0
UHG.US,5,20250728,162000,4,4.06,4,4.035,983,0
UHG.US,5,20250728,162500,3.9851,3.9851,3.9851,3.9851,127,0
UHG.US,5,20250728,163500,3.97,3.97,3.96,3.97,1829,0
UHG.US,5,20250728,164000,3.99,4.01,3.99,4.01,1090,0
UHG.US,5,20250728,165000,4.005,4.005,3.98,4.005,774,0
UHG.US,5,20250728,165500,3.98,3.98,3.98,3.98,100,0
UHG.US,5,20250728,170000,3.98,4,3.98,4,2271,0
UHG.US,5,20250728,170500,3.9899,4,3.9899,4,255,0
UHG.US,5,20250728,171000,4.02,4.055,4.02,4.055,500,0
UHG.US,5,20250728,172500,4.035,4.035,4.02,4.035,400,0
UHG.US,5,20250728,173000,4.035,4.04,4.01,4.04,500,0
UHG.US,5,20250728,174000,4.02,4.02,4.0001,4.0001,4200,0
UHG.US,5,20250728,174500,4.02,4.1,4.02,4.1,7627,0
UHG.US,5,20250728,175500,4.075,4.075,4,4,4353,0
UHG.US,5,20250728,180000,4.015,4.015,4.015,4.015,100,0
UHG.US,5,20250728,180500,4,4,4,4,200,0
UHG.US,5,20250728,181000,4,4.01,4,4,587,0
UHG.US,5,20250728,181500,4,4,3.98,3.99,7080,0
UHG.US,5,20250728,182000,4,4.01,3.99,4.01,700,0
UHG.US,5,20250728,182500,4.01,4.0699,4.01,4.02,4814,0
UHG.US,5,20250728,184000,4.02,4.02,3.97,3.98,1676,0
UHG.US,5,20250728,184500,3.995,3.995,3.995,3.995,100,0
UHG.US,5,20250728,185000,3.98,3.995,3.98,3.995,200,0
UHG.US,5,20250728,185500,3.98,3.98,3.98,3.98,100,0
UHG.US,5,20250728,190000,4,4,4,4,1100,0
UHG.US,5,20250728,190500,4.02,4.06,4.02,4.06,1798,0
UHG.US,5,20250728,191500,4.02,4.04,4.005,4.005,600,0
UHG.US,5,20250728,192500,4.005,4.005,4.005,4.005,100,0
UHG.US,5,20250728,193000,4.015,4.03,4.01,4.02,743,0
UHG.US,5,20250728,193500,4.02,4.0556,4.02,4.05,3800,0
UHG.US,5,20250728,194500,4.03,4.03,4.03,4.03,100,0
UHG.US,5,20250728,195000,4.025,4.025,4.025,4.025,100,0
UHG.US,5,20250728,195500,4.025,4.025,4.025,4.025,100,0
UHG.US,5,20250728,200000,4.025,4.025,4.025,4.025,100,0
UHG.US,5,20250728,200500,4,4,4,4,200,0
UHG.US,5,20250728,201000,4,4,4,4,200,0
UHG.US,5,20250728,201500,4.036,4.05,4.02,4.05,5431,0
UHG.US,5,20250728,202000,4.01,4.01,4,4.01,720,0
UHG.US,5,20250728,203000,4.01,4.115,4.01,4.115,9254,0
UHG.US,5,20250728,203500,4.1,4.12,4.1,4.12,1991,0
UHG.US,5,20250728,204500,4.08,4.08,4.04,4.08,997,0
UHG.US,5,20250728,210000,4.03,4.04,4.03,4.04,300,0
UHG.US,5,20250728,210500,4.08,4.08,4.04,4.065,700,0
UHG.US,5,20250728,211000,4.04,4.065,4.04,4.065,400,0
UHG.US,5,20250728,211500,4.07,4.1,4.07,4.1,828,0
UHG.US,5,20250728,212500,4.07,4.1,4.07,4.07,400,0
UHG.US,5,20250728,213000,4.1,4.105,4.07,4.105,700,0
UHG.US,5,20250728,213500,4.09,4.12,4.09,4.09,987,0
UHG.US,5,20250728,214000,4.09,4.09,4.04,4.07,1300,0
UHG.US,5,20250728,214500,4.07,4.09,4.07,4.09,800,0
UHG.US,5,20250728,215000,4.08,4.08,4.06,4.07,2146,0
UHG.US,5,20250728,215500,4.0872,4.095,4.04,4.06,9526,0
UHG.US,5,20250729,153000,4.1,4.14,4.1,4.14,2269,0
UHG.US,5,20250729,153500,4.205,4.205,4.205,4.205,1100,0
UHG.US,5,20250729,154000,4.19,4.2999,4.19,4.2999,3667,0
UHG.US,5,20250729,154500,4.28,4.28,4.28,4.28,380,0
UHG.US,5,20250729,155000,4.28,4.285,4.28,4.285,575,0
UHG.US,5,20250729,155500,4.27,4.27,4.1211,4.1211,4393,0
UHG.US,5,20250729,161000,4.15,4.15,4.15,4.15,500,0
UHG.US,5,20250729,162000,4.185,4.185,4.185,4.185,500,0
UHG.US,5,20250729,163500,4.1301,4.1301,4.1301,4.1301,268,0
UHG.US,5,20250729,164000,4.18,4.18,4.18,4.18,942,0
UHG.US,5,20250729,165500,4.17,4.18,4.17,4.18,1100,0
UHG.US,5,20250729,170000,4.18,4.18,4.18,4.18,1100,0
UHG.US,5,20250729,170500,4.15,4.15,4.15,4.15,300,0
UHG.US,5,20250729,171000,4.16,4.16,4.16,4.16,2100,0
UHG.US,5,20250729,171500,4.1499,4.1499,4.135,4.135,3207,0
UHG.US,5,20250729,172500,4.12,4.15,4.12,4.14,3616,0
UHG.US,5,20250729,173000,4.18,4.21,4.18,4.1881,1801,0
UHG.US,5,20250729,183000,4.26,4.2839,4.26,4.2839,412,0
UHG.US,5,20250729,184500,4.2797,4.2797,4.265,4.265,200,0
UHG.US,5,20250729,185000,4.25,4.251,4.21,4.21,10478,0
UHG.US,5,20250729,185500,4.21,4.24,4.21,4.2399,974,0
UHG.US,5,20250729,190000,4.255,4.255,4.23,4.23,1500,0
UHG.US,5,20250729,191500,4.22,4.24,4.22,4.24,1222,0
