<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WKSP.US,5,20250728,153000,3.83,3.83,3.75,3.75,10899,0
WKSP.US,5,20250728,153500,3.73,3.7562,3.7183,3.73,1850,0
WKSP.US,5,20250728,154000,3.7061,3.76,3.61,3.6815,9704,0
WKSP.US,5,20250728,154500,3.6834,3.7,3.662652,3.662652,3300,0
WKSP.US,5,20250728,155000,3.7,3.7433,3.7,3.7433,1945,0
WKSP.US,5,20250728,155500,3.7385,3.7385,3.685,3.7,501,0
WKSP.US,5,20250728,160000,3.702,3.7245,3.702,3.7245,770,0
WKSP.US,5,20250728,160500,3.69,3.7299,3.6508,3.6508,2732,0
WKSP.US,5,20250728,161000,3.68,3.68,3.6,3.61,10881,0
WKSP.US,5,20250728,161500,3.6,3.65,3.6,3.635,574,0
WKSP.US,5,20250728,162000,3.6645,3.6645,3.6539,3.66,4835,0
WKSP.US,5,20250728,162500,3.63,3.63,3.63,3.63,125,0
WKSP.US,5,20250728,163000,3.6317,3.6393,3.6317,3.6393,1100,0
WKSP.US,5,20250728,163500,3.63,3.63,3.625,3.63,1431,0
WKSP.US,5,20250728,164000,3.64,3.65,3.6242,3.65,3982,0
WKSP.US,5,20250728,164500,3.62,3.62,3.58,3.6014,6041,0
WKSP.US,5,20250728,165000,3.5822,3.6225,3.5822,3.605,6282,0
WKSP.US,5,20250728,165500,3.58,3.6169,3.58,3.5865,1730,0
WKSP.US,5,20250728,170000,3.6264,3.6264,3.605,3.6083,3150,0
WKSP.US,5,20250728,170500,3.62,3.62,3.62,3.62,1391,0
WKSP.US,5,20250728,171000,3.6,3.6,3.6,3.6,2000,0
WKSP.US,5,20250728,171500,3.6,3.6,3.58,3.58,6115,0
WKSP.US,5,20250728,172000,3.5942,3.5942,3.5942,3.5942,2000,0
WKSP.US,5,20250728,172500,3.6,3.6,3.58,3.6,3825,0
WKSP.US,5,20250728,173000,3.6,3.62,3.57,3.6,8086,0
WKSP.US,5,20250728,173500,3.56,3.6005,3.56,3.56,3571,0
WKSP.US,5,20250728,174000,3.56,3.57,3.55,3.57,1300,0
WKSP.US,5,20250728,174500,3.555,3.5786,3.555,3.5786,1400,0
WKSP.US,5,20250728,175000,3.555,3.58,3.55,3.58,1812,0
WKSP.US,5,20250728,175500,3.5897,3.5955,3.55,3.5872,18150,0
WKSP.US,5,20250728,180000,3.56,3.5666,3.49,3.5,24254,0
WKSP.US,5,20250728,180500,3.5231,3.5231,3.5,3.5114,1216,0
WKSP.US,5,20250728,181000,3.5294,3.5297,3.515,3.5297,1200,0
WKSP.US,5,20250728,181500,3.5,3.5082,3.5,3.5,1150,0
WKSP.US,5,20250728,182000,3.49,3.5095,3.48,3.48,5061,0
WKSP.US,5,20250728,182500,3.4716,3.4716,3.43,3.458,14498,0
WKSP.US,5,20250728,183000,3.5014,3.5014,3.46,3.46,1785,0
WKSP.US,5,20250728,183500,3.455,3.4997,3.41,3.4321,9995,0
WKSP.US,5,20250728,184000,3.43,3.43,3.43,3.43,125,0
WKSP.US,5,20250728,184500,3.42,3.43,3.42,3.43,398,0
WKSP.US,5,20250728,185000,3.41,3.46,3.41,3.46,4022,0
WKSP.US,5,20250728,185500,3.4839,3.485,3.4,3.4089,21597,0
WKSP.US,5,20250728,190000,3.4742,3.4742,3.37,3.3701,17822,0
WKSP.US,5,20250728,190500,3.405,3.41,3.3346,3.3346,21654,0
WKSP.US,5,20250728,191000,3.41,3.52,3.33,3.4154,68205,0
WKSP.US,5,20250728,191500,3.3638,3.429,3.33,3.37,35384,0
WKSP.US,5,20250728,192000,3.4059,3.41,3.3501,3.3701,11748,0
WKSP.US,5,20250728,192500,3.3881,3.405,3.3881,3.405,6807,0
WKSP.US,5,20250728,193000,3.4298,3.4372,3.41,3.41,7648,0
WKSP.US,5,20250728,193500,3.3501,3.43,3.3501,3.43,5447,0
WKSP.US,5,20250728,194000,3.43,3.43,3.43,3.43,220,0
WKSP.US,5,20250728,194500,3.45,3.4799,3.4201,3.43,8550,0
WKSP.US,5,20250728,195000,3.4,3.435,3.3901,3.3901,4300,0
WKSP.US,5,20250728,195500,3.43,3.4799,3.43,3.4582,2870,0
WKSP.US,5,20250728,200000,3.44,3.4781,3.44,3.4545,2541,0
WKSP.US,5,20250728,200500,3.45,3.45,3.4107,3.4107,420,0
WKSP.US,5,20250728,201000,3.48,3.48,3.4721,3.4721,200,0
WKSP.US,5,20250728,201500,3.44,3.44,3.43,3.43,305,0
WKSP.US,5,20250728,202000,3.4771,3.4771,3.445,3.47,3500,0
WKSP.US,5,20250728,202500,3.455,3.47,3.43,3.4493,9541,0
WKSP.US,5,20250728,203000,3.455,3.5082,3.455,3.5082,950,0
WKSP.US,5,20250728,203500,3.5348,3.54,3.4801,3.5248,20117,0
WKSP.US,5,20250728,204000,3.5079,3.5334,3.4801,3.5334,1432,0
WKSP.US,5,20250728,204500,3.5252,3.54,3.49,3.5343,5127,0
WKSP.US,5,20250728,205000,3.5001,3.52,3.5,3.5,1600,0
WKSP.US,5,20250728,205500,3.5001,3.5245,3.5001,3.514,1100,0
WKSP.US,5,20250728,210000,3.52,3.53,3.5003,3.53,2850,0
WKSP.US,5,20250728,210500,3.5,3.5,3.48,3.495,1050,0
WKSP.US,5,20250728,211000,3.4701,3.4701,3.4701,3.4701,100,0
WKSP.US,5,20250728,211500,3.47,3.47,3.47,3.47,100,0
WKSP.US,5,20250728,212000,3.4992,3.4992,3.32,3.3775,61814,0
WKSP.US,5,20250728,212500,3.35,3.35,3.35,3.35,100,0
WKSP.US,5,20250728,213000,3.405,3.405,3.36,3.405,4092,0
WKSP.US,5,20250728,213500,3.3801,3.4236,3.3801,3.39,905,0
WKSP.US,5,20250728,214000,3.41,3.41,3.41,3.41,108,0
WKSP.US,5,20250728,214500,3.4088,3.41,3.3901,3.3901,3934,0
WKSP.US,5,20250728,215000,3.4086,3.4086,3.365,3.39,6406,0
WKSP.US,5,20250728,215500,3.385,3.3999,3.385,3.39,4707,0
WKSP.US,5,20250729,153000,3.38,3.4,3.38,3.3982,5666,0
WKSP.US,5,20250729,153500,3.3988,3.3988,3.37,3.38,2832,0
WKSP.US,5,20250729,154000,3.4825,3.4825,3.4,3.4,4360,0
WKSP.US,5,20250729,154500,3.4003,3.405,3.4,3.4,2244,0
WKSP.US,5,20250729,155000,3.4065,3.4065,3.3793,3.3793,466,0
WKSP.US,5,20250729,155500,3.3717,3.3717,3.37,3.3706,9809,0
WKSP.US,5,20250729,160000,3.3709,3.3709,3.37,3.37,752,0
