<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WYHG.US,5,20250728,153000,1.27,1.27,1.2,1.2,4751,0
WYHG.US,5,20250728,153500,1.18,1.21,1.17,1.2,2800,0
WYHG.US,5,20250728,154000,1.201,1.201,1.201,1.201,300,0
WYHG.US,5,20250728,154500,1.24,1.2498,1.24,1.2498,408,0
WYHG.US,5,20250728,160500,1.2157,1.2157,1.2157,1.2157,109,0
WYHG.US,5,20250728,161000,1.21,1.21,1.2,1.2099,1600,0
WYHG.US,5,20250728,162500,1.22,1.22,1.22,1.22,434,0
WYHG.US,5,20250728,163000,1.22,1.22,1.22,1.22,100,0
WYHG.US,5,20250728,171500,1.2299,1.2299,1.2299,1.2299,300,0
WYHG.US,5,20250728,173500,1.23,1.23,1.23,1.23,1134,0
WYHG.US,5,20250728,181500,1.2211,1.2211,1.2211,1.2211,272,0
WYHG.US,5,20250728,185500,1.22,1.245,1.22,1.245,576,0
WYHG.US,5,20250728,194000,1.23,1.23,1.2,1.2,3051,0
WYHG.US,5,20250728,195000,1.23,1.23,1.23,1.23,200,0
WYHG.US,5,20250728,202500,1.23,1.23,1.23,1.23,813,0
WYHG.US,5,20250728,204500,1.23,1.23,1.23,1.23,100,0
WYHG.US,5,20250728,214500,1.215,1.215,1.2,1.2,300,0
WYHG.US,5,20250729,154500,1.22,1.22,1.2,1.2,3332,0
WYHG.US,5,20250729,155500,1.2,1.2,1.2,1.2,1428,0
WYHG.US,5,20250729,160000,1.21,1.21,1.21,1.21,100,0
WYHG.US,5,20250729,160500,1.21,1.21,1.2,1.2,1480,0
WYHG.US,5,20250729,162000,1.2092,1.21,1.2092,1.21,290,0
WYHG.US,5,20250729,164000,1.205,1.205,1.205,1.205,100,0
WYHG.US,5,20250729,170000,1.205,1.205,1.19,1.19,5553,0
WYHG.US,5,20250729,172500,1.2,1.2,1.2,1.2,436,0
WYHG.US,5,20250729,173500,1.2017,1.2017,1.2017,1.2017,500,0
WYHG.US,5,20250729,180000,1.2,1.2,1.19,1.19,1378,0
WYHG.US,5,20250729,181500,1.185,1.185,1.185,1.185,300,0
WYHG.US,5,20250729,182500,1.185,1.185,1.185,1.185,170,0
WYHG.US,5,20250729,183000,1.185,1.185,1.185,1.185,500,0
WYHG.US,5,20250729,184000,1.19,1.19,1.19,1.19,630,0
WYHG.US,5,20250729,194500,1.1958,1.1958,1.1958,1.1958,100,0
WYHG.US,5,20250729,200000,1.2,1.2,1.19,1.2,1658,0
WYHG.US,5,20250729,205000,1.2,1.2,1.2,1.2,110,0
WYHG.US,5,20250729,214000,1.1843,1.1843,1.1843,1.1843,813,0
WYHG.US,5,20250730,153000,1.17,1.17,1.17,1.17,301,0
WYHG.US,5,20250730,155500,1.17,1.17,1.17,1.17,100,0
WYHG.US,5,20250730,160000,1.165,1.165,1.165,1.165,300,0
WYHG.US,5,20250730,160500,1.1602,1.1602,1.16,1.16,474,0
WYHG.US,5,20250730,161000,1.16,1.16,1.15,1.15,2660,0
WYHG.US,5,20250730,163000,1.15,1.15,1.15,1.15,100,0
WYHG.US,5,20250730,163500,1.16,1.16,1.16,1.16,500,0
WYHG.US,5,20250730,164000,1.16,1.16,1.16,1.16,100,0
WYHG.US,5,20250730,170500,1.16,1.16,1.16,1.16,2900,0
WYHG.US,5,20250730,172000,1.16,1.175,1.16,1.175,1084,0
WYHG.US,5,20250730,181000,1.16,1.16,1.15,1.15,19751,0
WYHG.US,5,20250730,182000,1.17,1.17,1.17,1.17,100,0
WYHG.US,5,20250730,182500,1.16,1.16,1.16,1.16,165,0
WYHG.US,5,20250730,184000,1.17,1.17,1.17,1.17,648,0
WYHG.US,5,20250730,185500,1.16,1.16,1.16,1.16,300,0
WYHG.US,5,20250730,191000,1.1685,1.1685,1.1685,1.1685,200,0
WYHG.US,5,20250730,191500,1.1521,1.1521,1.1521,1.1521,500,0
WYHG.US,5,20250730,192500,1.16,1.16,1.16,1.16,200,0
WYHG.US,5,20250730,194500,1.169,1.17,1.169,1.17,9934,0
WYHG.US,5,20250730,195000,1.1699,1.1699,1.1699,1.1699,159,0
WYHG.US,5,20250730,200000,1.17,1.17,1.17,1.17,100,0
WYHG.US,5,20250730,205000,1.1532,1.1532,1.1532,1.1532,1441,0
