<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVSE.US,5,20250728,155500,59.605,59.605,59.605,59.605,228,0
AVSE.US,5,20250728,162000,59.56,59.56,59.56,59.56,100,0
AVSE.US,5,20250728,163500,59.7267,59.7267,59.7267,59.7267,1081,0
AVSE.US,5,20250728,173500,59.6625,59.6625,59.6625,59.6625,269,0
AVSE.US,5,20250728,194000,59.58,59.58,59.58,59.58,100,0
AVSE.US,5,20250729,213500,59.68,59.685,59.68,59.685,303,0
AVSE.US,5,20250730,153500,59.58,59.7,59.58,59.7,2986,0
AVSE.US,5,20250730,170500,59.5,59.5,59.5,59.5,2100,0
AVSE.US,5,20250730,172000,59.485,59.485,59.485,59.485,366,0
AVSE.US,5,20250730,180000,59.5232,59.589,59.5232,59.5232,4187,0
AVSE.US,5,20250730,181000,59.5429,59.5429,59.5429,59.5429,744,0
AVSE.US,5,20250730,185500,59.613,59.613,59.613,59.613,261,0
AVSE.US,5,20250730,193000,59.6336,59.6336,59.6336,59.6336,503,0
AVSE.US,5,20250731,164500,59.04,59.04,59.04,59.04,835,0
AVSE.US,5,20250731,165500,59.0262,59.0262,59.0262,59.0262,100,0
AVSE.US,5,20250731,171500,59.115,59.115,59.115,59.115,370,0
AVSE.US,5,20250731,192500,59,59,59,59,847,0
AVSE.US,5,20250731,194000,58.96,58.96,58.96,58.96,100,0
AVSE.US,5,20250731,195500,58.85,58.85,58.85,58.85,1000,0
AVSE.US,5,20250731,210000,58.88,59.08,58.88,59.08,400,0
AVSE.US,5,20250801,203500,58.42,58.42,58.42,58.42,155,0
AVSE.US,5,20250801,211500,58.3681,58.3681,58.3681,58.3681,4116,0
AVSE.US,5,20250801,212000,58.3699,58.3699,58.3699,58.3699,3856,0
AVSE.US,5,20250801,213500,58.3006,58.3006,58.3006,58.3006,150,0
AVSE.US,5,20250801,214500,58.45,58.458,58.31,58.31,650,0
AVSE.US,5,20250804,164500,59.11,59.11,59.11,59.11,2000,0
AVSE.US,5,20250804,165000,59.07,59.07,58.99,58.99,300,0
AVSE.US,5,20250804,213000,58.98,59.13,58.98,59.0402,444,0
AVSE.US,5,20250804,214500,59.02,59.02,59.02,59.02,606,0
AVSE.US,5,20250805,153500,59.44,59.45,59.44,59.45,400,0
AVSE.US,5,20250805,161500,59.3899,59.3899,59.3899,59.3899,285,0
AVSE.US,5,20250805,184500,59.0917,59.0917,59.0917,59.0917,115,0
AVSE.US,5,20250805,190500,59.31,59.31,59.31,59.31,100,0
AVSE.US,5,20250806,153500,59.35,59.35,59.35,59.35,100,0
AVSE.US,5,20250806,170000,59.2655,59.28,59.2655,59.2799,1287,0
AVSE.US,5,20250806,174000,59.27,59.27,59.27,59.27,165,0
AVSE.US,5,20250806,210500,59.522,59.522,59.49,59.49,384,0
AVSE.US,5,20250806,211000,59.48,59.48,59.48,59.48,101,0
AVSE.US,5,20250807,194500,59.8,59.8,59.8,59.8,3067,0
AVSE.US,5,20250807,210500,59.77,59.77,59.77,59.77,539,0
AVSE.US,5,20250807,214500,60.0199,60.0199,59.932,59.932,396,0
AVSE.US,5,20250808,171000,59.8018,59.8018,59.8018,59.8018,830,0
AVSE.US,5,20250808,171500,59.8722,59.8722,59.8722,59.8722,444,0
AVSE.US,5,20250808,172000,59.86,59.86,59.85,59.85,600,0
AVSE.US,5,20250808,210000,59.9999,59.9999,59.9999,59.9999,150,0
AVSE.US,5,20250808,212500,59.8868,59.8868,59.8868,59.8868,293,0
AVSE.US,5,20250811,160000,59.97,59.97,59.97,59.97,100,0
AVSE.US,5,20250811,193000,59.7754,59.7754,59.7754,59.7754,1096,0
AVSE.US,5,20250811,211000,59.825,59.825,59.825,59.825,313,0
AVSE.US,5,20250812,155500,60.06,60.06,60.06,60.06,100,0
AVSE.US,5,20250812,173500,60.355,60.355,60.355,60.355,183,0
AVSE.US,5,20250812,200000,60.43,60.43,60.43,60.43,358,0
AVSE.US,5,20250812,211500,60.455,60.455,60.455,60.455,760,0
AVSE.US,5,20250813,154000,61.15,61.15,61.15,61.15,100,0
AVSE.US,5,20250813,160500,61.0583,61.0583,61.0583,61.0583,122,0
AVSE.US,5,20250813,163500,61.2,61.2,61.2,61.2,165,0
AVSE.US,5,20250813,180000,61.0289,61.0289,61.0289,61.0289,582,0
AVSE.US,5,20250813,180500,61.02,61.02,61.02,61.02,100,0
AVSE.US,5,20250813,182500,61.06,61.06,61.06,61.06,100,0
AVSE.US,5,20250813,201500,61.0508,61.0508,61.0508,61.0508,100,0
AVSE.US,5,20250813,204000,60.975,61.01,60.975,61.01,1118,0
AVSE.US,5,20250813,205000,60.985,60.985,60.91,60.91,200,0
AVSE.US,5,20250813,210500,61.0389,61.06,61.0389,61.06,231,0
AVSE.US,5,20250813,212000,61.03,61.03,61.03,61.03,100,0
AVSE.US,5,20250814,154500,60.33,60.33,60.33,60.33,100,0
AVSE.US,5,20250814,165500,60.5476,60.5476,60.5476,60.5476,164,0
AVSE.US,5,20250814,175000,60.39,60.39,60.39,60.39,431,0
AVSE.US,5,20250814,181000,60.4,60.4,60.4,60.4,100,0
AVSE.US,5,20250814,184000,60.3905,60.41,60.3905,60.41,223,0
AVSE.US,5,20250814,193500,60.5099,60.5099,60.39,60.39,623,0
AVSE.US,5,20250814,195500,60.3928,60.52,60.3928,60.3928,2243,0
AVSE.US,5,20250814,201000,60.4,60.4,60.4,60.4,925,0
AVSE.US,5,20250814,201500,60.47,60.47,60.47,60.47,100,0
AVSE.US,5,20250814,210500,60.3924,60.4976,60.3924,60.4976,1052,0
AVSE.US,5,20250814,213000,60.46,60.46,60.46,60.46,562,0
AVSE.US,5,20250815,160000,60.75,60.75,60.75,60.75,100,0
AVSE.US,5,20250815,160500,60.75,60.75,60.75,60.75,802,0
AVSE.US,5,20250815,161500,60.75,60.75,60.75,60.75,1041,0
AVSE.US,5,20250815,163000,60.72,60.72,60.72,60.72,100,0
AVSE.US,5,20250815,195500,60.6101,60.6101,60.6101,60.6101,700,0
AVSE.US,5,20250815,210500,60.53,60.5301,60.53,60.5301,806,0
AVSE.US,5,20250815,211000,60.53,60.68,60.53,60.68,1134,0
AVSE.US,5,20250815,215000,60.68,60.68,60.68,60.68,100,0
AVSE.US,5,20250815,215500,60.637,60.679,60.51,60.51,815,0
AVSE.US,5,20250818,160000,61.07,61.07,61.07,61.07,100,0
AVSE.US,5,20250818,173000,60.98,60.98,60.98,60.98,704,0
AVSE.US,5,20250818,175000,61.06,61.06,61.05,61.06,984,0
AVSE.US,5,20250818,183500,61.07,61.07,61.07,61.07,100,0
AVSE.US,5,20250819,163500,60.68,60.68,60.68,60.68,143,0
AVSE.US,5,20250819,184500,60.545,60.545,60.545,60.545,602,0
AVSE.US,5,20250819,195000,60.62,60.62,60.62,60.62,100,0
AVSE.US,5,20250820,174000,60.2123,60.2123,60.2123,60.2123,405,0
AVSE.US,5,20250820,185000,60.26,60.26,60.26,60.26,100,0
AVSE.US,5,20250820,210500,60.302,60.302,60.302,60.302,131,0
AVSE.US,5,20250821,155000,60.22,60.22,60.22,60.22,100,0
AVSE.US,5,20250821,193500,60.1936,60.1936,60.1936,60.1936,167,0
AVSE.US,5,20250821,195500,60.2216,60.2216,60.2216,60.2216,156,0
AVSE.US,5,20250821,210000,60.2605,60.2605,60.2605,60.2605,199,0
AVSE.US,5,20250821,213500,60.234,60.234,60.234,60.234,909,0
AVSE.US,5,20250822,154500,60.54,60.54,60.54,60.54,850,0
AVSE.US,5,20250822,162500,61.17,61.17,61.17,61.17,100,0
AVSE.US,5,20250822,171000,61.265,61.265,61.265,61.265,507,0
AVSE.US,5,20250822,173000,61.2001,61.2001,61.2001,61.2001,850,0
AVSE.US,5,20250822,210000,61.3783,61.3795,61.3783,61.3795,1200,0
AVSE.US,5,20250822,213000,61.32,61.34,61.255,61.3399,2317,0
AVSE.US,5,20250825,155500,61.35,61.35,61.35,61.35,100,0
AVSE.US,5,20250825,180000,61.28,61.28,61.28,61.28,112,0
AVSE.US,5,20250825,213500,61.055,61.055,61.055,61.055,100,0
AVSE.US,5,20250826,160500,60.94,60.94,60.94,60.94,100,0
AVSE.US,5,20250826,165500,60.9041,60.9041,60.9041,60.9041,374,0
AVSE.US,5,20250826,174000,60.8208,60.8208,60.8208,60.8208,164,0
AVSE.US,5,20250826,174500,60.8098,60.8098,60.8098,60.8098,320,0
AVSE.US,5,20250826,195500,60.74,60.74,60.74,60.74,175,0
AVSE.US,5,20250826,200000,60.75,60.75,60.75,60.75,113,0
AVSE.US,5,20250826,202500,60.76,60.76,60.76,60.76,189,0
AVSE.US,5,20250826,212500,60.8337,60.8337,60.8337,60.8337,121,0
AVSE.US,5,20250826,215000,60.81,60.81,60.7361,60.7361,248,0
AVSE.US,5,20250827,154500,60.23,60.23,60.23,60.23,100,0
AVSE.US,5,20250827,175000,60.36,60.36,60.36,60.36,100,0
AVSE.US,5,20250827,182500,60.33,60.33,60.33,60.33,100,0
AVSE.US,5,20250827,195000,60.48,60.48,60.48,60.48,10007,0
AVSE.US,5,20250827,203500,60.3963,60.51,60.3509,60.5099,1344,0
AVSE.US,5,20250828,155000,60.58,60.58,60.58,60.58,100,0
AVSE.US,5,20250828,174000,60.67,60.67,60.635,60.635,768,0
AVSE.US,5,20250828,175000,60.62,60.62,60.62,60.62,100,0
AVSE.US,5,20250828,182000,60.76,60.76,60.76,60.76,100,0
AVSE.US,5,20250829,172000,60.355,60.355,60.35,60.35,273,0
AVSE.US,5,20250902,161000,60.12,60.12,60.12,60.12,100,0
AVSE.US,5,20250902,174500,59.88,59.88,59.88,59.88,206,0
AVSE.US,5,20250902,175000,59.94,59.94,59.9399,59.9399,200,0
AVSE.US,5,20250902,181000,59.9255,59.9255,59.9255,59.9255,161,0
AVSE.US,5,20250902,183500,59.945,59.945,59.945,59.945,892,0
AVSE.US,5,20250902,185000,60.05,60.05,60.0499,60.0499,2000,0
AVSE.US,5,20250902,201500,60.0603,60.0603,60.02,60.02,873,0
AVSE.US,5,20250902,203000,60.01,60.01,60.01,60.01,100,0
AVSE.US,5,20250902,205000,60.0769,60.0769,60.0769,60.0769,140,0
AVSE.US,5,20250902,214500,60.0481,60.0481,60.0481,60.0481,100,0
AVSE.US,5,20250903,161500,60.54,60.54,60.54,60.54,100,0
AVSE.US,5,20250903,170500,60.57,60.57,60.57,60.57,100,0
AVSE.US,5,20250903,202000,60.435,60.435,60.435,60.435,180,0
AVSE.US,5,20250903,205000,60.4838,60.4838,60.4838,60.4838,277,0
AVSE.US,5,20250903,205500,60.39,60.39,60.39,60.39,223,0
AVSE.US,5,20250903,210500,60.492,60.492,60.492,60.492,132,0
AVSE.US,5,20250903,211000,60.48,60.4899,60.45,60.45,4400,0
AVSE.US,5,20250903,212500,60.44,60.44,60.44,60.44,100,0
AVSE.US,5,20250903,213000,60.45,60.45,60.45,60.45,100,0
AVSE.US,5,20250903,214500,60.455,60.455,60.455,60.455,118,0
AVSE.US,5,20250904,203000,60.2001,60.2001,60.2001,60.2001,459,0
AVSE.US,5,20250904,213500,60.32,60.32,60.32,60.32,125,0
AVSE.US,5,20250905,155500,61.42,61.42,61.42,61.42,100,0
AVSE.US,5,20250905,170500,61.01,61.01,61.01,61.01,120,0
AVSE.US,5,20250905,205000,61.1708,61.1708,61.1708,61.1708,120,0
AVSE.US,5,20250905,210500,61.16,61.16,61.16,61.16,212,0
AVSE.US,5,20250905,213000,61.21,61.21,61.21,61.21,160,0
AVSE.US,5,20250908,173500,61.601,61.63,61.601,61.63,402,0
AVSE.US,5,20250908,183500,61.6,61.6,61.6,61.6,296,0
AVSE.US,5,20250908,191500,61.55,61.55,61.55,61.55,115,0
AVSE.US,5,20250908,203500,61.71,61.72,61.71,61.72,682,0
