<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDC.US,5,20250728,163500,22.0874,22.0874,22.0874,22.0874,270,0
BNDC.US,5,20250728,175500,22.06,22.07,22.06,22.07,1000,0
BNDC.US,5,20250728,183500,22.08,22.08,22.08,22.08,720,0
BNDC.US,5,20250728,184500,22.0529,22.0529,22.0529,22.0529,508,0
BNDC.US,5,20250728,201500,22.0701,22.0701,22.0701,22.0701,150,0
BNDC.US,5,20250728,210000,22.07,22.07,22.07,22.07,5057,0
BNDC.US,5,20250728,215500,22.08,22.08,22.08,22.08,100,0
BNDC.US,5,20250729,172000,22.17,22.17,22.17,22.17,1474,0
BNDC.US,5,20250729,174500,22.135,22.135,22.135,22.135,246,0
BNDC.US,5,20250729,183500,22.131,22.131,22.131,22.131,100,0
BNDC.US,5,20250729,191000,22.16,22.16,22.16,22.16,100,0
BNDC.US,5,20250729,200000,22.15,22.15,22.15,22.15,100,0
BNDC.US,5,20250729,201000,22.17,22.17,22.17,22.17,344,0
BNDC.US,5,20250729,205000,22.18,22.18,22.18,22.18,400,0
BNDC.US,5,20250729,205500,22.151,22.151,22.151,22.151,188,0
BNDC.US,5,20250729,213000,22.1633,22.1633,22.1633,22.1633,1790,0
BNDC.US,5,20250729,215000,22.16,22.1652,22.16,22.1652,4207,0
BNDC.US,5,20250730,155000,22.13,22.13,22.13,22.13,308,0
BNDC.US,5,20250730,180000,22.1327,22.1327,22.1327,22.1327,106,0
BNDC.US,5,20250730,192000,22.1328,22.1328,22.1328,22.1328,250,0
BNDC.US,5,20250730,195500,22.1425,22.1425,22.1425,22.1425,614,0
BNDC.US,5,20250730,200000,22.16,22.16,22.16,22.16,648,0
BNDC.US,5,20250730,212000,22.11,22.11,22.11,22.11,800,0
BNDC.US,5,20250730,213000,22.11,22.11,22.11,22.11,210,0
BNDC.US,5,20250731,164000,22.1333,22.1333,22.1333,22.1333,169,0
BNDC.US,5,20250731,211000,22.125,22.125,22.125,22.125,105,0
BNDC.US,5,20250801,155500,22.27,22.27,22.27,22.27,147,0
BNDC.US,5,20250801,160000,22.31,22.31,22.31,22.31,269,0
BNDC.US,5,20250801,172500,22.2795,22.2795,22.2795,22.2795,224,0
