<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRBN.US,5,20250728,154000,216.19,216.19,216.19,216.19,100,0
CRBN.US,5,20250728,160000,216.11,216.11,215.71,215.71,757,0
CRBN.US,5,20250728,161000,216.15,216.15,216.15,216.15,232,0
CRBN.US,5,20250728,174000,216.03,216.03,216.03,216.03,100,0
CRBN.US,5,20250729,160000,216.1254,216.1254,216.1254,216.1254,144,0
CRBN.US,5,20250729,161000,215.9963,215.9963,215.9963,215.9963,101,0
CRBN.US,5,20250729,162000,215.612,215.612,215.612,215.612,147,0
CRBN.US,5,20250729,170500,215.21,215.336,215.21,215.336,379,0
CRBN.US,5,20250729,171000,215.57,215.57,215.57,215.57,100,0
CRBN.US,5,20250729,171500,215.365,215.365,215.365,215.365,132,0
CRBN.US,5,20250729,172000,215.26,215.26,215.215,215.215,282,0
CRBN.US,5,20250729,174000,215.05,215.05,215.05,215.05,100,0
CRBN.US,5,20250729,174500,215.04,215.04,215.04,215.04,100,0
CRBN.US,5,20250729,180500,215.1,215.1,215.1,215.1,100,0
CRBN.US,5,20250729,183500,215.01,215.01,215.01,215.01,100,0
CRBN.US,5,20250729,184000,215.19,215.19,215.19,215.19,116,0
CRBN.US,5,20250729,200000,215.2797,215.37,215.235,215.37,952,0
CRBN.US,5,20250729,213500,214.88,214.881,214.88,214.881,240,0
CRBN.US,5,20250729,215500,215.07,215.13,214.98,214.98,539,0
CRBN.US,5,20250730,160000,215.23,215.23,215.23,215.23,100,0
CRBN.US,5,20250730,184500,215.215,215.215,215.215,215.215,325,0
CRBN.US,5,20250730,203000,215.4479,215.4479,215.4479,215.4479,181,0
CRBN.US,5,20250730,211000,214.1,214.1,214.1,214.1,1495,0
CRBN.US,5,20250731,153500,214.95,215.135,214.95,215.135,500,0
CRBN.US,5,20250731,160000,215.2101,215.35,215.2101,215.35,263,0
CRBN.US,5,20250731,161000,215.255,215.285,215.255,215.285,425,0
CRBN.US,5,20250731,170000,214.765,214.765,214.765,214.765,225,0
CRBN.US,5,20250731,171500,214.25,214.2761,214.25,214.2761,200,0
CRBN.US,5,20250731,172000,214.39,214.39,214.39,214.39,375,0
CRBN.US,5,20250731,173500,214.63,214.63,214.63,214.63,200,0
CRBN.US,5,20250731,175000,214.74,214.74,214.6588,214.6588,200,0
CRBN.US,5,20250731,175500,214.84,214.84,214.84,214.84,100,0
CRBN.US,5,20250731,180000,214.875,214.875,214.875,214.875,100,0
CRBN.US,5,20250731,180500,214.7955,214.91,214.7955,214.91,654,0
CRBN.US,5,20250731,182000,214.985,214.985,214.985,214.985,480,0
CRBN.US,5,20250731,182500,214.985,215.02,214.985,215.02,200,0
CRBN.US,5,20250731,183000,215.02,215.02,215.02,215.02,200,0
CRBN.US,5,20250731,183500,215.02,215.06,215.02,215.06,300,0
CRBN.US,5,20250731,185000,214.82,214.82,214.82,214.82,100,0
CRBN.US,5,20250731,190000,214.74,214.74,214.74,214.74,100,0
CRBN.US,5,20250731,191000,214.73,214.73,214.73,214.73,100,0
CRBN.US,5,20250731,192000,214.45,214.45,214.45,214.45,100,0
CRBN.US,5,20250731,193000,213.91,213.91,213.91,213.91,100,0
CRBN.US,5,20250731,193500,214.05,214.12,214.05,214.12,400,0
CRBN.US,5,20250731,194500,214.04,214.04,214.04,214.04,100,0
CRBN.US,5,20250731,195500,213.56,213.56,213.56,213.56,100,0
CRBN.US,5,20250731,200500,213.4,213.4,213.4,213.4,100,0
CRBN.US,5,20250731,201500,213.01,213.28,213.01,213.28,300,0
CRBN.US,5,20250731,202000,213.35,213.35,213.35,213.35,200,0
CRBN.US,5,20250731,202500,213.85,213.85,213.85,213.85,100,0
CRBN.US,5,20250731,203000,213.92,213.92,213.92,213.92,100,0
CRBN.US,5,20250731,205000,213.93,213.93,213.93,213.93,100,0
CRBN.US,5,20250731,210000,213.78,213.78,213.78,213.78,100,0
CRBN.US,5,20250731,210500,213.86,213.86,213.86,213.86,100,0
CRBN.US,5,20250731,211000,213.74,213.74,213.74,213.74,100,0
CRBN.US,5,20250731,211500,213.63,213.63,213.63,213.63,100,0
CRBN.US,5,20250731,212000,213.6461,213.6461,213.6461,213.6461,1769,0
CRBN.US,5,20250801,160000,209.8538,209.8538,209.8538,209.8538,142,0
CRBN.US,5,20250801,162500,210.65,210.65,210.65,210.65,100,0
CRBN.US,5,20250801,175000,211.2,211.2,211.2,211.2,178,0
CRBN.US,5,20250801,191000,210.39,210.39,210.39,210.39,1120,0
CRBN.US,5,20250801,193500,210.15,210.15,210.15,210.15,100,0
CRBN.US,5,20250801,194500,210.3572,210.3572,210.3572,210.3572,237,0
CRBN.US,5,20250801,202500,210.085,210.085,210.085,210.085,100,0
CRBN.US,5,20250801,211500,210.55,210.55,210.55,210.55,100,0
CRBN.US,5,20250804,161000,213.25,213.25,213.25,213.25,100,0
CRBN.US,5,20250804,162000,213.4153,213.489,213.4153,213.4462,2347,0
CRBN.US,5,20250804,165000,213.62,213.62,213.62,213.62,104,0
CRBN.US,5,20250804,184500,213.6749,213.6749,213.6749,213.6749,172,0
CRBN.US,5,20250804,185000,213.46,213.46,213.46,213.46,100,0
CRBN.US,5,20250804,193500,213.73,213.73,213.73,213.73,100,0
CRBN.US,5,20250804,200000,213.441,213.4416,213.441,213.4416,202,0
CRBN.US,5,20250804,214000,213.51,213.55,213.51,213.55,418,0
CRBN.US,5,20250805,155000,214.43,214.5,214.43,214.5,3500,0
CRBN.US,5,20250805,160000,214.52,214.52,214.145,214.185,2615,0
CRBN.US,5,20250805,161000,214.23,214.23,214.23,214.23,215,0
CRBN.US,5,20250805,170000,213.34,213.34,213.32,213.32,352,0
CRBN.US,5,20250805,175500,213.35,213.35,213.35,213.35,146,0
CRBN.US,5,20250805,182000,213.6212,213.6212,213.6212,213.6212,106,0
CRBN.US,5,20250805,184000,213.74,213.74,213.74,213.74,225,0
CRBN.US,5,20250805,184500,213.5925,213.5925,213.5925,213.5925,233,0
CRBN.US,5,20250805,191500,213.67,213.67,213.67,213.67,100,0
CRBN.US,5,20250805,203000,213.7103,213.7103,213.7103,213.7103,138,0
CRBN.US,5,20250805,205500,213.469,213.469,213.469,213.469,110,0
CRBN.US,5,20250806,160000,214.0855,214.11,213.76,213.76,1467,0
CRBN.US,5,20250806,160500,213.99,213.99,213.76,213.76,291,0
CRBN.US,5,20250806,161000,214.26,214.26,214.26,214.26,413,0
CRBN.US,5,20250806,162500,213.7758,213.7758,213.7758,213.7758,101,0
CRBN.US,5,20250806,163500,213.78,213.78,213.78,213.78,100,0
CRBN.US,5,20250806,164000,213.98,213.98,213.98,213.98,300,0
CRBN.US,5,20250806,174000,214.1628,214.1628,214.1628,214.1628,155,0
