<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DES.US,5,20250728,153000,32.8821,32.8821,32.8821,32.8821,199,0
DES.US,5,20250728,153500,32.849,32.849,32.849,32.849,101,0
DES.US,5,20250728,154000,32.751,32.751,32.751,32.751,500,0
DES.US,5,20250728,154500,32.74,32.8063,32.7204,32.7204,572,0
DES.US,5,20250728,155000,32.74,32.74,32.66,32.66,2008,0
DES.US,5,20250728,155500,32.6401,32.6401,32.6401,32.6401,162,0
DES.US,5,20250728,160000,32.665,32.67,32.665,32.67,4000,0
DES.US,5,20250728,160500,32.6762,32.6762,32.6762,32.6762,551,0
DES.US,5,20250728,161000,32.66,32.7488,32.66,32.66,1921,0
DES.US,5,20250728,162000,32.67,32.7338,32.67,32.7338,208,0
DES.US,5,20250728,162500,32.66,32.729,32.64,32.729,2583,0
DES.US,5,20250728,163000,32.72,32.74,32.7045,32.7045,1292,0
DES.US,5,20250728,163500,32.7,32.71,32.7,32.7,1900,0
DES.US,5,20250728,164000,32.7298,32.7298,32.71,32.7102,2743,0
DES.US,5,20250728,164500,32.74,32.7402,32.74,32.74,476,0
DES.US,5,20250728,165000,32.74,32.7464,32.74,32.74,2700,0
DES.US,5,20250728,165500,32.73,32.74,32.7289,32.74,1128,0
DES.US,5,20250728,170000,32.7401,32.7401,32.7301,32.7301,1021,0
DES.US,5,20250728,170500,32.76,32.76,32.73,32.73,3240,0
DES.US,5,20250728,171000,32.72,32.75,32.72,32.75,400,0
DES.US,5,20250728,171500,32.75,32.77,32.735,32.735,558,0
DES.US,5,20250728,172000,32.71,32.71,32.71,32.71,100,0
DES.US,5,20250728,172500,32.7199,32.72,32.7,32.72,1148,0
DES.US,5,20250728,173000,32.7,32.72,32.7,32.72,200,0
DES.US,5,20250728,173500,32.7478,32.7491,32.73,32.73,1842,0
DES.US,5,20250728,174500,32.75,32.75,32.73,32.74,2650,0
DES.US,5,20250728,175000,32.7768,32.78,32.7701,32.7766,1498,0
DES.US,5,20250728,175500,32.77,32.77,32.77,32.77,200,0
DES.US,5,20250728,180000,32.793,32.793,32.793,32.793,265,0
DES.US,5,20250728,180500,32.82,32.8304,32.82,32.83,836,0
DES.US,5,20250728,181000,32.82,32.84,32.82,32.82,2135,0
DES.US,5,20250728,181500,32.83,32.835,32.82,32.835,3822,0
DES.US,5,20250728,182000,32.82,32.825,32.82,32.825,960,0
DES.US,5,20250728,182500,32.81,32.81,32.81,32.81,100,0
DES.US,5,20250728,183000,32.8295,32.83,32.8107,32.83,2819,0
DES.US,5,20250728,183500,32.82,32.82,32.8,32.8,3319,0
DES.US,5,20250728,184000,32.8,32.8,32.7801,32.7801,2113,0
DES.US,5,20250728,184500,32.7805,32.7805,32.76,32.76,1915,0
