<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFUV.US,5,20250728,153500,43.415,43.415,43.415,43.415,806,0
DFUV.US,5,20250728,154000,43.3915,43.41,43.3896,43.3896,1193,0
DFUV.US,5,20250728,154500,43.37,43.38,43.34,43.34,3402,0
DFUV.US,5,20250728,155000,43.3433,43.35,43.33,43.34,3545,0
DFUV.US,5,20250728,155500,43.33,43.35,43.3,43.34,3409,0
DFUV.US,5,20250728,160000,43.34,43.37,43.34,43.37,844,0
DFUV.US,5,20250728,160500,43.42,43.42,43.418,43.42,1900,0
DFUV.US,5,20250728,161000,43.4,43.43,43.3909,43.43,3610,0
DFUV.US,5,20250728,161500,43.43,43.43,43.4099,43.41,15997,0
DFUV.US,5,20250728,162000,43.415,43.415,43.35,43.3599,10724,0
DFUV.US,5,20250728,162500,43.3404,43.4,43.3404,43.4,9241,0
DFUV.US,5,20250728,163000,43.4,43.4,43.375,43.375,1853,0
DFUV.US,5,20250728,163500,43.385,43.395,43.3767,43.385,3416,0
DFUV.US,5,20250728,164000,43.385,43.42,43.385,43.419,2853,0
DFUV.US,5,20250728,164500,43.42,43.42,43.395,43.395,1700,0
DFUV.US,5,20250728,165000,43.395,43.395,43.3747,43.3833,1236,0
DFUV.US,5,20250728,165500,43.37,43.385,43.37,43.385,650,0
DFUV.US,5,20250728,170000,43.38,43.3966,43.3601,43.39,2984,0
DFUV.US,5,20250728,170500,43.3902,43.4,43.375,43.4,631,0
DFUV.US,5,20250728,171000,43.375,43.3961,43.375,43.396,672,0
DFUV.US,5,20250728,171500,43.4,43.405,43.385,43.385,1580,0
DFUV.US,5,20250728,172000,43.36,43.3841,43.36,43.38,1055,0
DFUV.US,5,20250728,172500,43.36,43.37,43.36,43.37,200,0
DFUV.US,5,20250728,173000,43.37,43.38,43.365,43.38,2572,0
DFUV.US,5,20250728,173500,43.415,43.415,43.4,43.4,900,0
DFUV.US,5,20250728,174000,43.4,43.41,43.4,43.41,200,0
DFUV.US,5,20250728,174500,43.405,43.415,43.395,43.415,411,0
DFUV.US,5,20250728,175000,43.435,43.435,43.43,43.435,609,0
DFUV.US,5,20250728,175500,43.44,43.44,43.43,43.43,1897,0
DFUV.US,5,20250728,180000,43.42,43.435,43.42,43.435,300,0
DFUV.US,5,20250728,180500,43.43,43.4553,43.43,43.45,5889,0
DFUV.US,5,20250728,181000,43.44,43.455,43.44,43.455,3197,0
DFUV.US,5,20250728,181500,43.455,43.46,43.45,43.4501,900,0
DFUV.US,5,20250728,182000,43.455,43.455,43.4499,43.4499,12505,0
DFUV.US,5,20250728,182500,43.4467,43.4502,43.435,43.435,1338,0
DFUV.US,5,20250728,183000,43.44,43.4401,43.43,43.43,3407,0
DFUV.US,5,20250728,183500,43.4391,43.4391,43.41,43.41,3120,0
DFUV.US,5,20250728,184000,43.42,43.42,43.41,43.41,300,0
DFUV.US,5,20250728,184500,43.39,43.39,43.37,43.375,800,0
DFUV.US,5,20250728,185000,43.37,43.38,43.37,43.38,1300,0
DFUV.US,5,20250728,185500,43.37,43.37,43.37,43.37,500,0
DFUV.US,5,20250728,190000,43.37,43.3998,43.37,43.3998,8442,0
DFUV.US,5,20250728,190500,43.3833,43.3888,43.38,43.3888,1128,0
DFUV.US,5,20250728,191000,43.3804,43.3804,43.365,43.365,1458,0
DFUV.US,5,20250728,191500,43.365,43.365,43.36,43.3603,838,0
DFUV.US,5,20250728,192000,43.3106,43.315,43.3106,43.315,423,0
DFUV.US,5,20250728,192500,43.31,43.31,43.3,43.3,400,0
DFUV.US,5,20250728,193000,43.325,43.325,43.325,43.325,2476,0
DFUV.US,5,20250728,193500,43.34,43.34,43.33,43.33,400,0
DFUV.US,5,20250728,194000,43.3233,43.34,43.3204,43.325,20017,0
DFUV.US,5,20250728,194500,43.335,43.335,43.32,43.32,730,0
DFUV.US,5,20250728,195000,43.31,43.32,43.31,43.32,400,0
DFUV.US,5,20250728,195500,43.305,43.305,43.29,43.29,530,0
DFUV.US,5,20250728,200000,43.26,43.2633,43.26,43.26,5082,0
DFUV.US,5,20250728,200500,43.26,43.26,43.245,43.25,734,0
DFUV.US,5,20250728,201000,43.26,43.275,43.26,43.2667,1564,0
DFUV.US,5,20250728,201500,43.28,43.29,43.265,43.2667,2603,0
DFUV.US,5,20250728,202000,43.26,43.27,43.26,43.27,400,0
DFUV.US,5,20250728,202500,43.29,43.295,43.29,43.295,400,0
DFUV.US,5,20250728,203000,43.3,43.315,43.295,43.315,1482,0
DFUV.US,5,20250728,203500,43.31,43.31,43.31,43.31,100,0
DFUV.US,5,20250728,204000,43.3102,43.3102,43.3102,43.3102,354,0
DFUV.US,5,20250728,204500,43.315,43.315,43.3,43.305,2300,0
DFUV.US,5,20250728,205000,43.31,43.31,43.3,43.3,1975,0
DFUV.US,5,20250728,205500,43.31,43.31,43.295,43.3,2117,0
DFUV.US,5,20250728,210000,43.295,43.295,43.28,43.28,2238,0
DFUV.US,5,20250728,210500,43.27,43.2786,43.26,43.2786,2189,0
DFUV.US,5,20250728,211000,43.28,43.285,43.2701,43.285,5788,0
DFUV.US,5,20250728,211500,43.2647,43.2899,43.2647,43.285,11033,0
DFUV.US,5,20250728,212000,43.295,43.295,43.2801,43.2853,3147,0
DFUV.US,5,20250728,212500,43.29,43.2903,43.2899,43.29,6263,0
DFUV.US,5,20250728,213000,43.2901,43.2901,43.265,43.27,3554,0
