<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPV.US,5,20250728,153000,25.811,25.811,25.811,25.811,300,0
EPV.US,5,20250728,153500,25.899,25.899,25.82,25.84,620,0
EPV.US,5,20250728,154000,25.87,25.87,25.87,25.87,300,0
EPV.US,5,20250728,154500,25.9052,25.94,25.9,25.94,840,0
EPV.US,5,20250728,160000,26,26.03,26,26.03,1102,0
EPV.US,5,20250728,163500,25.99,25.99,25.99,25.99,300,0
EPV.US,5,20250728,164000,25.95,25.95,25.93,25.95,1052,0
EPV.US,5,20250728,165000,26,26,26,26,127,0
EPV.US,5,20250728,171000,26.0323,26.0323,26.005,26.005,292,0
EPV.US,5,20250728,191500,26.1456,26.1456,26.135,26.135,600,0
EPV.US,5,20250728,192500,26.15,26.16,26.1201,26.1201,360,0
EPV.US,5,20250728,193500,26.1632,26.1632,26.16,26.16,1100,0
EPV.US,5,20250728,195500,26.18,26.18,26.18,26.18,556,0
EPV.US,5,20250728,200500,26.1811,26.1811,26.1811,26.1811,400,0
EPV.US,5,20250728,201500,26.24,26.24,26.24,26.24,100,0
EPV.US,5,20250728,202000,26.213,26.213,26.213,26.213,100,0
EPV.US,5,20250728,203500,26.1991,26.1991,26.1991,26.1991,600,0
EPV.US,5,20250728,204500,26.1594,26.1594,26.1594,26.1594,136,0
EPV.US,5,20250728,205000,26.24,26.24,26.24,26.24,200,0
EPV.US,5,20250728,210000,26.2399,26.2399,26.2399,26.2399,200,0
EPV.US,5,20250728,210500,26.19,26.19,26.19,26.19,100,0
EPV.US,5,20250728,211000,26.18,26.18,26.18,26.18,100,0
EPV.US,5,20250728,212000,26.2099,26.2099,26.2099,26.2099,100,0
EPV.US,5,20250728,213000,26.2034,26.2034,26.2034,26.2034,100,0
EPV.US,5,20250728,215000,26.17,26.1937,26.11,26.15,6556,0
EPV.US,5,20250728,215500,26.13,26.13,26.1148,26.13,1516,0
EPV.US,5,20250729,153000,26.4799,26.4799,26.25,26.25,227,0
EPV.US,5,20250729,153500,26.25,26.25,26.245,26.245,350,0
EPV.US,5,20250729,155000,26.15,26.15,26.14,26.14,1753,0
EPV.US,5,20250729,162000,26.2186,26.2186,26.2186,26.2186,130,0
