<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVLN.US,5,20250728,154500,50.23,50.23,50.23,50.23,1700,0
EVLN.US,5,20250728,155000,50.2299,50.24,50.2299,50.235,8700,0
EVLN.US,5,20250728,155500,50.23,50.23,50.23,50.23,100,0
EVLN.US,5,20250728,160000,50.2347,50.24,50.2347,50.24,1600,0
EVLN.US,5,20250728,160500,50.23,50.235,50.23,50.235,564,0
EVLN.US,5,20250728,161000,50.24,50.24,50.23,50.23,200,0
EVLN.US,5,20250728,162000,50.23,50.23,50.23,50.23,100,0
EVLN.US,5,20250728,162500,50.235,50.235,50.2308,50.2308,232,0
EVLN.US,5,20250728,163500,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,165000,50.24,50.24,50.2303,50.2303,597,0
EVLN.US,5,20250728,170000,50.24,50.24,50.24,50.24,100,0
EVLN.US,5,20250728,172000,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,173500,50.23,50.24,50.23,50.24,1188,0
EVLN.US,5,20250728,174000,50.2399,50.2399,50.235,50.235,329,0
EVLN.US,5,20250728,174500,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,182000,50.2347,50.2347,50.2347,50.2347,473,0
EVLN.US,5,20250728,184000,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,185500,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,190000,50.24,50.24,50.235,50.235,461,0
EVLN.US,5,20250728,191500,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,195000,50.23,50.24,50.23,50.24,200,0
EVLN.US,5,20250728,195500,50.236,50.24,50.236,50.24,746,0
EVLN.US,5,20250728,200000,50.24,50.24,50.24,50.24,100,0
EVLN.US,5,20250728,202500,50.235,50.2353,50.23,50.23,1377,0
EVLN.US,5,20250728,203000,50.2335,50.24,50.2335,50.24,517,0
EVLN.US,5,20250728,203500,50.23,50.23,50.23,50.23,100,0
EVLN.US,5,20250728,204000,50.235,50.235,50.235,50.235,100,0
EVLN.US,5,20250728,205000,50.2308,50.2308,50.2308,50.2308,124,0
EVLN.US,5,20250728,205500,50.235,50.235,50.235,50.235,200,0
EVLN.US,5,20250728,211000,50.24,50.24,50.235,50.24,4860,0
EVLN.US,5,20250728,211500,50.24,50.24,50.23,50.23,200,0
EVLN.US,5,20250728,212500,50.23,50.24,50.23,50.24,200,0
