<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAZ.US,5,20250728,153000,41.4115,41.575,41.3115,41.4611,26335.356249950622,0
FAZ.US,5,20250728,153500,41.463,41.5601,41.362,41.3768,32426.86972349385,0
FAZ.US,5,20250728,154000,41.362,41.5106,41.3124,41.4611,20927.193722005293,0
FAZ.US,5,20250728,154500,41.4611,41.5106,41.4115,41.4611,7084.138761432411,0
FAZ.US,5,20250728,155000,41.4611,41.5106,41.4115,41.5096,9786.75642293666,0
FAZ.US,5,20250728,155500,41.5106,41.6057,41.4115,41.5106,35091.83747322439,0
FAZ.US,5,20250728,160000,41.5106,41.577,41.4115,41.4611,34697.27043535996,0
FAZ.US,5,20250728,160500,41.4611,41.4611,41.3144,41.3768,9239.77285215453,0
FAZ.US,5,20250728,161000,41.362,41.362,41.2134,41.2798,11847.912450870062,0
FAZ.US,5,20250728,161500,41.2629,41.4115,41.2134,41.362,31592.010687889684,0
FAZ.US,5,20250728,162000,41.3788,41.4611,41.3134,41.4125,19111.11540395545,0
FAZ.US,5,20250728,162500,41.5106,41.5106,41.362,41.362,21252.5172223985,0
FAZ.US,5,20250728,163000,41.362,41.5106,41.3124,41.4115,47225.101936384744,0
FAZ.US,5,20250728,163500,41.4115,41.6097,41.4115,41.4611,40495.65966281512,0
FAZ.US,5,20250728,164000,41.4472,41.4611,41.362,41.362,29197.557049562743,0
FAZ.US,5,20250728,164500,41.362,41.5106,41.3124,41.4492,31725.65273397116,0
FAZ.US,5,20250728,165000,41.4462,41.7087,41.4115,41.6097,54739.136071126086,0
FAZ.US,5,20250728,165500,41.7038,41.8078,41.6097,41.6592,56853.78929273258,0
FAZ.US,5,20250728,170000,41.6959,41.7087,41.6106,41.6572,19294.11618155796,0
FAZ.US,5,20250728,170500,41.6443,41.7087,41.6106,41.7087,27622.518917345664,0
FAZ.US,5,20250728,171000,41.7077,41.8078,41.6097,41.7583,82079.93674782717,0
FAZ.US,5,20250728,171500,41.8078,42.0059,41.7087,41.9247,43186.770380774586,0
FAZ.US,5,20250728,172000,41.9564,41.9564,41.8078,41.8078,20776.695013011722,0
FAZ.US,5,20250728,172500,41.8078,41.9069,41.8078,41.9069,3348.4196334297103,0
FAZ.US,5,20250728,173000,41.8217,41.8573,41.8078,41.8554,3978.17244725324,0
FAZ.US,5,20250728,173500,41.8256,41.8573,41.7087,41.7563,15618.758038114722,0
FAZ.US,5,20250728,174000,41.8048,41.9049,41.7087,41.8256,33801.54572468998,0
FAZ.US,5,20250728,174500,41.9069,42.0059,41.8573,41.9247,5128.160235022351,0
FAZ.US,5,20250728,175000,41.9564,41.9564,41.7583,41.79,42979.847273171086,0
FAZ.US,5,20250728,175500,41.7583,41.9069,41.7087,41.8573,32634.49939780624,0
FAZ.US,5,20250728,180000,41.8573,41.9069,41.7087,41.7097,37656.67462649509,0
FAZ.US,5,20250728,180500,41.7583,41.7583,41.7097,41.7583,2040.05996476797,0
FAZ.US,5,20250728,181000,41.7583,41.8078,41.7087,41.7583,3041.2649912651004,0
FAZ.US,5,20250728,181500,41.7583,41.7583,41.7394,41.7583,1127.27671498336,0
FAZ.US,5,20250728,182000,41.7583,41.8078,41.7186,41.7612,8266.830494013002,0
FAZ.US,5,20250728,182500,41.7583,41.8078,41.7583,41.7583,1125.66170536304,0
FAZ.US,5,20250728,183000,41.7583,41.9069,41.7583,41.8395,30024.74478947039,0
FAZ.US,5,20250728,183500,41.8088,41.9069,41.8078,41.8573,2538.39137073796,0
FAZ.US,5,20250728,184000,41.8573,41.9069,41.8078,41.8573,613.29990331652,0
FAZ.US,5,20250728,184500,41.9069,42.0059,41.8078,41.9069,47514.08772032076,0
FAZ.US,5,20250728,185000,41.9564,42.0059,41.9069,42.0059,3549.58926926082,0
FAZ.US,5,20250728,185500,42.0059,42.0059,41.9069,42.0059,232.15763292100002,0
FAZ.US,5,20250728,190000,42.0059,42.0059,41.9069,41.9247,39906.98865620847,0
FAZ.US,5,20250728,190500,41.9564,42.0059,41.8078,41.9564,55403.510653685225,0
FAZ.US,5,20250728,191000,41.9564,42.0059,41.9168,41.9564,7217.074240805001,0
