<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCOM.US,5,20250728,153000,65.53,65.66,65.53,65.6,616,0
FCOM.US,5,20250728,153500,65.6,65.61,65.58,65.585,678,0
FCOM.US,5,20250728,154000,65.59,65.66,65.59,65.6,1367,0
FCOM.US,5,20250728,154500,65.6014,65.67,65.5111,65.5111,2112,0
FCOM.US,5,20250728,155000,65.57,65.5995,65.57,65.58,1285,0
FCOM.US,5,20250728,155500,65.53,65.54,65.51,65.54,300,0
FCOM.US,5,20250728,160000,65.546,65.546,65.4844,65.4844,665,0
FCOM.US,5,20250728,161500,65.45,65.46,65.36,65.36,1250,0
FCOM.US,5,20250728,162000,65.37,65.37,65.31,65.35,2112,0
FCOM.US,5,20250728,162500,65.37,65.37,65.32,65.35,500,0
FCOM.US,5,20250728,163000,65.37,65.37,65.37,65.37,100,0
FCOM.US,5,20250728,163500,65.3599,65.36,65.29,65.31,3601,0
FCOM.US,5,20250728,165000,65.35,65.35,65.35,65.35,100,0
FCOM.US,5,20250728,165500,65.36,65.36,65.36,65.36,100,0
FCOM.US,5,20250728,170000,65.32,65.32,65.32,65.32,152,0
FCOM.US,5,20250728,171000,65.32,65.32,65.32,65.32,100,0
FCOM.US,5,20250728,171500,65.315,65.32,65.288,65.288,1900,0
FCOM.US,5,20250728,172000,65.21,65.21,65.21,65.21,200,0
FCOM.US,5,20250728,172500,65.2201,65.26,65.21,65.26,879,0
FCOM.US,5,20250728,173000,65.25,65.25,65.235,65.25,500,0
FCOM.US,5,20250728,173500,65.27,65.29,65.27,65.29,438,0
FCOM.US,5,20250728,174000,65.3,65.3,65.275,65.275,950,0
FCOM.US,5,20250728,174500,65.32,65.32,65.32,65.32,600,0
FCOM.US,5,20250728,175000,65.33,65.33,65.31,65.315,750,0
FCOM.US,5,20250728,175500,65.35,65.35,65.34,65.34,600,0
FCOM.US,5,20250728,180000,65.33,65.33,65.3,65.3,700,0
FCOM.US,5,20250728,180500,65.32,65.32,65.2899,65.295,866,0
FCOM.US,5,20250728,181000,65.28,65.305,65.28,65.305,1130,0
FCOM.US,5,20250728,181500,65.3,65.32,65.295,65.315,8695,0
FCOM.US,5,20250728,182000,65.32,65.32,65.29,65.29,1400,0
FCOM.US,5,20250728,182500,65.3009,65.315,65.3009,65.315,402,0
FCOM.US,5,20250728,183000,65.32,65.32,65.2854,65.2854,1262,0
FCOM.US,5,20250728,183500,65.33,65.38,65.33,65.38,375,0
FCOM.US,5,20250728,184000,65.38,65.39,65.3701,65.3701,1105,0
FCOM.US,5,20250728,184500,65.38,65.38,65.37,65.38,721,0
FCOM.US,5,20250728,185000,65.375,65.38,65.37,65.38,1729,0
FCOM.US,5,20250728,185500,65.39,65.42,65.39,65.41,2428,0
FCOM.US,5,20250728,190000,65.4,65.4299,65.4,65.41,1220,0
FCOM.US,5,20250728,190500,65.395,65.395,65.385,65.385,746,0
FCOM.US,5,20250728,191500,65.38,65.38,65.33,65.335,842,0
FCOM.US,5,20250728,192000,65.34,65.36,65.34,65.35,2921,0
FCOM.US,5,20250728,192500,65.33,65.335,65.325,65.335,469,0
FCOM.US,5,20250728,193000,65.3421,65.39,65.3421,65.39,634,0
FCOM.US,5,20250728,193500,65.4,65.4,65.39,65.39,500,0
FCOM.US,5,20250728,194000,65.41,65.41,65.385,65.385,1170,0
FCOM.US,5,20250728,194500,65.385,65.385,65.36,65.36,600,0
FCOM.US,5,20250728,195000,65.31,65.31,65.3,65.3,300,0
FCOM.US,5,20250728,195500,65.3,65.32,65.2847,65.2847,617,0
FCOM.US,5,20250728,200000,65.285,65.285,65.28,65.285,800,0
FCOM.US,5,20250728,200500,65.26,65.28,65.26,65.28,200,0
FCOM.US,5,20250728,201000,65.27,65.29,65.26,65.285,1786,0
FCOM.US,5,20250728,201500,65.29,65.3,65.29,65.3,200,0
FCOM.US,5,20250728,202000,65.26,65.26,65.26,65.26,139,0
FCOM.US,5,20250728,202500,65.26,65.28,65.26,65.28,200,0
FCOM.US,5,20250728,204000,65.293,65.293,65.26,65.265,824,0
FCOM.US,5,20250728,205000,65.28,65.3,65.28,65.3,400,0
FCOM.US,5,20250728,205500,65.3,65.3,65.3,65.3,100,0
FCOM.US,5,20250728,210000,65.29,65.29,65.28,65.28,1313,0
FCOM.US,5,20250728,210500,65.2882,65.29,65.2882,65.29,1039,0
FCOM.US,5,20250728,211000,65.25,65.25,65.2396,65.2396,601,0
FCOM.US,5,20250728,211500,65.24,65.2465,65.24,65.24,600,0
FCOM.US,5,20250728,212000,65.24,65.26,65.2365,65.2365,593,0
FCOM.US,5,20250728,212500,65.23,65.23,65.2107,65.23,1079,0
FCOM.US,5,20250728,213000,65.22,65.22,65.2193,65.2193,1119,0
FCOM.US,5,20250728,213500,65.2455,65.27,65.2401,65.255,2261,0
FCOM.US,5,20250728,214000,65.25,65.26,65.23,65.2403,1790,0
FCOM.US,5,20250728,214500,65.24,65.26,65.22,65.26,3950,0
FCOM.US,5,20250728,215000,65.24,65.3101,65.24,65.3101,657,0
FCOM.US,5,20250728,215500,65.3582,65.4,65.3582,65.38,2967,0
FCOM.US,5,20250729,153000,65.55,65.6,65.42,65.42,1755,0
FCOM.US,5,20250729,153500,65.47,65.5,65.47,65.5,320,0
FCOM.US,5,20250729,154500,65.426,65.426,65.32,65.32,596,0
FCOM.US,5,20250729,155000,65.27,65.2988,65.23,65.23,921,0
FCOM.US,5,20250729,155500,65.2,65.26,65.2,65.24,950,0
FCOM.US,5,20250729,160000,65.22,65.22,65.22,65.22,100,0
FCOM.US,5,20250729,160500,65.1203,65.175,65.1203,65.175,682,0
FCOM.US,5,20250729,161000,65.16,65.2434,65.16,65.2434,780,0
FCOM.US,5,20250729,161500,65.26,65.29,65.26,65.29,300,0
FCOM.US,5,20250729,162000,65.27,65.27,65.27,65.27,200,0
FCOM.US,5,20250729,163000,65.19,65.19,65.19,65.19,100,0
FCOM.US,5,20250729,163500,65.22,65.22,65.16,65.1712,2957,0
FCOM.US,5,20250729,164000,65.1601,65.19,65.1601,65.19,339,0
FCOM.US,5,20250729,165000,65.14,65.14,65.1,65.1,429,0
