<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFLS.US,5,20250728,155500,25.7168,25.76,25.7168,25.76,219,0
FFLS.US,5,20250728,211500,25.69,25.69,25.69,25.69,581,0
FFLS.US,5,20250728,212500,25.65,25.69,25.65,25.69,757,0
FFLS.US,5,20250729,184500,25.57,25.57,25.57,25.57,100,0
FFLS.US,5,20250729,200000,25.6,25.6,25.6,25.6,467,0
FFLS.US,5,20250729,204500,25.6,25.6,25.6,25.6,100,0
FFLS.US,5,20250729,212500,25.6,25.61,25.57,25.5855,941,0
FFLS.US,5,20250729,213000,25.59,25.6,25.59,25.59,2491,0
FFLS.US,5,20250730,162000,25.575,25.575,25.575,25.575,870,0
FFLS.US,5,20250730,175000,25.6,25.6,25.6,25.6,100,0
FFLS.US,5,20250730,181000,25.63,25.63,25.63,25.63,100,0
FFLS.US,5,20250730,212000,25.6,25.61,25.6,25.6,436,0
FFLS.US,5,20250730,214500,25.5867,25.5867,25.5867,25.5867,3432,0
FFLS.US,5,20250731,201000,25.65,25.65,25.65,25.65,100,0
FFLS.US,5,20250731,203500,25.635,25.635,25.635,25.635,101,0
FFLS.US,5,20250731,204500,25.66,25.66,25.66,25.66,192,0
FFLS.US,5,20250731,211500,25.6,25.6,25.6,25.6,200,0
FFLS.US,5,20250731,212500,25.62,25.63,25.585,25.5928,1765,0
FFLS.US,5,20250731,213000,25.62,25.63,25.62,25.63,998,0
FFLS.US,5,20250731,215000,25.605,25.605,25.605,25.605,238,0
FFLS.US,5,20250731,215500,25.62,25.62,25.55,25.55,619,0
FFLS.US,5,20250801,193500,25.31,25.31,25.31,25.31,395,0
FFLS.US,5,20250801,195000,25.32,25.32,25.32,25.32,400,0
FFLS.US,5,20250801,213000,25.36,25.37,25.36,25.37,969,0
FFLS.US,5,20250801,214000,25.359,25.359,25.359,25.359,100,0
FFLS.US,5,20250801,214500,25.32,25.32,25.32,25.32,100,0
FFLS.US,5,20250801,215500,25.35,25.35,25.31,25.3101,808,0
FFLS.US,5,20250804,212000,25.5699,25.5699,25.5699,25.5699,403,0
FFLS.US,5,20250804,212500,25.5,25.56,25.5,25.5599,1382,0
FFLS.US,5,20250805,164500,25.37,25.37,25.37,25.37,100,0
FFLS.US,5,20250805,174000,25.35,25.35,25.35,25.35,100,0
FFLS.US,5,20250805,175000,25.33,25.33,25.33,25.33,100,0
FFLS.US,5,20250805,180500,25.355,25.355,25.355,25.355,100,0
FFLS.US,5,20250805,181000,25.37,25.37,25.37,25.37,100,0
FFLS.US,5,20250805,181500,25.36,25.36,25.36,25.36,100,0
FFLS.US,5,20250805,183000,25.355,25.355,25.355,25.355,100,0
FFLS.US,5,20250805,184000,25.33,25.33,25.33,25.33,100,0
FFLS.US,5,20250805,185000,25.36,25.36,25.36,25.36,100,0
FFLS.US,5,20250805,190500,25.345,25.345,25.345,25.345,100,0
FFLS.US,5,20250805,191500,25.3142,25.3142,25.3142,25.3142,100,0
FFLS.US,5,20250805,193500,25.34,25.34,25.34,25.34,100,0
FFLS.US,5,20250805,195000,25.33,25.33,25.33,25.33,100,0
FFLS.US,5,20250805,200000,25.33,25.33,25.33,25.33,100,0
FFLS.US,5,20250805,201500,25.34,25.34,25.34,25.34,100,0
FFLS.US,5,20250805,202500,25.32,25.32,25.32,25.32,100,0
FFLS.US,5,20250805,204000,25.32,25.32,25.32,25.32,100,0
FFLS.US,5,20250805,205000,25.31,25.31,25.31,25.31,100,0
FFLS.US,5,20250805,210000,25.36,25.39,25.36,25.39,665,0
FFLS.US,5,20250805,211500,25.355,25.355,25.355,25.355,100,0
FFLS.US,5,20250805,212500,25.355,25.3867,25.32,25.3867,4176,0
FFLS.US,5,20250806,161000,25.36,25.36,25.36,25.36,200,0
FFLS.US,5,20250806,161500,25.41,25.41,25.41,25.41,708,0
FFLS.US,5,20250806,190000,25.38,25.38,25.38,25.38,100,0
FFLS.US,5,20250806,203000,25.45,25.45,25.45,25.45,200,0
FFLS.US,5,20250806,211000,25.47,25.47,25.4,25.4,4230,0
FFLS.US,5,20250806,212000,25.4622,25.4622,25.4622,25.4622,135,0
FFLS.US,5,20250806,213500,25.451,25.4999,25.451,25.465,1072,0
FFLS.US,5,20250807,154500,25.5,25.5,25.5,25.5,100,0
FFLS.US,5,20250807,155000,25.49,25.49,25.49,25.49,400,0
FFLS.US,5,20250807,181000,25.34,25.34,25.34,25.34,100,0
FFLS.US,5,20250807,181500,25.32,25.32,25.32,25.32,100,0
FFLS.US,5,20250807,183500,25.33,25.33,25.33,25.33,100,0
FFLS.US,5,20250807,205000,25.34,25.34,25.34,25.34,180,0
FFLS.US,5,20250807,212500,25.3799,25.3799,25.3799,25.3799,106,0
FFLS.US,5,20250807,215500,25.38,25.38,25.38,25.38,229,0
FFLS.US,5,20250808,165000,25.34,25.34,25.34,25.34,100,0
FFLS.US,5,20250808,170000,25.299797,25.299797,25.299797,25.299797,489,0
FFLS.US,5,20250808,171000,25.2813,25.2813,25.2813,25.2813,292,0
FFLS.US,5,20250808,171500,25.2801,25.2801,25.2801,25.2801,110,0
FFLS.US,5,20250808,184500,25.28,25.2949,25.2401,25.2401,300,0
FFLS.US,5,20250808,205500,25.275,25.275,25.24,25.2401,534,0
FFLS.US,5,20250808,210000,25.27,25.27,25.27,25.27,103,0
FFLS.US,5,20250808,210500,25.3,25.3,25.27,25.27,392,0
FFLS.US,5,20250808,211500,25.29,25.3,25.2899,25.3,2075,0
FFLS.US,5,20250808,212500,25.29,25.29,25.29,25.29,100,0
FFLS.US,5,20250808,215500,25.28,25.28,25.24,25.24,917,0
FFLS.US,5,20250811,153500,25.2216,25.2216,25.2216,25.2216,500,0
FFLS.US,5,20250811,162000,25.18,25.18,25.18,25.18,100,0
FFLS.US,5,20250811,164500,25.2,25.2,25.2,25.2,100,0
FFLS.US,5,20250811,172500,25.19,25.19,25.19,25.19,100,0
FFLS.US,5,20250811,175000,25.2,25.2,25.2,25.2,100,0
FFLS.US,5,20250811,181000,25.21,25.21,25.21,25.21,200,0
FFLS.US,5,20250811,183000,25.2,25.2,25.2,25.2,100,0
FFLS.US,5,20250811,191500,25.19,25.19,25.19,25.19,100,0
FFLS.US,5,20250811,212000,25.2027,25.2027,25.2027,25.2027,195,0
FFLS.US,5,20250811,215500,25.16,25.16,25.14,25.14,592,0
FFLS.US,5,20250812,204500,25.31,25.31,25.31,25.31,400,0
FFLS.US,5,20250812,210500,25.31,25.32,25.31,25.32,257,0
FFLS.US,5,20250812,212500,25.26,25.3027,25.26,25.2876,965,0
FFLS.US,5,20250812,215500,25.32,25.32,25.312,25.312,300,0
FFLS.US,5,20250813,161500,25.245,25.245,25.245,25.245,152,0
FFLS.US,5,20250813,162000,25.21,25.21,25.21,25.21,100,0
FFLS.US,5,20250813,184500,25.22,25.22,25.22,25.22,100,0
FFLS.US,5,20250813,202500,25.26,25.26,25.26,25.26,112,0
FFLS.US,5,20250813,204000,25.25,25.25,25.25,25.25,104,0
FFLS.US,5,20250814,163000,25.17,25.17,25.17,25.17,100,0
FFLS.US,5,20250814,205500,25.31,25.31,25.31,25.31,110,0
FFLS.US,5,20250814,210000,25.24,25.2401,25.24,25.2401,200,0
FFLS.US,5,20250814,210500,25.31,25.31,25.31,25.31,100,0
FFLS.US,5,20250814,212500,25.28,25.3199,25.28,25.3199,1200,0
FFLS.US,5,20250815,162000,25.4,25.4,25.4,25.4,100,0
FFLS.US,5,20250815,203500,25.459,25.459,25.459,25.459,100,0
FFLS.US,5,20250815,205000,25.46,25.46,25.46,25.46,100,0
FFLS.US,5,20250815,210000,25.46,25.46,25.43,25.43,747,0
FFLS.US,5,20250815,212500,25.4254,25.4254,25.4254,25.4254,543,0
FFLS.US,5,20250818,204500,25.4722,25.4722,25.4722,25.4722,196,0
FFLS.US,5,20250818,205000,25.4722,25.4722,25.4722,25.4722,196,0
