<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLAU.US,5,20250728,154000,31.125,31.125,31.125,31.125,130,0
FLAU.US,5,20250728,163500,31.13,31.13,31.13,31.13,100,0
FLAU.US,5,20250728,171500,31.095,31.095,31.095,31.095,100,0
FLAU.US,5,20250728,200500,31.052,31.052,31.052,31.052,164,0
FLAU.US,5,20250728,204500,31.1,31.1,31.1,31.1,150,0
FLAU.US,5,20250728,205000,31.0015,31.0015,31.0015,31.0015,110,0
FLAU.US,5,20250729,185500,31.265,31.265,31.17,31.18,6035,0
FLAU.US,5,20250730,153000,31.12,31.17,31.07,31.08,13455,0
FLAU.US,5,20250730,204000,31.19,31.19,31.19,31.19,208,0
FLAU.US,5,20250730,204500,31.11,31.11,31.11,31.11,100,0
FLAU.US,5,20250731,164000,31.1,31.1,31.1,31.1,300,0
FLAU.US,5,20250731,171500,30.9375,30.9375,30.9375,30.9375,100,0
FLAU.US,5,20250731,174000,30.93,30.93,30.93,30.93,100,0
FLAU.US,5,20250801,182500,30.855,30.855,30.855,30.855,212,0
FLAU.US,5,20250801,185500,30.75,30.75,30.75,30.75,201,0
FLAU.US,5,20250801,190000,30.75,30.75,30.75,30.75,281,0
FLAU.US,5,20250801,211000,30.58,30.81,30.58,30.81,761,0
FLAU.US,5,20250801,215500,30.7,30.7,30.7,30.7,117,0
FLAU.US,5,20250805,191000,31.3,31.3549,31.2401,31.2401,2105,0
FLAU.US,5,20250805,203500,31.28,31.2801,31.28,31.2801,200,0
FLAU.US,5,20250805,204000,31.28,31.28,31.28,31.28,100,0
FLAU.US,5,20250805,205000,31.3133,31.3133,31.3133,31.3133,134,0
FLAU.US,5,20250805,215000,31.23,31.23,31.23,31.23,319,0
FLAU.US,5,20250806,204000,31.52,31.53,31.52,31.5201,500,0
FLAU.US,5,20250806,210500,31.635,31.635,31.635,31.635,261,0
FLAU.US,5,20250806,213500,31.55,31.55,31.55,31.55,900,0
FLAU.US,5,20250807,183000,31.6,31.6,31.6,31.6,631,0
FLAU.US,5,20250807,185500,31.476,31.476,31.476,31.476,3208,0
FLAU.US,5,20250807,200000,31.505,31.505,31.505,31.505,200,0
FLAU.US,5,20250808,173000,31.7305,31.7305,31.7305,31.7305,175,0
FLAU.US,5,20250808,211000,31.6217,31.6217,31.6217,31.6217,130,0
FLAU.US,5,20250811,204500,31.78,31.78,31.78,31.78,200,0
FLAU.US,5,20250811,205500,31.6934,31.6934,31.6934,31.6934,303,0
