<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLQM.US,5,20250728,154000,55.51,55.51,55.51,55.51,527,0
FLQM.US,5,20250728,154500,55.51,55.51,55.4703,55.4703,1092,0
FLQM.US,5,20250728,155000,55.4103,55.4399,55.406,55.4399,358,0
FLQM.US,5,20250728,155500,55.4297,55.4297,55.4297,55.4297,225,0
FLQM.US,5,20250728,160000,55.44,55.44,55.44,55.44,400,0
FLQM.US,5,20250728,160500,55.5365,55.5563,55.5274,55.5274,1066,0
FLQM.US,5,20250728,161500,55.53,55.53,55.53,55.53,225,0
FLQM.US,5,20250728,162000,55.46,55.46,55.4416,55.4416,744,0
FLQM.US,5,20250728,162500,55.4599,55.4769,55.4599,55.4769,309,0
FLQM.US,5,20250728,163000,55.485,55.5024,55.485,55.5024,304,0
FLQM.US,5,20250728,163500,55.4731,55.4731,55.4731,55.4731,910,0
FLQM.US,5,20250728,164000,55.506178,55.506178,55.506178,55.506178,173,0
FLQM.US,5,20250728,170000,55.55,55.55,55.5,55.5,439,0
FLQM.US,5,20250728,170500,55.5539,55.5539,55.55,55.55,502,0
FLQM.US,5,20250728,171000,55.5183,55.5183,55.5183,55.5183,192,0
FLQM.US,5,20250728,172500,55.445,55.5,55.445,55.5,3806,0
FLQM.US,5,20250728,173000,55.4999,55.4999,55.49,55.49,1030,0
FLQM.US,5,20250728,173500,55.53,55.53,55.515,55.515,395,0
FLQM.US,5,20250728,174000,55.51,55.51,55.51,55.51,100,0
FLQM.US,5,20250728,175000,55.545,55.5454,55.545,55.5454,746,0
FLQM.US,5,20250728,175500,55.5515,55.57,55.5515,55.57,521,0
FLQM.US,5,20250728,180000,55.59,55.59,55.58,55.58,700,0
FLQM.US,5,20250728,181000,55.604,55.604,55.604,55.604,300,0
FLQM.US,5,20250728,181500,55.6093,55.6093,55.58,55.58,929,0
FLQM.US,5,20250728,182000,55.604,55.604,55.604,55.604,370,0
FLQM.US,5,20250728,182500,55.54,55.54,55.54,55.54,618,0
FLQM.US,5,20250728,183000,55.5585,55.56,55.5585,55.56,650,0
FLQM.US,5,20250728,183500,55.5343,55.5343,55.5343,55.5343,324,0
FLQM.US,5,20250728,184500,55.4982,55.4982,55.4982,55.4982,450,0
FLQM.US,5,20250728,190500,55.4825,55.5,55.4825,55.5,227,0
FLQM.US,5,20250728,191500,55.4687,55.4687,55.46,55.46,616,0
FLQM.US,5,20250728,192000,55.429,55.43,55.3704,55.3842,9624,0
FLQM.US,5,20250728,192500,55.3745,55.3745,55.3665,55.3665,893,0
FLQM.US,5,20250728,193500,55.394,55.394,55.394,55.394,103,0
FLQM.US,5,20250728,194000,55.3656,55.3656,55.3656,55.3656,1264,0
FLQM.US,5,20250728,195000,55.38,55.3962,55.37,55.3962,4963,0
FLQM.US,5,20250728,200500,55.28,55.32,55.28,55.32,3913,0
FLQM.US,5,20250728,201000,55.33,55.34,55.3245,55.34,789,0
FLQM.US,5,20250728,201500,55.35,55.35,55.35,55.35,100,0
FLQM.US,5,20250728,202000,55.36,55.36,55.36,55.36,300,0
FLQM.US,5,20250728,202500,55.3454,55.3788,55.3454,55.3788,626,0
FLQM.US,5,20250728,204000,55.39,55.39,55.39,55.39,100,0
FLQM.US,5,20250728,204500,55.375,55.375,55.375,55.375,807,0
FLQM.US,5,20250728,205000,55.4099,55.4099,55.38,55.38,325,0
FLQM.US,5,20250728,205500,55.3451,55.3817,55.3451,55.37,2122,0
FLQM.US,5,20250728,210000,55.37,55.38,55.34,55.34,618,0
FLQM.US,5,20250728,210500,55.33,55.33,55.33,55.33,100,0
FLQM.US,5,20250728,211000,55.3167,55.3487,55.3167,55.3487,1990,0
FLQM.US,5,20250728,211500,55.33,55.3599,55.33,55.3599,852,0
FLQM.US,5,20250728,212000,55.35,55.36,55.34,55.36,2060,0
FLQM.US,5,20250728,212500,55.34,55.34,55.33,55.33,380,0
FLQM.US,5,20250728,213000,55.314,55.34,55.31,55.33,3781,0
FLQM.US,5,20250728,213500,55.32,55.33,55.3013,55.32,1722,0
FLQM.US,5,20250728,214000,55.33,55.34,55.3187,55.34,2643,0
FLQM.US,5,20250728,214500,55.35,55.36,55.35,55.35,922,0
FLQM.US,5,20250728,215000,55.37,55.37,55.3235,55.34,3955,0
FLQM.US,5,20250728,215500,55.36,55.36,55.33,55.34,985,0
FLQM.US,5,20250729,153000,55.3793,55.3793,55.3793,55.3793,342,0
FLQM.US,5,20250729,153500,55.39,55.39,55.38,55.38,311,0
FLQM.US,5,20250729,154000,55.33,55.33,55.33,55.33,417,0
FLQM.US,5,20250729,154500,55.325,55.325,55.325,55.325,178,0
