<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNDB.US,5,20250728,153000,24.5777,24.5777,24.5515,24.5515,530,0
FNDB.US,5,20250728,154000,24.5599,24.5599,24.5599,24.5599,2203,0
FNDB.US,5,20250728,154500,24.5602,24.5602,24.56,24.56,3100,0
FNDB.US,5,20250728,155000,24.5236,24.5236,24.5236,24.5236,300,0
FNDB.US,5,20250728,155500,24.5101,24.5101,24.5101,24.5101,400,0
FNDB.US,5,20250728,160000,24.5249,24.5249,24.5249,24.5249,100,0
FNDB.US,5,20250728,160500,24.56,24.569,24.56,24.569,807,0
FNDB.US,5,20250728,161000,24.5664,24.5664,24.5664,24.5664,100,0
FNDB.US,5,20250728,161500,24.5699,24.5699,24.5699,24.5699,200,0
FNDB.US,5,20250728,163000,24.55,24.55,24.55,24.55,100,0
FNDB.US,5,20250728,163500,24.541,24.555,24.54,24.555,11231,0
FNDB.US,5,20250728,165000,24.55,24.55,24.55,24.55,115,0
FNDB.US,5,20250728,165500,24.5506,24.5506,24.5506,24.5506,1018,0
FNDB.US,5,20250728,170000,24.55,24.55,24.55,24.55,158,0
FNDB.US,5,20250728,171000,24.55,24.55,24.55,24.55,400,0
FNDB.US,5,20250728,172000,24.5499,24.5499,24.5499,24.5499,600,0
FNDB.US,5,20250728,173000,24.545,24.545,24.545,24.545,700,0
FNDB.US,5,20250728,174000,24.542,24.542,24.542,24.542,100,0
FNDB.US,5,20250728,180000,24.5699,24.5699,24.5699,24.5699,720,0
FNDB.US,5,20250728,180500,24.57,24.57,24.57,24.57,270,0
FNDB.US,5,20250728,181000,24.5701,24.5701,24.5701,24.5701,871,0
FNDB.US,5,20250728,182500,24.57,24.57,24.57,24.57,600,0
FNDB.US,5,20250728,183500,24.56,24.56,24.56,24.56,230,0
FNDB.US,5,20250728,184500,24.54,24.54,24.54,24.54,200,0
FNDB.US,5,20250728,185500,24.53,24.54,24.53,24.539,5907,0
FNDB.US,5,20250728,190000,24.545,24.545,24.545,24.545,1100,0
FNDB.US,5,20250728,190500,24.545,24.545,24.5331,24.545,907,0
FNDB.US,5,20250728,191500,24.5399,24.5399,24.515,24.515,5025,0
FNDB.US,5,20250728,192000,24.5177,24.5199,24.515,24.515,4365,0
FNDB.US,5,20250728,193500,24.5012,24.5012,24.5012,24.5012,1206,0
FNDB.US,5,20250728,194000,24.5001,24.5001,24.5,24.5,230,0
FNDB.US,5,20250728,194500,24.501,24.501,24.501,24.501,2500,0
FNDB.US,5,20250728,195000,24.501,24.501,24.5,24.5001,9771,0
FNDB.US,5,20250728,195500,24.4911,24.5,24.4911,24.5,5222,0
FNDB.US,5,20250728,200000,24.48,24.4836,24.471,24.471,2745,0
FNDB.US,5,20250728,200500,24.48,24.48,24.4641,24.4641,5794,0
FNDB.US,5,20250728,201000,24.4614,24.4614,24.4614,24.4614,1000,0
FNDB.US,5,20250728,201500,24.48,24.489,24.4718,24.4718,4151,0
FNDB.US,5,20250728,202000,24.475,24.475,24.47,24.47,1100,0
FNDB.US,5,20250728,202500,24.4676,24.4676,24.4676,24.4676,111,0
FNDB.US,5,20250728,203500,24.4831,24.4952,24.4831,24.4952,2475,0
FNDB.US,5,20250728,204000,24.4978,24.4978,24.4978,24.4978,3198,0
FNDB.US,5,20250728,204500,24.4812,24.4812,24.4812,24.4812,1500,0
FNDB.US,5,20250728,205500,24.485,24.485,24.485,24.485,213,0
FNDB.US,5,20250728,210500,24.4793,24.4793,24.4793,24.4793,1092,0
FNDB.US,5,20250728,212000,24.479,24.479,24.479,24.479,100,0
FNDB.US,5,20250728,213000,24.4714,24.4714,24.47,24.47,2644,0
FNDB.US,5,20250728,214000,24.4899,24.4899,24.4899,24.4899,100,0
FNDB.US,5,20250728,214500,24.4882,24.4882,24.4882,24.4882,612,0
FNDB.US,5,20250728,215000,24.49,24.49,24.49,24.49,804,0
FNDB.US,5,20250728,215500,24.495,24.503,24.49,24.493,2271,0
FNDB.US,5,20250729,153500,24.5377,24.5377,24.5377,24.5377,1631,0
FNDB.US,5,20250729,154000,24.5299,24.5299,24.5061,24.5061,549,0
FNDB.US,5,20250729,154500,24.5101,24.5101,24.51,24.51,2315,0
FNDB.US,5,20250729,155000,24.51,24.51,24.5099,24.51,1344,0
FNDB.US,5,20250729,155500,24.5,24.5023,24.5,24.5023,902,0
FNDB.US,5,20250729,161500,24.5399,24.5399,24.5399,24.5399,220,0
FNDB.US,5,20250729,163000,24.52,24.52,24.52,24.52,285,0
FNDB.US,5,20250729,170000,24.4945,24.4945,24.4945,24.4945,243,0
FNDB.US,5,20250729,170500,24.4975,24.4975,24.48,24.48,814,0
FNDB.US,5,20250729,171000,24.4801,24.4801,24.4801,24.4801,400,0
FNDB.US,5,20250729,173000,24.45,24.45,24.4497,24.45,1183,0
FNDB.US,5,20250729,180000,24.4615,24.4615,24.455,24.4599,3273,0
FNDB.US,5,20250729,181000,24.4409,24.4409,24.4409,24.4409,502,0
FNDB.US,5,20250729,182000,24.4499,24.45,24.4499,24.45,456,0
FNDB.US,5,20250729,182500,24.4401,24.4401,24.4401,24.4401,102,0
FNDB.US,5,20250729,184000,24.445,24.445,24.445,24.445,2550,0
FNDB.US,5,20250729,184500,24.446,24.446,24.4455,24.4455,1187,0
FNDB.US,5,20250729,190500,24.48,24.48,24.48,24.48,100,0
FNDB.US,5,20250729,191000,24.47,24.47,24.47,24.47,100,0
FNDB.US,5,20250729,191500,24.475,24.475,24.475,24.475,285,0
FNDB.US,5,20250729,192000,24.46,24.4636,24.455,24.4636,1322,0
FNDB.US,5,20250729,192500,24.46,24.46,24.46,24.46,2575,0
FNDB.US,5,20250729,193000,24.4557,24.4557,24.4557,24.4557,101,0
FNDB.US,5,20250729,193500,24.4501,24.4501,24.43,24.43,1731,0
FNDB.US,5,20250729,194000,24.425,24.425,24.42,24.42,509,0
FNDB.US,5,20250729,202000,24.425,24.425,24.425,24.425,1000,0
FNDB.US,5,20250729,203500,24.44,24.44,24.435,24.44,5000,0
FNDB.US,5,20250729,204000,24.44,24.44,24.44,24.44,514,0
FNDB.US,5,20250729,204500,24.44,24.44,24.435,24.435,2348,0
FNDB.US,5,20250729,205000,24.445,24.45,24.445,24.45,2915,0
FNDB.US,5,20250729,205500,24.42,24.43,24.42,24.43,2022,0
FNDB.US,5,20250729,210500,24.44,24.44,24.44,24.44,499,0
FNDB.US,5,20250729,211000,24.4499,24.4499,24.44,24.44,2060,0
FNDB.US,5,20250729,211500,24.445,24.445,24.4401,24.4401,1500,0
FNDB.US,5,20250729,212000,24.435,24.435,24.4309,24.4309,5580,0
FNDB.US,5,20250729,212500,24.43,24.43,24.43,24.43,100,0
FNDB.US,5,20250729,213000,24.43,24.4302,24.43,24.4302,2400,0
FNDB.US,5,20250729,213500,24.43,24.43,24.42,24.42,8180,0
FNDB.US,5,20250729,214000,24.4244,24.4244,24.42,24.42,403,0
FNDB.US,5,20250729,215000,24.435,24.435,24.435,24.435,3110,0
FNDB.US,5,20250729,215500,24.45,24.47,24.44,24.47,4156,0
FNDB.US,5,20250730,153000,24.47,24.47,24.47,24.47,100,0
FNDB.US,5,20250730,153500,24.4599,24.4599,24.4599,24.4599,152,0
FNDB.US,5,20250730,154000,24.4399,24.4399,24.4399,24.4399,1965,0
FNDB.US,5,20250730,155500,24.4202,24.4202,24.4202,24.4202,400,0
FNDB.US,5,20250730,160500,24.4201,24.4299,24.42,24.42,977,0
FNDB.US,5,20250730,161000,24.42,24.42,24.42,24.42,255,0
FNDB.US,5,20250730,161500,24.4296,24.4296,24.4296,24.4296,500,0
FNDB.US,5,20250730,162000,24.4318,24.4318,24.4318,24.4318,188,0
FNDB.US,5,20250730,162500,24.44,24.44,24.44,24.44,331,0
FNDB.US,5,20250730,163000,24.45,24.45,24.45,24.45,485,0
FNDB.US,5,20250730,164500,24.44,24.44,24.44,24.44,100,0
FNDB.US,5,20250730,165000,24.4499,24.4499,24.4499,24.4499,150,0
FNDB.US,5,20250730,165500,24.43,24.4335,24.43,24.4335,1502,0
FNDB.US,5,20250730,170500,24.4123,24.4298,24.4123,24.4298,1023,0
FNDB.US,5,20250730,171000,24.4101,24.4101,24.4,24.4036,1863,0
FNDB.US,5,20250730,171500,24.405,24.405,24.4,24.4,480,0
FNDB.US,5,20250730,172500,24.4083,24.4083,24.4083,24.4083,2000,0
FNDB.US,5,20250730,173500,24.3992,24.4,24.3992,24.4,524,0
FNDB.US,5,20250730,174000,24.4,24.4,24.3999,24.3999,780,0
FNDB.US,5,20250730,174500,24.4099,24.4099,24.4099,24.4099,1206,0
FNDB.US,5,20250730,175000,24.4179,24.4179,24.4118,24.4118,1451,0
FNDB.US,5,20250730,175500,24.4111,24.4111,24.4111,24.4111,1063,0
FNDB.US,5,20250730,180500,24.4218,24.4398,24.4218,24.4398,2719,0
FNDB.US,5,20250730,181000,24.4323,24.4323,24.4323,24.4323,889,0
FNDB.US,5,20250730,182000,24.4608,24.4608,24.4608,24.4608,164,0
FNDB.US,5,20250730,182500,24.4699,24.4699,24.457,24.457,366,0
FNDB.US,5,20250730,183500,24.4699,24.4699,24.4699,24.4699,200,0
FNDB.US,5,20250730,184500,24.4695,24.4695,24.4695,24.4695,817,0
FNDB.US,5,20250730,185000,24.47,24.47,24.47,24.47,100,0
FNDB.US,5,20250730,190000,24.4799,24.4799,24.4799,24.4799,1000,0
FNDB.US,5,20250730,190500,24.46,24.46,24.46,24.46,100,0
FNDB.US,5,20250730,191500,24.4599,24.4599,24.4599,24.4599,211,0
FNDB.US,5,20250730,192000,24.45,24.4572,24.45,24.4572,3329,0
FNDB.US,5,20250730,192500,24.455,24.455,24.455,24.455,612,0
FNDB.US,5,20250730,193000,24.4501,24.4699,24.4501,24.4699,1799,0
FNDB.US,5,20250730,194000,24.48,24.4899,24.48,24.485,2495,0
FNDB.US,5,20250730,195000,24.48,24.48,24.48,24.48,540,0
FNDB.US,5,20250730,200000,24.49,24.49,24.45,24.46,450,0
FNDB.US,5,20250730,200500,24.46,24.46,24.46,24.46,150,0
FNDB.US,5,20250730,201000,24.4684,24.4684,24.44,24.44,3563,0
FNDB.US,5,20250730,202000,24.4401,24.4498,24.4401,24.4498,2822,0
FNDB.US,5,20250730,203500,24.47,24.48,24.47,24.47,484,0
FNDB.US,5,20250730,204500,24.4322,24.4322,24.4,24.4,1429,0
FNDB.US,5,20250730,205000,24.36,24.36,24.36,24.36,120,0
FNDB.US,5,20250730,205500,24.3,24.3,24.3,24.3,249,0
FNDB.US,5,20250730,210000,24.2914,24.2914,24.26,24.26,1223,0
FNDB.US,5,20250730,210500,24.2576,24.2576,24.24,24.24,512,0
FNDB.US,5,20250730,211000,24.31,24.31,24.31,24.31,100,0
