<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXP.US,5,20250728,153000,18.6744,18.6744,18.6744,18.6744,203.05823256000002,0
FXP.US,5,20250728,153500,18.6744,18.6744,18.6744,18.6744,253.8227907,0
FXP.US,5,20250728,154500,18.7138,18.7926,18.7138,18.7926,1015.2911628,0
FXP.US,5,20250728,155000,18.7926,18.7926,18.7926,18.7926,304.58734884,0
FXP.US,5,20250728,165000,18.7532,18.7532,18.7532,18.7532,50.764558140000005,0
FXP.US,5,20250728,174500,18.6941,18.6941,18.6941,18.6941,53.302786047000005,0
FXP.US,5,20250728,181500,18.7335,18.7335,18.7335,18.7335,112.18967348940001,0
FXP.US,5,20250728,213500,18.9049,18.9049,18.9049,18.9049,55.841013954000005,0
FXP.US,5,20250728,215000,18.8517,18.8517,18.8517,18.8517,456.88102326000006,0
FXP.US,5,20250729,155500,18.8123,18.8517,18.8123,18.8517,522.8749488420001,0
FXP.US,5,20250729,160500,18.8714,18.8714,18.8714,18.8714,1193.9824074528,0
FXP.US,5,20250729,161000,18.8517,18.8517,18.8517,18.8517,328.4466911658,0
FXP.US,5,20250729,161500,18.8517,18.8517,18.8517,18.8517,203.05823256000002,0
FXP.US,5,20250729,162500,18.8123,18.8123,18.8123,18.8123,1066.0557209400001,0
FXP.US,5,20250729,164000,18.8143,18.8143,18.8143,18.8143,50.764558140000005,0
FXP.US,5,20250729,165500,18.8911,18.8911,18.8911,18.8911,240.62400558360002,0
FXP.US,5,20250729,170000,18.8714,18.8714,18.8714,18.8714,192.90532093200002,0
FXP.US,5,20250729,170500,18.8911,18.8911,18.8911,18.8911,55.333368372600006,0
FXP.US,5,20250729,171500,18.8911,18.8911,18.8911,18.8911,304.58734884,0
FXP.US,5,20250729,172000,18.8911,18.8911,18.8911,18.8911,50.764558140000005,0
FXP.US,5,20250729,173500,18.9502,18.9502,18.9502,18.9502,50.764558140000005,0
FXP.US,5,20250729,174500,18.9699,18.9699,18.9699,18.9699,187.828865118,0
FXP.US,5,20250729,175000,18.874,18.8911,18.874,18.8911,157.37013023400002,0
FXP.US,5,20250729,180000,18.9305,18.9305,18.9305,18.9305,50.764558140000005,0
FXP.US,5,20250729,181500,18.95,18.95,18.95,18.95,50.764558140000005,0
FXP.US,5,20250729,182000,18.9896,18.9896,18.9896,18.9896,50.764558140000005,0
FXP.US,5,20250729,185000,19.029,19.029,19.029,19.029,406.11646512000004,0
FXP.US,5,20250729,193500,19.029,19.029,19.029,19.029,50.764558140000005,0
FXP.US,5,20250729,194500,19.0468,19.0468,19.0408,19.0408,263.975702328,0
FXP.US,5,20250729,195000,19.0487,19.0487,19.0487,19.0487,50.764558140000005,0
FXP.US,5,20250729,200500,19.029,19.029,19.029,19.029,253.8227907,0
FXP.US,5,20250729,202500,19.0487,19.0487,19.0487,19.0487,50.764558140000005,0
FXP.US,5,20250729,211000,19.0507,19.0511,19.0489,19.0489,279.20506977,0
FXP.US,5,20250729,211500,19.0487,19.0684,19.0487,19.0684,2881.9039656078003,0
FXP.US,5,20250729,212500,19.0684,19.0684,19.0487,19.0487,227.4252204672,0
FXP.US,5,20250729,213000,19.0684,19.0881,19.0684,19.0881,1590.9612521076,0
