<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GJUN.US,5,20250728,160000,38.11,38.11,38.11,38.11,100,0
GJUN.US,5,20250728,160500,38.08,38.08,38.08,38.08,11997,0
GJUN.US,5,20250728,162000,38.1199,38.1199,38.1199,38.1199,1816,0
GJUN.US,5,20250728,163000,38.12,38.12,38.12,38.12,100,0
GJUN.US,5,20250728,164000,38.095,38.095,38.095,38.095,131,0
GJUN.US,5,20250728,164500,38.08,38.095,38.07,38.095,4725,0
GJUN.US,5,20250728,165500,38.0606,38.0606,38.0606,38.0606,250,0
GJUN.US,5,20250728,170000,38.0606,38.0606,38.0606,38.0606,400,0
GJUN.US,5,20250728,170500,38.11,38.11,38.11,38.11,100,0
GJUN.US,5,20250728,171000,38.1132,38.1132,38.1132,38.1132,436,0
GJUN.US,5,20250728,173000,38.09,38.09,38.09,38.09,200,0
GJUN.US,5,20250728,175000,38.11,38.11,38.11,38.11,100,0
GJUN.US,5,20250728,181500,38.1,38.1,38.1,38.1,755,0
GJUN.US,5,20250728,183000,38.08,38.09,38.08,38.08,1314,0
GJUN.US,5,20250728,184500,38.11,38.11,38.11,38.11,100,0
GJUN.US,5,20250728,185500,38.1,38.1,38.1,38.1,159,0
GJUN.US,5,20250728,190000,38.1,38.1,38.1,38.1,146,0
GJUN.US,5,20250728,190500,38.119,38.119,38.119,38.119,394,0
GJUN.US,5,20250728,192500,38.085,38.1,38.085,38.1,1600,0
GJUN.US,5,20250728,193500,38.0601,38.0601,38.0601,38.0601,10000,0
GJUN.US,5,20250728,195000,38.1099,38.1099,38.1099,38.1099,109,0
GJUN.US,5,20250728,201000,38.09,38.09,38.09,38.09,100,0
GJUN.US,5,20250728,205000,38.0501,38.0501,38.0501,38.0501,4525,0
GJUN.US,5,20250728,213000,38.09,38.09,38.09,38.09,100,0
GJUN.US,5,20250728,215500,38.06,38.06,38.06,38.06,100,0
GJUN.US,5,20250729,155500,38.14,38.14,38.14,38.14,100,0
GJUN.US,5,20250729,161000,38.1001,38.1001,38.1001,38.1001,249,0
GJUN.US,5,20250729,161500,38.11,38.11,38.11,38.11,1313,0
GJUN.US,5,20250729,163000,38.1,38.1002,38.1,38.1002,1336,0
GJUN.US,5,20250729,164000,38.13,38.13,38.13,38.13,100,0
GJUN.US,5,20250729,172000,38.1299,38.1299,38.1299,38.1299,113,0
GJUN.US,5,20250729,173500,38.08,38.08,38.08,38.08,100,0
GJUN.US,5,20250729,174500,38.09,38.09,38.04,38.04,3462,0
GJUN.US,5,20250729,180500,38.09,38.09,38.09,38.09,100,0
GJUN.US,5,20250729,191500,38.09,38.09,38.09,38.09,100,0
GJUN.US,5,20250729,204500,38.0718,38.0718,38.0718,38.0718,1500,0
GJUN.US,5,20250729,212000,38.0899,38.0899,38.0899,38.0899,442,0
GJUN.US,5,20250729,213000,38.0531,38.0531,38.0531,38.0531,500,0
GJUN.US,5,20250729,215500,38.04,38.04,38.03,38.03,200,0
GJUN.US,5,20250730,155000,38.0887,38.0887,38.07,38.07,600,0
GJUN.US,5,20250730,155500,38.05,38.075,38.05,38.075,200,0
GJUN.US,5,20250730,160500,38.05,38.05,38.05,38.05,300,0
GJUN.US,5,20250730,162000,38.06,38.09,38.06,38.09,1365,0
