<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLDM.US,5,20250728,153000,65.9,65.92,65.78,65.815,157763,0
GLDM.US,5,20250728,153500,65.815,65.875,65.8,65.855,63254,0
GLDM.US,5,20250728,154000,65.855,65.8752,65.78,65.78,42907,0
GLDM.US,5,20250728,154500,65.78,65.79,65.68,65.685,38422,0
GLDM.US,5,20250728,155000,65.68,65.7,65.4559,65.47,234324,0
GLDM.US,5,20250728,155500,65.46,65.52,65.375,65.38,128278,0
GLDM.US,5,20250728,160000,65.38,65.515,65.375,65.49,137241,0
GLDM.US,5,20250728,160500,65.475,65.49,65.43,65.44,127038,0
GLDM.US,5,20250728,161000,65.44,65.51,65.43,65.505,44635,0
GLDM.US,5,20250728,161500,65.51,65.545,65.4847,65.505,28274,0
GLDM.US,5,20250728,162000,65.51,65.55,65.4803,65.53,96216,0
GLDM.US,5,20250728,162500,65.525,65.625,65.5,65.5748,87562,0
GLDM.US,5,20250728,163000,65.575,65.615,65.5622,65.57,61401,0
GLDM.US,5,20250728,163500,65.57,65.585,65.51,65.565,42138,0
GLDM.US,5,20250728,164000,65.555,65.5999,65.55,65.5949,41545,0
GLDM.US,5,20250728,164500,65.6,65.6369,65.57,65.5799,45769,0
GLDM.US,5,20250728,165000,65.58,65.585,65.5305,65.54,24021,0
GLDM.US,5,20250728,165500,65.53,65.53,65.455,65.495,20312,0
GLDM.US,5,20250728,170000,65.5,65.5297,65.4635,65.51,12368,0
GLDM.US,5,20250728,170500,65.52,65.54,65.5012,65.525,15187,0
GLDM.US,5,20250728,171000,65.535,65.5699,65.53,65.54,16461,0
GLDM.US,5,20250728,171500,65.53,65.56,65.515,65.545,13486,0
GLDM.US,5,20250728,172000,65.55,65.565,65.53,65.565,17281,0
GLDM.US,5,20250728,172500,65.595,65.635,65.5901,65.61,8143,0
GLDM.US,5,20250728,173000,65.62,65.675,65.6012,65.665,17980,0
GLDM.US,5,20250728,173500,65.66,65.685,65.66,65.665,11372,0
GLDM.US,5,20250728,174000,65.665,65.665,65.65,65.665,8859,0
GLDM.US,5,20250728,174500,65.65,65.65,65.6299,65.63,5804,0
GLDM.US,5,20250728,175000,65.63,65.665,65.6201,65.6201,15334,0
GLDM.US,5,20250728,175500,65.63,65.655,65.63,65.6387,27390,0
GLDM.US,5,20250728,180000,65.6301,65.6301,65.6062,65.6221,14439,0
GLDM.US,5,20250728,180500,65.62,65.625,65.5918,65.5958,15551,0
GLDM.US,5,20250728,181000,65.59,65.615,65.58,65.61,36974,0
GLDM.US,5,20250728,181500,65.605,65.6167,65.59,65.59,14375,0
GLDM.US,5,20250728,182000,65.59,65.605,65.5835,65.585,12789,0
GLDM.US,5,20250728,182500,65.5845,65.625,65.5845,65.615,5775,0
GLDM.US,5,20250728,183000,65.615,65.63,65.615,65.6218,7130,0
GLDM.US,5,20250728,183500,65.635,65.635,65.605,65.62,7319,0
GLDM.US,5,20250728,184000,65.62,65.625,65.615,65.62,4752,0
GLDM.US,5,20250728,184500,65.615,65.615,65.58,65.59,15583,0
GLDM.US,5,20250728,185000,65.59,65.6087,65.58,65.585,12323,0
GLDM.US,5,20250728,185500,65.58,65.6,65.5701,65.5867,12179,0
GLDM.US,5,20250728,190000,65.59,65.59,65.54,65.55,10812,0
GLDM.US,5,20250728,190500,65.5599,65.56,65.5107,65.55,7990,0
GLDM.US,5,20250728,191000,65.5301,65.5446,65.5247,65.54,8181,0
GLDM.US,5,20250728,191500,65.54,65.575,65.5375,65.5703,13414,0
GLDM.US,5,20250728,192000,65.5725,65.59,65.55,65.5853,15985,0
GLDM.US,5,20250728,192500,65.58,65.605,65.55,65.55,24108,0
GLDM.US,5,20250728,193000,65.55,65.585,65.545,65.56,9433,0
GLDM.US,5,20250728,193500,65.555,65.56,65.535,65.54,6068,0
GLDM.US,5,20250728,194000,65.53,65.5551,65.53,65.5418,10145,0
GLDM.US,5,20250728,194500,65.545,65.5582,65.54,65.5532,13148,0
GLDM.US,5,20250728,195000,65.555,65.56,65.5399,65.5467,3565,0
GLDM.US,5,20250728,195500,65.5497,65.565,65.5436,65.56,8952,0
GLDM.US,5,20250728,200000,65.56,65.57,65.5533,65.555,31769,0
GLDM.US,5,20250728,200500,65.555,65.57,65.55,65.5563,8391,0
GLDM.US,5,20250728,201000,65.56,65.565,65.55,65.56,35182,0
GLDM.US,5,20250728,201500,65.565,65.595,65.56,65.58,7500,0
GLDM.US,5,20250728,202000,65.59,65.61,65.59,65.6,20251,0
GLDM.US,5,20250728,202500,65.6001,65.615,65.6,65.615,9949,0
GLDM.US,5,20250728,203000,65.6199,65.625,65.605,65.625,8304,0
GLDM.US,5,20250728,203500,65.6299,65.63,65.62,65.6299,26237,0
GLDM.US,5,20250728,204000,65.625,65.65,65.6215,65.6254,18358,0
GLDM.US,5,20250728,204500,65.625,65.6299,65.6117,65.615,8640,0
GLDM.US,5,20250728,205000,65.615,65.6193,65.6053,65.61,10557,0
GLDM.US,5,20250728,205500,65.605,65.625,65.605,65.62,10335,0
GLDM.US,5,20250728,210000,65.62,65.65,65.613,65.645,12029,0
GLDM.US,5,20250728,210500,65.6503,65.6699,65.64,65.6699,14661,0
GLDM.US,5,20250728,211000,65.665,65.67,65.6448,65.645,16436,0
GLDM.US,5,20250728,211500,65.64,65.645,65.61,65.6253,25518,0
GLDM.US,5,20250728,212000,65.6256,65.64,65.62,65.6301,19340,0
GLDM.US,5,20250728,212500,65.6314,65.64,65.625,65.625,15575,0
GLDM.US,5,20250728,213000,65.6299,65.65,65.6299,65.64,6937,0
GLDM.US,5,20250728,213500,65.64,65.665,65.63,65.6545,20482,0
GLDM.US,5,20250728,214000,65.655,65.656,65.6412,65.656,9352,0
GLDM.US,5,20250728,214500,65.655,65.665,65.65,65.656,12422,0
GLDM.US,5,20250728,215000,65.66,65.71,65.6542,65.705,46776,0
GLDM.US,5,20250728,215500,65.7039,65.717,65.67,65.68,88679,0
GLDM.US,5,20250729,153000,65.76,65.77,65.64,65.65,109070,0
GLDM.US,5,20250729,153500,65.63,65.6901,65.6,65.67,119722,0
GLDM.US,5,20250729,154000,65.67,65.74,65.64,65.74,46067,0
GLDM.US,5,20250729,154500,65.74,65.74,65.64,65.66,38679,0
GLDM.US,5,20250729,155000,65.66,65.69,65.63,65.69,19721,0
GLDM.US,5,20250729,155500,65.71,65.71,65.67,65.6807,16580,0
GLDM.US,5,20250729,160000,65.69,65.72,65.61,65.61,39888,0
GLDM.US,5,20250729,160500,65.6,65.68,65.585,65.66,33116,0
GLDM.US,5,20250729,161000,65.66,65.705,65.63,65.7,28470,0
GLDM.US,5,20250729,161500,65.69,65.74,65.6853,65.715,46037,0
GLDM.US,5,20250729,162000,65.71,65.815,65.71,65.805,28504,0
GLDM.US,5,20250729,162500,65.81,65.83,65.79,65.82,41462,0
GLDM.US,5,20250729,163000,65.82,65.83,65.8,65.82,29588,0
GLDM.US,5,20250729,163500,65.83,65.88,65.8299,65.86,31966,0
GLDM.US,5,20250729,164000,65.86,65.895,65.85,65.88,63755,0
GLDM.US,5,20250729,164500,65.88,65.925,65.875,65.9,57845,0
GLDM.US,5,20250729,165000,65.905,65.905,65.8797,65.885,27952,0
GLDM.US,5,20250729,165500,65.89,65.9047,65.87,65.9047,53241,0
GLDM.US,5,20250729,170000,65.905,65.95,65.875,65.95,33271,0
GLDM.US,5,20250729,170500,65.96,66.0106,65.9547,65.9565,38150,0
GLDM.US,5,20250729,171000,65.96,65.97,65.93,65.93,22212,0
GLDM.US,5,20250729,171500,65.93,65.94,65.89,65.9,50216,0
GLDM.US,5,20250729,172000,65.9,65.925,65.865,65.87,23816,0
GLDM.US,5,20250729,172500,65.86,65.865,65.83,65.8499,13855,0
GLDM.US,5,20250729,173000,65.8498,65.87,65.81,65.825,20786,0
GLDM.US,5,20250729,173500,65.835,65.8353,65.8,65.8235,14100,0
GLDM.US,5,20250729,174000,65.83,65.835,65.785,65.8,55976,0
GLDM.US,5,20250729,174500,65.795,65.815,65.75,65.7767,80695,0
GLDM.US,5,20250729,175000,65.785,65.79,65.745,65.75,30579,0
