<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GQI.US,5,20250728,153000,54.3288,54.3288,54.3288,54.3288,300,0
GQI.US,5,20250728,160000,54.39,54.39,54.39,54.39,100,0
GQI.US,5,20250728,160500,54.43,54.43,54.3881,54.3881,400,0
GQI.US,5,20250728,161500,54.3684,54.3684,54.3684,54.3684,213,0
GQI.US,5,20250728,165000,54.4,54.4,54.4,54.4,3000,0
GQI.US,5,20250728,165500,54.36,54.36,54.36,54.36,100,0
GQI.US,5,20250728,172500,54.2764,54.2764,54.2764,54.2764,250,0
GQI.US,5,20250728,174000,54.37,54.37,54.29,54.29,798,0
GQI.US,5,20250728,180000,54.38,54.38,54.38,54.38,100,0
GQI.US,5,20250728,180500,54.37,54.38,54.37,54.38,720,0
GQI.US,5,20250728,181000,54.36,54.37,54.36,54.37,1073,0
GQI.US,5,20250728,190500,54.3599,54.36,54.3599,54.36,1000,0
GQI.US,5,20250728,195000,54.34,54.34,54.34,54.34,100,0
GQI.US,5,20250728,200500,54.31,54.31,54.31,54.31,414,0
GQI.US,5,20250728,202000,54.303,54.303,54.303,54.303,100,0
GQI.US,5,20250728,203500,54.32,54.32,54.32,54.32,100,0
GQI.US,5,20250728,212500,54.3191,54.3191,54.3191,54.3191,939,0
GQI.US,5,20250728,213500,54.311384,54.311384,54.311384,54.311384,1251,0
GQI.US,5,20250728,214000,54.3031,54.32,54.3031,54.32,342,0
GQI.US,5,20250729,154500,54.37,54.37,54.37,54.37,100,0
GQI.US,5,20250729,161000,54.3,54.3,54.3,54.3,300,0
GQI.US,5,20250729,163500,54.3379,54.3379,54.3379,54.3379,450,0
GQI.US,5,20250729,173500,54.19,54.39,54.19,54.39,2960,0
GQI.US,5,20250729,174500,54.2792,54.2792,54.2792,54.2792,515,0
GQI.US,5,20250729,180500,54.27,54.27,54.24,54.24,300,0
GQI.US,5,20250729,181500,54.27,54.27,54.2692,54.2692,214,0
GQI.US,5,20250729,182500,54.26,54.26,54.26,54.26,100,0
GQI.US,5,20250729,190500,54.31,54.31,54.31,54.31,100,0
GQI.US,5,20250729,192000,54.31,54.31,54.2808,54.2808,702,0
GQI.US,5,20250729,195000,54.2,54.2,54.2,54.2,100,0
GQI.US,5,20250729,201500,54.25,54.25,54.2031,54.2031,1716,0
GQI.US,5,20250729,202000,54.19,54.19,54.19,54.19,100,0
GQI.US,5,20250729,203500,54.25,54.25,54.25,54.25,100,0
GQI.US,5,20250729,204000,54.2,54.2,54.2,54.2,100,0
GQI.US,5,20250729,211000,54.19,54.19,54.19,54.19,100,0
GQI.US,5,20250729,213000,54.23,54.23,54.23,54.23,100,0
GQI.US,5,20250729,215500,54.175,54.2,54.17,54.2,652,0
GQI.US,5,20250730,161000,54.2291,54.2291,54.2291,54.2291,200,0
GQI.US,5,20250730,161500,54.24,54.24,54.24,54.24,100,0
GQI.US,5,20250730,180000,54.19,54.1907,54.19,54.1907,400,0
GQI.US,5,20250730,181000,54.2,54.2,54.2,54.2,400,0
GQI.US,5,20250730,181500,54.21,54.26,54.21,54.26,350,0
GQI.US,5,20250730,182000,54.22,54.26,54.22,54.255,600,0
GQI.US,5,20250730,182500,54.22,54.22,54.21,54.21,400,0
GQI.US,5,20250730,183000,54.22,54.22,54.2,54.21,400,0
GQI.US,5,20250730,183500,54.21,54.24,54.16,54.16,1146,0
GQI.US,5,20250730,184000,54.16,54.195,54.16,54.16,400,0
GQI.US,5,20250730,184500,54.16,54.16,54.13,54.13,500,0
GQI.US,5,20250730,185000,54.135,54.15,54.135,54.14,500,0
GQI.US,5,20250730,185500,54.14,54.165,54.115,54.115,765,0
GQI.US,5,20250730,190000,54.12,54.14,54.11,54.14,700,0
GQI.US,5,20250730,190500,54.13,54.13,54.11,54.11,1200,0
GQI.US,5,20250730,192000,54.1,54.14,54.07,54.09,1528,0
