<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDMV.US,5,20250728,182500,34.98,34.98,34.98,34.98,100,0
HDMV.US,5,20250728,183000,34.9588,34.9588,34.9588,34.9588,195,0
HDMV.US,5,20250728,210000,34.85,34.85,34.85,34.85,1250,0
HDMV.US,5,20250729,184500,34.87,34.87,34.87,34.87,371,0
HDMV.US,5,20250729,185500,34.87,34.8701,34.87,34.8701,258,0
HDMV.US,5,20250729,202500,34.9055,34.9055,34.8601,34.8601,224,0
HDMV.US,5,20250729,212500,34.88,34.8801,34.88,34.8801,348,0
HDMV.US,5,20250730,201000,34.8228,34.8228,34.8228,34.8228,230,0
HDMV.US,5,20250731,173000,34.39,34.392,34.38,34.392,918,0
HDMV.US,5,20250731,181000,34.42,34.43,34.42,34.43,1000,0
HDMV.US,5,20250731,195000,34.325,34.36,34.325,34.347861,1443,0
HDMV.US,5,20250731,195500,34.37,34.37,34.342,34.347975,1245,0
HDMV.US,5,20250731,200000,34.38,34.38,34.34,34.38,523,0
HDMV.US,5,20250731,200500,34.389,34.389,34.3332,34.3427,901,0
HDMV.US,5,20250731,210500,34.4199,34.4199,34.4199,34.4199,165,0
HDMV.US,5,20250731,213500,34.409,34.429,34.409,34.4275,1566,0
HDMV.US,5,20250801,155000,34.5,34.5,34.5,34.5,100,0
HDMV.US,5,20250801,161500,34.52,34.52,34.52,34.52,100,0
HDMV.US,5,20250801,164500,34.52,34.52,34.52,34.52,100,0
HDMV.US,5,20250801,180500,34.57,34.57,34.57,34.57,4109,0
HDMV.US,5,20250801,212000,34.5,34.5,34.5,34.5,100,0
HDMV.US,5,20250804,161000,34.94,34.94,34.94,34.94,100,0
HDMV.US,5,20250804,172000,34.895,34.895,34.895,34.895,101,0
HDMV.US,5,20250804,192500,34.92,34.92,34.92,34.92,100,0
HDMV.US,5,20250804,194500,34.9082,34.9082,34.9082,34.9082,194,0
HDMV.US,5,20250804,210000,34.96,34.96,34.96,34.96,100,0
HDMV.US,5,20250804,213000,34.99,34.99,34.99,34.99,540,0
HDMV.US,5,20250804,213500,34.9457,34.9457,34.9457,34.9457,300,0
HDMV.US,5,20250805,172000,34.98,34.98,34.98,34.98,100,0
HDMV.US,5,20250805,185000,35.02,35.04,35.02,35.04,434,0
HDMV.US,5,20250805,191000,35.04,35.04,35.04,35.04,100,0
HDMV.US,5,20250805,192000,35.05,35.05,35.05,35.05,100,0
HDMV.US,5,20250805,193000,35.06,35.06,35.06,35.06,100,0
HDMV.US,5,20250806,165000,35.05,35.05,35.05,35.05,100,0
HDMV.US,5,20250806,184500,35.08,35.08,35.08,35.08,290,0
HDMV.US,5,20250806,212500,35.0602,35.0602,35.06,35.06,414,0
HDMV.US,5,20250807,164500,35.27,35.27,35.27,35.27,100,0
HDMV.US,5,20250807,173500,35.231879,35.231879,35.231879,35.231879,103,0
HDMV.US,5,20250807,215500,35.28,35.28,35.27,35.27,257,0
HDMV.US,5,20250808,172000,35.429,35.429,35.429,35.429,360,0
HDMV.US,5,20250811,162500,35.28,35.28,35.28,35.28,100,0
HDMV.US,5,20250811,183500,35.365,35.365,35.365,35.365,326,0
HDMV.US,5,20250811,184500,35.37,35.37,35.37,35.37,144,0
HDMV.US,5,20250811,201000,35.3337,35.3337,35.3337,35.3337,180,0
HDMV.US,5,20250811,201500,35.37,35.37,35.37,35.37,100,0
HDMV.US,5,20250811,202000,35.37,35.37,35.37,35.37,310,0
HDMV.US,5,20250811,204000,35.3426,35.3426,35.3426,35.3426,124,0
HDMV.US,5,20250811,204500,35.359,35.359,35.359,35.359,133,0
HDMV.US,5,20250811,214000,35.356981,35.356981,35.3473,35.353,486,0
HDMV.US,5,20250812,212500,35.5,35.5,35.5,35.5,500,0
HDMV.US,5,20250813,191500,35.76,35.76,35.76,35.76,391,0
HDMV.US,5,20250814,172500,35.53,35.53,35.53,35.53,146,0
HDMV.US,5,20250814,182000,35.4903,35.4903,35.4903,35.4903,474,0
HDMV.US,5,20250814,182500,35.5165,35.5165,35.5165,35.5165,200,0
HDMV.US,5,20250814,183000,35.5099,35.53,35.45,35.53,767,0
HDMV.US,5,20250814,194000,35.45,35.45,35.45,35.45,100,0
HDMV.US,5,20250814,211500,35.555,35.555,35.555,35.555,117,0
HDMV.US,5,20250814,213000,35.6,35.6,35.6,35.6,123,0
HDMV.US,5,20250815,161000,35.59,35.59,35.59,35.59,100,0
HDMV.US,5,20250815,195000,35.6611,35.6611,35.6611,35.6611,126,0
HDMV.US,5,20250815,205000,35.6481,35.6481,35.6481,35.6481,283,0
HDMV.US,5,20250818,161000,35.48,35.48,35.48,35.48,100,0
HDMV.US,5,20250818,193000,35.47,35.47,35.47,35.47,100,0
HDMV.US,5,20250818,212000,35.54,35.54,35.54,35.54,174,0
HDMV.US,5,20250819,162000,35.68,35.76,35.65,35.76,1039,0
HDMV.US,5,20250819,162500,35.7,35.7,35.7,35.7,202,0
