<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYRM.US,5,20250728,162000,23.47,23.47,23.47,23.47,100,0
HYRM.US,5,20250728,202500,23.45,23.4568,23.45,23.4568,569,0
HYRM.US,5,20250729,162000,23.47,23.47,23.47,23.47,100,0
HYRM.US,5,20250729,212000,23.4492,23.4492,23.4492,23.4492,219,0
HYRM.US,5,20250730,161000,23.43,23.43,23.43,23.43,100,0
HYRM.US,5,20250730,195500,23.43,23.45,23.43,23.4354,967,0
HYRM.US,5,20250730,201500,23.46,23.47,23.4599,23.47,300,0
HYRM.US,5,20250730,203500,23.46,23.46,23.4599,23.4599,200,0
HYRM.US,5,20250730,204000,23.4667,23.4667,23.4667,23.4667,1140,0
HYRM.US,5,20250730,205000,23.44,23.44,23.44,23.44,100,0
HYRM.US,5,20250730,210500,23.42,23.43,23.42,23.43,500,0
HYRM.US,5,20250730,212500,23.43,23.43,23.43,23.43,300,0
HYRM.US,5,20250730,213500,23.43,23.43,23.43,23.43,1300,0
HYRM.US,5,20250730,214000,23.43,23.44,23.42,23.44,2300,0
HYRM.US,5,20250730,215000,23.42,23.42,23.42,23.42,200,0
HYRM.US,5,20250731,161000,23.44,23.44,23.44,23.44,100,0
HYRM.US,5,20250801,162500,23.3,23.3,23.3,23.3,100,0
HYRM.US,5,20250801,211500,23.29,23.29,23.29,23.29,335,0
HYRM.US,5,20250804,161500,23.3292,23.3292,23.3292,23.3292,164,0
HYRM.US,5,20250804,165500,23.32,23.32,23.32,23.32,100,0
HYRM.US,5,20250804,203500,23.3699,23.3699,23.3699,23.3699,420,0
HYRM.US,5,20250804,204000,23.3482,23.35,23.33,23.35,2918,0
HYRM.US,5,20250804,212500,23.37,23.37,23.37,23.37,100,0
HYRM.US,5,20250804,213000,23.38,23.38,23.38,23.38,100,0
HYRM.US,5,20250804,213500,23.38,23.38,23.38,23.38,100,0
HYRM.US,5,20250804,214000,23.38,23.38,23.38,23.38,200,0
HYRM.US,5,20250804,214500,23.38,23.38,23.38,23.38,200,0
HYRM.US,5,20250804,215000,23.39,23.39,23.39,23.39,300,0
HYRM.US,5,20250804,215500,23.39,23.42,23.38,23.38,1300,0
HYRM.US,5,20250805,204000,23.35,23.35,23.3,23.3,2841,0
HYRM.US,5,20250805,205500,23.35,23.3501,23.3467,23.3467,1934,0
HYRM.US,5,20250805,210000,23.3414,23.3414,23.3414,23.3414,2834,0
HYRM.US,5,20250806,205500,23.39,23.39,23.3501,23.3501,476,0
HYRM.US,5,20250807,164000,23.38,23.38,23.38,23.38,100,0
HYRM.US,5,20250807,204000,23.37,23.37,23.37,23.37,705,0
HYRM.US,5,20250807,214000,23.38,23.38,23.38,23.38,174,0
HYRM.US,5,20250808,182000,23.355,23.355,23.355,23.355,261,0
HYRM.US,5,20250808,182500,23.37,23.37,23.3699,23.3699,596,0
HYRM.US,5,20250808,183000,23.36,23.38,23.36,23.3654,1200,0
HYRM.US,5,20250808,185500,23.36,23.36,23.36,23.36,520,0
HYRM.US,5,20250811,163000,23.35,23.35,23.35,23.35,100,0
HYRM.US,5,20250811,204000,23.39,23.43,23.3754,23.43,800,0
HYRM.US,5,20250811,213000,23.3799,23.42,23.365,23.42,800,0
HYRM.US,5,20250811,213500,23.4,23.4146,23.38,23.41,995,0
HYRM.US,5,20250812,163000,23.35,23.35,23.35,23.35,100,0
HYRM.US,5,20250812,201500,23.38,23.3801,23.38,23.3801,594,0
HYRM.US,5,20250812,204000,23.38,23.3801,23.38,23.3801,1165,0
HYRM.US,5,20250812,204500,23.4199,23.4199,23.4199,23.4199,136,0
HYRM.US,5,20250813,162500,23.43,23.43,23.43,23.43,100,0
HYRM.US,5,20250813,204500,23.455,23.47,23.455,23.4699,339,0
HYRM.US,5,20250813,213500,23.454,23.454,23.454,23.454,236,0
HYRM.US,5,20250814,162000,23.41,23.41,23.41,23.41,100,0
HYRM.US,5,20250814,205000,23.4115,23.4285,23.4115,23.4285,731,0
HYRM.US,5,20250815,162000,23.4,23.4,23.4,23.4,100,0
HYRM.US,5,20250815,164000,23.4001,23.4001,23.4,23.4,376,0
HYRM.US,5,20250818,163000,23.42,23.42,23.42,23.42,100,0
HYRM.US,5,20250818,204500,23.44,23.44,23.4399,23.4399,400,0
HYRM.US,5,20250818,205500,23.4,23.4,23.4,23.4,800,0
HYRM.US,5,20250818,211000,23.4,23.56,23.4,23.56,31215,0
HYRM.US,5,20250819,204000,23.43,23.47,23.39,23.39,800,0
HYRM.US,5,20250819,204500,23.4185,23.4185,23.4185,23.4185,583,0
HYRM.US,5,20250820,203000,23.39,23.39,23.39,23.39,100,0
HYRM.US,5,20250820,203500,23.3804,23.42,23.3804,23.4054,5803,0
HYRM.US,5,20250821,200000,23.355,23.3614,23.34,23.3509,7077,0
HYRM.US,5,20250821,213000,23.3662,23.3662,23.3662,23.3662,122,0
HYRM.US,5,20250822,170500,23.45,23.45,23.45,23.45,231,0
HYRM.US,5,20250822,185000,23.5015,23.5015,23.5015,23.5015,123,0
HYRM.US,5,20250825,162500,23.53,23.53,23.53,23.53,100,0
HYRM.US,5,20250826,162500,23.54,23.54,23.54,23.54,100,0
