<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDR.US,5,20250728,153000,24.2101,24.2199,24.21,24.2199,6246,0
IBDR.US,5,20250728,153500,24.215,24.2187,24.215,24.2187,5041,0
IBDR.US,5,20250728,154000,24.2192,24.2192,24.21,24.21,6514,0
IBDR.US,5,20250728,154500,24.2153,24.2199,24.215,24.215,1926,0
IBDR.US,5,20250728,155000,24.219,24.219,24.2119,24.215,2930,0
IBDR.US,5,20250728,155500,24.22,24.22,24.215,24.215,1340,0
IBDR.US,5,20250728,160000,24.2188,24.2188,24.2119,24.215,2485,0
IBDR.US,5,20250728,160500,24.215,24.2188,24.21,24.2188,1592,0
IBDR.US,5,20250728,161000,24.215,24.2183,24.215,24.2167,591,0
IBDR.US,5,20250728,161500,24.215,24.22,24.21,24.2101,1169,0
IBDR.US,5,20250728,162000,24.2112,24.2183,24.2112,24.2167,656,0
IBDR.US,5,20250728,162500,24.215,24.22,24.2112,24.22,13720,0
IBDR.US,5,20250728,163000,24.215,24.22,24.21,24.2196,2102,0
IBDR.US,5,20250728,163500,24.2187,24.22,24.215,24.215,2540,0
IBDR.US,5,20250728,164000,24.2153,24.2153,24.215,24.215,1486,0
IBDR.US,5,20250728,164500,24.215,24.215,24.215,24.215,759,0
IBDR.US,5,20250728,165000,24.2147,24.215,24.2147,24.215,899,0
IBDR.US,5,20250728,165500,24.2112,24.215,24.2112,24.215,872,0
IBDR.US,5,20250728,170000,24.2155,24.2155,24.2101,24.2101,2724,0
IBDR.US,5,20250728,170500,24.215,24.22,24.215,24.215,5682,0
IBDR.US,5,20250728,171000,24.215,24.22,24.2148,24.2187,2318,0
IBDR.US,5,20250728,171500,24.215,24.219,24.21,24.21,2195,0
IBDR.US,5,20250728,172000,24.215,24.2191,24.215,24.215,1525,0
IBDR.US,5,20250728,172500,24.215,24.22,24.21,24.2182,17849,0
IBDR.US,5,20250728,173000,24.2167,24.2183,24.215,24.215,597,0
IBDR.US,5,20250728,173500,24.2119,24.215,24.2114,24.2114,5005,0
IBDR.US,5,20250728,174000,24.215,24.215,24.215,24.215,200,0
IBDR.US,5,20250728,174500,24.22,24.22,24.21,24.2165,6126,0
IBDR.US,5,20250728,175000,24.219,24.219,24.2147,24.215,5012,0
IBDR.US,5,20250728,175500,24.216466,24.22,24.215,24.215,2104,0
IBDR.US,5,20250728,180000,24.215,24.2199,24.215,24.2199,761,0
IBDR.US,5,20250728,180500,24.215,24.2192,24.215,24.2192,1269,0
IBDR.US,5,20250728,181000,24.22,24.22,24.215,24.215,3250,0
IBDR.US,5,20250728,181500,24.215,24.215,24.215,24.215,1353,0
IBDR.US,5,20250728,182000,24.22,24.22,24.215,24.215,2243,0
IBDR.US,5,20250728,182500,24.2183,24.2183,24.215,24.2183,422,0
IBDR.US,5,20250728,183000,24.2158,24.22,24.215,24.215,3620,0
IBDR.US,5,20250728,183500,24.2117,24.22,24.2117,24.215,7600,0
IBDR.US,5,20250728,184000,24.215,24.215,24.215,24.215,200,0
IBDR.US,5,20250728,184500,24.2114,24.22,24.2114,24.22,2328,0
IBDR.US,5,20250728,185000,24.215,24.2184,24.21,24.2101,952,0
IBDR.US,5,20250728,185500,24.215,24.22,24.2101,24.2115,5090,0
IBDR.US,5,20250728,190000,24.215,24.215,24.215,24.215,896,0
IBDR.US,5,20250728,190500,24.2199,24.22,24.2125,24.22,7695,0
IBDR.US,5,20250728,191000,24.215,24.215,24.2112,24.215,2897,0
IBDR.US,5,20250728,191500,24.215,24.22,24.215,24.215,813,0
IBDR.US,5,20250728,192000,24.22,24.22,24.215,24.215,300,0
IBDR.US,5,20250728,192500,24.21,24.22,24.21,24.215,2077,0
IBDR.US,5,20250728,193000,24.22,24.22,24.215,24.215,2071,0
IBDR.US,5,20250728,193500,24.22,24.22,24.215,24.215,583,0
IBDR.US,5,20250728,194000,24.2147,24.215,24.2147,24.215,203,0
IBDR.US,5,20250728,194500,24.215,24.22,24.215,24.22,3206,0
IBDR.US,5,20250728,195000,24.2101,24.2183,24.21,24.215,673,0
IBDR.US,5,20250728,195500,24.2186,24.22,24.21,24.215,29350,0
IBDR.US,5,20250728,200000,24.2101,24.22,24.21,24.22,1566,0
IBDR.US,5,20250728,200500,24.2101,24.215,24.21,24.215,430,0
IBDR.US,5,20250728,201000,24.22,24.22,24.215,24.215,1334,0
IBDR.US,5,20250728,201500,24.219,24.22,24.215,24.216514,3976,0
IBDR.US,5,20250728,202000,24.215,24.2199,24.2114,24.215,2087,0
IBDR.US,5,20250728,202500,24.2199,24.22,24.2112,24.2117,2382,0
IBDR.US,5,20250728,203000,24.215,24.22,24.2117,24.2117,1171,0
IBDR.US,5,20250728,203500,24.215,24.22,24.2144,24.2144,1930,0
IBDR.US,5,20250728,204000,24.215,24.22,24.21,24.215,4170,0
IBDR.US,5,20250728,204500,24.215,24.22,24.2101,24.2186,1873,0
IBDR.US,5,20250728,205000,24.2148,24.22,24.2148,24.22,4827,0
IBDR.US,5,20250728,205500,24.2167,24.22,24.215,24.22,2604,0
IBDR.US,5,20250728,210000,24.2188,24.22,24.215,24.22,4459,0
IBDR.US,5,20250728,210500,24.22,24.22,24.215,24.215,2050,0
IBDR.US,5,20250728,211000,24.219,24.22,24.2114,24.22,3586,0
IBDR.US,5,20250728,211500,24.215,24.22,24.2101,24.2191,9923,0
IBDR.US,5,20250728,212000,24.215,24.22,24.2119,24.215,9801,0
IBDR.US,5,20250728,212500,24.215,24.22,24.2113,24.22,12797,0
IBDR.US,5,20250728,213000,24.2119,24.22,24.21,24.22,10747,0
IBDR.US,5,20250728,213500,24.2182,24.22,24.215,24.215,8647,0
IBDR.US,5,20250728,214000,24.2186,24.22,24.2135,24.2191,3871,0
IBDR.US,5,20250728,214500,24.215,24.22,24.21,24.22,11312,0
IBDR.US,5,20250728,215000,24.22,24.22,24.215,24.215,2151,0
IBDR.US,5,20250728,215500,24.215,24.22,24.21,24.21,7257,0
IBDR.US,5,20250729,153000,24.21,24.2192,24.21,24.2192,33886,0
IBDR.US,5,20250729,153500,24.215,24.22,24.2118,24.2175,22240,0
IBDR.US,5,20250729,154000,24.22,24.22,24.21,24.21,3100,0
IBDR.US,5,20250729,154500,24.22,24.22,24.21,24.22,10697,0
IBDR.US,5,20250729,155000,24.2199,24.22,24.215,24.2187,9349,0
IBDR.US,5,20250729,155500,24.2199,24.22,24.219,24.22,1258,0
IBDR.US,5,20250729,160000,24.22,24.22,24.22,24.22,1200,0
IBDR.US,5,20250729,160500,24.2195,24.22,24.2182,24.22,6847,0
IBDR.US,5,20250729,161000,24.2181,24.22,24.2153,24.22,2029,0
IBDR.US,5,20250729,161500,24.22,24.22,24.2119,24.215,4196,0
IBDR.US,5,20250729,162000,24.22,24.22,24.2113,24.22,1598,0
IBDR.US,5,20250729,162500,24.22,24.22,24.215,24.22,2438,0
IBDR.US,5,20250729,163000,24.22,24.22,24.2115,24.22,12516,0
IBDR.US,5,20250729,163500,24.22,24.22,24.2115,24.22,20031,0
IBDR.US,5,20250729,164000,24.22,24.22,24.2147,24.22,2419,0
IBDR.US,5,20250729,164500,24.22,24.22,24.2115,24.22,3421,0
IBDR.US,5,20250729,165000,24.22,24.22,24.2199,24.22,1452,0
IBDR.US,5,20250729,165500,24.22,24.22,24.2191,24.22,870,0
IBDR.US,5,20250729,170000,24.22,24.22,24.22,24.22,1355,0
IBDR.US,5,20250729,170500,24.22,24.22,24.2112,24.22,11060,0
IBDR.US,5,20250729,171000,24.22,24.22,24.2133,24.2135,23146,0
IBDR.US,5,20250729,171500,24.215,24.22,24.215,24.22,2476,0
IBDR.US,5,20250729,172000,24.22,24.22,24.215,24.22,6817,0
IBDR.US,5,20250729,172500,24.2199,24.22,24.212,24.22,10153,0
IBDR.US,5,20250729,173000,24.22,24.22,24.2191,24.2191,4360,0
IBDR.US,5,20250729,173500,24.22,24.22,24.2192,24.22,2883,0
IBDR.US,5,20250729,174000,24.2167,24.22,24.2167,24.22,3040,0
IBDR.US,5,20250729,174500,24.2192,24.22,24.2192,24.22,2349,0
IBDR.US,5,20250729,175000,24.22,24.22,24.219,24.22,1047,0
IBDR.US,5,20250729,175500,24.22,24.22,24.2198,24.2198,1049,0
IBDR.US,5,20250729,180000,24.219,24.22,24.215,24.22,2683,0
IBDR.US,5,20250729,180500,24.22,24.22,24.2113,24.22,6029,0
IBDR.US,5,20250729,181000,24.22,24.22,24.2117,24.2117,1524,0
IBDR.US,5,20250729,181500,24.22,24.22,24.2175,24.22,9754,0
IBDR.US,5,20250729,182000,24.22,24.22,24.22,24.22,800,0
IBDR.US,5,20250729,182500,24.22,24.22,24.215,24.22,4178,0
IBDR.US,5,20250729,183000,24.219,24.22,24.2113,24.22,5826,0
IBDR.US,5,20250729,183500,24.2101,24.22,24.21,24.215,26830,0
IBDR.US,5,20250729,184000,24.214392,24.22,24.214392,24.22,3452,0
IBDR.US,5,20250729,184500,24.22,24.22,24.22,24.22,1000,0
IBDR.US,5,20250729,185000,24.22,24.22,24.22,24.22,800,0
IBDR.US,5,20250729,185500,24.22,24.22,24.21,24.22,34764,0
IBDR.US,5,20250729,190000,24.22,24.22,24.2137,24.22,5230,0
IBDR.US,5,20250729,190500,24.22,24.22,24.2133,24.22,3907,0
IBDR.US,5,20250729,191000,24.22,24.22,24.215,24.22,2798,0
IBDR.US,5,20250729,191500,24.22,24.22,24.22,24.22,1816,0
IBDR.US,5,20250729,192000,24.2163,24.22,24.2114,24.22,6537,0
IBDR.US,5,20250729,192500,24.2135,24.22,24.2135,24.22,3370,0
IBDR.US,5,20250729,193000,24.22,24.22,24.2135,24.215,2812,0
IBDR.US,5,20250729,193500,24.22,24.22,24.22,24.22,831,0
IBDR.US,5,20250729,194000,24.22,24.22,24.2111,24.215,77389,0
IBDR.US,5,20250729,194500,24.22,24.22,24.215,24.22,1110,0
IBDR.US,5,20250729,195000,24.2115,24.22,24.2115,24.2191,5159,0
IBDR.US,5,20250729,195500,24.2133,24.22,24.2133,24.22,2310,0
IBDR.US,5,20250729,200000,24.22,24.22,24.215,24.22,1600,0
IBDR.US,5,20250729,200500,24.22,24.22,24.2113,24.22,1463,0
IBDR.US,5,20250729,201000,24.22,24.22,24.215,24.22,3461,0
IBDR.US,5,20250729,201500,24.22,24.22,24.2147,24.2147,2905,0
IBDR.US,5,20250729,202000,24.22,24.22,24.215,24.22,11510,0
IBDR.US,5,20250729,202500,24.2147,24.22,24.2147,24.2199,1523,0
IBDR.US,5,20250729,203000,24.22,24.22,24.215,24.215,2616,0
IBDR.US,5,20250729,203500,24.22,24.22,24.21,24.22,6007,0
IBDR.US,5,20250729,204000,24.22,24.22,24.2133,24.22,1759,0
IBDR.US,5,20250729,204500,24.22,24.22,24.215657,24.22,10529,0
IBDR.US,5,20250729,205000,24.22,24.22,24.2147,24.22,15486,0
IBDR.US,5,20250729,205500,24.215,24.22,24.215,24.2199,2345,0
IBDR.US,5,20250729,210000,24.215,24.22,24.2115,24.22,18989,0
IBDR.US,5,20250729,210500,24.21,24.22,24.21,24.215,6803,0
IBDR.US,5,20250729,211000,24.22,24.22,24.215,24.22,3504,0
IBDR.US,5,20250729,211500,24.22,24.22,24.2117,24.2117,2934,0
IBDR.US,5,20250729,212000,24.22,24.2282,24.212,24.2267,46502,0
IBDR.US,5,20250729,212500,24.225,24.23,24.2201,24.23,6594,0
IBDR.US,5,20250729,213000,24.23,24.23,24.225,24.225,4878,0
IBDR.US,5,20250729,213500,24.2297,24.23,24.22,24.229,12540,0
IBDR.US,5,20250729,214000,24.225,24.23,24.225,24.225,6042,0
IBDR.US,5,20250729,214500,24.225,24.23,24.2201,24.2267,11632,0
IBDR.US,5,20250729,215000,24.229,24.23,24.2214,24.2214,15358,0
IBDR.US,5,20250729,215500,24.225,24.23,24.225,24.23,29616,0
IBDR.US,5,20250730,153000,24.23,24.2307,24.23,24.2307,1878,0
IBDR.US,5,20250730,154000,24.23,24.23,24.23,24.23,827,0
IBDR.US,5,20250730,154500,24.2348,24.2352,24.2348,24.2352,1168,0
IBDR.US,5,20250730,155000,24.2309,24.2309,24.2309,24.2309,172,0
IBDR.US,5,20250730,155500,24.2385,24.2385,24.235,24.235,3389,0
IBDR.US,5,20250730,160000,24.235,24.2382,24.23,24.2347,1956,0
IBDR.US,5,20250730,160500,24.235,24.235,24.235,24.235,500,0
IBDR.US,5,20250730,161000,24.2385,24.2385,24.235,24.235,1816,0
IBDR.US,5,20250730,161500,24.2399,24.2399,24.2302,24.2302,613,0
IBDR.US,5,20250730,162000,24.23,24.24,24.23,24.2333,1199,0
IBDR.US,5,20250730,162500,24.2388,24.24,24.23,24.2388,22649,0
IBDR.US,5,20250730,163000,24.233,24.239,24.233,24.239,529,0
IBDR.US,5,20250730,163500,24.2399,24.2399,24.2388,24.2388,1913,0
IBDR.US,5,20250730,164000,24.2353,24.24,24.23,24.2399,13257,0
IBDR.US,5,20250730,164500,24.2311,24.235,24.231,24.235,3746,0
IBDR.US,5,20250730,165000,24.2367,24.2367,24.2367,24.2367,227,0
IBDR.US,5,20250730,165500,24.2348,24.24,24.2314,24.2314,954,0
IBDR.US,5,20250730,170000,24.2399,24.2399,24.235,24.235,925,0
IBDR.US,5,20250730,170500,24.235,24.24,24.23,24.24,2845,0
IBDR.US,5,20250730,171000,24.235,24.2385,24.23,24.2341,3437,0
IBDR.US,5,20250730,171500,24.235,24.235,24.2328,24.2328,2051,0
IBDR.US,5,20250730,172000,24.2311,24.2381,24.2311,24.2381,1253,0
IBDR.US,5,20250730,172500,24.2345,24.2347,24.2345,24.2347,1029,0
IBDR.US,5,20250730,173000,24.2367,24.2367,24.235,24.235,4384,0
IBDR.US,5,20250730,173500,24.24,24.24,24.23,24.235,8167,0
IBDR.US,5,20250730,174000,24.2346,24.24,24.23,24.23,3168,0
IBDR.US,5,20250730,174500,24.23,24.235,24.23,24.235,2486,0
IBDR.US,5,20250730,175000,24.23,24.24,24.23,24.235,5473,0
IBDR.US,5,20250730,175500,24.2385,24.2385,24.23,24.235,2865,0
IBDR.US,5,20250730,180000,24.235,24.235,24.235,24.235,100,0
IBDR.US,5,20250730,180500,24.23,24.23,24.23,24.23,100,0
IBDR.US,5,20250730,181000,24.235,24.235,24.235,24.235,596,0
IBDR.US,5,20250730,181500,24.235,24.235,24.23,24.235,636,0
IBDR.US,5,20250730,182000,24.23,24.235,24.23,24.2348,1915,0
IBDR.US,5,20250730,182500,24.235,24.24,24.23,24.24,2666,0
IBDR.US,5,20250730,183000,24.235,24.24,24.23,24.235,8766,0
IBDR.US,5,20250730,183500,24.231111,24.235,24.23,24.23,6555,0
IBDR.US,5,20250730,184000,24.235,24.2399,24.23,24.2385,6541,0
IBDR.US,5,20250730,184500,24.23,24.2398,24.23,24.2386,5684,0
IBDR.US,5,20250730,185000,24.235,24.235,24.235,24.235,100,0
IBDR.US,5,20250730,185500,24.235,24.2399,24.23,24.235,16478,0
IBDR.US,5,20250730,190000,24.2312,24.2353,24.2312,24.235,1510,0
IBDR.US,5,20250730,190500,24.23,24.235,24.23,24.2337,1686,0
IBDR.US,5,20250730,191000,24.24,24.24,24.23,24.23,1225,0
IBDR.US,5,20250730,191500,24.231,24.24,24.23,24.23,12549,0
IBDR.US,5,20250730,192000,24.2355,24.2367,24.23,24.23,3443,0
IBDR.US,5,20250730,193000,24.2385,24.24,24.23,24.2301,3004,0
IBDR.US,5,20250730,193500,24.2374,24.2374,24.235,24.235,3458,0
IBDR.US,5,20250730,194000,24.235,24.2399,24.23,24.2383,1331,0
IBDR.US,5,20250730,194500,24.2399,24.2399,24.237683,24.237683,346,0
IBDR.US,5,20250730,195000,24.235,24.235,24.23,24.23,249,0
IBDR.US,5,20250730,195500,24.2363,24.24,24.2309,24.24,750,0
IBDR.US,5,20250730,200000,24.235,24.235,24.2301,24.235,3397,0
IBDR.US,5,20250730,200500,24.2399,24.24,24.235,24.24,1995,0
IBDR.US,5,20250730,201000,24.235,24.24,24.235,24.235,400,0
IBDR.US,5,20250730,201500,24.2382,24.24,24.23,24.2318,21743,0
IBDR.US,5,20250730,202000,24.235,24.235,24.23,24.23,204,0
IBDR.US,5,20250730,202500,24.235,24.24,24.235,24.24,501,0
IBDR.US,5,20250730,203000,24.2385,24.24,24.235,24.24,914,0
IBDR.US,5,20250730,203500,24.24,24.24,24.23,24.23,200,0
IBDR.US,5,20250730,204000,24.2398,24.24,24.23,24.24,523,0
IBDR.US,5,20250730,204500,24.239,24.24,24.23,24.235,10204,0
IBDR.US,5,20250730,205000,24.2361,24.2361,24.2361,24.2361,200,0
IBDR.US,5,20250730,205500,24.23,24.24,24.23,24.23,11756,0
IBDR.US,5,20250730,210000,24.235,24.24,24.23,24.235,10927,0
IBDR.US,5,20250730,210500,24.23,24.23,24.23,24.23,100,0
IBDR.US,5,20250730,211000,24.2311,24.2311,24.2303,24.2303,784,0
IBDR.US,5,20250730,211500,24.23,24.2389,24.23,24.23,6037,0
IBDR.US,5,20250730,212000,24.23,24.232,24.225,24.225,56776,0
IBDR.US,5,20250730,212500,24.2201,24.225,24.22,24.22,849,0
IBDR.US,5,20250730,213000,24.2215,24.23,24.2213,24.2256,3590,0
IBDR.US,5,20250730,213500,24.22,24.23,24.22,24.23,277400,0
IBDR.US,5,20250730,214000,24.22,24.23,24.22,24.23,2776,0
IBDR.US,5,20250730,214500,24.2284,24.23,24.22,24.23,7099,0
IBDR.US,5,20250730,215000,24.225,24.23,24.222,24.23,1745,0
IBDR.US,5,20250730,215500,24.225,24.23,24.22,24.22,8970,0
IBDR.US,5,20250731,153000,24.2212,24.2212,24.2212,24.2212,120,0
IBDR.US,5,20250731,153500,24.23,24.23,24.2201,24.2201,1418,0
IBDR.US,5,20250731,154000,24.225,24.225,24.22,24.2217,5494,0
IBDR.US,5,20250731,154500,24.225,24.225,24.22,24.22,506,0
IBDR.US,5,20250731,155000,24.23,24.23,24.23,24.23,652,0
IBDR.US,5,20250731,155500,24.2259,24.2259,24.225,24.225,439,0
IBDR.US,5,20250731,160000,24.2201,24.23,24.22,24.22,10835,0
IBDR.US,5,20250731,160500,24.225,24.2282,24.225,24.225,7245,0
IBDR.US,5,20250731,161000,24.22,24.2256,24.22,24.2256,1214,0
IBDR.US,5,20250731,161500,24.2267,24.2267,24.2267,24.2267,4247,0
IBDR.US,5,20250731,162000,24.22,24.22,24.22,24.22,100,0
IBDR.US,5,20250731,162500,24.2267,24.23,24.22,24.23,8170,0
IBDR.US,5,20250731,163000,24.225,24.2289,24.22,24.2281,2486,0
IBDR.US,5,20250731,163500,24.2233,24.225,24.22,24.225,73848,0
IBDR.US,5,20250731,164000,24.225,24.2299,24.22,24.2218,8648,0
IBDR.US,5,20250731,164500,24.225,24.23,24.225,24.23,6904,0
IBDR.US,5,20250731,165000,24.2212,24.2212,24.2212,24.2212,1758,0
IBDR.US,5,20250731,165500,24.2299,24.23,24.22,24.2257,4373,0
IBDR.US,5,20250731,170500,24.2217,24.23,24.2217,24.225,1052,0
IBDR.US,5,20250731,171000,24.2216,24.2216,24.2201,24.2201,989,0
IBDR.US,5,20250731,171500,24.22,24.23,24.22,24.225,29887,0
IBDR.US,5,20250731,172000,24.2219,24.2299,24.2219,24.2299,500,0
IBDR.US,5,20250731,172500,24.23,24.23,24.22,24.22,43246,0
IBDR.US,5,20250731,173000,24.22,24.2297,24.22,24.2284,3420,0
IBDR.US,5,20250731,173500,24.225,24.225,24.22,24.225,4143,0
IBDR.US,5,20250731,174000,24.2233,24.23,24.2233,24.2287,4373,0
IBDR.US,5,20250731,174500,24.2299,24.2299,24.2299,24.2299,350,0
IBDR.US,5,20250731,175000,24.22,24.2297,24.22,24.2297,659,0
IBDR.US,5,20250731,180000,24.225,24.23,24.22,24.22,4110,0
IBDR.US,5,20250731,181000,24.22,24.22,24.22,24.22,100,0
IBDR.US,5,20250731,181500,24.22,24.2291,24.22,24.2291,807,0
IBDR.US,5,20250731,182000,24.2216,24.225,24.22,24.225,7127,0
IBDR.US,5,20250731,182500,24.225,24.23,24.22,24.23,9653,0
IBDR.US,5,20250731,183000,24.225,24.23,24.225,24.225,4591,0
IBDR.US,5,20250731,183500,24.2299,24.2299,24.225,24.225,1130,0
IBDR.US,5,20250731,184000,24.2215,24.225,24.2215,24.225,940,0
IBDR.US,5,20250731,184500,24.22,24.23,24.22,24.225,15501,0
IBDR.US,5,20250731,185000,24.2299,24.2299,24.225,24.225,3006,0
IBDR.US,5,20250731,185500,24.22,24.22,24.22,24.22,100,0
IBDR.US,5,20250731,190000,24.2281,24.2281,24.22,24.22,503,0
IBDR.US,5,20250731,190500,24.22,24.2218,24.22,24.2218,445,0
IBDR.US,5,20250731,191000,24.225,24.2281,24.22,24.225,2971,0
IBDR.US,5,20250731,191500,24.225,24.23,24.225,24.225,19459,0
IBDR.US,5,20250731,192000,24.225,24.225,24.225,24.225,986,0
IBDR.US,5,20250731,192500,24.225,24.225,24.2229,24.225,1530,0
IBDR.US,5,20250731,193000,24.2247,24.2247,24.22,24.22,1407,0
IBDR.US,5,20250731,193500,24.2249,24.225,24.22,24.225,304,0
IBDR.US,5,20250731,194500,24.2247,24.2247,24.22,24.22,261,0
IBDR.US,5,20250731,195000,24.22,24.223,24.22,24.223,274,0
IBDR.US,5,20250731,195500,24.22,24.2299,24.22,24.2224,6176,0
IBDR.US,5,20250731,200000,24.2299,24.23,24.22,24.225,7695,0
IBDR.US,5,20250731,200500,24.225,24.225,24.225,24.225,165,0
IBDR.US,5,20250731,201000,24.22,24.225,24.22,24.22,748,0
IBDR.US,5,20250731,201500,24.2246,24.2246,24.22,24.22,309,0
IBDR.US,5,20250731,202000,24.2281,24.2281,24.22,24.225,5245,0
IBDR.US,5,20250731,202500,24.2257,24.2257,24.2257,24.2257,295,0
IBDR.US,5,20250731,203000,24.225,24.225,24.225,24.225,2229,0
IBDR.US,5,20250731,203500,24.2286,24.2288,24.2113,24.22,127102,0
IBDR.US,5,20250731,204000,24.215,24.215,24.215,24.215,163,0
IBDR.US,5,20250731,204500,24.215,24.22,24.215,24.22,1640,0
IBDR.US,5,20250731,205000,24.2167,24.2167,24.21,24.215,5533,0
IBDR.US,5,20250731,205500,24.22,24.22,24.2133,24.215,8122,0
IBDR.US,5,20250731,210000,24.21,24.2199,24.21,24.2199,1675,0
IBDR.US,5,20250731,210500,24.21,24.22,24.21,24.22,5807,0
