<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDX.US,5,20250728,153000,25.18,25.19,25.18,25.19,1954,0
IBDX.US,5,20250728,153500,25.19,25.195,25.19,25.19,900,0
IBDX.US,5,20250728,154000,25.1821,25.1821,25.1821,25.1821,100,0
IBDX.US,5,20250728,154500,25.185,25.19,25.185,25.19,1067,0
IBDX.US,5,20250728,155000,25.18,25.1809,25.18,25.1809,500,0
IBDX.US,5,20250728,155500,25.177,25.177,25.177,25.177,440,0
IBDX.US,5,20250728,160000,25.18,25.18,25.18,25.18,100,0
IBDX.US,5,20250728,160500,25.1867,25.1867,25.1867,25.1867,1338,0
IBDX.US,5,20250728,161000,25.19,25.19,25.19,25.19,100,0
IBDX.US,5,20250728,161500,25.205,25.205,25.195,25.195,1064,0
IBDX.US,5,20250728,162000,25.19,25.19,25.19,25.19,158,0
IBDX.US,5,20250728,162500,25.19,25.1933,25.19,25.1933,900,0
IBDX.US,5,20250728,163000,25.1983,25.1983,25.1983,25.1983,400,0
IBDX.US,5,20250728,163500,25.2,25.2,25.194,25.194,3499,0
IBDX.US,5,20250728,164000,25.195,25.1967,25.195,25.1967,239,0
IBDX.US,5,20250728,164500,25.195,25.2,25.195,25.2,523,0
IBDX.US,5,20250728,165000,25.195,25.195,25.195,25.195,100,0
IBDX.US,5,20250728,165500,25.1983,25.1983,25.195,25.195,200,0
IBDX.US,5,20250728,170000,25.19,25.19,25.1899,25.19,508,0
IBDX.US,5,20250728,170500,25.19,25.19,25.19,25.19,100,0
IBDX.US,5,20250728,171000,25.2,25.2,25.195,25.1971,2480,0
IBDX.US,5,20250728,171500,25.19,25.19,25.18,25.18,300,0
IBDX.US,5,20250728,172500,25.1864,25.1864,25.1864,25.1864,310,0
IBDX.US,5,20250728,173000,25.185,25.1973,25.185,25.19,1299,0
IBDX.US,5,20250728,173500,25.195,25.195,25.1835,25.1835,1999,0
IBDX.US,5,20250728,174500,25.19,25.195,25.19,25.195,235,0
IBDX.US,5,20250728,175000,25.1956,25.1956,25.1899,25.1899,631,0
IBDX.US,5,20250728,175500,25.186468,25.19,25.185,25.19,533,0
IBDX.US,5,20250728,180500,25.1898,25.1898,25.185,25.189,963,0
IBDX.US,5,20250728,181500,25.1852,25.1852,25.1852,25.1852,203,0
IBDX.US,5,20250728,182000,25.19,25.195,25.19,25.195,400,0
IBDX.US,5,20250728,182500,25.195,25.195,25.195,25.195,314,0
IBDX.US,5,20250728,183000,25.1954,25.1954,25.1954,25.1954,500,0
IBDX.US,5,20250728,183500,25.1954,25.1954,25.185,25.185,1980,0
IBDX.US,5,20250728,185000,25.1835,25.19,25.18,25.1899,1422,0
IBDX.US,5,20250728,185500,25.19,25.19,25.185,25.185,2094,0
IBDX.US,5,20250728,190000,25.1889,25.1999,25.18,25.18,2471,0
IBDX.US,5,20250728,190500,25.18,25.1869,25.18,25.1869,736,0
IBDX.US,5,20250728,191000,25.18,25.18,25.18,25.18,300,0
IBDX.US,5,20250728,191500,25.175,25.175,25.175,25.175,100,0
