<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBIE.US,5,20250728,164000,26.13,26.13,26.13,26.13,100,0
IBIE.US,5,20250728,172500,26.125,26.125,26.12,26.12,482,0
IBIE.US,5,20250728,175500,26.11,26.1101,26.1,26.1,3232,0
IBIE.US,5,20250728,180000,26.11,26.11,26.11,26.11,100,0
IBIE.US,5,20250728,183000,26.11,26.11,26.1063,26.1063,600,0
IBIE.US,5,20250728,191500,26.12,26.12,26.12,26.12,100,0
IBIE.US,5,20250728,211500,26.12,26.125,26.11,26.12,2050,0
IBIE.US,5,20250728,212500,26.115,26.115,26.115,26.115,1073,0
IBIE.US,5,20250728,214000,26.1135,26.1135,26.1135,26.1135,1000,0
IBIE.US,5,20250729,153000,26.1304,26.1304,26.1304,26.1304,100,0
IBIE.US,5,20250729,161000,26.14,26.14,26.14,26.14,100,0
IBIE.US,5,20250729,175000,26.15,26.15,26.1499,26.1499,710,0
IBIE.US,5,20250729,183000,26.1445,26.1445,26.1445,26.1445,100,0
IBIE.US,5,20250729,190000,26.16,26.16,26.16,26.16,200,0
IBIE.US,5,20250729,192500,26.17,26.17,26.17,26.17,100,0
IBIE.US,5,20250729,200000,26.169,26.169,26.169,26.169,1910,0
IBIE.US,5,20250729,203000,26.1501,26.16,26.1501,26.16,1000,0
IBIE.US,5,20250729,205500,26.16,26.16,26.16,26.16,100,0
IBIE.US,5,20250729,210500,26.1553,26.1651,26.1501,26.16,5550,0
IBIE.US,5,20250729,214500,26.1608,26.1608,26.1608,26.1608,514,0
IBIE.US,5,20250730,153000,26.16,26.16,26.16,26.16,100,0
IBIE.US,5,20250730,154500,26.16,26.16,26.16,26.16,100,0
IBIE.US,5,20250730,163500,26.1501,26.155,26.1463,26.15,2300,0
IBIE.US,5,20250730,164500,26.155,26.155,26.15,26.1501,4450,0
IBIE.US,5,20250730,170500,26.1592,26.1592,26.1592,26.1592,200,0
IBIE.US,5,20250730,174000,26.1552,26.1552,26.1552,26.1552,750,0
IBIE.US,5,20250730,181000,26.155,26.155,26.155,26.155,200,0
IBIE.US,5,20250730,200000,26.1735,26.1735,26.1735,26.1735,400,0
IBIE.US,5,20250730,201000,26.17,26.17,26.17,26.17,100,0
IBIE.US,5,20250730,205000,26.16,26.16,26.16,26.16,100,0
IBIE.US,5,20250730,205500,26.15,26.15,26.1396,26.1396,672,0
IBIE.US,5,20250730,215500,26.13,26.13,26.13,26.13,100,0
IBIE.US,5,20250731,154000,26.135,26.135,26.135,26.135,382,0
IBIE.US,5,20250731,155000,26.14,26.14,26.135,26.135,3235,0
IBIE.US,5,20250731,161500,26.13,26.1301,26.13,26.1301,915,0
IBIE.US,5,20250731,172500,26.13,26.13,26.13,26.13,100,0
IBIE.US,5,20250731,195000,26.12,26.12,26.12,26.12,100,0
IBIE.US,5,20250731,205500,26.1,26.1,26.1,26.1,38459,0
IBIE.US,5,20250731,210500,26.11,26.11,26.11,26.11,15356,0
IBIE.US,5,20250731,215500,26.11,26.11,26.11,26.11,1000,0
IBIE.US,5,20250801,155000,26.1991,26.1991,26.1991,26.1991,100,0
IBIE.US,5,20250801,160000,26.2094,26.2094,26.2,26.2,390,0
IBIE.US,5,20250801,161500,26.2,26.2,26.2,26.2,100,0
IBIE.US,5,20250801,171500,26.1847,26.1847,26.1847,26.1847,763,0
IBIE.US,5,20250801,173500,26.19,26.19,26.19,26.19,100,0
IBIE.US,5,20250801,181000,26.1801,26.1801,26.1801,26.1801,624,0
IBIE.US,5,20250801,191000,26.2,26.2,26.2,26.2,500,0
IBIE.US,5,20250801,193000,26.2047,26.2047,26.2047,26.2047,1907,0
IBIE.US,5,20250801,215500,26.23,26.23,26.23,26.23,581,0
IBIE.US,5,20250804,155000,26.2267,26.2267,26.2267,26.2267,762,0
IBIE.US,5,20250804,174500,26.2353,26.2365,26.2311,26.2365,1213,0
IBIE.US,5,20250804,175000,26.24,26.24,26.24,26.24,100,0
IBIE.US,5,20250804,183500,26.2494,26.2494,26.2494,26.2494,251,0
IBIE.US,5,20250804,192500,26.25,26.25,26.25,26.25,403,0
IBIE.US,5,20250804,203000,26.25,26.25,26.25,26.25,596,0
IBIE.US,5,20250804,213000,26.25,26.25,26.25,26.25,14525,0
IBIE.US,5,20250804,215500,26.26,26.26,26.26,26.26,200,0
IBIE.US,5,20250805,155500,26.245,26.245,26.245,26.245,190,0
IBIE.US,5,20250805,163500,26.2412,26.2412,26.2412,26.2412,1000,0
IBIE.US,5,20250805,164000,26.24,26.2455,26.24,26.245,6125,0
IBIE.US,5,20250805,165000,26.25,26.25,26.25,26.25,100,0
IBIE.US,5,20250805,171500,26.25,26.25,26.2498,26.2498,1604,0
IBIE.US,5,20250805,183500,26.24,26.24,26.24,26.24,100,0
IBIE.US,5,20250805,201500,26.24,26.24,26.2399,26.24,2200,0
IBIE.US,5,20250805,211500,26.2333,26.2333,26.2333,26.2333,715,0
IBIE.US,5,20250805,212500,26.24,26.24,26.24,26.24,991,0
IBIE.US,5,20250805,214500,26.235,26.235,26.23,26.23,200,0
IBIE.US,5,20250805,215500,26.23,26.23,26.23,26.23,700,0
IBIE.US,5,20250806,153500,26.2392,26.2392,26.2392,26.2392,742,0
IBIE.US,5,20250806,174000,26.24,26.24,26.24,26.24,200,0
IBIE.US,5,20250806,183500,26.2456,26.2456,26.2456,26.2456,1905,0
IBIE.US,5,20250806,185500,26.2465,26.2465,26.2465,26.2465,275,0
IBIE.US,5,20250806,193000,26.2435,26.2435,26.2435,26.2435,452,0
IBIE.US,5,20250806,195000,26.24,26.24,26.24,26.24,311,0
IBIE.US,5,20250806,212500,26.245,26.245,26.245,26.245,686,0
IBIE.US,5,20250806,215500,26.245,26.245,26.245,26.245,200,0
IBIE.US,5,20250807,170500,26.2335,26.24,26.2335,26.2335,600,0
IBIE.US,5,20250807,193000,26.2384,26.2384,26.2384,26.2384,500,0
IBIE.US,5,20250808,155500,26.231,26.235,26.23,26.235,2510,0
IBIE.US,5,20250808,160000,26.2354,26.2354,26.2354,26.2354,300,0
IBIE.US,5,20250808,162500,26.2337,26.2337,26.23,26.23,400,0
IBIE.US,5,20250808,165500,26.2346,26.2346,26.2346,26.2346,952,0
IBIE.US,5,20250808,173500,26.22,26.22,26.22,26.22,237,0
IBIE.US,5,20250808,175500,26.23,26.23,26.23,26.23,400,0
IBIE.US,5,20250808,182000,26.226,26.226,26.226,26.226,381,0
IBIE.US,5,20250808,184000,26.2246,26.2246,26.2246,26.2246,1000,0
IBIE.US,5,20250808,195000,26.2319,26.2319,26.2319,26.2319,171,0
IBIE.US,5,20250808,202000,26.2372,26.2372,26.2372,26.2372,347,0
IBIE.US,5,20250808,205500,26.2395,26.2395,26.2395,26.2395,190,0
IBIE.US,5,20250808,210000,26.2435,26.245,26.2435,26.245,500,0
IBIE.US,5,20250808,215500,26.245,26.25,26.24,26.25,430,0
IBIE.US,5,20250811,153500,26.25,26.2591,26.25,26.2591,2737,0
IBIE.US,5,20250811,161000,26.2583,26.2583,26.2583,26.2583,250,0
IBIE.US,5,20250811,182500,26.26,26.26,26.26,26.26,100,0
IBIE.US,5,20250811,190000,26.2699,26.2699,26.2699,26.2699,307,0
IBIE.US,5,20250811,205000,26.265,26.27,26.26,26.2672,3652,0
IBIE.US,5,20250811,210500,26.26,26.26,26.26,26.26,100,0
IBIE.US,5,20250811,212000,26.26,26.2601,26.26,26.2601,408,0
IBIE.US,5,20250811,213000,26.2635,26.2635,26.2635,26.2635,200,0
IBIE.US,5,20250811,214500,26.26,26.26,26.26,26.26,429,0
IBIE.US,5,20250811,215500,26.27,26.27,26.27,26.27,839,0
IBIE.US,5,20250812,172000,26.2492,26.2492,26.2492,26.2492,100,0
IBIE.US,5,20250812,174000,26.2599,26.26,26.2563,26.2563,1884,0
IBIE.US,5,20250812,175000,26.27,26.27,26.27,26.27,200,0
IBIE.US,5,20250812,185500,26.2689,26.2689,26.2689,26.2689,1900,0
IBIE.US,5,20250812,190000,26.269,26.269,26.269,26.269,2087,0
IBIE.US,5,20250812,192500,26.265,26.27,26.265,26.27,2237,0
IBIE.US,5,20250812,193000,26.27,26.27,26.265,26.265,1878,0
IBIE.US,5,20250812,210000,26.268,26.268,26.268,26.268,200,0
IBIE.US,5,20250812,211500,26.26,26.26,26.26,26.26,5709,0
IBIE.US,5,20250812,215500,26.265,26.265,26.265,26.265,142,0
IBIE.US,5,20250813,161000,26.3048,26.3048,26.3048,26.3048,574,0
IBIE.US,5,20250813,175000,26.3,26.3,26.3,26.3,370,0
IBIE.US,5,20250813,183000,26.308,26.308,26.308,26.308,190,0
IBIE.US,5,20250813,184000,26.3044,26.3044,26.3044,26.3044,190,0
IBIE.US,5,20250813,185500,26.308,26.308,26.305,26.305,294,0
IBIE.US,5,20250813,203500,26.3,26.3,26.3,26.3,125,0
IBIE.US,5,20250813,212500,26.295,26.3,26.29,26.29,4080,0
IBIE.US,5,20250813,215500,26.3,26.3,26.3,26.3,200,0
IBIE.US,5,20250814,154500,26.2807,26.2807,26.2807,26.2807,100,0
IBIE.US,5,20250814,165500,26.2806,26.29,26.2806,26.29,829,0
IBIE.US,5,20250814,173000,26.2765,26.2765,26.2765,26.2765,176,0
IBIE.US,5,20250814,175000,26.2635,26.2635,26.2635,26.2635,1712,0
IBIE.US,5,20250814,182000,26.27,26.27,26.27,26.27,100,0
IBIE.US,5,20250814,190000,26.27,26.279,26.27,26.27,309,0
IBIE.US,5,20250814,210500,26.28,26.28,26.28,26.28,100,0
IBIE.US,5,20250814,212500,26.28,26.28,26.2799,26.2799,938,0
IBIE.US,5,20250814,215000,26.28,26.28,26.28,26.28,100,0
IBIE.US,5,20250814,215500,26.275,26.28,26.275,26.279,1100,0
IBIE.US,5,20250815,153000,26.28,26.28,26.28,26.28,100,0
IBIE.US,5,20250815,160500,26.28,26.28,26.275,26.275,380,0
IBIE.US,5,20250815,163500,26.2747,26.2747,26.2747,26.2747,760,0
IBIE.US,5,20250815,180000,26.2747,26.2747,26.2747,26.2747,1522,0
