<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IXJ.US,5,20250728,153000,87.28,87.28,86.98,87.05,1232,0
IXJ.US,5,20250728,153500,87.19,87.2,87.19,87.1919,1069,0
IXJ.US,5,20250728,154000,87.067,87.067,86.93,86.95,1599,0
IXJ.US,5,20250728,154500,86.94,86.98,86.9146,86.93,5747,0
IXJ.US,5,20250728,155000,86.83,86.9,86.8051,86.88,1000,0
IXJ.US,5,20250728,155500,86.83,86.86,86.82,86.825,800,0
IXJ.US,5,20250728,160000,86.81,86.9,86.81,86.9,1253,0
IXJ.US,5,20250728,160500,86.97,87.0363,86.97,87.03,3508,0
IXJ.US,5,20250728,161000,87,87.07,86.9554,87.07,2749,0
IXJ.US,5,20250728,161500,87,87.02,87,87.01,442,0
IXJ.US,5,20250728,162000,87.02,87.02,86.95,86.95,232,0
IXJ.US,5,20250728,162500,86.945,87.01,86.88,86.94,6194,0
IXJ.US,5,20250728,163000,86.925,86.925,86.8806,86.91,3341,0
IXJ.US,5,20250728,163500,86.87,86.91,86.87,86.91,400,0
IXJ.US,5,20250728,164000,86.88,86.94,86.88,86.94,400,0
IXJ.US,5,20250728,164500,86.92,86.92,86.895,86.895,527,0
IXJ.US,5,20250728,165000,86.92,86.92,86.83,86.83,1207,0
IXJ.US,5,20250728,165500,86.89,86.8968,86.89,86.8968,357,0
IXJ.US,5,20250728,170000,86.91,86.97,86.88,86.97,600,0
IXJ.US,5,20250728,170500,86.97,86.97,86.94,86.94,200,0
IXJ.US,5,20250728,171000,86.98,86.98,86.98,86.98,100,0
IXJ.US,5,20250728,171500,86.99,86.995,86.965,86.965,797,0
IXJ.US,5,20250728,172000,86.88,86.93,86.88,86.9284,2299,0
IXJ.US,5,20250728,172500,86.9301,86.97,86.93,86.97,3233,0
IXJ.US,5,20250728,173000,86.96,86.99,86.95,86.99,700,0
IXJ.US,5,20250728,173500,87.01,87.04,86.99,87.04,300,0
IXJ.US,5,20250728,174000,87.04,87.04,87.02,87.02,300,0
IXJ.US,5,20250728,174500,87.07,87.07,87.07,87.07,300,0
IXJ.US,5,20250728,175000,87.09,87.11,87.09,87.11,200,0
IXJ.US,5,20250728,180000,87.09,87.09,87.0825,87.09,500,0
IXJ.US,5,20250728,180500,87.08,87.08,87.01,87.07,800,0
IXJ.US,5,20250728,181000,87.02,87.04,87.02,87.04,200,0
IXJ.US,5,20250728,181500,87.02,87.07,87.02,87.07,1125,0
IXJ.US,5,20250728,182000,87.09,87.1077,87.065,87.065,394,0
IXJ.US,5,20250728,182500,87.055,87.06,87.03,87.06,600,0
IXJ.US,5,20250728,183000,87.055,87.055,87.02,87.02,300,0
IXJ.US,5,20250728,183500,87.005,87.005,86.99,86.99,300,0
IXJ.US,5,20250728,184000,86.995,86.995,86.99,86.99,400,0
IXJ.US,5,20250728,184500,86.93,86.94,86.89,86.94,400,0
IXJ.US,5,20250728,185000,86.93,86.93,86.93,86.93,423,0
IXJ.US,5,20250728,185500,86.91,86.92,86.91,86.92,1090,0
IXJ.US,5,20250728,190000,86.93,86.99,86.93,86.99,500,0
IXJ.US,5,20250728,190500,87.02,87.035,87.02,87.03,503,0
IXJ.US,5,20250728,191000,86.985,86.985,86.97,86.97,200,0
IXJ.US,5,20250728,191500,86.97,86.97,86.88,86.88,2558,0
IXJ.US,5,20250728,192000,86.86,86.875,86.86,86.875,400,0
IXJ.US,5,20250728,192500,86.87,86.9,86.87,86.88,500,0
IXJ.US,5,20250728,193000,86.85,86.86,86.82,86.86,500,0
IXJ.US,5,20250728,193500,86.87,86.88,86.86,86.88,615,0
IXJ.US,5,20250728,194000,86.87,86.87,86.86,86.86,316,0
IXJ.US,5,20250728,194500,86.85,86.85,86.85,86.85,600,0
IXJ.US,5,20250728,195000,86.78,86.78,86.76,86.76,630,0
IXJ.US,5,20250728,195500,86.78,86.785,86.7452,86.7452,850,0
IXJ.US,5,20250728,200000,86.77,86.77,86.7264,86.7264,707,0
IXJ.US,5,20250728,200500,86.66,86.68,86.625,86.625,956,0
