<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANT.US,5,20250728,163500,38.53,38.59,38.53,38.59,2059,0
JANT.US,5,20250728,182000,38.53,38.53,38.53,38.53,475,0
JANT.US,5,20250728,203000,38.5212,38.5212,38.4901,38.52,1550,0
JANT.US,5,20250728,210000,38.55,38.55,38.55,38.55,100,0
JANT.US,5,20250728,210500,38.53,38.53,38.53,38.53,185,0
JANT.US,5,20250729,163000,38.61,38.61,38.61,38.61,2027,0
JANT.US,5,20250729,163500,38.62,38.63,38.57,38.62,1521,0
JANT.US,5,20250729,171000,38.5765,38.5765,38.5765,38.5765,617,0
JANT.US,5,20250729,180000,38.5455,38.5455,38.5455,38.5455,264,0
JANT.US,5,20250729,182500,38.56,38.56,38.56,38.56,100,0
JANT.US,5,20250729,190500,38.5655,38.5655,38.5655,38.5655,178,0
JANT.US,5,20250729,200500,38.4907,38.4907,38.4907,38.4907,664,0
JANT.US,5,20250729,205000,38.56,38.56,38.56,38.56,792,0
JANT.US,5,20250729,214000,38.51,38.51,38.51,38.51,200,0
JANT.US,5,20250729,215000,38.5169,38.54,38.5169,38.54,1120,0
JANT.US,5,20250729,215500,38.515,38.53,38.515,38.53,200,0
JANT.US,5,20250730,161500,38.5,38.552,38.5,38.53,3026,0
JANT.US,5,20250730,162000,38.521,38.59,38.521,38.59,430,0
JANT.US,5,20250730,174500,38.5699,38.5699,38.5603,38.5603,1108,0
JANT.US,5,20250730,191000,38.58,38.598,38.58,38.598,1418,0
JANT.US,5,20250730,195500,38.6,38.6,38.6,38.6,100,0
JANT.US,5,20250730,201500,38.5001,38.5999,38.5001,38.5999,1685,0
JANT.US,5,20250730,210500,38.3934,38.3934,38.3934,38.3934,502,0
JANT.US,5,20250730,214000,38.42,38.42,38.42,38.42,100,0
JANT.US,5,20250730,215000,38.5,38.5,38.4364,38.4364,2896,0
JANT.US,5,20250730,215500,38.45,38.45,38.45,38.45,793,0
JANT.US,5,20250731,162000,38.68,38.74,38.68,38.74,600,0
JANT.US,5,20250731,162500,38.76,38.76,38.71,38.74,3579,0
JANT.US,5,20250731,164000,38.66,38.66,38.66,38.66,100,0
JANT.US,5,20250731,164500,38.67,38.67,38.67,38.67,100,0
JANT.US,5,20250731,175000,38.64,38.64,38.62,38.6388,996,0
JANT.US,5,20250731,191500,38.61,38.61,38.61,38.61,200,0
JANT.US,5,20250731,195000,38.4923,38.54,38.49,38.49,533,0
JANT.US,5,20250731,201000,38.51,38.51,38.51,38.51,100,0
JANT.US,5,20250731,211000,38.54,38.54,38.51,38.51,2611,0
JANT.US,5,20250731,211500,38.46,38.46,38.46,38.46,500,0
JANT.US,5,20250731,215000,38.4825,38.524,38.43,38.43,384,0
JANT.US,5,20250731,215500,38.44,38.44,38.44,38.44,100,0
JANT.US,5,20250801,155500,38.01,38.01,38.01,38.01,100,0
JANT.US,5,20250801,160500,37.97,37.97,37.96,37.96,1000,0
JANT.US,5,20250801,162500,38.1,38.105,38.1,38.105,400,0
JANT.US,5,20250801,163000,38.11,38.11,38.11,38.11,100,0
JANT.US,5,20250801,164000,38.06,38.06,38.06,38.06,200,0
JANT.US,5,20250801,164500,38.09,38.09,38.09,38.09,100,0
JANT.US,5,20250801,165500,38.01,38.05,38,38.02,3659,0
JANT.US,5,20250801,171500,38,38,37.9803,37.9803,2762,0
JANT.US,5,20250801,173000,38.02,38.02,38.02,38.02,100,0
JANT.US,5,20250801,175500,38.11,38.11,38.11,38.11,100,0
JANT.US,5,20250801,191000,37.98,38.01,37.98,38.01,2980,0
JANT.US,5,20250801,192500,37.97,37.97,37.97,37.97,200,0
JANT.US,5,20250801,195500,37.98,37.98,37.98,37.98,100,0
JANT.US,5,20250801,200000,37.969,37.9699,37.945,37.9699,774,0
JANT.US,5,20250801,203000,38.03,38.03,38.03,38.03,100,0
JANT.US,5,20250801,205000,38.02,38.02,38.02,38.02,200,0
JANT.US,5,20250801,212500,37.99,38.005,37.99,38.005,260,0
JANT.US,5,20250801,213000,38.01,38.01,38.01,38.01,3702,0
JANT.US,5,20250801,215000,38.02,38.0491,38.02,38.0491,831,0
JANT.US,5,20250804,155500,38.31,38.31,38.31,38.31,100,0
JANT.US,5,20250804,160000,38.32,38.32,38.32,38.32,100,0
JANT.US,5,20250804,163000,38.26,38.33,38.25,38.33,1916,0
JANT.US,5,20250804,163500,38.2401,38.34,38.2401,38.305,1655,0
JANT.US,5,20250804,174500,38.2401,38.2401,38.2401,38.2401,293,0
JANT.US,5,20250804,180000,38.2601,38.2601,38.2601,38.2601,316,0
JANT.US,5,20250804,181500,38.3,38.3,38.3,38.3,5054,0
JANT.US,5,20250804,184000,38.31,38.31,38.31,38.31,634,0
JANT.US,5,20250804,190500,38.28,38.38,38.27,38.37,7538,0
JANT.US,5,20250804,191000,38.32,38.32,38.32,38.32,1339,0
JANT.US,5,20250804,195500,38.36,38.36,38.36,38.36,100,0
JANT.US,5,20250804,210500,38.36,38.36,38.26,38.36,600,0
JANT.US,5,20250804,211000,38.34,38.34,38.34,38.34,955,0
JANT.US,5,20250804,214000,38.315,38.315,38.315,38.315,113,0
JANT.US,5,20250805,153500,38.37,38.41,38.37,38.37,1900,0
JANT.US,5,20250805,165000,38.22,38.22,38.22,38.22,191,0
JANT.US,5,20250805,171500,38.255,38.255,38.2,38.2,1719,0
JANT.US,5,20250805,190000,38.26,38.3162,38.24,38.3162,2323,0
JANT.US,5,20250805,191500,38.26,38.33,38.25,38.33,1800,0
JANT.US,5,20250805,203500,38.29,38.29,38.29,38.29,553,0
JANT.US,5,20250806,160500,38.3219,38.3219,38.3219,38.3219,1213,0
JANT.US,5,20250806,163000,38.2963,38.2992,38.2218,38.2992,962,0
JANT.US,5,20250806,174000,38.383417,38.383417,38.383417,38.383417,199,0
JANT.US,5,20250806,174500,38.38,38.38,38.38,38.38,357,0
JANT.US,5,20250806,182500,38.4028,38.405,38.4028,38.405,853,0
JANT.US,5,20250806,192000,38.3815,38.3815,38.3815,38.3815,1228,0
JANT.US,5,20250806,205000,38.47,38.47,38.4255,38.4255,652,0
JANT.US,5,20250806,215500,38.415,38.4599,38.415,38.4599,1116,0
JANT.US,5,20250807,164500,38.48,38.48,38.48,38.48,100,0
JANT.US,5,20250807,165000,38.45,38.479,38.45,38.479,1160,0
JANT.US,5,20250807,165500,38.45,38.45,38.45,38.45,100,0
JANT.US,5,20250807,175500,38.4,38.4,38.3919,38.3919,514,0
JANT.US,5,20250807,180000,38.4,38.4,38.4,38.4,100,0
JANT.US,5,20250807,185500,38.4199,38.4199,38.385,38.385,875,0
JANT.US,5,20250807,195000,38.3896,38.3896,38.3896,38.3896,664,0
JANT.US,5,20250807,201500,38.3301,38.3301,38.3,38.3,2258,0
JANT.US,5,20250807,203500,38.325,38.325,38.325,38.325,200,0
JANT.US,5,20250807,205500,38.34,38.34,38.34,38.34,100,0
JANT.US,5,20250807,210500,38.37,38.37,38.3699,38.3699,1446,0
JANT.US,5,20250807,213500,38.36,38.36,38.36,38.36,100,0
JANT.US,5,20250808,172000,38.58,38.58,38.58,38.58,100,0
JANT.US,5,20250808,180500,38.56,38.62,38.55,38.62,770,0
JANT.US,5,20250808,181000,38.62,38.62,38.62,38.62,100,0
JANT.US,5,20250808,191000,38.55,38.57,38.55,38.5501,500,0
JANT.US,5,20250808,192000,38.565,38.61,38.565,38.61,650,0
JANT.US,5,20250808,194500,38.63,38.63,38.63,38.63,100,0
JANT.US,5,20250808,200000,38.5801,38.5801,38.58,38.58,364,0
JANT.US,5,20250808,200500,38.65,38.65,38.65,38.65,2776,0
JANT.US,5,20250808,201000,38.65,38.65,38.605,38.605,2495,0
JANT.US,5,20250808,212500,38.6,38.6,38.6,38.6,642,0
JANT.US,5,20250808,213000,38.57,38.57,38.57,38.57,339,0
JANT.US,5,20250808,215000,38.5301,38.64,38.5301,38.6399,580,0
JANT.US,5,20250811,155000,38.65,38.65,38.65,38.65,100,0
JANT.US,5,20250811,163000,38.5915,38.5915,38.5915,38.5915,142,0
JANT.US,5,20250811,165500,38.63,38.63,38.63,38.63,100,0
JANT.US,5,20250811,185000,38.62,38.67,38.62,38.67,2256,0
JANT.US,5,20250811,193500,38.6,38.6,38.6,38.6,283,0
JANT.US,5,20250811,195000,38.63,38.63,38.63,38.63,100,0
JANT.US,5,20250811,195500,38.63,38.63,38.6081,38.63,1072,0
JANT.US,5,20250811,202500,38.59,38.59,38.59,38.59,116,0
JANT.US,5,20250811,215500,38.525,38.5599,38.51,38.5101,1301,0
JANT.US,5,20250812,154500,38.66,38.68,38.66,38.68,707,0
JANT.US,5,20250812,170000,38.6801,38.7385,38.6801,38.7385,1197,0
JANT.US,5,20250812,182000,38.82,38.82,38.82,38.82,100,0
JANT.US,5,20250812,185000,38.7301,38.7301,38.7301,38.7301,388,0
JANT.US,5,20250812,191500,38.82,38.82,38.82,38.82,100,0
JANT.US,5,20250812,203500,38.8491,38.8491,38.8185,38.8185,684,0
JANT.US,5,20250812,204500,38.8499,38.8499,38.8499,38.8499,257,0
JANT.US,5,20250812,215000,38.76,38.7664,38.76,38.7664,566,0
JANT.US,5,20250813,160500,38.96,38.96,38.8718,38.8718,492,0
JANT.US,5,20250813,161500,38.91,38.91,38.91,38.91,179,0
JANT.US,5,20250813,162500,38.8764,38.92,38.8764,38.8838,1291,0
JANT.US,5,20250813,173000,38.845,38.845,38.845,38.845,875,0
JANT.US,5,20250813,175000,38.82,38.8201,38.82,38.8201,471,0
JANT.US,5,20250813,175500,38.9,38.9,38.9,38.9,100,0
JANT.US,5,20250813,192000,38.88,38.88,38.78,38.8699,3481,0
JANT.US,5,20250813,202500,38.855,38.855,38.855,38.855,593,0
JANT.US,5,20250813,212000,38.9399,38.9399,38.9399,38.9399,458,0
JANT.US,5,20250813,212500,38.93,38.93,38.93,38.93,100,0
JANT.US,5,20250813,213000,38.9299,38.9299,38.9299,38.9299,770,0
JANT.US,5,20250814,160000,38.91,38.91,38.91,38.91,100,0
JANT.US,5,20250814,170500,38.91,38.91,38.9,38.9,2746,0
JANT.US,5,20250814,184000,38.86,38.86,38.86,38.86,587,0
JANT.US,5,20250814,185500,38.8301,38.8301,38.8301,38.8301,264,0
JANT.US,5,20250814,190000,38.92,38.92,38.92,38.92,3038,0
JANT.US,5,20250814,191000,38.8401,38.8401,38.8401,38.8401,113,0
JANT.US,5,20250814,194000,38.9025,38.9025,38.8568,38.8568,814,0
JANT.US,5,20250814,195000,38.8608,38.8608,38.8608,38.8608,196,0
JANT.US,5,20250814,204000,38.8501,38.8501,38.8501,38.8501,141,0
JANT.US,5,20250814,205000,38.95,38.9599,38.8617,38.9599,1124,0
JANT.US,5,20250814,211500,38.96,38.97,38.96,38.97,500,0
JANT.US,5,20250814,212000,38.98,38.98,38.98,38.98,100,0
JANT.US,5,20250814,215000,38.925,38.925,38.925,38.925,154,0
JANT.US,5,20250815,161500,38.9599,38.9599,38.925,38.925,503,0
JANT.US,5,20250815,170500,38.91,38.91,38.91,38.91,100,0
JANT.US,5,20250815,174000,38.8685,38.8685,38.8685,38.8685,175,0
JANT.US,5,20250815,184000,38.8885,38.8885,38.8885,38.8885,348,0
JANT.US,5,20250815,193500,38.8931,38.8931,38.8931,38.8931,270,0
JANT.US,5,20250815,200500,38.94,38.94,38.9135,38.94,900,0
JANT.US,5,20250815,202000,38.93,38.93,38.93,38.93,100,0
JANT.US,5,20250815,210000,38.91,38.91,38.91,38.91,2887,0
JANT.US,5,20250815,214500,38.92,38.92,38.82,38.92,1003,0
