<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSA.US,5,20250728,153000,37.63,37.63,37.585,37.6,4894,0
KSA.US,5,20250728,153500,37.6,37.63,37.58,37.62,17261,0
KSA.US,5,20250728,154000,37.62,37.66,37.605,37.65,54306,0
KSA.US,5,20250728,154500,37.65,37.65,37.63,37.63,5200,0
KSA.US,5,20250728,155000,37.62,37.62,37.59,37.59,9200,0
KSA.US,5,20250728,155500,37.59,37.59,37.56,37.57,4703,0
KSA.US,5,20250728,160000,37.56,37.565,37.55,37.565,1549,0
KSA.US,5,20250728,160500,37.58,37.58,37.58,37.58,210,0
KSA.US,5,20250728,161000,37.57,37.5727,37.56,37.5727,2970,0
KSA.US,5,20250728,161500,37.58,37.58,37.57,37.57,850,0
KSA.US,5,20250728,162000,37.56,37.56,37.55,37.55,5350,0
KSA.US,5,20250728,162500,37.555,37.57,37.555,37.57,4698,0
KSA.US,5,20250728,163000,37.57,37.57,37.57,37.57,200,0
KSA.US,5,20250728,163500,37.575,37.575,37.57,37.57,300,0
KSA.US,5,20250728,164000,37.575,37.58,37.575,37.58,300,0
KSA.US,5,20250728,164500,37.58,37.585,37.58,37.585,300,0
KSA.US,5,20250728,165000,37.58,37.585,37.58,37.58,900,0
KSA.US,5,20250728,165500,37.56,37.56,37.56,37.56,100,0
KSA.US,5,20250728,170000,37.565,37.575,37.565,37.575,500,0
KSA.US,5,20250728,170500,37.575,37.585,37.575,37.585,1700,0
KSA.US,5,20250728,171000,37.585,37.59,37.58,37.59,1500,0
KSA.US,5,20250728,171500,37.595,37.6,37.58,37.58,1700,0
KSA.US,5,20250728,172000,37.585,37.585,37.58,37.58,500,0
KSA.US,5,20250728,172500,37.595,37.595,37.59,37.59,700,0
KSA.US,5,20250728,173000,37.595,37.605,37.59,37.59,2338,0
KSA.US,5,20250728,173500,37.59,37.595,37.59,37.595,1300,0
KSA.US,5,20250728,174000,37.59,37.59,37.59,37.59,300,0
KSA.US,5,20250728,174500,37.6,37.61,37.6,37.61,1882,0
KSA.US,5,20250728,175000,37.61,37.61,37.61,37.61,100,0
KSA.US,5,20250728,175500,37.61,37.61,37.61,37.61,200,0
KSA.US,5,20250728,180000,37.615,37.615,37.6,37.6,868,0
KSA.US,5,20250728,180500,37.6,37.61,37.6,37.61,922,0
KSA.US,5,20250728,181000,37.6,37.6097,37.6,37.6,1586,0
KSA.US,5,20250728,181500,37.6,37.6072,37.6,37.6,1207,0
KSA.US,5,20250728,182000,37.6,37.6,37.6,37.6,100,0
KSA.US,5,20250728,182500,37.61,37.61,37.61,37.61,200,0
KSA.US,5,20250728,183000,37.61,37.61,37.6,37.6,300,0
KSA.US,5,20250728,183500,37.6,37.6,37.6,37.6,100,0
KSA.US,5,20250728,184000,37.6,37.6,37.6,37.6,200,0
KSA.US,5,20250728,184500,37.6,37.6,37.59,37.59,683,0
KSA.US,5,20250728,185000,37.59,37.59,37.59,37.59,200,0
KSA.US,5,20250728,185500,37.59,37.61,37.59,37.59,6395,0
KSA.US,5,20250728,190000,37.585,37.59,37.57,37.59,2830,0
KSA.US,5,20250728,190500,37.6,37.6,37.58,37.58,700,0
KSA.US,5,20250728,191000,37.58,37.59,37.58,37.59,734,0
KSA.US,5,20250728,191500,37.58,37.58,37.56,37.56,300,0
KSA.US,5,20250728,192000,37.56,37.57,37.56,37.5635,334,0
KSA.US,5,20250728,192500,37.565,37.565,37.565,37.565,100,0
KSA.US,5,20250728,193000,37.56,37.565,37.56,37.56,1206,0
KSA.US,5,20250728,194000,37.56,37.5699,37.56,37.5684,800,0
KSA.US,5,20250728,194500,37.56,37.56,37.555,37.555,200,0
KSA.US,5,20250728,195000,37.5504,37.5504,37.545,37.545,2610,0
KSA.US,5,20250728,195500,37.55,37.55,37.55,37.55,100,0
KSA.US,5,20250728,200500,37.54,37.54,37.535,37.54,1100,0
KSA.US,5,20250728,201500,37.555,37.555,37.555,37.555,300,0
