<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIDE.US,5,20250728,160500,31.77,31.77,31.77,31.77,500,0
MIDE.US,5,20250728,162500,31.71,31.71,31.71,31.71,200,0
MIDE.US,5,20250728,171500,31.7,31.7,31.7,31.7,500,0
MIDE.US,5,20250728,182000,31.8,31.8,31.8,31.8,500,0
MIDE.US,5,20250728,184500,31.73,31.73,31.73,31.73,200,0
MIDE.US,5,20250728,185000,31.72,31.72,31.72,31.72,100,0
MIDE.US,5,20250728,195500,31.66,31.66,31.66,31.66,500,0
MIDE.US,5,20250728,205000,31.69,31.69,31.69,31.69,500,0
MIDE.US,5,20250728,213000,31.64,31.64,31.64,31.64,100,0
MIDE.US,5,20250729,161500,31.81,31.81,31.81,31.81,100,0
MIDE.US,5,20250729,164500,31.73,31.73,31.73,31.73,100,0
MIDE.US,5,20250729,175000,31.63,31.63,31.63,31.63,100,0
MIDE.US,5,20250730,161500,31.61,31.61,31.61,31.61,100,0
MIDE.US,5,20250730,174000,31.57,31.57,31.57,31.57,100,0
MIDE.US,5,20250730,200000,31.63,31.63,31.63,31.63,100,0
MIDE.US,5,20250731,160000,31.35,31.35,31.35,31.35,500,0
MIDE.US,5,20250731,163500,31.3,31.3,31.3,31.3,200,0
MIDE.US,5,20250731,171500,31.13,31.13,31.13,31.13,100,0
MIDE.US,5,20250731,175000,31.21,31.21,31.21,31.21,500,0
MIDE.US,5,20250731,190000,31.24,31.24,31.22,31.24,1600,0
MIDE.US,5,20250731,210500,31.16,31.16,31.16,31.16,500,0
MIDE.US,5,20250801,161000,30.32,30.32,30.32,30.32,100,0
MIDE.US,5,20250801,190000,30.48,30.48,30.48,30.48,100,0
MIDE.US,5,20250801,192500,30.45,30.45,30.45,30.45,1186,0
MIDE.US,5,20250804,161000,30.75,30.75,30.75,30.75,400,0
MIDE.US,5,20250804,201500,30.8,30.8,30.8,30.8,300,0
MIDE.US,5,20250804,215500,30.99,30.99,30.99,30.99,339,0
MIDE.US,5,20250805,161500,30.8,30.8,30.8,30.8,100,0
MIDE.US,5,20250805,162500,30.76,30.76,30.76,30.76,200,0
MIDE.US,5,20250805,200500,30.89,30.89,30.89,30.89,100,0
MIDE.US,5,20250806,154500,30.7965,30.7965,30.7965,30.7965,2857,0
MIDE.US,5,20250806,161500,30.8,30.8,30.8,30.8,100,0
MIDE.US,5,20250806,162000,30.82,30.82,30.82,30.82,100,0
MIDE.US,5,20250806,200500,30.79,30.79,30.79,30.79,100,0
MIDE.US,5,20250807,161500,30.79,30.8,30.79,30.8,200,0
MIDE.US,5,20250807,163500,30.71,30.71,30.71,30.71,500,0
MIDE.US,5,20250807,171000,30.65,30.65,30.65,30.65,10600,0
MIDE.US,5,20250807,212000,30.6,30.6,30.6,30.6,1631,0
MIDE.US,5,20250808,162500,30.87,30.87,30.87,30.87,100,0
MIDE.US,5,20250808,163000,30.89,30.89,30.89,30.89,100,0
MIDE.US,5,20250808,201000,30.8042,30.8042,30.8042,30.8042,214,0
MIDE.US,5,20250808,201500,30.83,30.83,30.83,30.83,100,0
MIDE.US,5,20250808,202500,30.7773,30.7773,30.7773,30.7773,425,0
MIDE.US,5,20250811,161500,30.77,30.77,30.77,30.77,100,0
MIDE.US,5,20250811,163000,30.74,30.74,30.74,30.74,100,0
MIDE.US,5,20250811,195000,30.679,30.679,30.679,30.679,197,0
