<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAPR.US,5,20250728,161000,51.72,51.72,51.72,51.72,100,0
NAPR.US,5,20250728,162500,51.7399,51.7399,51.7399,51.7399,281,0
NAPR.US,5,20250728,172000,51.67,51.67,51.67,51.67,1000,0
NAPR.US,5,20250728,175500,51.7252,51.7252,51.7252,51.7252,184,0
NAPR.US,5,20250728,180000,51.73,51.73,51.72,51.72,974,0
NAPR.US,5,20250728,181500,51.72,51.72,51.72,51.72,600,0
NAPR.US,5,20250728,190500,51.68,51.68,51.68,51.68,278,0
NAPR.US,5,20250728,195000,51.68,51.68,51.68,51.68,191,0
NAPR.US,5,20250728,202000,51.67,51.67,51.67,51.67,135,0
NAPR.US,5,20250728,214500,51.63,51.72,51.63,51.72,651,0
NAPR.US,5,20250729,173500,51.6776,51.6776,51.6776,51.6776,210,0
NAPR.US,5,20250729,180500,51.682,51.682,51.682,51.682,176,0
NAPR.US,5,20250729,183000,51.6301,51.6301,51.6301,51.6301,110,0
NAPR.US,5,20250729,184000,51.71,51.7293,51.68,51.68,1754,0
NAPR.US,5,20250729,190500,51.6428,51.6428,51.6428,51.6428,290,0
NAPR.US,5,20250729,195500,51.64,51.64,51.631,51.631,300,0
NAPR.US,5,20250729,200000,51.72,51.72,51.72,51.72,700,0
NAPR.US,5,20250729,205000,51.7199,51.7199,51.7199,51.7199,353,0
NAPR.US,5,20250729,210500,51.6301,51.631,51.6301,51.6301,4161,0
NAPR.US,5,20250729,213500,51.665,51.665,51.63,51.63,200,0
NAPR.US,5,20250729,215500,51.69,51.7,51.69,51.7,800,0
NAPR.US,5,20250730,155500,51.68,51.68,51.68,51.68,1012,0
NAPR.US,5,20250730,160000,51.72,51.72,51.72,51.72,100,0
NAPR.US,5,20250730,163500,51.736,51.736,51.736,51.736,270,0
NAPR.US,5,20250730,164500,51.7029,51.7029,51.7029,51.7029,224,0
NAPR.US,5,20250730,173000,51.66,51.66,51.66,51.66,200,0
NAPR.US,5,20250730,180500,51.6404,51.6404,51.6404,51.6404,150,0
NAPR.US,5,20250730,183500,51.65,51.65,51.65,51.65,2283,0
NAPR.US,5,20250730,184500,51.73,51.73,51.73,51.73,104,0
NAPR.US,5,20250730,193500,51.73,51.7468,51.73,51.7468,1000,0
NAPR.US,5,20250730,195000,51.72,51.72,51.72,51.72,587,0
NAPR.US,5,20250730,205000,51.7299,51.7299,51.65,51.65,480,0
NAPR.US,5,20250730,205500,51.65,51.65,51.65,51.65,200,0
NAPR.US,5,20250731,162500,51.765,51.765,51.765,51.765,476,0
NAPR.US,5,20250731,163500,51.76,51.76,51.76,51.76,172,0
NAPR.US,5,20250731,165000,51.72,51.72,51.72,51.72,100,0
NAPR.US,5,20250731,170000,51.682,51.682,51.682,51.682,138,0
NAPR.US,5,20250731,175000,51.6788,51.6788,51.6788,51.6788,550,0
NAPR.US,5,20250731,180500,51.67,51.67,51.67,51.67,100,0
NAPR.US,5,20250731,193000,51.62,51.62,51.62,51.62,100,0
NAPR.US,5,20250731,211000,51.5901,51.5901,51.5901,51.5901,427,0
NAPR.US,5,20250731,214500,51.6145,51.625,51.59,51.59,2868,0
NAPR.US,5,20250731,215000,51.5301,51.5301,51.53,51.53,1505,0
NAPR.US,5,20250801,153000,51.47,51.49,51.39,51.39,2902,0
NAPR.US,5,20250801,153500,51.39,51.39,51.39,51.39,100,0
NAPR.US,5,20250801,154500,51.31,51.31,51.31,51.31,100,0
NAPR.US,5,20250801,160500,51.28,51.28,51.28,51.28,100,0
NAPR.US,5,20250801,161500,51.33,51.33,51.33,51.33,100,0
NAPR.US,5,20250801,162500,51.33,51.3301,51.33,51.3301,670,0
NAPR.US,5,20250801,164500,51.35,51.35,51.35,51.35,100,0
NAPR.US,5,20250801,170000,51.31,51.42,51.31,51.42,498,0
NAPR.US,5,20250801,171500,51.33,51.33,51.33,51.33,11435,0
