<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NLR.US,5,20250728,153000,120.305,120.548,118.4,118.4,21695,0
NLR.US,5,20250728,153500,118.455,118.68,117.85,118.565,24032,0
NLR.US,5,20250728,154000,118.44,118.6399,118.1001,118.52,16523,0
NLR.US,5,20250728,154500,118.7299,118.7299,117.5401,117.5634,13616,0
NLR.US,5,20250728,155000,117.71,117.71,117.1,117.48,13839,0
NLR.US,5,20250728,155500,117.46,117.74,117.44,117.655,4761,0
NLR.US,5,20250728,160000,117.6,117.78,117.15,117.76,8462,0
NLR.US,5,20250728,160500,117.62,117.67,117.21,117.3,12078,0
NLR.US,5,20250728,161000,117.26,117.26,116.9,117.23,15064,0
NLR.US,5,20250728,161500,117.215,117.49,117.0283,117.19,11262,0
NLR.US,5,20250728,162000,117.22,117.26,117,117.045,7885,0
NLR.US,5,20250728,162500,116.91,117.2862,116.91,117.09,3305,0
NLR.US,5,20250728,163000,116.8925,117.14,116.86,117.08753,4986,0
NLR.US,5,20250728,163500,116.9845,117.15,116.8301,116.99,2148,0
NLR.US,5,20250728,164000,117.08,117.5896,117.06,117.55,13015,0
NLR.US,5,20250728,164500,117.53,117.7597,117.432,117.7276,8445,0
NLR.US,5,20250728,165000,117.66,117.93,117.6,117.84,10793,0
NLR.US,5,20250728,165500,117.845,117.845,117.55,117.57,6965,0
NLR.US,5,20250728,170000,117.57,117.68,117.28,117.5905,11637,0
NLR.US,5,20250728,170500,117.625,117.86,117.53,117.68,4503,0
NLR.US,5,20250728,171000,117.62,117.66,117.34,117.4106,1710,0
NLR.US,5,20250728,171500,117.4232,117.6345,117.3601,117.438,7256,0
NLR.US,5,20250728,172000,117.465,117.6,117.318,117.4484,6832,0
NLR.US,5,20250728,172500,117.4428,117.4428,117.32,117.4,3545,0
NLR.US,5,20250728,173000,117.4125,117.486,117.34,117.3613,5861,0
NLR.US,5,20250728,173500,117.39487,117.56,117.27,117.452,1249,0
NLR.US,5,20250728,174000,117.4266,117.55,117.21,117.3202,3542,0
NLR.US,5,20250728,174500,117.3224,117.3399,117.198,117.198,2115,0
NLR.US,5,20250728,175000,117.22,117.29,117.185,117.28,1057,0
NLR.US,5,20250728,175500,117.3392,117.37,117.25,117.25,13290,0
NLR.US,5,20250728,180000,117.26,117.3055,117.15,117.15,5899,0
NLR.US,5,20250728,180500,117.205,117.2883,117.02,117.04,7500,0
NLR.US,5,20250728,181000,117.045,117.11862,117,117.1183,6654,0
NLR.US,5,20250728,181500,117.0078,117.2,117.0078,117.2,11664,0
NLR.US,5,20250728,182000,117.125,117.1899,116.77,116.83,8129,0
NLR.US,5,20250728,182500,116.95,116.96,116.86,116.8887,1135,0
NLR.US,5,20250728,183000,116.88,117.1199,116.88,117,4704,0
NLR.US,5,20250728,183500,116.99,117.0064,116.91,116.93,3100,0
NLR.US,5,20250728,184000,117.06,117.25,116.94,116.94,1122,0
NLR.US,5,20250728,184500,117.0639,117.3716,117.0639,117.29,899,0
NLR.US,5,20250728,185000,117.55,117.5866,117.55,117.56,1425,0
NLR.US,5,20250728,185500,117.56,117.68,117.48,117.54,5394,0
NLR.US,5,20250728,190000,117.529,117.75,117.47,117.47,7428,0
NLR.US,5,20250728,190500,117.5,117.64,117.5,117.64,3358,0
NLR.US,5,20250728,191000,117.63,117.6699,117.52,117.52,1200,0
NLR.US,5,20250728,191500,117.62,117.62,117.49,117.5187,3175,0
NLR.US,5,20250728,192000,117.43,117.4414,117.3588,117.42,1606,0
NLR.US,5,20250728,192500,117.4354,117.6499,117.3901,117.6499,4015,0
NLR.US,5,20250728,193000,117.5576,117.7099,117.4207,117.5491,2562,0
NLR.US,5,20250728,193500,117.46,117.5837,117.46,117.5837,6518,0
NLR.US,5,20250728,194000,117.5451,117.65,117.5451,117.65,646,0
NLR.US,5,20250728,194500,117.62,117.62,117.385,117.385,2085,0
