<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUEM.US,5,20250728,160000,33.615,33.615,33.615,33.615,299,0
NUEM.US,5,20250728,173500,33.615,33.615,33.5775,33.5775,1198,0
NUEM.US,5,20250728,174000,33.57,33.74,33.57,33.74,578,0
NUEM.US,5,20250728,175000,33.615,33.615,33.5139,33.5139,238,0
NUEM.US,5,20250728,181000,33.611,33.611,33.611,33.611,215,0
NUEM.US,5,20250728,183000,33.5634,33.5634,33.5634,33.5634,157,0
NUEM.US,5,20250728,183500,33.61,33.61,33.61,33.61,1444,0
NUEM.US,5,20250728,184000,33.645,33.645,33.645,33.645,129,0
NUEM.US,5,20250728,190500,33.55,33.55,33.55,33.55,200,0
NUEM.US,5,20250728,193500,33.54,33.615,33.54,33.615,1773,0
NUEM.US,5,20250728,194500,33.5101,33.5101,33.5,33.5,3084,0
NUEM.US,5,20250728,200500,33.56,33.56,33.56,33.56,2843,0
NUEM.US,5,20250728,201500,33.44,33.44,33.44,33.44,100,0
NUEM.US,5,20250728,202500,33.56,33.56,33.56,33.56,123,0
NUEM.US,5,20250728,205500,33.49,33.5,33.47,33.47,900,0
NUEM.US,5,20250728,210000,33.46,33.46,33.46,33.46,100,0
NUEM.US,5,20250728,211500,33.5664,33.5664,33.43,33.43,354,0
NUEM.US,5,20250728,213500,33.45,33.45,33.39,33.39,279,0
NUEM.US,5,20250728,214000,33.54,33.54,33.54,33.54,210,0
NUEM.US,5,20250728,215500,33.6904,33.6904,33.6904,33.6904,360,0
NUEM.US,5,20250729,162500,33.73,33.73,33.73,33.73,344,0
NUEM.US,5,20250729,184500,33.7693,33.7693,33.7693,33.7693,164,0
NUEM.US,5,20250729,185500,33.65,33.65,33.6484,33.6484,2821,0
NUEM.US,5,20250729,193500,33.66,33.66,33.66,33.66,158,0
NUEM.US,5,20250729,201500,33.65,33.65,33.65,33.65,1469,0
NUEM.US,5,20250729,202000,33.65,33.65,33.54,33.57,500,0
NUEM.US,5,20250729,203000,33.6713,33.6713,33.6713,33.6713,150,0
NUEM.US,5,20250729,203500,33.6,33.6,33.6,33.6,300,0
NUEM.US,5,20250729,210500,33.5601,33.5601,33.5601,33.5601,150,0
NUEM.US,5,20250729,214000,33.55,33.55,33.54,33.54,308,0
NUEM.US,5,20250729,215500,33.65,33.65,33.56,33.56,300,0
NUEM.US,5,20250730,163500,33.5,33.5,33.5,33.5,190,0
NUEM.US,5,20250730,164500,33.64,33.64,33.64,33.64,176,0
NUEM.US,5,20250730,174500,33.5838,33.5838,33.5838,33.5838,144,0
NUEM.US,5,20250730,180500,33.45,33.45,33.45,33.45,100,0
NUEM.US,5,20250730,181500,33.4944,33.4944,33.38,33.38,1793,0
NUEM.US,5,20250730,183000,33.48,33.4801,33.48,33.4801,1626,0
NUEM.US,5,20250730,184000,33.38,33.38,33.38,33.38,149,0
NUEM.US,5,20250730,195000,33.49,33.49,33.49,33.49,100,0
