<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBND.US,5,20250728,172000,25.98,25.98,25.98,25.98,716,0
OBND.US,5,20250728,175500,25.98,25.9845,25.98,25.9845,2016,0
OBND.US,5,20250728,190000,25.9645,25.99,25.9645,25.97,1128,0
OBND.US,5,20250728,191000,25.99,25.99,25.99,25.99,130,0
OBND.US,5,20250728,215500,25.99,25.99,25.99,25.99,100,0
OBND.US,5,20250729,174000,26.03,26.03,26.03,26.03,115,0
OBND.US,5,20250729,183500,26.0352,26.0352,26.0352,26.0352,100,0
OBND.US,5,20250729,191500,26.0553,26.06,26.0553,26.06,522,0
OBND.US,5,20250729,200000,26.04,26.04,26.04,26.04,769,0
OBND.US,5,20250729,202500,26.045,26.045,26.045,26.045,300,0
OBND.US,5,20250729,215000,26.0555,26.0555,26.0555,26.0555,231,0
OBND.US,5,20250729,215500,26.05,26.05,26.05,26.05,100,0
OBND.US,5,20250730,153000,26.01,26.01,26.01,26.01,196,0
OBND.US,5,20250730,172000,26.01,26.01,26.01,26.01,100,0
OBND.US,5,20250730,173000,26.01,26.01,26.01,26.01,100,0
OBND.US,5,20250730,191000,26.02,26.02,26.02,26.02,100,0
OBND.US,5,20250730,191500,26.02,26.02,26.02,26.02,100,0
OBND.US,5,20250730,194500,26.03,26.03,26.03,26.03,100,0
OBND.US,5,20250730,204500,26.02,26.02,26.01,26.01,200,0
OBND.US,5,20250730,205000,26,26,26,26,100,0
OBND.US,5,20250730,205500,26,26,25.99,25.99,300,0
OBND.US,5,20250730,213500,25.9935,25.9935,25.9935,25.9935,211,0
OBND.US,5,20250731,163000,26.0382,26.0382,26.0382,26.0382,400,0
OBND.US,5,20250731,173000,26.0401,26.0402,26.015,26.015,900,0
OBND.US,5,20250731,181500,26.04,26.04,26.04,26.04,100,0
OBND.US,5,20250731,213500,26,26,26,26,1237,0
OBND.US,5,20250801,153500,25.95,25.95,25.82,25.95,9163,0
OBND.US,5,20250801,154500,25.9335,25.939,25.9335,25.939,502,0
OBND.US,5,20250801,160500,25.92,25.92,25.92,25.92,684,0
OBND.US,5,20250801,174000,25.93,25.93,25.93,25.93,100,0
OBND.US,5,20250801,191000,25.95,25.96,25.95,25.955,2704,0
OBND.US,5,20250801,193000,25.9502,25.9502,25.9502,25.9502,391,0
OBND.US,5,20250801,214000,25.96,25.96,25.96,25.96,100,0
OBND.US,5,20250801,215500,25.98,25.98,25.98,25.98,482,0
OBND.US,5,20250804,153500,26,26,26,26,403,0
OBND.US,5,20250804,155000,26,26,26,26,100,0
OBND.US,5,20250804,164000,25.9935,25.9935,25.9935,25.9935,961,0
OBND.US,5,20250804,183500,26.03,26.03,26.03,26.03,100,0
