<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMFS.US,5,20250728,154000,40.91,40.91,40.91,40.91,130,0
OMFS.US,5,20250728,155000,40.92,40.92,40.87,40.87,200,0
OMFS.US,5,20250728,162000,40.8488,40.8488,40.8488,40.8488,260,0
OMFS.US,5,20250728,165000,40.8819,40.8819,40.8475,40.8475,759,0
OMFS.US,5,20250728,171000,40.81,40.84,40.8,40.84,546,0
OMFS.US,5,20250728,173500,40.824,40.824,40.824,40.824,162,0
OMFS.US,5,20250728,180500,40.906354,40.906354,40.906354,40.906354,106,0
OMFS.US,5,20250728,182000,40.905,40.905,40.905,40.905,134,0
OMFS.US,5,20250728,184000,40.89,40.89,40.89,40.89,100,0
OMFS.US,5,20250728,192500,40.768,40.768,40.768,40.768,102,0
OMFS.US,5,20250728,194500,40.82,40.82,40.82,40.82,229,0
OMFS.US,5,20250728,195500,40.79,40.79,40.79,40.79,100,0
OMFS.US,5,20250728,202000,40.7847,40.7847,40.7847,40.7847,129,0
OMFS.US,5,20250728,203500,40.8178,40.8178,40.8,40.8,870,0
OMFS.US,5,20250728,205500,40.81,40.81,40.81,40.81,100,0
OMFS.US,5,20250729,153000,41.0851,41.0851,41.0851,41.0851,152,0
OMFS.US,5,20250729,160000,40.99,41.0155,40.99,41.0155,618,0
OMFS.US,5,20250729,165000,40.965,40.965,40.965,40.965,579,0
OMFS.US,5,20250729,165500,40.9799,40.9799,40.9799,40.9799,416,0
OMFS.US,5,20250729,183500,40.765,40.765,40.765,40.765,240,0
OMFS.US,5,20250729,195000,40.7819,40.7819,40.7819,40.7819,199,0
OMFS.US,5,20250729,201500,40.8065,40.8065,40.8065,40.8065,653,0
OMFS.US,5,20250729,204500,40.855,40.855,40.855,40.855,135,0
OMFS.US,5,20250729,205000,40.83,40.83,40.83,40.83,110,0
OMFS.US,5,20250730,163000,41.14,41.14,41.14,41.14,100,0
OMFS.US,5,20250730,164000,41.1501,41.1501,41.1501,41.1501,100,0
OMFS.US,5,20250730,164500,41.1919,41.1919,41.1682,41.1682,2081,0
OMFS.US,5,20250730,170000,41.172,41.172,41.172,41.172,153,0
OMFS.US,5,20250730,170500,41.09,41.09,41.09,41.09,162,0
OMFS.US,5,20250730,172500,41.0694,41.0694,41.0694,41.0694,459,0
OMFS.US,5,20250730,174500,41.0395,41.0395,41.0395,41.0395,355,0
OMFS.US,5,20250730,175500,41.0501,41.0501,41.0501,41.0501,179,0
OMFS.US,5,20250730,180500,41.0607,41.0607,41.0607,41.0607,245,0
OMFS.US,5,20250730,183000,41.17,41.17,41.17,41.17,115500,0
OMFS.US,5,20250730,191000,41.1318,41.1318,41.1318,41.1318,183,0
OMFS.US,5,20250730,202000,41.088,41.15,41.088,41.15,744,0
OMFS.US,5,20250730,204000,40.99,40.99,40.99,40.99,268,0
OMFS.US,5,20250730,205500,40.81,40.81,40.81,40.81,209,0
OMFS.US,5,20250730,210000,40.74,40.74,40.74,40.74,100,0
OMFS.US,5,20250730,212000,40.52,40.52,40.52,40.52,125,0
OMFS.US,5,20250730,214500,40.55,40.55,40.55,40.55,168,0
OMFS.US,5,20250731,162500,40.68,40.68,40.68,40.68,149,0
OMFS.US,5,20250731,163500,40.68,40.68,40.68,40.68,294,0
