<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONLN.US,5,20250728,154500,55.25,55.25,55.19,55.19,200,0
ONLN.US,5,20250728,155500,55.181,55.2661,55.181,55.2661,661,0
ONLN.US,5,20250728,162500,55.2442,55.2442,55.2442,55.2442,237,0
ONLN.US,5,20250728,163500,55.36,55.36,55.36,55.36,1350,0
ONLN.US,5,20250728,170500,55.46,55.46,55.46,55.46,100,0
ONLN.US,5,20250728,171000,55.445,55.445,55.445,55.445,568,0
ONLN.US,5,20250728,174000,55.36,55.36,55.36,55.36,100,0
ONLN.US,5,20250728,175000,55.41,55.41,55.41,55.41,116,0
ONLN.US,5,20250728,180500,55.4645,55.4645,55.4645,55.4645,111,0
ONLN.US,5,20250728,183000,55.4583,55.4583,55.4583,55.4583,140,0
ONLN.US,5,20250728,194000,55.35,55.36,55.3499,55.3499,1800,0
ONLN.US,5,20250728,194500,55.31,55.31,55.31,55.31,100,0
ONLN.US,5,20250728,200000,55.2917,55.2917,55.29,55.29,792,0
ONLN.US,5,20250728,200500,55.2805,55.2805,55.2805,55.2805,167,0
ONLN.US,5,20250728,201500,55.29,55.29,55.2835,55.2835,234,0
ONLN.US,5,20250728,203000,55.26,55.26,55.25,55.25,200,0
ONLN.US,5,20250728,204000,55.271,55.271,55.27,55.27,800,0
ONLN.US,5,20250728,205000,55.29,55.29,55.29,55.29,100,0
ONLN.US,5,20250728,210000,55.27,55.27,55.27,55.27,200,0
ONLN.US,5,20250728,210500,55.24,55.24,55.24,55.24,100,0
ONLN.US,5,20250728,212500,55.22,55.22,55.22,55.22,100,0
ONLN.US,5,20250728,213500,55.2431,55.2431,55.2431,55.2431,341,0
ONLN.US,5,20250728,215500,55.3153,55.3153,55.29,55.29,415,0
ONLN.US,5,20250729,162000,54.9,54.9,54.88,54.88,400,0
ONLN.US,5,20250729,171500,54.71,54.711395,54.71,54.711395,240,0
ONLN.US,5,20250729,172500,54.6193,54.6193,54.6,54.6,300,0
ONLN.US,5,20250729,173500,54.4903,54.4903,54.461,54.4771,2050,0
ONLN.US,5,20250729,174500,54.48,54.48,54.48,54.48,100,0
ONLN.US,5,20250729,182500,54.38,54.38,54.38,54.38,1000,0
ONLN.US,5,20250729,184500,54.3901,54.3901,54.3901,54.3901,200,0
ONLN.US,5,20250729,190000,54.43,54.43,54.43,54.43,116,0
ONLN.US,5,20250729,190500,54.45,54.45,54.45,54.45,100,0
ONLN.US,5,20250729,192500,54.46,54.46,54.46,54.46,100,0
ONLN.US,5,20250729,193500,54.443,54.443,54.443,54.443,135,0
ONLN.US,5,20250729,195000,54.355,54.355,54.34,54.3475,2202,0
ONLN.US,5,20250729,205500,54.47,54.49,54.46,54.46,1600,0
ONLN.US,5,20250729,210000,54.4907,54.4907,54.4907,54.4907,800,0
ONLN.US,5,20250729,213000,54.49,54.49,54.49,54.49,600,0
ONLN.US,5,20250729,214500,54.44,54.44,54.44,54.44,300,0
ONLN.US,5,20250729,215500,54.43,54.46,54.43,54.46,400,0
ONLN.US,5,20250730,153000,54.9,54.9,54.9,54.9,400,0
ONLN.US,5,20250730,160500,54.4,54.4,54.3923,54.3923,237,0
ONLN.US,5,20250730,162000,54.37,54.39,54.37,54.39,200,0
ONLN.US,5,20250730,194000,54.7208,54.7208,54.7208,54.7208,150,0
