<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBDC.US,5,20250728,153000,34.66,34.6601,34.66,34.6601,254,0
PBDC.US,5,20250728,153500,34.715,34.72,34.715,34.72,200,0
PBDC.US,5,20250728,154000,34.6,34.6,34.588,34.588,650,0
PBDC.US,5,20250728,154500,34.6288,34.6288,34.6288,34.6288,524,0
PBDC.US,5,20250728,155000,34.5969,34.6,34.5969,34.6,1219,0
PBDC.US,5,20250728,155500,34.58,34.5801,34.58,34.5801,256,0
PBDC.US,5,20250728,160000,34.58,34.58,34.58,34.58,291,0
PBDC.US,5,20250728,160500,34.58,34.58,34.55,34.5501,1153,0
PBDC.US,5,20250728,161000,34.56,34.58,34.56,34.569,2184,0
PBDC.US,5,20250728,161500,34.5866,34.5866,34.55,34.55,1523,0
PBDC.US,5,20250728,162000,34.55,34.55,34.55,34.55,776,0
PBDC.US,5,20250728,163000,34.5586,34.5586,34.5586,34.5586,290,0
PBDC.US,5,20250728,163500,34.5425,34.5425,34.49,34.49,580,0
PBDC.US,5,20250728,164000,34.5,34.5,34.5,34.5,413,0
PBDC.US,5,20250728,164500,34.4933,34.4935,34.4933,34.4935,250,0
PBDC.US,5,20250728,165000,34.5086,34.5086,34.5086,34.5086,300,0
PBDC.US,5,20250728,171000,34.4101,34.4101,34.4101,34.4101,350,0
PBDC.US,5,20250728,171500,34.4,34.4192,34.4,34.4192,1700,0
PBDC.US,5,20250728,172000,34.3775,34.3775,34.36,34.36,500,0
PBDC.US,5,20250728,172500,34.35,34.35,34.3498,34.3498,375,0
PBDC.US,5,20250728,174000,34.309,34.31,34.28,34.28,671,0
PBDC.US,5,20250728,175000,34.3086,34.326,34.3086,34.326,930,0
PBDC.US,5,20250728,175500,34.3341,34.3467,34.32,34.3467,1133,0
PBDC.US,5,20250728,180000,34.37,34.37,34.37,34.37,100,0
PBDC.US,5,20250728,181000,34.3693,34.3693,34.3693,34.3693,727,0
