<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSR.US,5,20250728,154500,92.67,92.67,92.67,92.67,100,0
PSR.US,5,20250728,172500,92.7345,92.7345,92.7345,92.7345,257,0
PSR.US,5,20250728,211000,91.83,91.83,91.83,91.83,161,0
PSR.US,5,20250729,162500,92.3699,92.3699,92.3699,92.3699,155,0
PSR.US,5,20250730,164000,93.246,93.246,93.246,93.246,138,0
PSR.US,5,20250730,171000,93.02,93.02,93.02,93.02,116,0
PSR.US,5,20250730,182500,92.8027,92.8027,92.8027,92.8027,147,0
PSR.US,5,20250730,191500,92.6001,92.6001,92.6001,92.6001,161,0
PSR.US,5,20250730,195500,92.8499,92.8499,92.8499,92.8499,327,0
PSR.US,5,20250730,201500,92.67,92.76,92.67,92.76,300,0
PSR.US,5,20250730,203500,92.98,92.98,92.98,92.98,100,0
PSR.US,5,20250730,204000,92.57,92.57,92.4718,92.4718,238,0
PSR.US,5,20250730,212500,91.56,91.56,91.56,91.56,166,0
PSR.US,5,20250731,155500,91.27,91.27,91.27,91.27,204,0
PSR.US,5,20250731,183500,91.3199,91.3199,91.3199,91.3199,446,0
PSR.US,5,20250731,192000,90.99,90.99,90.9899,90.9899,200,0
PSR.US,5,20250731,195500,90.6601,90.6601,90.6601,90.6601,121,0
PSR.US,5,20250731,205000,90.56,90.56,90.56,90.56,124,0
PSR.US,5,20250801,155000,90.56,90.56,90.56,90.56,100,0
PSR.US,5,20250801,162000,90.3,90.3,90.3,90.3,100,0
PSR.US,5,20250801,164500,89.66,89.66,89.66,89.66,100,0
PSR.US,5,20250801,165000,89.64,89.64,89.64,89.64,100,0
PSR.US,5,20250801,171500,89.56931,89.56931,89.56931,89.56931,653,0
PSR.US,5,20250804,155000,90.56,90.56,90.56,90.56,100,0
PSR.US,5,20250804,160000,90.53,90.53,90.53,90.53,100,0
PSR.US,5,20250804,162000,90.66,90.66,90.66,90.66,100,0
PSR.US,5,20250804,171500,90.9201,90.9201,90.9201,90.9201,449,0
PSR.US,5,20250804,205000,90.8,90.8,90.8,90.8,346,0
PSR.US,5,20250804,212000,90.8601,90.8601,90.8601,90.8601,114,0
PSR.US,5,20250804,215000,90.7593,90.7593,90.7593,90.7593,220,0
PSR.US,5,20250805,154500,90.95,90.95,90.95,90.95,100,0
PSR.US,5,20250805,160500,90.78,90.78,90.775,90.775,200,0
PSR.US,5,20250805,163500,90.9501,90.9501,90.9501,90.9501,185,0
PSR.US,5,20250805,171500,90.73,90.73,90.682,90.682,402,0
PSR.US,5,20250805,174000,90.7617,90.7617,90.7617,90.7617,194,0
PSR.US,5,20250805,204500,91.269,91.279,91.269,91.279,500,0
PSR.US,5,20250805,210500,91.255,91.255,91.255,91.255,100,0
PSR.US,5,20250805,212500,91.21,91.21,91.21,91.21,200,0
PSR.US,5,20250805,214000,91.1208,91.1208,91.11,91.11,422,0
PSR.US,5,20250805,215000,91.0808,91.0808,91.0808,91.0808,200,0
PSR.US,5,20250806,160500,91.15,91.15,91.15,91.15,100,0
PSR.US,5,20250806,161000,91.26,91.26,91.26,91.26,100,0
PSR.US,5,20250806,161500,91.2226,91.2299,91.2226,91.2299,200,0
PSR.US,5,20250806,164000,91.16,91.16,91.16,91.16,100,0
PSR.US,5,20250806,183500,91.1632,91.1632,91.1632,91.1632,110,0
PSR.US,5,20250806,202500,90.608,90.608,90.608,90.608,100,0
PSR.US,5,20250806,214500,90.64,90.64,90.64,90.64,200,0
PSR.US,5,20250807,205000,90.86,90.86,90.86,90.86,100,0
PSR.US,5,20250807,211500,90.79,90.79,90.79,90.79,400,0
PSR.US,5,20250807,215500,90.91,90.91,90.91,90.91,200,0
PSR.US,5,20250808,172000,90.4456,90.4456,90.4456,90.4456,115,0
PSR.US,5,20250808,183000,90.67,90.67,90.67,90.67,18945,0
PSR.US,5,20250811,164000,89.5354,89.5354,89.5354,89.5354,145,0
PSR.US,5,20250811,171500,89.74,89.74,89.74,89.74,100,0
PSR.US,5,20250811,211000,89.85,89.85,89.85,89.85,100,0
PSR.US,5,20250811,215000,89.65,89.65,89.65,89.65,992,0
PSR.US,5,20250812,164000,89.2101,89.34,89.21,89.34,760,0
