<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWB.US,5,20250728,161500,119.21,119.21,119.21,119.21,200,0
PWB.US,5,20250728,162500,119.1463,119.1463,119.1463,119.1463,112,0
PWB.US,5,20250728,163500,119.0105,119.1091,119.0105,119.06,5969,0
PWB.US,5,20250728,164000,119.085,119.13,119.085,119.13,500,0
PWB.US,5,20250728,164500,119.1085,119.1085,119.1085,119.1085,102,0
PWB.US,5,20250728,165500,119.002,119.002,119.002,119.002,250,0
PWB.US,5,20250728,170000,118.935,118.935,118.83,118.83,632,0
PWB.US,5,20250728,170500,118.8628,118.8628,118.8628,118.8628,262,0
PWB.US,5,20250728,172000,118.677,118.77,118.677,118.77,353,0
PWB.US,5,20250728,172500,118.8,118.8,118.8,118.8,200,0
PWB.US,5,20250728,174000,118.98,118.98,118.8708,118.9493,1881,0
PWB.US,5,20250728,174500,118.88,118.91,118.86,118.86,486,0
PWB.US,5,20250728,175000,118.902,118.9218,118.902,118.9218,220,0
PWB.US,5,20250728,180000,118.83,118.83,118.81,118.81,885,0
PWB.US,5,20250728,180500,118.78,118.785,118.78,118.785,790,0
PWB.US,5,20250728,181500,118.82,118.82,118.82,118.82,100,0
PWB.US,5,20250728,184000,118.79,118.79,118.79,118.79,296,0
PWB.US,5,20250728,184500,118.78,118.815,118.74,118.74,475,0
PWB.US,5,20250728,185000,118.76,118.76,118.76,118.76,146,0
PWB.US,5,20250728,190500,118.835,118.835,118.835,118.835,200,0
PWB.US,5,20250728,191000,118.87,118.9036,118.87,118.9036,245,0
PWB.US,5,20250728,191500,118.9051,118.9051,118.9051,118.9051,372,0
PWB.US,5,20250728,193000,118.8407,118.8407,118.8407,118.8407,195,0
PWB.US,5,20250728,195000,118.77,118.77,118.745,118.745,211,0
PWB.US,5,20250728,201000,118.68,118.68,118.68,118.68,193,0
PWB.US,5,20250728,202500,118.7315,118.7315,118.7315,118.7315,253,0
PWB.US,5,20250728,203500,118.67,118.67,118.655,118.655,200,0
PWB.US,5,20250728,205000,118.795,118.84,118.795,118.81,1700,0
